X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   4.1654168367e-06
1.1000000000e-03   4.5682309480e-05
1.1100000000e-02   4.4732996020e-04
8.9301368524e-02   2.8394681728e-03
1.6750273705e-01   4.1987760261e-03
2.4570410557e-01   4.8710024458e-03
3.2390547410e-01   5.1142147516e-03
4.0210684262e-01   5.1090311785e-03
4.8030821114e-01   4.9739528264e-03
5.5850957967e-01   4.7816794121e-03
6.3671094819e-01   4.5736137381e-03
7.1491231672e-01   4.3712323750e-03
7.9311368524e-01   4.1841500795e-03
8.7131505376e-01   4.0153750166e-03
9.4951642229e-01   3.8644983979e-03
1.0277177908e+00   3.7295330895e-03
1.1059191593e+00   3.6079570367e-03
1.1841205279e+00   3.4973311751e-03
1.2623218964e+00   3.3957015117e-03
1.3405232649e+00   3.3018796987e-03
1.4187246334e+00   3.2156252035e-03
1.4969260020e+00   3.1377173507e-03
1.5751273705e+00   3.0698979556e-03
1.6533287390e+00   3.1789137263e-03
1.7315301075e+00   3.2175196135e-03
1.8097314761e+00   3.2370256876e-03
1.8879328446e+00   3.2564410509e-03
1.9661342131e+00   3.2829167693e-03
2.0443355816e+00   3.3193720142e-03
2.1225369501e+00   3.3672946552e-03
2.2007383187e+00   3.4277773260e-03
2.2789396872e+00   3.5019122654e-03
2.2790396872e+00   3.5020164143e-03
2.2800396872e+00   3.5030592345e-03
2.2900396872e+00   3.5136212224e-03
2.3682410557e+00   3.6049332467e-03
2.4464424242e+00   3.7128812170e-03
2.5246437928e+00   3.8393833483e-03
2.6028451613e+00   3.9867608113e-03
2.6810465298e+00   4.1578382094e-03
2.7592478983e+00   4.3560637814e-03
2.8374492669e+00   4.5856605091e-03
2.9156506354e+00   4.8518185056e-03
2.9938520039e+00   5.1609389537e-03
3.0720533724e+00   5.5209384232e-03
3.1502547410e+00   5.9416178303e-03
3.2284561095e+00   6.4350909445e-03
3.3066574780e+00   7.0162519442e-03
3.3848588465e+00   7.7032396954e-03
3.4630602151e+00   8.5358057131e-03
3.5412615836e+00   9.5370821019e-03
3.6194629521e+00   1.0751858807e-02
3.6976643206e+00   1.2238566228e-02
3.7758656891e+00   1.4074294149e-02
3.8540670577e+00   1.6361462112e-02
3.8541670577e+00   1.6364733968e-02
3.8551670577e+00   1.6397505272e-02
3.8651670577e+00   1.6730559911e-02
3.9433684262e+00   1.9707165468e-02
4.0215697947e+00   2.3487773017e-02
4.0997711632e+00   2.8328669508e-02
4.1779725318e+00   3.4571077219e-02
4.2561739003e+00   4.2664907830e-02
4.3343752688e+00   5.3193427206e-02
4.4125766373e+00   6.6892385065e-02
4.4907780059e+00   8.4650624867e-02
4.5689793744e+00   1.0746964741e-01
4.6471807429e+00   1.3634820763e-01
4.7253821114e+00   1.7204892817e-01
4.8035834800e+00   2.1470602546e-01
4.8817848485e+00   2.6326149264e-01
4.9599862170e+00   3.1431501361e-01
5.0381875855e+00   3.6302885558e-01
5.1163889541e+00   4.0260333772e-01
5.1945903226e+00   4.2591897144e-01
5.1946903226e+00   4.2593578019e-01
5.1956903226e+00   4.2610189880e-01
5.2056903226e+00   4.2756466629e-01
5.2838916911e+00   4.2606485737e-01
5.3620930596e+00   4.0178016430e-01
5.4402944282e+00   3.5847668563e-01
5.5184957967e+00   3.0318889342e-01
5.5966971652e+00   2.4391670497e-01
5.6748985337e+00   1.8748367184e-01
5.7530999022e+00   1.3833556620e-01
5.8313012708e+00   9.8331274765e-02
5.9095026393e+00   6.7238551999e-02
5.9877040078e+00   4.5716436096e-02
6.0659053763e+00   3.0813061374e-02
6.1441067449e+00   2.0890849999e-02
6.2223081134e+00   1.4506520532e-02
6.3005094819e+00   1.0512046685e-02
6.3787108504e+00   8.0618372513e-03
6.4569122190e+00   6.5712739866e-03
6.5351135875e+00   5.6576245350e-03
6.5352135875e+00   5.6566857981e-03
6.5362135875e+00   5.6473286428e-03
6.5462135875e+00   5.5567013912e-03
6.6244149560e+00   4.9990504505e-03
6.7026163245e+00   4.6252674025e-03
6.7808176931e+00   4.3581590973e-03
6.8590190616e+00   4.1550332957e-03
6.9372204301e+00   3.9927534707e-03
7.0154217986e+00   3.8588444623e-03
7.0936231672e+00   3.7464713332e-03
7.1718245357e+00   3.6517330904e-03
7.2500259042e+00   3.5722601989e-03
7.3282272727e+00   3.5065093970e-03
7.4064286413e+00   3.4534153233e-03
7.4846300098e+00   3.4122185805e-03
7.5628313783e+00   3.3823795690e-03
7.6410327468e+00   3.3635346461e-03
7.7192341153e+00   3.3554745431e-03
7.7974354839e+00   3.3581357630e-03
7.8756368524e+00   3.3716002428e-03
7.9538382209e+00   3.3961003964e-03
8.0320395894e+00   3.4320276038e-03
8.1102409580e+00   3.4799431654e-03
8.1884423265e+00   3.5405267538e-03
8.2666436950e+00   3.6148646030e-03
8.3448450635e+00   3.7040709974e-03
8.4230464321e+00   3.8095583036e-03
8.5012478006e+00   3.9330661013e-03
8.5794491691e+00   4.0767147452e-03
8.6576505376e+00   4.2430796595e-03
8.6577505376e+00   4.2433082109e-03
8.6587505376e+00   4.2455960453e-03
8.6687505376e+00   4.2687079427e-03
8.7469519062e+00   4.4648755534e-03
8.8251532747e+00   4.6912939456e-03
8.9033546432e+00   4.9527369020e-03
8.9815560117e+00   5.2550531125e-03
