X    Y
0.0000000000e+00   4.0000000000e-01
1.0000000000e-04   4.0000799808e-01
1.1000000000e-03   4.0008776764e-01
1.1100000000e-02   4.0086429882e-01
8.9301368524e-02   4.0559094658e-01
1.6750273705e-01   4.0787655481e-01
2.4570410557e-01   4.0766000635e-01
3.2390547410e-01   4.0489891529e-01
4.0210684262e-01   3.9956858749e-01
4.8030821114e-01   3.9166133039e-01
5.5850957967e-01   3.8118602952e-01
6.3671094819e-01   3.6816789937e-01
7.1491231672e-01   3.5264832442e-01
7.9311368524e-01   3.3468472247e-01
8.7131505376e-01   3.1435038173e-01
9.4951642229e-01   2.9173423924e-01
1.0277177908e+00   2.6694058133e-01
1.1059191593e+00   2.4008865473e-01
1.1841205279e+00   2.1131218309e-01
1.2623218964e+00   1.8075878619e-01
1.3405232649e+00   1.4858930150e-01
1.4187246334e+00   1.1497700891e-01
1.4969260020e+00   8.0106760897e-02
1.5751273705e+00   4.4174021395e-02
1.6533287390e+00   7.3838183046e-03
1.7315301075e+00   -3.0050384083e-02
1.8097314761e+00   -6.7907885132e-02
1.8879328446e+00   -1.0596201167e-01
1.9661342131e+00   -1.4398143614e-01
2.0443355816e+00   -1.8173153951e-01
2.1225369501e+00   -2.1897580967e-01
2.2007383187e+00   -2.5547726650e-01
2.2789396872e+00   -2.9099990622e-01
2.3571410557e+00   -3.2531026771e-01
2.4353424242e+00   -3.5817901978e-01
2.5135437928e+00   -3.8938192263e-01
2.5917451613e+00   -4.1870138903e-01
2.6699465298e+00   -4.4592805572e-01
2.7481478983e+00   -4.7086226420e-01
2.7482478983e+00   -4.7089259941e-01
2.7492478983e+00   -4.7119572823e-01
2.7592478983e+00   -4.7420460813e-01
2.8374492669e+00   -4.9629109827e-01
2.9156506354e+00   -5.1569666441e-01
2.9938520039e+00   -5.3226114566e-01
3.0720533724e+00   -5.4583962315e-01
3.1502547410e+00   -5.5630360296e-01
3.2284561095e+00   -5.6354212857e-01
3.3066574780e+00   -5.6746281874e-01
3.3848588465e+00   -5.6799282784e-01
3.4630602151e+00   -5.6507972782e-01
3.5412615836e+00   -5.5869231461e-01
3.6194629521e+00   -5.4882134965e-01
3.6195629521e+00   -5.4880650028e-01
3.6205629521e+00   -5.4865769430e-01
3.6305629521e+00   -5.4713842007e-01
3.7087643206e+00   -5.3330717392e-01
3.7869656891e+00   -5.1604958558e-01
3.8651670577e+00   -4.9542967171e-01
3.9433684262e+00   -4.7153607951e-01
4.0215697947e+00   -4.4448281487e-01
4.0997711632e+00   -4.1441012576e-01
4.1779725318e+00   -3.8148563690e-01
4.2561739003e+00   -3.4590585540e-01
4.3343752688e+00   -3.0789818463e-01
4.4125766373e+00   -2.6772359556e-01
4.4907780059e+00   -2.2568010142e-01
4.5689793744e+00   -1.8210693127e-01
