X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   -4.0000608228e-05
1.1000000000e-03   -4.4007346774e-04
1.1100000000e-02   -4.4473512796e-03
8.9301368524e-02   -3.6132529862e-02
1.6750273705e-01   -6.8236491549e-02
2.4570410557e-01   -1.0049916546e-01
3.2390547410e-01   -1.3268001077e-01
4.0210684262e-01   -1.6455293336e-01
4.8030821114e-01   -1.9590216470e-01
5.5850957967e-01   -2.2651935825e-01
6.3671094819e-01   -2.5620187846e-01
7.1491231672e-01   -2.8475209041e-01
7.9311368524e-01   -3.1197739647e-01
8.7131505376e-01   -3.3769077791e-01
9.4951642229e-01   -3.6171164684e-01
1.0277177908e+00   -3.8386737264e-01
1.1059191593e+00   -4.0399388982e-01
1.1841205279e+00   -4.2193651473e-01
1.2623218964e+00   -4.3755154113e-01
1.3405232649e+00   -4.5070726081e-01
1.4187246334e+00   -4.6128495892e-01
1.4969260020e+00   -4.6917985767e-01
1.5751273705e+00   -4.7430199357e-01
1.6533287390e+00   -4.7657701799e-01
1.7315301075e+00   -4.7594691393e-01
1.8097314761e+00   -4.7237062295e-01
1.8879328446e+00   -4.6582457735e-01
1.8880328446e+00   -4.6581430103e-01
1.8890328446e+00   -4.6571127008e-01
1.8990328446e+00   -4.6465418932e-01
1.9772342131e+00   -4.5471101004e-01
2.0554355816e+00   -4.4180832801e-01
2.1336369501e+00   -4.2597985614e-01
2.2118383187e+00   -4.0727790425e-01
2.2900396872e+00   -3.8577336361e-01
2.3682410557e+00   -3.6155557972e-01
2.4464424242e+00   -3.3473211230e-01
2.5246437928e+00   -3.0542838301e-01
2.6028451613e+00   -2.7378721205e-01
2.6810465298e+00   -2.3996824617e-01
2.7592478983e+00   -2.0414728148e-01
2.8374492669e+00   -1.6651548568e-01
2.9156506354e+00   -1.2727852612e-01
2.9938520039e+00   -8.6655610981e-02
3.0720533724e+00   -4.4878453531e-02
3.1502547410e+00   -2.1901711766e-03
3.2284561095e+00   4.1155865559e-02
3.2285561095e+00   4.1211604208e-02
3.2295561095e+00   4.1769026186e-02
3.2395561095e+00   4.7346681223e-02
3.3177574780e+00   9.1122400871e-02
3.3959588465e+00   1.3498416059e-01
3.4741602151e+00   1.7865405472e-01
3.5523615836e+00   2.2184870890e-01
3.6305629521e+00   2.6428024311e-01
3.7087643206e+00   3.0565703741e-01
3.7869656891e+00   3.4568420418e-01
3.8651670577e+00   3.8406364039e-01
3.9433684262e+00   4.2049349422e-01
3.9434684262e+00   4.2053870038e-01
3.9444684262e+00   4.2099055893e-01
3.9544684262e+00   4.2548870935e-01
4.0326697947e+00   4.5931648819e-01
4.1108711632e+00   4.9052792016e-01
4.1890725318e+00   5.1879541615e-01
4.2672739003e+00   5.4377391167e-01
4.3454752688e+00   5.6509346614e-01
4.4236766373e+00   5.8235034489e-01
4.5018780059e+00   5.9509769187e-01
4.5800793744e+00   6.0283843681e-01
4.6582807429e+00   6.0502554712e-01
4.7364821114e+00   6.0107806881e-01
4.8146834800e+00   5.9042468145e-01
4.8928848485e+00   5.7258714471e-01
4.9710862170e+00   5.4730940992e-01
5.0492875855e+00   5.1471931486e-01
5.0493875855e+00   5.1467317773e-01
5.0503875855e+00   5.1421120410e-01
5.0603875855e+00   5.0953165627e-01
5.1385889541e+00   4.6943614263e-01
5.2167903226e+00   4.2417910928e-01
5.2949916911e+00   3.7559305193e-01
5.3731930596e+00   3.2571761032e-01
5.4513944282e+00   2.7643600917e-01
5.5295957967e+00   2.2916343878e-01
5.5296957967e+00   2.2910468242e-01
5.5306957967e+00   2.2851737587e-01
5.5406957967e+00   2.2267019968e-01
5.6188971652e+00   1.7862893522e-01
5.6970985337e+00   1.3758700120e-01
5.7752999022e+00   9.9269185435e-02
5.8535012708e+00   6.3187648867e-02
5.9317026393e+00   2.8806311620e-02
6.0099040078e+00   -4.3507150480e-03
6.0881053763e+00   -3.6644919323e-02
6.1663067449e+00   -6.8309360397e-02
6.2445081134e+00   -9.9458868533e-02
6.3227094819e+00   -1.3011153438e-01
6.4009108504e+00   -1.6021285152e-01
6.4791122190e+00   -1.8965771560e-01
6.4792122190e+00   -1.8969489165e-01
6.4802122190e+00   -1.9006658080e-01
6.4902122190e+00   -1.9377627079e-01
6.5684135875e+00   -2.2230160806e-01
6.6466149560e+00   -2.4985197425e-01
6.7248163245e+00   -2.7625932190e-01
6.8030176931e+00   -3.0135287746e-01
6.8812190616e+00   -3.2496329672e-01
6.9594204301e+00   -3.4692553246e-01
7.0376217986e+00   -3.6708091035e-01
7.1158231672e+00   -3.8527873554e-01
7.1940245357e+00   -4.0137762328e-01
7.2722259042e+00   -4.1524666098e-01
7.3504272727e+00   -4.2676645721e-01
7.4286286413e+00   -4.3583010301e-01
7.5068300098e+00   -4.4234405511e-01
7.5850313783e+00   -4.4622894245e-01
7.6632327468e+00   -4.4742029401e-01
7.7414341153e+00   -4.4586918397e-01
7.8196354839e+00   -4.4154279010e-01
7.8978368524e+00   -4.3442486125e-01
7.9760382209e+00   -4.2451608984e-01
8.0542395894e+00   -4.1183438627e-01
8.1324409580e+00   -3.9641505202e-01
8.2106423265e+00   -3.7831084949e-01
8.2888436950e+00   -3.5759196667e-01
