X    Y
0.0000000000e+00   nan
7.8201368524e-02   2.7989982120e-02
1.5640273705e-01   1.2038291331e-02
2.3460410557e-01   6.4761807894e-03
3.1280547410e-01   3.6272330347e-03
3.9100684262e-01   1.9593982785e-03
4.6920821114e-01   9.4838199267e-04
5.4740957967e-01   4.0647490282e-04
6.2561094819e-01   4.1457639948e-04
7.0381231672e-01   4.2348295175e-04
7.8201368524e-01   4.3345763843e-04
8.6021505376e-01   4.4484807093e-04
9.3841642229e-01   4.5813951598e-04
1.0166177908e+00   7.8693683495e-04
1.0948191593e+00   8.1862612273e-04
1.1730205279e+00   8.5917483351e-04
1.2512218964e+00   9.1359745180e-04
1.3294232649e+00   9.9152209683e-04
1.4076246334e+00   1.1140982303e-03
1.4858260020e+00   1.3386163218e-03
1.5640273705e+00   1.8933687432e-03
1.6422287390e+00   5.6927847270e-03
1.7204301075e+00   2.0104305280e-03
1.7986314761e+00   6.3729460650e-04
1.8768328446e+00   6.4801015373e-04
1.9550342131e+00   6.5925848975e-04
2.0332355816e+00   6.7122466333e-04
2.1114369501e+00   6.8413682116e-04
2.1896383187e+00   6.9828581842e-04
2.2678396872e+00   7.1405468072e-04
2.3460410557e+00   7.3196475401e-04
2.4242424242e+00   7.5275113294e-04
2.5024437928e+00   7.7749194759e-04
2.5806451613e+00   8.0784301631e-04
2.6588465298e+00   8.4649441126e-04
2.7370478983e+00   8.9814003209e-04
2.8152492669e+00   1.1552396356e-03
2.8934506354e+00   1.2891748074e-03
2.9716520039e+00   1.5338218707e-03
3.0498533724e+00   2.1378443409e-03
3.1280547410e+00   6.1385780069e-03
3.2062561095e+00   1.9564268660e-03
3.2844574780e+00   1.8672492257e-03
3.3626588465e+00   2.1042436721e-03
3.4408602151e+00   2.3741285050e-03
3.5190615836e+00   2.6803187653e-03
3.5972629521e+00   3.0258285905e-03
3.6754643206e+00   3.4127960256e-03
3.7536656891e+00   3.8415460420e-03
3.8318670577e+00   4.3096663630e-03
3.9100684262e+00   4.8109643730e-03
3.9882697947e+00   5.3338469760e-03
4.0664711632e+00   5.0569343498e-03
4.1446725318e+00   5.5104561134e-03
4.2228739003e+00   5.9162267855e-03
4.3010752688e+00   6.2338698731e-03
4.3792766373e+00   6.4138940025e-03
4.4574780059e+00   6.3994220066e-03
4.5356793744e+00   6.1298634233e-03
4.6138807429e+00   5.5481247884e-03
4.6920821114e+00   4.6113989161e-03
4.7702834800e+00   3.3065784146e-03
4.8484848485e+00   3.6823296446e-03
4.9266862170e+00   5.5412622114e-03
5.0048875855e+00   2.8950611499e-03
5.0830889541e+00   3.8242766747e-03
5.1612903226e+00   5.0627787464e-03
5.2394916911e+00   5.5897261543e-03
5.3176930596e+00   5.2730854908e-03
5.3958944282e+00   2.4087808381e-03
5.4740957967e+00   1.2408708053e-03
5.5522971652e+00   8.8618811050e-04
5.6304985337e+00   1.8126725653e-03
5.7086999022e+00   3.4663858434e-03
5.7869012708e+00   5.0920072383e-03
5.8651026393e+00   6.6225247779e-03
5.9433040078e+00   7.9807470899e-03
6.0215053763e+00   9.0561088927e-03
6.0997067449e+00   9.6929265584e-03
6.1779081134e+00   9.7135910145e-03
6.2561094819e+00   9.0048850083e-03
6.3343108504e+00   7.6500789616e-03
6.4125122190e+00   3.3667701038e-04
6.4907135875e+00   2.1973198002e-04
6.5689149560e+00   1.3353649631e-04
6.6471163245e+00   7.8176669982e-05
6.7253176931e+00   4.6052645883e-05
6.8035190616e+00   2.8645894982e-05
6.8817204301e+00   1.9750152735e-05
6.9599217986e+00   1.8333632592e-05
7.0381231672e+00   1.9063151007e-05
7.1163245357e+00   1.9978896641e-05
7.1945259042e+00   2.1177406023e-05
7.2727272727e+00   2.2835036051e-05
7.3509286413e+00   2.5311970855e-05
7.4291300098e+00   2.9476459504e-05
7.5073313783e+00   3.8089585622e-05
7.5855327468e+00   6.7147019959e-05
7.6637341153e+00   2.5384442955e-04
7.7419354839e+00   2.3894454811e-05
7.8201368524e+00   1.4968590504e-05
7.8983382209e+00   1.5248380561e-05
7.9765395894e+00   1.5544005256e-05
8.0547409580e+00   1.5860735780e-05
8.1329423265e+00   1.6205152276e-05
8.2111436950e+00   1.6585746210e-05
8.2893450635e+00   1.7013849272e-05
8.3675464321e+00   1.7505122320e-05
8.4457478006e+00   1.8082047317e-05
8.5239491691e+00   1.8778316220e-05
8.6021505376e+00   5.0919177925e-06
8.6803519062e+00   5.0073537438e-04
8.7585532747e+00   5.3715185169e-04
8.8367546432e+00   5.9132879773e-04
8.9149560117e+00   6.8203749556e-04
8.9931573803e+00   1.4617094716e-03
9.0713587488e+00   2.4983448326e-03
9.1495601173e+00   9.1773915546e-03
9.2277614858e+00   1.2485074388e-03
9.3059628543e+00   1.3936271359e-03
9.3841642229e+00   1.5569651254e-03
9.4623655914e+00   1.7400359506e-03
9.5405669599e+00   1.9439988006e-03
9.6187683284e+00   2.1693323194e-03
9.6969696970e+00   2.4160130974e-03
9.7751710655e+00   2.6829656050e-03
9.8533724340e+00   2.9656483486e-03
9.9315738025e+00   3.2570514781e-03
1.0009775171e+01   4.4375236273e-03
1.0087976540e+01   4.8146758009e-03
