X    Y    Z
0.0000000000e+00   4.0000000000e-01   0.0000000000e+00
-4.0000608228e-05   4.0000799808e-01   4.1654168367e-06
-4.4007346774e-04   4.0008776764e-01   4.5682309480e-05
-4.4473512796e-03   4.0086429882e-01   4.4732996020e-04
-3.6132529862e-02   4.0559094658e-01   2.8394681728e-03
-6.8236491549e-02   4.0787655481e-01   4.1987760261e-03
-1.0049916546e-01   4.0766000635e-01   4.8710024458e-03
-1.3268001077e-01   4.0489891529e-01   5.1142147516e-03
-1.6455293336e-01   3.9956858749e-01   5.1090311785e-03
-1.9590216470e-01   3.9166133039e-01   4.9739528264e-03
-2.2651936021e-01   3.8118602946e-01   4.7817412430e-03
-2.5620189112e-01   3.6816789883e-01   4.5738564368e-03
-2.8475213842e-01   3.5264832173e-01   4.3719688756e-03
-3.1197754156e-01   3.3468471273e-01   4.1860535598e-03
-3.3769115489e-01   3.1435035252e-01   4.0196946635e-03
-3.6171251677e-01   2.9173416276e-01   3.8732879489e-03
-3.6174207599e-01   2.9170382441e-01   3.8731131942e-03
-3.6203750029e-01   2.9140024501e-01   3.8713673527e-03
-3.6497488261e-01   2.8834490856e-01   3.8540788821e-03
-3.8685277842e-01   2.6325137989e-01   3.7292226932e-03
-4.0667863308e-01   2.3611758255e-01   3.6216269606e-03
-4.2429939843e-01   2.0707917375e-01   3.5298112483e-03
-4.3957306770e-01   1.7628558496e-01   3.4524579648e-03
-4.5236974126e-01   1.4389932653e-01   3.3884618528e-03
-4.6257263601e-01   1.1009519956e-01   3.3369319152e-03
-4.7007902906e-01   7.5059418302e-02   3.2971767709e-03
-4.7480112803e-01   3.8988647161e-02   3.2686870358e-03
-4.7666686160e-01   2.0889570686e-03   3.2511202294e-03
-4.7562058442e-01   -3.5425293615e-02   3.2442899579e-03
-4.7162369112e-01   -7.3332647839e-02   3.2481597713e-03
-4.6465513444e-01   -1.1140580199e-01   3.2628416670e-03
-4.5471184339e-01   -1.4941291473e-01   3.2885992068e-03
-4.4180903735e-01   -1.8711896528e-01   3.3258553705e-03
-4.2598043319e-01   -2.2428715376e-01   3.3752054962e-03
-4.0727834266e-01   -2.6068033561e-01   3.4374359267e-03
-3.8577365825e-01   -2.9606248189e-01   3.5135493008e-03
-3.6155572645e-01   -3.3020015709e-01   3.6047978236e-03
-3.3473210790e-01   -3.6286400583e-01   3.7127263338e-03
-3.0542822516e-01   -3.9383023959e-01   3.8392276267e-03
-2.7378689936e-01   -4.2288211481e-01   3.9866133266e-03
-2.3996777820e-01   -4.4981139343e-01   4.1577047261e-03
-2.0414665871e-01   -4.7441977725e-01   4.3559495079e-03
-2.0409965084e-01   -4.7444967826e-01   4.3562221068e-03
-2.0362940933e-01   -4.7474846264e-01   4.3589509127e-03
-1.9891079128e-01   -4.7771365712e-01   4.3865226626e-03
-1.6103815440e-01   -4.9944378573e-01   4.6209951453e-03
-1.2159066973e-01   -5.1846816816e-01   4.8928728464e-03
-8.0789386267e-02   -5.3462863349e-01   5.2087783869e-03
-3.8867705535e-02   -5.4778243236e-01   5.5769503328e-03
-3.8813484271e-02   -5.4779727222e-01   5.5774587411e-03
-3.8271192900e-02   -5.4794538884e-01   5.5825484382e-03
-3.2840513504e-02   -5.4939831132e-01   5.6340116910e-03
1.0060799184e-02   -5.5896539974e-01   6.0746278034e-03
5.3546225186e-02   -5.6527731079e-01   6.5929269959e-03
9.7350961988e-02   -5.6824704956e-01   7.2059839377e-03
1.4120265885e-01   -5.6780742490e-01   7.9356544518e-03
1.8482256825e-01   -5.6391191095e-01   8.8101247580e-03
2.2792662005e-01   -5.5653543413e-01   9.8660176565e-03
2.7022636137e-01   -5.4567509281e-01   1.1151264438e-02
3.1142968705e-01   -5.3135082181e-01   1.2729026017e-02
3.5124126070e-01   -5.1360602128e-01   1.4683033666e-02
3.8936249583e-01   -4.9250817861e-01   1.7124858589e-02
4.2549092362e-01   -4.6814952446e-01   2.0203685209e-02
4.5931873058e-01   -4.4064777994e-01   2.4119277876e-02
4.5936038129e-01   -4.4061065857e-01   2.4124926821e-02
4.5977665304e-01   -4.4023917501e-01   2.4181515056e-02
4.6391569742e-01   -4.3649742202e-01   2.4757407691e-02
4.9472957888e-01   -4.0558429751e-01   2.9960684355e-02
5.2255174342e-01   -3.7187062490e-01   3.6682629437e-02
5.4703408549e-01   -3.3556159244e-01   4.5409156405e-02
5.6780243520e-01   -2.9689402790e-01   5.6766187222e-02
5.8444748765e-01   -2.5613930131e-01   7.1535246808e-02
5.9651558398e-01   -2.1360700747e-01   9.0644727160e-02
6.0350228147e-01   -1.6964934953e-01   1.1510985237e-01
6.0485424750e-01   -1.2466581850e-01   1.4588137490e-01
5.9998843183e-01   -7.9107188688e-02   1.8355644505e-01
5.8834058075e-01   -3.3476997081e-02   2.2792181989e-01
5.6945510404e-01   1.1672337630e-02   2.7736667649e-01
5.4312022434e-01   5.5752345415e-02   3.2833938602e-01
5.0953154450e-01   9.8163513391e-02   3.7519707340e-01
4.6943549851e-01   1.3833321742e-01   4.1087050208e-01
4.2417793480e-01   1.7576235271e-01   4.2852814923e-01
3.7559139732e-01   2.1007048575e-01   4.2381055736e-01
3.2571554152e-01   2.4102602164e-01   3.9658419766e-01
3.2565178102e-01   2.4106341090e-01   3.9653640877e-01
3.2501423388e-01   2.4143699394e-01   3.9605686423e-01
3.1864527087e-01   2.4514186926e-01   3.9109861633e-01
2.6957601164e-01   2.7218124103e-01   3.4365948163e-01
2.2266771071e-01   2.9585760469e-01   2.8649184019e-01
1.7862630121e-01   3.1632014250e-01   2.2744537372e-01
1.3758435403e-01   3.3375266357e-01   1.7275998633e-01
9.9266559247e-02   3.4833501727e-01   1.2620537063e-01
6.3185068514e-02   3.6021860327e-01   8.9190599728e-02
2.8803791137e-02   3.6951595592e-01   6.1401275433e-02
-4.3531747862e-03   3.7630097512e-01   4.1543986244e-02
-3.6647317319e-02   3.8061550965e-01   2.7956186748e-02
-6.8311690846e-02   3.8247863049e-01   1.9005710658e-02
-9.9461124977e-02   3.8189610472e-01   1.3299394121e-02
-1.3011371465e-01   3.7886869980e-01   9.7547508699e-03
-1.6021496355e-01   3.7339877767e-01   7.5895246663e-03
-1.6025306185e-01   3.7339022216e-01   7.5873873220e-03
-1.6063398595e-01   3.7330444810e-01   7.5660884691e-03
-1.6443728690e-01   3.7242481859e-01   7.3603822568e-03
-1.9377828390e-01   3.6417700239e-01   6.1299089134e-03
-2.2230349804e-01   3.5351769557e-01   5.3666159534e-03
-2.4985373852e-01   3.4047935540e-01   4.8743197078e-03
-2.7626095319e-01   3.2510789445e-01   4.5381378566e-03
-3.0135436656e-01   3.0746333408e-01   4.2931826271e-03
-3.2496463374e-01   2.8762006779e-01   4.1038186176e-03
-3.4692670733e-01   2.6566685570e-01   3.9507863204e-03
-3.6708191342e-01   2.4170662675e-01   3.8236839024e-03
-3.8527955806e-01   2.1585613427e-01   3.7167495004e-03
-4.0137825746e-01   1.8824549126e-01   3.6266370277e-03
-4.1524710007e-01   1.5901760063e-01   3.5512690611e-03
-4.2676669555e-01   1.2832748961e-01   3.4892642933e-03
-4.3583013610e-01   9.6341554441e-02   3.4396562031e-03
-4.4234387963e-01   6.3236720572e-02   3.4017548438e-03
-4.4622855632e-01   2.9199522994e-02   3.3750778363e-03
-4.4741969640e-01   -5.5748884268e-03   3.3593150809e-03
-4.4586837532e-01   -4.0883813430e-02   3.3543106724e-03
-4.4154177215e-01   -7.6518130085e-02   3.3600545291e-03
-4.3442363702e-01   -1.1226348178e-01   3.3766804331e-03
-4.2451466366e-01   -1.4790151604e-01   3.4044691349e-03
-4.1183276376e-01   -1.8321116842e-01   3.4438561207e-03
-3.9641324010e-01   -2.1796998427e-01   3.4954441755e-03
-3.7830885634e-01   -2.5195547096e-01   3.5600212383e-03
-3.5758980174e-01   -2.8494647280e-01   3.6385843788e-03
-3.3434354982e-01   -3.1672456062e-01   3.7323710758e-03
-3.0867461094e-01   -3.4707542809e-01   3.8428993979e-03
-2.8070417914e-01   -3.7579028619e-01   3.9720192187e-03
-2.5056967487e-01   -4.0266724793e-01   4.1219772764e-03
-2.5052981870e-01   -4.0270035658e-01   4.1221834827e-03
-2.5013107608e-01   -4.0303126022e-01   4.1242476622e-03
-2.4612562866e-01   -4.0632192976e-01   4.1451023719e-03
-2.1370798217e-01   -4.3086386859e-01   4.3222229814e-03
-1.7947248195e-01   -4.5316501812e-01   4.5267437005e-03
-1.4360344027e-01   -4.7305393438e-01   4.7628092300e-03
-1.0629846031e-01   -4.9037152594e-01   5.0354831750e-03
-1.0624992570e-01   -4.9039196100e-01   5.0358578064e-03
-1.0576446939e-01   -4.9059606702e-01   5.0396079635e-03
-1.0089897372e-01   -4.9261261685e-01   5.0774968241e-03
-6.2211685882e-02   -5.0681675940e-01   5.3996518446e-03
-2.2552007845e-02   -5.1815590499e-01   5.7735095122e-03
1.7847087538e-02   -5.2651734617e-01   6.2088562781e-03
5.8743613835e-02   -5.3180532261e-01   6.7178982368e-03
9.9887718357e-02   -5.3394195371e-01   7.3159495751e-03
1.4102283747e-01   -5.3286809496e-01   8.0223400977e-03
1.8188683397e-01   -5.2854411734e-01   8.8616145855e-03
2.2221308424e-01   -5.2095061098e-01   9.8651205452e-03
2.6173147407e-01   -5.1008901767e-01   1.1073110189e-02
3.0016925211e-01   -4.9598219992e-01   1.2537527672e-02
3.3725167464e-01   -4.7867495953e-01   1.4325662212e-02
3.7270236176e-01   -4.5823452428e-01   1.6524873313e-02
4.0624327135e-01   -4.3475102851e-01   1.9248730693e-02
4.0628481979e-01   -4.3471909681e-01   1.9252608989e-02
4.0670010712e-01   -4.3439951619e-01   1.9291452168e-02
4.1083315368e-01   -4.3117740463e-01   1.9685977452e-02
4.4185030611e-01   -4.0435916332e-01   2.3192186048e-02
4.7035321294e-01   -3.7477046997e-01   2.7592529967e-02
4.9605212855e-01   -3.4257716038e-01   3.3139807603e-02
5.1864900399e-01   -3.0797082691e-01   4.0152447629e-02
5.3783408579e-01   -2.7117000932e-01   4.9022067182e-02
5.5328230164e-01   -2.3242168513e-01   6.0212899702e-02
5.6465040615e-01   -1.9200304714e-01   7.4244432127e-02
5.7157669646e-01   -1.5022344825e-01   9.1644277537e-02
5.7368625650e-01   -1.0742620580e-01   1.1285484134e-01
5.7060595524e-01   -6.3989669059e-02   1.3807808288e-01
5.6199424382e-01   -2.0326573233e-02   1.6705394052e-01
5.4759004245e-01   2.3119695370e-02   1.9879731612e-01
5.2728109755e-01   6.5883530570e-02   2.3136876407e-01
5.0118389713e-01   1.0749160047e-01   2.6181139709e-01
4.6971548503e-01   1.4748371966e-01   2.8640948643e-01
4.3362738397e-01   1.8543843425e-01   3.0135357519e-01
3.9397216913e-01   2.2099919420e-01   3.0370738798e-01
3.5199107976e-01   2.5389518057e-01   2.9234135964e-01
3.0894296314e-01   2.8395105178e-01   2.6840232809e-01
2.6592392106e-01   3.1108261514e-01   2.3506048843e-01
2.6586930746e-01   3.1111542678e-01   2.3501362646e-01
2.6532324891e-01   3.1144327893e-01   2.3454455163e-01
2.5987067720e-01   3.1469538287e-01   2.2981024747e-01
2.1784282337e-01   3.3847833171e-01   1.9102947705e-01
1.7713243374e-01   3.5937394082e-01   1.5210482960e-01
1.3783458833e-01   3.7744603608e-01   1.1640325331e-01
9.9826195163e-02   3.9275769033e-01   8.5984023791e-02
6.2869473932e-02   4.0535810541e-01   6.1641619739e-02
2.6701664710e-02   4.1527702633e-01   4.3201659670e-02
-8.9023357880e-03   4.2252512370e-01   2.9897559624e-02
-4.4095996826e-02   4.2709817291e-01   2.0707312734e-02
-7.8950413217e-02   4.2898301438e-01   1.4596408055e-02
-1.1345904203e-01   4.2816379496e-01   1.0659848359e-02
-1.4755062100e-01   4.2462757002e-01   8.1815360528e-03
-1.4759390147e-01   4.2462130528e-01   8.1790561958e-03
-1.4802665805e-01   4.2455841297e-01   8.1543402307e-03
-1.5234934812e-01   4.2390499633e-01   7.9152599519e-03
-1.8581527471e-01   4.1725997988e-01   6.4705631592e-03
-2.1856504677e-01   4.0789959068e-01   5.5622593537e-03
-2.5041984365e-01   3.9584439849e-01   4.9737908531e-03
-2.8118962507e-01   3.8112988330e-01   4.5732825266e-03
-3.1067974044e-01   3.6380728010e-01   4.2838390360e-03
-3.3869558945e-01   3.4394399662e-01   4.0621314148e-03
-3.6504592442e-01   3.2162372733e-01   3.8842851788e-03
-3.8954527268e-01   2.9694634623e-01   3.7371814859e-03
-4.1201581938e-01   2.7002762999e-01   3.6134704688e-03
-4.3228896889e-01   2.4099884212e-01   3.5088396551e-03
-4.5020671110e-01   2.1000619577e-01   3.4205853282e-03
-4.6562286022e-01   1.7721020564e-01   3.3468892220e-03
-4.7840419787e-01   1.4278493601e-01   3.2864584286e-03
-4.8843153338e-01   1.0691715006e-01   3.2383455944e-03
-4.9560068349e-01   6.9805365400e-02   3.2018568336e-03
-4.9982336946e-01   3.1658820728e-02   3.1765025125e-03
-5.0102802707e-01   -7.3036411537e-03   3.1619697895e-03
-4.9916052470e-01   -4.6854768142e-02   3.1581024992e-03
-4.9418478393e-01   -8.6760165303e-02   3.1649011461e-03
-4.8608329848e-01   -1.2677962624e-01   3.1825231778e-03
-4.7485754710e-01   -1.6666852222e-01   3.2112833884e-03
-4.6052829609e-01   -2.0617924140e-01   3.2516641572e-03
-4.4313578852e-01   -2.4506267018e-01   3.3043309537e-03
-4.2273981783e-01   -2.8306970825e-01   3.3701541248e-03
-3.9941968376e-01   -3.1995280875e-01   3.4502382441e-03
-3.9938803119e-01   -3.1999914866e-01   3.4503503265e-03
-3.9907125130e-01   -3.2046242450e-01   3.4514725572e-03
-3.9587807780e-01   -3.2508275852e-01   3.4628361015e-03
-3.6934046804e-01   -3.6038369627e-01   3.5609048113e-03
-3.4011327536e-01   -3.9404293205e-01   3.6765871177e-03
-3.0833548036e-01   -4.2582794699e-01   3.8120297235e-03
-2.7416413034e-01   -4.5551422488e-01   3.9698666374e-03
-2.7411897409e-01   -4.5555074968e-01   3.9700841162e-03
-2.7366721196e-01   -4.5591578947e-01   3.9722612044e-03
-2.6912970716e-01   -4.5954527154e-01   3.9942637008e-03
-2.3243940778e-01   -4.8657260731e-01   4.1816673367e-03
-1.9374960025e-01   -5.1105427971e-01   4.3993073582e-03
-1.5326941503e-01   -5.3280068736e-01   4.6522422755e-03
-1.1122270950e-01   -5.5163630845e-01   4.9467530622e-03
-6.7847022454e-02   -5.6740104283e-01   5.2906852402e-03
-2.3392457001e-02   -5.7995148994e-01   5.6939047014e-03
2.1879492346e-02   -5.8916215648e-01   6.1689093076e-03
6.7697148285e-02   -5.9492658922e-01   6.7316555721e-03
1.1377986917e-01   -5.9715842975e-01   7.4026837673e-03
1.5983924335e-01   -5.9579239051e-01   8.2086581771e-03
2.0558021473e-01   -5.9078515452e-01   9.1845013059e-03
2.5070207827e-01   -5.8211620514e-01   1.0376343107e-02
2.9489926424e-01   -5.6978859814e-01   1.1845637144e-02
2.9495505752e-01   -5.6977050101e-01   1.1847727029e-02
2.9551287924e-01   -5.6958920301e-01   1.1868658120e-02
3.0107984806e-01   -5.6774356488e-01   1.2081233606e-02
3.4384175419e-01   -5.5127288924e-01   1.3970847626e-02
3.8500952161e-01   -5.3123282801e-01   1.6351750492e-02
4.2426271619e-01   -5.0770531502e-01   1.9383547140e-02
4.6127368813e-01   -4.8079909810e-01   2.3284894890e-02
4.9570425668e-01   -4.5065084979e-01   2.8356016070e-02
5.2720044925e-01   -4.1742662975e-01   3.5008689910e-02
5.5538470614e-01   -3.8132388030e-01   4.3804560529e-02
5.7984497441e-01   -3.4257418686e-01   5.5500605615e-02
6.0012039103e-01   -3.0144707538e-01   7.1095794797e-02
6.1568408448e-01   -2.5825511924e-01   9.1863183380e-02
6.2592549929e-01   -2.1336052605e-01   1.1933422466e-01
6.3013822984e-01   -1.6718306042e-01   1.5517558765e-01
6.3013942501e-01   -1.6712338960e-01   1.5522746325e-01
6.3015076286e-01   -1.6652660941e-01   1.5574711153e-01
6.3020239956e-01   -1.6055183028e-01   1.6103335145e-01
6.2655214185e-01   -1.1350762279e-01   2.0820864312e-01
6.1511134272e-01   -6.6310262771e-02   2.6589048253e-01
5.9511074104e-01   -1.9602649201e-02   3.3264681500e-01
5.6605840254e-01   2.5910855604e-02   4.0399597117e-01
5.2801303423e-01   6.9495731153e-02   4.7176266712e-01
4.8185566042e-01   1.1044131324e-01   5.2483738337e-01
4.2941874410e-01   1.4813252847e-01   5.5195925763e-01
3.7332874284e-01   1.8212238720e-01   5.4585941476e-01
3.7325594410e-01   1.8216335930e-01   5.4582948852e-01
3.7252789721e-01   1.8257272484e-01   5.4552718343e-01
