X    Y
0.0000000000e+00   0.0000000000e+00
7.8163165608e-03   0.0000000000e+00
1.5632633122e-02   2.7755575616e-17
2.3448949682e-02   2.7755575616e-17
3.1265266243e-02   2.7755575616e-17
3.9081582804e-02   2.7755575616e-17
4.6897899365e-02   2.7755575616e-17
5.4714215926e-02   2.7755575616e-17
6.2530532487e-02   2.7755575616e-17
7.0346849047e-02   2.7755575616e-17
7.8163165608e-02   2.7755575616e-17
8.5979482169e-02   2.7755575616e-17
9.3795798730e-02   2.7755575616e-17
1.0161211529e-01   2.7755575616e-17
1.0942843185e-01   0.0000000000e+00
1.1724474841e-01   0.0000000000e+00
1.2506106497e-01   2.7755575616e-17
1.3287738153e-01   5.5511151231e-17
1.4069369809e-01   8.3266726847e-17
1.4851001466e-01   1.1102230246e-16
1.5632633122e-01   1.3877787808e-16
1.6414264778e-01   1.6653345369e-16
1.7195896434e-01   1.9428902931e-16
1.7977528090e-01   2.4980018054e-16
1.8759159746e-01   2.7755575616e-16
1.9540791402e-01   3.3306690739e-16
2.0322423058e-01   4.1633363423e-16
2.1104054714e-01   4.9960036108e-16
2.1885686370e-01   6.1062266354e-16
2.2667318026e-01   7.2164496601e-16
2.3448949682e-01   8.8817841970e-16
2.4230581339e-01   1.0547118734e-15
2.5012212995e-01   1.2767564783e-15
2.5793844651e-01   1.4988010832e-15
2.6575476307e-01   1.7486012638e-15
2.7357107963e-01   2.0261570199e-15
2.8138739619e-01   2.3314683517e-15
2.8920371275e-01   2.6922908347e-15
2.9702002931e-01   3.1086244690e-15
3.0483634587e-01   3.5527136788e-15
3.1265266243e-01   4.0523140399e-15
3.2046897899e-01   4.6074255522e-15
3.2828529555e-01   5.2458037914e-15
3.3610161212e-01   5.9396931817e-15
3.4391792868e-01   6.6613381478e-15
3.5173424524e-01   7.4384942650e-15
3.5955056180e-01   8.2989171091e-15
3.6736687836e-01   9.2148511044e-15
3.7518319492e-01   1.0214051827e-14
3.8299951148e-01   1.1296519276e-14
3.9081582804e-01   1.2406742300e-14
3.9863214460e-01   1.3600232052e-14
4.0644846116e-01   1.4876988530e-14
4.1426477772e-01   1.6209256160e-14
4.2208109428e-01   1.7624790516e-14
4.2989741085e-01   1.9095836024e-14
4.3771372741e-01   2.0650148258e-14
4.4553004397e-01   2.2232216068e-14
4.5334636053e-01   2.3897550605e-14
4.6116267709e-01   2.5590640718e-14
4.6897899365e-01   2.7311486406e-14
4.7679531021e-01   2.9087843245e-14
4.8461162677e-01   3.0891955660e-14
4.9242794333e-01   3.2723823651e-14
5.0024425989e-01   3.4555691641e-14
5.0806057645e-01   3.6359804056e-14
5.1587689301e-01   3.8163916471e-14
5.2369320957e-01   3.9912517735e-14
5.3150952614e-01   4.1605607848e-14
5.3932584270e-01   4.3243186809e-14
5.4714215926e-01   4.4797499044e-14
5.5495847582e-01   4.6240788976e-14
5.6277479238e-01   4.7545301030e-14
5.7059110894e-01   4.8711035205e-14
5.7840742550e-01   4.9682480352e-14
5.8622374206e-01   5.0459636469e-14
5.9404005862e-01   5.1014747982e-14
6.0185637518e-01   5.1320059313e-14
6.0967269174e-01   5.1320059313e-14
6.1748900830e-01   5.1014747982e-14
6.2530532487e-01   5.0348614167e-14
6.3312164143e-01   4.9321657869e-14
6.4093795799e-01   4.7878367937e-14
6.4875427455e-01   4.5990988795e-14
6.5657059111e-01   4.3604009292e-14
6.6438690767e-01   4.0717429428e-14
6.7220322423e-01   3.7275738052e-14
6.8001954079e-01   3.3195668436e-14
6.8783585735e-01   2.8504976157e-14
6.9565217391e-01   2.3148150063e-14
7.0346849047e-01   1.7069679004e-14
7.1128480703e-01   1.0241807402e-14
7.1910112360e-01   2.6367796835e-15
7.2691744016e-01   5.8286708793e-15
7.3473375672e-01   1.5154544286e-14
7.4255007328e-01   2.5396351688e-14
7.5036638984e-01   3.6581848661e-14
7.5818270640e-01   4.8738790781e-14
7.6599902296e-01   6.1894933623e-14
7.7381533952e-01   7.6078032762e-14
7.8163165608e-01   9.1343599351e-14
7.8944797264e-01   1.0771938896e-13
7.9726428920e-01   1.2520540160e-13
8.0508060576e-01   1.4385714842e-13
8.1289692233e-01   1.6370238498e-13
8.2071323889e-01   1.8471335572e-13
8.2852955545e-01   2.0694557179e-13
8.3634587201e-01   2.3042678876e-13
8.4416218857e-01   2.5512925106e-13
8.5197850513e-01   2.8108071426e-13
8.5979482169e-01   3.0826730057e-13
8.6761113825e-01   3.3670288779e-13
8.7542745481e-01   3.6638747591e-13
8.8324377137e-01   3.9729330936e-13
8.9106008793e-01   4.2942038814e-13
8.9887640449e-01   4.6274095666e-13
9.0669272106e-01   4.9724113715e-13
9.1450903762e-01   5.3286541846e-13
9.2232535418e-01   5.6959992278e-13
9.3014167074e-01   6.0740301677e-13
9.3795798730e-01   6.4623306706e-13
9.4577430386e-01   6.8603456249e-13
9.5359062042e-01   7.2675199192e-13
9.6140693698e-01   7.6831596640e-13
9.6922325354e-01   8.1065709701e-13
9.7703957010e-01   8.5370599479e-13
9.8485588666e-01   8.9737939302e-13
9.9267220322e-01   9.4159402497e-13
1.0004885198e+00   9.8623886835e-13
1.0083048363e+00   1.0312167786e-12
1.0161211529e+00   1.0764306113e-12
1.0239374695e+00   1.1217693441e-12
1.0317537860e+00   1.1671080768e-12
1.0395701026e+00   1.2123219095e-12
1.0473864191e+00   1.2572859420e-12
1.0552027357e+00   1.3018613965e-12
1.0630190523e+00   1.3459094950e-12
1.0708353688e+00   1.3892637041e-12
1.0786516854e+00   1.4317852459e-12
1.0864680020e+00   1.4733214648e-12
1.0942843185e+00   1.5136919496e-12
1.1021006351e+00   1.5527301667e-12
1.1099169516e+00   1.5902557049e-12
1.1177332682e+00   1.6261020308e-12
1.1255495848e+00   1.6600887331e-12
1.1333659013e+00   1.6920354007e-12
1.1411822179e+00   1.7217338666e-12
1.1489985344e+00   1.7490037196e-12
1.1568148510e+00   1.7736367930e-12
1.1646311676e+00   1.7954526754e-12
1.1724474841e+00   1.8142432001e-12
1.1802638007e+00   1.8297932614e-12
1.1880801172e+00   1.8419085701e-12
1.1958964338e+00   1.8503740207e-12
1.2037127504e+00   1.8549883851e-12
1.2115290669e+00   1.8555434966e-12
1.2193453835e+00   1.8518381273e-12
1.2271617000e+00   1.8436571714e-12
1.2349780166e+00   1.8307924621e-12
1.2427943332e+00   1.8130288937e-12
1.2506106497e+00   1.7901791161e-12
1.2584269663e+00   1.7620280235e-12
1.2662432829e+00   1.7283813269e-12
1.2740595994e+00   1.6890308596e-12
1.2818759160e+00   1.6437753936e-12
1.2896922325e+00   1.5924345176e-12
1.2975085491e+00   1.5348070037e-12
1.3053248657e+00   1.4707124407e-12
1.3131411822e+00   1.3999600090e-12
1.3209574988e+00   1.3223727668e-12
1.3287738153e+00   1.2377737724e-12
1.3365901319e+00   1.1459895533e-12
1.3444064485e+00   1.0468501066e-12
1.3522227650e+00   9.4019583785e-13
1.3600390816e+00   8.2586715244e-13
1.3678553981e+00   7.0371139471e-13
1.3756717147e+00   5.7357937844e-13
1.3834880313e+00   4.3532712157e-13
1.3913043478e+00   2.8881237679e-13
1.3991206644e+00   1.3390330511e-13
1.4069369809e+00   2.9531932455e-14
1.4147532975e+00   2.0161910336e-13
1.4225696141e+00   3.8248050560e-13
1.4303859306e+00   5.7223453406e-13
1.4382022472e+00   7.7099481313e-13
1.4460185638e+00   9.7887236511e-13
1.4538348803e+00   1.1959756102e-12
1.4616511969e+00   1.4224090655e-12
1.4694675134e+00   1.6582750798e-12
1.4772838300e+00   1.9036768689e-12
1.4851001466e+00   2.1587159144e-12
1.4929164631e+00   2.4234902279e-12
1.5007327797e+00   2.6981004236e-12
1.5085490962e+00   2.9826488501e-12
1.5163654128e+00   3.2772395908e-12
1.5241817294e+00   3.5819784638e-12
1.5319980459e+00   3.8969730221e-12
1.5398143625e+00   4.2223377572e-12
1.5476306790e+00   4.5581906305e-12
1.5554469956e+00   4.9046530726e-12
