X    Y
0.0000000000e+00   0.0000000000e+00
1.5655577299e-02   4.6117865409e-06
3.1311154599e-02   3.7088065789e-05
4.6966731898e-02   1.2584377932e-04
6.2622309198e-02   2.9992920762e-04
7.8277886497e-02   5.8906728533e-04
9.3933463796e-02   1.0236899280e-03
1.0958904110e-01   1.6349734950e-03
1.2524461840e-01   2.4548734996e-03
1.4090019569e-01   3.5161586672e-03
1.5655577299e-01   4.8524444303e-03
1.7221135029e-01   6.4982259419e-03
1.8786692759e-01   8.4889106792e-03
2.0352250489e-01   1.0860850704e-02
2.1917808219e-01   1.3651374640e-02
2.3483365949e-01   1.6898819413e-02
2.5048923679e-01   2.0642561819e-02
2.6614481409e-01   2.4923049941e-02
2.8180039139e-01   2.9781834479e-02
2.9745596869e-01   3.5261600005e-02
3.1311154599e-01   4.1406196194e-02
3.2876712329e-01   4.8260669054e-02
3.4442270059e-01   5.5871292180e-02
3.6007827789e-01   6.4285598053e-02
3.7573385519e-01   7.3552409419e-02
3.9138943249e-01   8.3721870759e-02
4.0704500978e-01   9.4845479857e-02
4.2270058708e-01   1.0697611951e-01
4.3835616438e-01   1.2016808937e-01
4.5401174168e-01   1.3447713793e-01
4.6966731898e-01   1.4996049471e-01
4.8532289628e-01   1.6667690257e-01
5.0097847358e-01   1.8468665023e-01
5.1663405088e-01   2.0405160500e-01
5.3228962818e-01   2.2483524572e-01
5.4794520548e-01   2.4710269580e-01
5.6360078278e-01   2.7092075665e-01
5.7925636008e-01   2.9635794115e-01
5.9491193738e-01   3.2348450745e-01
6.1056751468e-01   3.5237249295e-01
6.2622309198e-01   3.8309574853e-01
6.4187866928e-01   4.1572997294e-01
6.5753424658e-01   4.5035274747e-01
6.7318982387e-01   4.8704357087e-01
6.8884540117e-01   5.2588389438e-01
7.0450097847e-01   5.6695715712e-01
7.2015655577e-01   6.1034882157e-01
7.3581213307e-01   6.5614640937e-01
7.5146771037e-01   7.0443953724e-01
7.6712328767e-01   7.5531995318e-01
7.8277886497e-01   8.0888157284e-01
7.9843444227e-01   8.6522051605e-01
8.1409001957e-01   9.2443514361e-01
8.2974559687e-01   9.8662609418e-01
8.4540117417e-01   1.0518963214e+00
8.6105675147e-01   1.1203511313e+00
8.7671232877e-01   1.1920982194e+00
8.9236790607e-01   1.2672477086e+00
9.0802348337e-01   1.3459121867e+00
9.2367906067e-01   1.4282067444e+00
9.3933463796e-01   1.5142490130e+00
9.5499021526e-01   1.6041592027e+00
9.7064579256e-01   1.6980601406e+00
9.8630136986e-01   1.7960773089e+00
1.0019569472e+00   1.8983388832e+00
1.0176125245e+00   2.0049757708e+00
1.0332681018e+00   2.1161216490e+00
1.0489236791e+00   2.2319130036e+00
1.0645792564e+00   2.3524891668e+00
1.0802348337e+00   2.4779923563e+00
1.0958904110e+00   2.6085677126e+00
1.1115459883e+00   2.7443633381e+00
1.1272015656e+00   2.8855303346e+00
1.1428571429e+00   3.0322228415e+00
1.1585127202e+00   3.1845980739e+00
1.1741682975e+00   3.3428163597e+00
1.1898238748e+00   3.5070411781e+00
1.2054794521e+00   3.6774391960e+00
1.2211350294e+00   3.8541803057e+00
1.2367906067e+00   4.0374376614e+00
1.2524461840e+00   4.2273877163e+00
1.2681017613e+00   4.4242102579e+00
1.2837573386e+00   4.6280884450e+00
1.2994129159e+00   4.8392088425e+00
1.3150684932e+00   5.0577614565e+00
1.3307240705e+00   5.2839397696e+00
1.3463796477e+00   5.5179407743e+00
1.3620352250e+00   5.7599650072e+00
1.3776908023e+00   6.0102165819e+00
1.3933463796e+00   6.2689032216e+00
1.4090019569e+00   6.5362362909e+00
1.4246575342e+00   6.8124308271e+00
1.4403131115e+00   7.0977055705e+00
1.4559686888e+00   7.3922829946e+00
1.4716242661e+00   7.6963893345e+00
1.4872798434e+00   8.0102546152e+00
1.5029354207e+00   8.3341126787e+00
1.5185909980e+00   8.6682012106e+00
1.5342465753e+00   9.0127617645e+00
1.5499021526e+00   9.3680397869e+00
1.5655577299e+00   9.7342846402e+00
1.5812133072e+00   1.0111749624e+01
1.5968688845e+00   1.0500691996e+01
1.6125244618e+00   1.0901372992e+01
1.6281800391e+00   1.1314057843e+01
1.6438356164e+00   1.1739015793e+01
1.6594911937e+00   1.2176520111e+01
1.6751467710e+00   1.2626848110e+01
1.6908023483e+00   1.3090281154e+01
1.7064579256e+00   1.3567104671e+01
1.7221135029e+00   1.4057608159e+01
1.7377690802e+00   1.4562085198e+01
1.7534246575e+00   1.5080833447e+01
1.7690802348e+00   1.5614154653e+01
1.7847358121e+00   1.6162354652e+01
1.8003913894e+00   1.6725743361e+01
1.8160469667e+00   1.7304634782e+01
1.8317025440e+00   1.7899346992e+01
1.8473581213e+00   1.8510202135e+01
1.8630136986e+00   1.9137526411e+01
1.8786692759e+00   1.9781650064e+01
1.8943248532e+00   2.0442907365e+01
1.9099804305e+00   2.1121636592e+01
1.9256360078e+00   2.1818180010e+01
1.9412915851e+00   2.2532883843e+01
1.9569471624e+00   2.3266098249e+01
1.9726027397e+00   2.4018177290e+01
1.9882583170e+00   2.4789478890e+01
2.0039138943e+00   2.5580364808e+01
2.0195694716e+00   2.6391200585e+01
2.0352250489e+00   2.7222355508e+01
2.0508806262e+00   2.8074202554e+01
2.0665362035e+00   2.8947118341e+01
2.0821917808e+00   2.9841483068e+01
2.0978473581e+00   3.0757680458e+01
2.1135029354e+00   3.1696097687e+01
2.1291585127e+00   3.2657125314e+01
2.1448140900e+00   3.3641157210e+01
2.1604696673e+00   3.4648590475e+01
2.1761252446e+00   3.5679825355e+01
