X    Y
0.0000000000e+00   -9.0000000000e-01
1.5655577299e-02   -8.9518308081e-01
3.1311154599e-02   -8.9051676150e-01
4.6966731898e-02   -8.8602472966e-01
6.2622309198e-02   -8.8173155670e-01
7.8277886497e-02   -8.7766271873e-01
9.3933463796e-02   -8.7384461765e-01
1.0958904110e-01   -8.7030460262e-01
1.2524461840e-01   -8.6707099189e-01
1.4090019569e-01   -8.6417309496e-01
1.5655577299e-01   -8.6164123499e-01
1.7221135029e-01   -8.5950677171e-01
1.8786692759e-01   -8.5780212450e-01
2.0352250489e-01   -8.5656079593e-01
2.1917808219e-01   -8.5581739560e-01
2.3483365949e-01   -8.5560766433e-01
2.5048923679e-01   -8.5596849865e-01
2.6614481409e-01   -8.5693797576e-01
2.8180039139e-01   -8.5855537866e-01
2.9745596869e-01   -8.6086122179e-01
3.1311154599e-01   -8.6389727692e-01
3.2876712329e-01   -8.6770659940e-01
3.4442270059e-01   -8.7233355480e-01
3.6007827789e-01   -8.7782384588e-01
3.7573385519e-01   -8.8422453985e-01
3.9138943249e-01   -8.9158409607e-01
4.0704500978e-01   -8.9995239401e-01
4.2270058708e-01   -9.0938076164e-01
4.3835616438e-01   -9.1992200410e-01
4.5401174168e-01   -9.3163043269e-01
4.6966731898e-01   -9.4456189432e-01
4.8532289628e-01   -9.5877380117e-01
5.0097847358e-01   -9.7432516074e-01
5.1663405088e-01   -9.9127660625e-01
5.3228962818e-01   -1.0096904274e+00
5.4794520548e-01   -1.0296306013e+00
5.6360078278e-01   -1.0511628239e+00
5.7925636008e-01   -1.0743545418e+00
5.9491193738e-01   -1.0992749840e+00
6.1056751468e-01   -1.1259951947e+00
6.2622309198e-01   -1.1545880653e+00
6.4187866928e-01   -1.1851283678e+00
6.5753424658e-01   -1.2176927881e+00
6.7318982387e-01   -1.2523599591e+00
6.8884540117e-01   -1.2892104951e+00
7.0450097847e-01   -1.3283270255e+00
7.2015655577e-01   -1.3697942294e+00
