X    Y
0.0000000000e+00   0.0000000000e+00
1.5655577299e-02   2.6376705220e-07
3.1311154599e-02   2.0719668437e-06
4.6966731898e-02   6.8640114698e-06
6.2622309198e-02   1.5964518317e-05
7.8277886497e-02   3.0582864301e-05
9.3933463796e-02   5.1812532609e-05
1.0958904110e-01   8.0630259370e-05
1.2524461840e-01   1.1789498702e-04
1.4090019569e-01   1.6434663046e-04
1.5655577299e-01   2.2060466154e-04
1.7221135029e-01   2.8716651684e-04
1.8786692759e-01   3.6440583334e-04
2.0352250489e-01   4.5257051579e-04
2.1917808219e-01   5.5178063978e-04
2.3483365949e-01   6.6202619329e-04
2.5048923679e-01   7.8316466003e-04
2.6614481409e-01   9.1491844682e-04
2.8180039139e-01   1.0568721574e-03
2.9745596869e-01   1.2084697144e-03
3.1311154599e-01   1.3690113318e-03
3.2876712329e-01   1.5376503383e-03
3.4442270059e-01   1.7133898539e-03
3.6007827789e-01   1.8950793196e-03
3.7573385519e-01   2.0814108825e-03
3.9138943249e-01   2.2709156350e-03
4.0704500978e-01   2.4619597106e-03
4.2270058708e-01   2.6527402346e-03
4.3835616438e-01   2.8412811321e-03
4.5401174168e-01   3.0254287908e-03
4.6966731898e-01   3.2028475802e-03
4.8532289628e-01   3.3710152272e-03
5.0097847358e-01   3.5272180454e-03
5.1663405088e-01   3.6685460210e-03
5.3228962818e-01   3.7918877518e-03
5.4794520548e-01   3.8939252399e-03
5.6360078278e-01   3.9711285378e-03
5.7925636008e-01   4.0197502462e-03
5.9491193738e-01   4.0358198624e-03
6.1056751468e-01   4.0151379793e-03
6.2622309198e-01   3.9532703332e-03
6.4187866928e-01   3.8455416998e-03
6.5753424658e-01   3.6870296358e-03
6.7318982387e-01   3.4725580672e-03
6.8884540117e-01   3.1966907209e-03
7.0450097847e-01   2.8537243988e-03
7.2015655577e-01   2.4376820942e-03
7.3581213307e-01   1.9423059468e-03
7.5146771037e-01   1.3610500368e-03
7.6712328767e-01   6.8707301559e-04
7.8277886497e-01   8.6769428356e-05
7.9843444227e-01   9.6793227012e-04
8.1409001957e-01   1.9641890169e-03
8.2974559687e-01   3.0836397465e-03
8.4540117417e-01   4.3347193171e-03
8.6105675147e-01   5.7262057502e-03
8.7671232877e-01   7.2672287889e-03
8.9236790607e-01   8.9672786324e-03
9.0802348337e-01   1.0836214849e-02
9.2367906067e-01   1.2884275472e-02
9.3933463796e-01   1.5122086270e-02
9.5499021526e-01   1.7560670214e-02
9.7064579256e-01   2.0211457117e-02
9.8630136986e-01   2.3086293472e-02
1.0019569472e+00   2.6197452473e-02
1.0176125245e+00   2.9557644229e-02
1.0332681018e+00   3.3180026172e-02
1.0489236791e+00   3.7078213666e-02
1.0645792564e+00   4.1266290797e-02
1.0802348337e+00   4.5758821383e-02
1.0958904110e+00   5.0570860168e-02
1.1115459883e+00   5.5717964229e-02
1.1272015656e+00   6.1216204582e-02
1.1428571429e+00   6.7082177997e-02
1.1585127202e+00   7.3333019021e-02
1.1741682975e+00   7.9986412212e-02
1.1898238748e+00   8.7060604584e-02
1.2054794521e+00   9.4574418266e-02
1.2211350294e+00   1.0254726337e-01
1.2367906067e+00   1.1099915111e-01
1.2524461840e+00   1.1995070706e-01
1.2681017613e+00   1.2942318474e-01
1.2837573386e+00   1.3943847935e-01
1.2994129159e+00   1.5001914174e-01
1.3150684932e+00   1.6118839261e-01
1.3307240705e+00   1.7297013697e-01
1.3463796477e+00   1.8538897877e-01
1.3620352250e+00   1.9847023581e-01
1.3776908023e+00   2.1223995483e-01
1.3933463796e+00   2.2672492692e-01
1.4090019569e+00   2.4195270305e-01
1.4246575342e+00   2.5795160993e-01
1.4403131115e+00   2.7475076606e-01
1.4559686888e+00   2.9238009802e-01
1.4716242661e+00   3.1087035705e-01
1.4872798434e+00   3.3025313576e-01
1.5029354207e+00   3.5056088520e-01
1.5185909980e+00   3.7182693211e-01
1.5342465753e+00   3.9408549641e-01
1.5499021526e+00   4.1737170896e-01
1.5655577299e+00   4.4172162955e-01
1.5812133072e+00   4.6717226514e-01
1.5968688845e+00   4.9376158830e-01
1.6125244618e+00   5.2152855601e-01
1.6281800391e+00   5.5051312855e-01
1.6438356164e+00   5.8075628878e-01
1.6594911937e+00   6.1230006156e-01
1.6751467710e+00   6.4518753348e-01
1.6908023483e+00   6.7946287282e-01
1.7064579256e+00   7.1517134970e-01
1.7221135029e+00   7.5235935660e-01
1.7377690802e+00   7.9107442895e-01
1.7534246575e+00   8.3136526617e-01
1.7690802348e+00   8.7328175272e-01
1.7847358121e+00   9.1687497964e-01
