X    Y
0.0000000000e+00   6.0000000000e-01
1.5655577299e-02   5.9739501087e-01
3.1311154599e-02   5.9484041823e-01
4.6966731898e-02   5.9233632605e-01
6.2622309198e-02   5.8988277320e-01
7.8277886497e-02   5.8747973065e-01
9.3933463796e-02   5.8512709860e-01
1.0958904110e-01   5.8282470357e-01
1.2524461840e-01   5.8057229536e-01
1.4090019569e-01   5.7836954393e-01
1.5655577299e-01   5.7621603631e-01
1.7221135029e-01   5.7411127324e-01
1.8786692759e-01   5.7205466593e-01
2.0352250489e-01   5.7004553255e-01
2.1917808219e-01   5.6808309479e-01
2.3483365949e-01   5.6616647421e-01
2.5048923679e-01   5.6429468860e-01
2.6614481409e-01   5.6246664817e-01
2.8180039139e-01   5.6068115169e-01
2.9745596869e-01   5.5893688253e-01
3.1311154599e-01   5.5723240461e-01
3.2876712329e-01   5.5556615821e-01
3.4442270059e-01   5.5393645576e-01
3.6007827789e-01   5.5234147742e-01
3.7573385519e-01   5.5077926670e-01
3.9138943249e-01   5.4924772581e-01
4.0704500978e-01   5.4774461107e-01
4.2270058708e-01   5.4626752805e-01
4.3835616438e-01   5.4481392676e-01
4.5401174168e-01   5.4338109657e-01
4.6966731898e-01   5.4196616117e-01
4.8532289628e-01   5.4056607328e-01
5.0097847358e-01   5.3917760933e-01
5.1663405088e-01   5.3779736399e-01
5.3228962818e-01   5.3642174458e-01
5.4794520548e-01   5.3504696536e-01
5.6360078278e-01   5.3366904167e-01
5.7925636008e-01   5.3228378401e-01
5.9491193738e-01   5.3088679190e-01
6.1056751468e-01   5.2947344770e-01
6.2622309198e-01   5.2803891020e-01
6.4187866928e-01   5.2657810817e-01
6.5753424658e-01   5.2508573373e-01
6.7318982387e-01   5.2355623553e-01
6.8884540117e-01   5.2198381190e-01
7.0450097847e-01   5.2036240378e-01
7.2015655577e-01   5.1868568748e-01
7.3581213307e-01   5.1694706739e-01
7.5146771037e-01   5.1513966845e-01
7.6712328767e-01   5.1325632851e-01
7.8277886497e-01   5.1128959051e-01
7.9843444227e-01   5.0923169456e-01
8.1409001957e-01   5.0707456980e-01
8.2974559687e-01   5.0480982611e-01
8.4540117417e-01   5.0242874570e-01
8.6105675147e-01   4.9992227448e-01
8.7671232877e-01   4.9728101332e-01
8.9236790607e-01   4.9449520908e-01
9.0802348337e-01   4.9155474551e-01
9.2367906067e-01   4.8844913398e-01
9.3933463796e-01   4.8516750401e-01
9.5499021526e-01   4.8169859363e-01
9.7064579256e-01   4.7803073958e-01
9.8630136986e-01   4.7415186730e-01
1.0019569472e+00   4.7004948074e-01
1.0176125245e+00   4.6571065204e-01
1.0332681018e+00   4.6112201091e-01
1.0489236791e+00   4.5626973392e-01
1.0645792564e+00   4.5113953359e-01
1.0802348337e+00   4.4571664718e-01
1.0958904110e+00   4.3998582546e-01
1.1115459883e+00   4.3393132110e-01
1.1272015656e+00   4.2753687700e-01
1.1428571429e+00   4.2078571431e-01
1.1585127202e+00   4.1366052035e-01
1.1741682975e+00   4.0614343623e-01
1.1898238748e+00   3.9821604433e-01
1.2054794521e+00   3.8985935551e-01
1.2211350294e+00   3.8105379616e-01
1.2367906067e+00   3.7177919501e-01
1.2524461840e+00   3.6201476971e-01
1.2681017613e+00   3.5173911326e-01
1.2837573386e+00   3.4093018011e-01
1.2994129159e+00   3.2956527213e-01
1.3150684932e+00   3.1762102434e-01
1.3307240705e+00   3.0507339036e-01
1.3463796477e+00   2.9189762773e-01
1.3620352250e+00   2.7806828290e-01
1.3776908023e+00   2.6355917605e-01
1.3933463796e+00   2.4834338569e-01
1.4090019569e+00   2.3239323299e-01
1.4246575342e+00   2.1568026588e-01
1.4403131115e+00   1.9817524295e-01
1.4559686888e+00   1.7984811705e-01
1.4716242661e+00   1.6066801876e-01
1.4872798434e+00   1.4060323950e-01
1.5029354207e+00   1.1962121447e-01
1.5185909980e+00   9.7688505353e-02
1.5342465753e+00   7.4770782728e-02
1.5499021526e+00   5.0832808304e-02
1.5655577299e+00   2.5838416867e-02
1.5812133072e+00   -2.4950200567e-04
1.5968688845e+00   -2.7469022464e-02
1.6125244618e+00   -5.5859201160e-02
1.6281800391e+00   -8.5460096260e-02
1.6438356164e+00   -1.1631278670e-01
1.6594911937e+00   -1.4845939171e-01
1.6751467710e+00   -1.8194309051e-01
1.6908023483e+00   -2.1680814237e-01
1.7064579256e+00   -2.5309990679e-01
1.7221135029e+00   -2.9086486400e-01
1.7377690802e+00   -3.3015063570e-01
1.7534246575e+00   -3.7100600597e-01
1.7690802348e+00   -4.1348094255e-01
1.7847358121e+00   -4.5762661821e-01
1.8003913894e+00   -5.0349543249e-01
1.8160469667e+00   -5.5114103361e-01
1.8317025440e+00   -6.0061834060e-01
1.8473581213e+00   -6.5198356572e-01
1.8630136986e+00   -7.0529423710e-01
1.8786692759e+00   -7.6060922154e-01
1.8943248532e+00   -8.1798874768e-01
1.9099804305e+00   -8.7749442921e-01
1.9256360078e+00   -9.3918928851e-01
