X    Y
0.0000000000e+00   0.0000000000e+00
2.7397260274e-03   8.8327234415e-11
5.4794520548e-03   7.4117417759e-10
8.2191780822e-03   2.6243441864e-09
1.0958904110e-02   6.5277173666e-09
1.3698630137e-02   1.3381776909e-08
1.6438356164e-02   2.4276035460e-08
1.9178082192e-02   4.0479562369e-08
2.1917808219e-02   6.3463831412e-08
2.4657534247e-02   9.4928131023e-08
2.7397260274e-02   1.3682780192e-07
3.0136986301e-02   1.9140559337e-07
3.2876712329e-02   2.6122645708e-07
3.5616438356e-02   3.4921612913e-07
3.8356164384e-02   4.5870388332e-07
4.1095890411e-02   5.9346987608e-07
4.3835616438e-02   7.5779754327e-07
4.6575342466e-02   9.5653155285e-07
4.9315068493e-02   1.1951418639e-06
5.2054794521e-02   1.4797944955e-06
5.4794520548e-02   1.8174296649e-06
5.7534246575e-02   2.2158480143e-06
6.0273972603e-02   2.6838057143e-06
6.3013698630e-02   3.2311193033e-06
6.5753424658e-02   3.8687812006e-06
6.8493150685e-02   4.6090869184e-06
7.1232876712e-02   5.4657750885e-06
7.3972602740e-02   6.4541815235e-06
7.6712328767e-02   7.5914086370e-06
7.9452054795e-02   8.8965116746e-06
8.2191780822e-02   1.0390703327e-05
8.4931506849e-02   1.2097578444e-05
8.7671232877e-02   1.4043360716e-05
9.0410958904e-02   1.6257173358e-05
9.3150684932e-02   1.8771336001e-05
9.5890410959e-02   2.1621690203e-05
9.8630136986e-02   2.4847956179e-05
1.0136986301e-01   2.8494123605e-05
1.0410958904e-01   3.2608879565e-05
1.0684931507e-01   3.7246076996e-05
1.0958904110e-01   4.2465247252e-05
1.1232876712e-01   4.8332160749e-05
1.1506849315e-01   5.4919439944e-05
1.1780821918e-01   6.2307229292e-05
1.2054794521e-01   7.0583927203e-05
1.2328767123e-01   7.9846985436e-05
1.2602739726e-01   9.0203781829e-05
1.2876712329e-01   1.0177257273e-04
1.3150684932e-01   1.1468353207e-04
1.3424657534e-01   1.2907988445e-04
1.3698630137e-01   1.4511914049e-04
1.3972602740e-01   1.6297444297e-04
1.4246575342e-01   1.8283603334e-04
1.4520547945e-01   2.0491284878e-04
1.4794520548e-01   2.2943426070e-04
1.5068493151e-01   2.5665196672e-04
1.5342465753e-01   2.8684204884e-04
1.5616438356e-01   3.2030721170e-04
1.5890410959e-01   3.5737921580e-04
1.6164383562e-01   3.9842152175e-04
1.6438356164e-01   4.4383216296e-04
1.6712328767e-01   4.9404686533e-04
1.6986301370e-01   5.4954243409e-04
1.7260273973e-01   6.1084042944e-04
1.7534246575e-01   6.7851115425e-04
1.7808219178e-01   7.5317797887e-04
1.8082191781e-01   8.3552202992e-04
1.8356164384e-01   9.2628727219e-04
1.8630136986e-01   1.0262860145e-03
1.8904109589e-01   1.1364048733e-03
1.9178082192e-01   1.2576112295e-03
1.9452054795e-01   1.3909602169e-03
1.9726027397e-01   1.5376022853e-03
2.0000000000e-01   1.6987913791e-03
2.0273972603e-01   1.8758937835e-03
2.0547945205e-01   2.0703976848e-03
2.0821917808e-01   2.2839235035e-03
2.1095890411e-01   2.5182350555e-03
2.1369863014e-01   2.7752516064e-03
2.1643835616e-01   3.0570608852e-03
2.1917808219e-01   3.3659331288e-03
2.2191780822e-01   3.7043362358e-03
2.2465753425e-01   4.0749521106e-03
2.2739726027e-01   4.4806942863e-03
2.3013698630e-01   4.9247269206e-03
2.3287671233e-01   5.4104852662e-03
2.3561643836e-01   5.9416977217e-03
2.3835616438e-01   6.5224095795e-03
2.4109589041e-01   7.1570085929e-03
2.4383561644e-01   7.8502524929e-03
2.4657534247e-01   8.6072985971e-03
2.4931506849e-01   9.4337356565e-03
2.5205479452e-01   1.0335618103e-02
2.5479452055e-01   1.1319502868e-02
2.5753424658e-01   1.2392488948e-02
2.6027397260e-01   1.3562259919e-02
2.6301369863e-01   1.4837129603e-02
2.6575342466e-01   1.6226091101e-02
2.6849315068e-01   1.7738869436e-02
2.7123287671e-01   1.9385978054e-02
2.7397260274e-01   2.1178779441e-02
2.7671232877e-01   2.3129550151e-02
2.7945205479e-01   2.5251550546e-02
2.8219178082e-01   2.7559099555e-02
2.8493150685e-01   3.0067654823e-02
2.8767123288e-01   3.2793898580e-02
2.9041095890e-01   3.5755829655e-02
2.9315068493e-01   3.8972862019e-02
2.9589041096e-01   4.2465930310e-02
2.9863013699e-01   4.6257602817e-02
3.0136986301e-01   5.0372202402e-02
3.0410958904e-01   5.4835935906e-02
3.0684931507e-01   5.9677032598e-02
3.0958904110e-01   6.4925892268e-02
3.1232876712e-01   7.0615243606e-02
3.1506849315e-01   7.6780313535e-02
3.1780821918e-01   8.3459008241e-02
3.2054794521e-01   9.0692106651e-02
3.2328767123e-01   9.8523467181e-02
3.2602739726e-01   1.0700024863e-01
3.2876712329e-01   1.1617314615e-01
3.3150684932e-01   1.2609664322e-01
3.3424657534e-01   1.3682928079e-01
3.3698630137e-01   1.4843394457e-01
3.3972602740e-01   1.6097817173e-01
3.4246575342e-01   1.7453447824e-01
3.4520547945e-01   1.8918070820e-01
3.4794520548e-01   2.0500040655e-01
3.5068493151e-01   2.2208321674e-01
3.5342465753e-01   2.4052530485e-01
3.5616438356e-01   2.6042981198e-01
3.5890410959e-01   2.8190733667e-01
3.6164383562e-01   3.0507644925e-01
3.6438356164e-01   3.3006424029e-01
3.6712328767e-01   3.5700690512e-01
3.6986301370e-01   3.8605036701e-01
3.7260273973e-01   4.1735094114e-01
3.7534246575e-01   4.5107604238e-01
3.7808219178e-01   4.8740493920e-01
3.8082191781e-01   5.2652955712e-01
3.8356164384e-01   5.6865533450e-01
3.8630136986e-01   6.1400213418e-01
3.8904109589e-01   6.6280521446e-01
3.9178082192e-01   7.1531626323e-01
3.9452054795e-01   7.7180449925e-01
3.9726027397e-01   8.3255784480e-01
4.0000000000e-01   8.9788417426e-01
4.0273972603e-01   9.6811264346e-01
4.0547945205e-01   1.0435951049e+00
4.0821917808e-01   1.1247076140e+00
4.1095890411e-01   1.2118520333e+00
4.1369863014e-01   1.3054577382e+00
4.1643835616e-01   1.4059834344e+00
4.1917808219e-01   1.5139190905e+00
4.2191780822e-01   1.6297879953e+00
4.2465753425e-01   1.7541489469e+00
4.2739726027e-01   1.8875985819e+00
4.3013698630e-01   2.0307738533e+00
4.3287671233e-01   2.1843546676e+00
4.3561643836e-01   2.3490666892e+00
4.3835616438e-01   2.5256843248e+00
4.4109589041e-01   2.7150338975e+00
4.4383561644e-01   2.9179970228e+00
4.4657534247e-01   3.1355142006e+00
4.4931506849e-01   3.3685886341e+00
4.5205479452e-01   3.6182902931e+00
4.5479452055e-01   3.8857602340e+00
4.5753424658e-01   4.1722151948e+00
4.6027397260e-01   4.4789524815e+00
4.6301369863e-01   4.8073551637e+00
4.6575342466e-01   5.1588976001e+00
4.6849315068e-01   5.5351513128e+00
4.7123287671e-01   5.9377912348e+00
4.7397260274e-01   6.3686023509e+00
4.7671232877e-01   6.8294867593e+00
4.7945205479e-01   7.3224711792e+00
4.8219178082e-01   7.8497149318e+00
4.8493150685e-01   8.4135184254e+00
4.8767123288e-01   9.0163321755e+00
4.9041095890e-01   9.6607663932e+00
4.9315068493e-01   1.0349601178e+01
4.9589041096e-01   1.1085797353e+01
4.9863013699e-01   1.1872507981e+01
5.0136986301e-01   1.2713090603e+01
5.0410958904e-01   1.3611120255e+01
5.0684931507e-01   1.4570403292e+01
5.0958904110e-01   1.5594992086e+01
5.1232876712e-01   1.6689200650e+01
5.1506849315e-01   1.7857621237e+01
5.1780821918e-01   1.9105141982e+01
5.2054794521e-01   2.0436965658e+01
5.2328767123e-01   2.1858629596e+01
5.2602739726e-01   2.3376026864e+01
5.2876712329e-01   2.4995428769e+01
5.3150684932e-01   2.6723508766e+01
5.3424657534e-01   2.8567367872e+01
5.3698630137e-01   3.0534561663e+01
