X    Y
0.0000000000e+00   -4.0000000000e-01
2.7397260274e-03   -4.0594608312e-01
5.4794520548e-03   -4.1194897059e-01
8.2191780822e-03   -4.1800904089e-01
1.0958904110e-02   -4.2412666785e-01
1.3698630137e-02   -4.3030222030e-01
1.6438356164e-02   -4.3653606177e-01
1.9178082192e-02   -4.4282855009e-01
2.1917808219e-02   -4.4918003710e-01
2.4657534247e-02   -4.5559086824e-01
2.7397260274e-02   -4.6206138221e-01
3.0136986301e-02   -4.6859191059e-01
3.2876712329e-02   -4.7518277742e-01
3.5616438356e-02   -4.8183429887e-01
3.8356164384e-02   -4.8854678276e-01
4.1095890411e-02   -4.9532052823e-01
4.3835616438e-02   -5.0215582527e-01
4.6575342466e-02   -5.0905295432e-01
4.9315068493e-02   -5.1601218583e-01
5.2054794521e-02   -5.2303377985e-01
5.4794520548e-02   -5.3011798558e-01
5.7534246575e-02   -5.3726504092e-01
6.0273972603e-02   -5.4447517204e-01
6.3013698630e-02   -5.5174859293e-01
6.5753424658e-02   -5.5908550495e-01
6.8493150685e-02   -5.6648609640e-01
7.1232876712e-02   -5.7395054207e-01
7.3972602740e-02   -5.8147900278e-01
7.6712328767e-02   -5.8907162496e-01
7.9452054795e-02   -5.9672854024e-01
8.2191780822e-02   -6.0444986500e-01
8.4931506849e-02   -6.1223569996e-01
8.7671232877e-02   -6.2008612981e-01
9.0410958904e-02   -6.2800122280e-01
9.3150684932e-02   -6.3598103040e-01
9.5890410959e-02   -6.4402558692e-01
9.8630136986e-02   -6.5213490925e-01
1.0136986301e-01   -6.6030899651e-01
1.0410958904e-01   -6.6854782982e-01
1.0684931507e-01   -6.7685137209e-01
1.0958904110e-01   -6.8521956778e-01
1.1232876712e-01   -6.9365234284e-01
1.1506849315e-01   -7.0214960455e-01
1.1780821918e-01   -7.1071124153e-01
1.2054794521e-01   -7.1933712375e-01
1.2328767123e-01   -7.2802710262e-01
1.2602739726e-01   -7.3678101118e-01
1.2876712329e-01   -7.4559866435e-01
1.3150684932e-01   -7.5447985924e-01
1.3424657534e-01   -7.6342437566e-01
1.3698630137e-01   -7.7243197661e-01
1.3972602740e-01   -7.8150240898e-01
1.4246575342e-01   -7.9063540436e-01
1.4520547945e-01   -7.9983067996e-01
1.4794520548e-01   -8.0908793974e-01
