X    Y
0.0000000000e+00   0.0000000000e+00
2.7397260274e-03   8.6444906788e-11
5.4794520548e-03   7.0975475497e-10
8.2191780822e-03   2.4585634084e-09
1.0958904110e-02   5.9816023246e-09
1.3698630137e-02   1.1991904136e-08
1.6438356164e-02   2.1271258088e-08
1.9178082192e-02   3.4674931704e-08
2.1917808219e-02   5.3136673006e-08
2.4657534247e-02   7.7674009280e-08
2.7397260274e-02   1.0939385869e-07
3.0136986301e-02   1.4949847205e-07
3.2876712329e-02   1.9929172274e-07
3.5616438356e-02   2.6018576460e-07
3.8356164384e-02   3.3370807750e-07
4.1095890411e-02   4.2150892204e-07
4.3835616438e-02   5.2536922596e-07
4.6575342466e-02   6.4720892601e-07
4.9315068493e-02   7.8909579021e-07
5.2054794521e-02   9.5325474636e-07
5.4794520548e-02   1.1420777452e-06
5.7534246575e-02   1.3581341871e-06
6.0273972603e-02   1.6041819427e-06
6.3013698630e-02   1.8831790004e-06
6.5753424658e-02   2.1982957745e-06
6.8493150685e-02   2.5529281101e-06
7.1232876712e-02   2.9507110224e-06
7.3972602740e-02   3.3955332108e-06
7.6712328767e-02   3.8915523887e-06
7.9452054795e-02   4.4432114750e-06
8.2191780822e-02   5.0552556923e-06
8.4931506849e-02   5.7327506215e-06
8.7671232877e-02   6.4811012654e-06
9.0410958904e-02   7.3060721737e-06
9.3150684932e-02   8.2138086896e-06
9.5890410959e-02   9.2108593762e-06
9.8630136986e-02   1.0304199687e-05
1.0136986301e-01   1.1501256949e-05
1.0410958904e-01   1.2809936726e-05
1.0684931507e-01   1.4238650642e-05
1.0958904110e-01   1.5796345735e-05
1.1232876712e-01   1.7492535435e-05
1.1506849315e-01   1.9337332238e-05
1.1780821918e-01   2.1341482187e-05
1.2054794521e-01   2.3516401238e-05
1.2328767123e-01   2.5874213627e-05
1.2602739726e-01   2.8427792331e-05
1.2876712329e-01   3.1190801761e-05
1.3150684932e-01   3.4177742766e-05
1.3424657534e-01   3.7404000121e-05
1.3698630137e-01   4.0885892588e-05
1.3972602740e-01   4.4640725722e-05
