X    Y
0.0000000000e+00   4.0000000000e-01
2.7397260274e-03   4.0171625311e-01
5.4794520548e-03   4.0344588659e-01
8.2191780822e-03   4.0518897878e-01
1.0958904110e-02   4.0694560798e-01
1.3698630137e-02   4.0871585243e-01
1.6438356164e-02   4.1049979031e-01
1.9178082192e-02   4.1229749971e-01
2.1917808219e-02   4.1410905867e-01
2.4657534247e-02   4.1593454511e-01
2.7397260274e-02   4.1777403685e-01
3.0136986301e-02   4.1962761160e-01
3.2876712329e-02   4.2149534694e-01
3.5616438356e-02   4.2337732031e-01
3.8356164384e-02   4.2527360901e-01
4.1095890411e-02   4.2718429018e-01
4.3835616438e-02   4.2910944080e-01
4.6575342466e-02   4.3104913766e-01
4.9315068493e-02   4.3300345736e-01
5.2054794521e-02   4.3497247632e-01
5.4794520548e-02   4.3695627073e-01
5.7534246575e-02   4.3895491659e-01
6.0273972603e-02   4.4096848965e-01
6.3013698630e-02   4.4299706544e-01
6.5753424658e-02   4.4504071923e-01
6.8493150685e-02   4.4709952606e-01
7.1232876712e-02   4.4917356068e-01
7.3972602740e-02   4.5126289760e-01
7.6712328767e-02   4.5336761104e-01
7.9452054795e-02   4.5548777493e-01
8.2191780822e-02   4.5762346293e-01
8.4931506849e-02   4.5977474840e-01
8.7671232877e-02   4.6194170439e-01
9.0410958904e-02   4.6412440365e-01
9.3150684932e-02   4.6632291863e-01
9.5890410959e-02   4.6853732146e-01
9.8630136986e-02   4.7076768397e-01
1.0136986301e-01   4.7301407766e-01
1.0410958904e-01   4.7527657372e-01
1.0684931507e-01   4.7755524304e-01
1.0958904110e-01   4.7985015618e-01
1.1232876712e-01   4.8216138341e-01
1.1506849315e-01   4.8448899468e-01
1.1780821918e-01   4.8683305966e-01
1.2054794521e-01   4.8919364772e-01
1.2328767123e-01   4.9157082795e-01
1.2602739726e-01   4.9396466916e-01
1.2876712329e-01   4.9637523993e-01
1.3150684932e-01   4.9880260858e-01
1.3424657534e-01   5.0124684319e-01
1.3698630137e-01   5.0370801165e-01
1.3972602740e-01   5.0618618168e-01
1.4246575342e-01   5.0868142080e-01
1.4520547945e-01   5.1119379643e-01
1.4794520548e-01   5.1372337585e-01
1.5068493151e-01   5.1627022630e-01
1.5342465753e-01   5.1883441495e-01
1.5616438356e-01   5.2141600899e-01
1.5890410959e-01   5.2401507564e-01
1.6164383562e-01   5.2663168223e-01
1.6438356164e-01   5.2926589619e-01
1.6712328767e-01   5.3191778519e-01
1.6986301370e-01   5.3458741711e-01
1.7260273973e-01   5.3727486018e-01
1.7534246575e-01   5.3998018298e-01
1.7808219178e-01   5.4270345459e-01
1.8082191781e-01   5.4544474460e-01
1.8356164384e-01   5.4820412323e-01
1.8630136986e-01   5.5098166143e-01
1.8904109589e-01   5.5377743097e-01
1.9178082192e-01   5.5659150451e-01
1.9452054795e-01   5.5942395579e-01
1.9726027397e-01   5.6227485968e-01
2.0000000000e-01   5.6514429236e-01
2.0273972603e-01   5.6803233143e-01
2.0547945205e-01   5.7093905607e-01
2.0821917808e-01   5.7386454720e-01
2.1095890411e-01   5.7680888762e-01
2.1369863014e-01   5.7977216227e-01
2.1643835616e-01   5.8275445831e-01
2.1917808219e-01   5.8575586541e-01
2.2191780822e-01   5.8877647596e-01
2.2465753425e-01   5.9181638523e-01
2.2739726027e-01   5.9487569172e-01
2.3013698630e-01   5.9795449734e-01
2.3287671233e-01   6.0105290771e-01
2.3561643836e-01   6.0417103249e-01
2.3835616438e-01   6.0730898563e-01
2.4109589041e-01   6.1046688575e-01
2.4383561644e-01   6.1364485648e-01
2.4657534247e-01   6.1684302683e-01
2.4931506849e-01   6.2006153159e-01
2.5205479452e-01   6.2330051172e-01
2.5479452055e-01   6.2656011484e-01
2.5753424658e-01   6.2984049569e-01
2.6027397260e-01   6.3314181661e-01
2.6301369863e-01   6.3646424805e-01
2.6575342466e-01   6.3980796920e-01
2.6849315068e-01   6.4317316850e-01
2.7123287671e-01   6.4656004432e-01
2.7397260274e-01   6.4996880561e-01
2.7671232877e-01   6.5339967257e-01
2.7945205479e-01   6.5685287745e-01
2.8219178082e-01   6.6032866527e-01
2.8493150685e-01   6.6382729469e-01
2.8767123288e-01   6.6734903888e-01
2.9041095890e-01   6.7089418642e-01
