X    Y
0.0000000000e+00   0.0000000000e+00
7.8201368524e-02   4.1433922544e-05
1.5640273705e-01   1.9723447196e-05
2.3460410557e-01   2.5079825663e-07
3.1280547410e-01   2.8771275273e-05
3.9100684262e-01   5.3398626120e-05
4.6920821114e-01   7.7127888827e-05
5.4740957967e-01   1.1303891564e-04
6.2561094819e-01   1.3781701517e-04
7.0381231672e-01   1.6197356074e-04
7.8201368524e-01   1.7513366407e-04
8.6021505376e-01   1.9622889237e-04
9.3841642229e-01   2.1645460489e-04
1.0166177908e+00   1.7947742323e-04
1.0948191593e+00   1.9306786256e-04
1.1730205279e+00   2.0569485301e-04
1.2512218964e+00   9.7897166238e-05
1.3294232649e+00   1.0252022066e-04
1.4076246334e+00   1.0658764820e-04
1.4858260020e+00   5.5421949054e-06
1.5640273705e+00   7.3711151609e-05
1.6422287390e+00   7.5419816115e-05
1.7204301075e+00   7.6691549012e-05
1.7986314761e+00   2.3479816227e-04
1.8768328446e+00   2.3573846728e-04
1.9550342131e+00   2.3524075684e-04
2.0332355816e+00   3.2979009664e-04
2.1114369501e+00   3.2474278264e-04
2.1896383187e+00   3.1760996028e-04
2.2678396872e+00   3.4236566307e-04
2.3460410557e+00   3.2960729601e-04
2.4242424242e+00   3.1460397133e-04
2.5024437928e+00   2.7812344054e-04
2.5806451613e+00   2.5976641046e-04
2.6588465298e+00   2.3949542569e-04
2.7370478983e+00   1.6470893724e-04
2.8152492669e+00   1.4635814389e-04
2.8934506354e+00   1.2678053551e-04
2.9716520039e+00   4.8817194631e-05
3.0498533724e+00   3.8570872166e-05
3.1280547410e+00   2.7891560730e-05
3.2062561095e+00   9.1974164671e-07
3.2844574780e+00   6.6261784966e-06
3.3626588465e+00   2.5998233440e-07
3.4408602151e+00   6.2517175310e-06
3.5190615836e+00   4.4831424773e-05
3.5972629521e+00   6.7181690593e-05
3.6754643206e+00   8.9802823138e-05
3.7536656891e+00   1.6509907966e-04
3.8318670577e+00   1.9837357244e-04
3.9100684262e+00   2.3211407654e-04
3.9882697947e+00   3.0298586475e-04
4.0664711632e+00   3.4286046616e-04
4.1446725318e+00   3.8446450657e-04
4.2228739003e+00   4.1037068766e-04
4.3010752688e+00   4.5592169157e-04
4.3792766373e+00   5.0604016243e-04
4.4574780059e+00   4.3945953303e-04
4.5356793744e+00   4.8783868300e-04
4.6138807429e+00   2.6658110976e-04
4.6920821114e+00   2.9274153147e-04
4.7702834800e+00   1.2550115810e-05
4.8484848485e+00   1.4759597607e-04
4.9266862170e+00   1.5216351016e-04
5.0048875855e+00   5.4531279172e-04
5.0830889541e+00   4.8576805004e-04
5.1612903226e+00   5.3861975977e-04
5.2394916911e+00   3.2849786471e-04
5.3176930596e+00   9.1706234857e-05
5.3958944282e+00   1.3247473665e-04
5.4740957967e+00   2.8685902929e-04
5.5522971652e+00   3.5394661075e-04
5.6304985337e+00   2.7673291124e-04
5.7086999022e+00   2.4179942319e-04
5.7869012708e+00   9.5376305357e-05
