X    Y
0.0000000000e+00   0.0000000000e+00
7.8201368524e-02   1.9606402984e-04
1.5640273705e-01   2.0155483343e-04
2.3460410557e-01   2.0549204655e-04
3.1280547410e-01   2.9018210383e-04
3.9100684262e-01   2.9151398302e-04
4.6920821114e-01   2.9096293139e-04
5.4740957967e-01   3.1838839916e-04
6.2561094819e-01   3.1352002258e-04
7.0381231672e-01   3.0664616880e-04
7.8201368524e-01   2.7708009786e-04
8.6021505376e-01   2.6680992399e-04
9.3841642229e-01   2.5474855732e-04
1.0166177908e+00   1.8106789286e-04
1.0948191593e+00   1.6923617622e-04
1.1730205279e+00   1.5618404738e-04
1.2512218964e+00   6.3040574120e-05
1.3294232649e+00   5.6133165144e-05
1.4076246334e+00   4.8774109060e-05
1.4858260020e+00   2.1989731590e-06
1.5640273705e+00   2.4860934615e-05
1.6422287390e+00   1.9373218082e-05
1.7204301075e+00   1.3681395801e-05
1.7986314761e+00   2.1953492203e-05
1.8768328446e+00   3.7473524241e-06
1.9550342131e+00   1.4763527147e-05
2.0332355816e+00   4.9883334646e-05
2.1114369501e+00   7.6477747747e-05
2.1896383187e+00   1.0301157546e-04
2.2678396872e+00   1.4677167269e-04
2.3460410557e+00   1.7558262656e-04
2.4242424242e+00   2.0375362503e-04
2.5024437928e+00   2.1977165163e-04
2.5806451613e+00   2.4444789453e-04
2.6588465298e+00   2.6799051239e-04
2.7370478983e+00   2.2367424963e-04
2.8152492669e+00   2.3946887987e-04
2.8934506354e+00   2.5401734212e-04
2.9716520039e+00   1.2590738921e-04
3.0498533724e+00   1.3133997147e-04
3.1280547410e+00   1.3603326983e-04
3.2062561095e+00   6.3661476378e-06
3.2844574780e+00   7.8104087371e-05
3.3626588465e+00   7.9608340736e-05
3.4408602151e+00   8.0628652250e-05
3.5190615836e+00   2.6916186181e-04
3.5972629521e+00   2.6899471565e-04
3.6754643206e+00   2.6705244624e-04
3.7536656891e+00   3.7784957408e-04
3.8318670577e+00   3.6948796248e-04
3.9100684262e+00   3.5835456515e-04
3.9882697947e+00   3.8504004025e-04
4.0664711632e+00   3.6567116408e-04
4.1446725318e+00   3.4279066047e-04
4.2228739003e+00   2.9711833705e-04
4.3010752688e+00   2.6769367954e-04
4.3792766373e+00   2.3404294779e-04
4.4574780059e+00   1.4855619336e-04
4.5356793744e+00   1.1439032343e-04
4.6138807429e+00   3.5089235257e-05
4.6920821114e+00   1.3597955234e-05
4.7702834800e+00   1.2938194859e-07
4.8484848485e+00   9.5776763822e-06
4.9266862170e+00   2.1581719572e-05
5.0048875855e+00   1.2922080782e-04
5.0830889541e+00   1.7219473805e-04
5.1612903226e+00   3.1047738203e-04
5.2394916911e+00   3.4980112687e-04
