X    Y
0.0000000000e+00   0.0000000000e+00
7.8201368524e-02   9.4483827988e-05
1.5640273705e-01   6.3921632781e-05
2.3460410557e-01   4.0665305035e-05
3.1280547410e-01   3.1834135919e-05
3.9100684262e-01   1.7016610250e-05
4.6920821114e-01   7.8119489901e-06
5.4740957967e-01   2.3566494478e-06
6.2561094819e-01   5.6850280977e-07
7.0381231672e-01   1.9307382759e-06
7.8201368524e-01   2.2925653327e-06
8.6021505376e-01   2.3365120465e-06
9.3841642229e-01   2.2170455297e-06
1.0166177908e+00   1.5304755459e-06
1.0948191593e+00   1.3980265303e-06
1.1730205279e+00   1.2801945592e-06
1.2512218964e+00   5.2390162981e-07
1.3294232649e+00   4.8935519537e-07
1.4076246334e+00   4.6269077485e-07
1.4858260020e+00   2.0953970693e-08
1.5640273705e+00   2.8888154141e-07
1.6422287390e+00   2.8213221690e-07
1.7204301075e+00   2.7927752155e-07
1.7986314761e+00   8.4951809061e-07
1.8768328446e+00   8.6463103732e-07
1.9550342131e+00   8.9189852953e-07
2.0332355816e+00   1.3256492785e-06
2.1114369501e+00   1.4048480173e-06
2.1896383187e+00   1.5069709486e-06
2.2678396872e+00   1.8365465772e-06
2.3460410557e+00   2.0172530728e-06
2.4242424242e+00   2.2390451177e-06
2.5024437928e+00   2.3879913946e-06
2.5806451613e+00   2.7051555922e-06
2.6588465298e+00   3.0926333570e-06
2.7370478983e+00   2.7680642044e-06
2.8152492669e+00   3.2233119060e-06
2.8934506354e+00   3.7857098560e-06
2.9716520039e+00   2.1378939016e-06
3.0498533724e+00   2.5564078412e-06
3.1280547410e+00   3.0832311592e-06
3.2062561095e+00   1.6114291321e-07
3.2844574780e+00   2.2595634973e-06
3.3626588465e+00   2.7840096170e-06
3.4408602151e+00   3.4608632664e-06
3.5190615836e+00   1.4708889474e-05
3.5972629521e+00   1.8628440930e-05
3.6754643206e+00   2.3800158096e-05
3.7536656891e+00   4.5164103719e-05
3.8318670577e+00   5.8689155340e-05
3.9100684262e+00   7.6790043226e-05
3.9882697947e+00   1.1645666691e-04
4.0664711632e+00   1.5383272215e-04
4.1446725318e+00   2.0340578616e-04
4.2228739003e+00   2.6100721820e-04
4.3010752688e+00   3.4155344781e-04
4.3792766373e+00   4.4080127224e-04
4.4574780059e+00   4.3966975003e-04
4.5356793744e+00   5.3335475206e-04
4.6138807429e+00   3.0153780464e-04
4.6920821114e+00   3.1238914300e-04
4.7702834800e+00   1.1625261877e-05
4.8484848485e+00   1.0622574786e-04
4.9266862170e+00   3.4807953293e-05
5.0048875855e+00   3.4290455491e-04
5.0830889541e+00   8.8645674085e-04
5.1612903226e+00   2.1100386453e-03
5.2394916911e+00   2.5301866708e-03
5.3176930596e+00   2.7421910877e-03
5.3958944282e+00   2.0636962882e-03
5.4740957967e+00   9.4226018595e-04
5.5522971652e+00   2.2038676102e-05
5.6304985337e+00   5.5831927324e-04
5.7086999022e+00   8.3379419588e-04
5.7869012708e+00   4.5723419142e-04
5.8651026393e+00   4.1711080260e-04
5.9433040078e+00   1.2837667913e-05
6.0215053763e+00   1.1379081431e-04
6.0997067449e+00   8.4556707123e-05
6.1779081134e+00   5.9324956608e-05
6.2561094819e+00   1.6097521026e-04
6.3343108504e+00   1.0263353009e-04
6.4125122190e+00   6.2962779226e-05
6.4907135875e+00   3.7403288130e-05
