X    Y
0.0000000000e+00   0.0000000000e+00
2.7397260274e-02   8.5652995113e-12
5.4794520548e-02   1.5107665119e-11
8.2191780822e-02   1.9789225814e-11
1.0958904110e-01   2.2796174670e-11
1.3698630137e-01   2.4333944582e-11
1.6438356164e-01   2.4623317274e-11
1.9178082192e-01   2.3909541014e-11
2.1917808219e-01   2.2525384336e-11
2.4657534247e-01   2.1124130223e-11
2.7397260274e-01   2.1353613322e-11
3.0136986301e-01   2.7523316959e-11
3.2876712329e-01   5.0263793128e-11
3.5616438356e-01   1.1382383924e-10
3.8356164384e-01   2.6950530696e-10
4.1095890411e-01   6.1877988844e-10
4.3835616438e-01   1.3508157370e-09
4.6575342466e-01   2.8003830088e-09
4.9315068493e-01   5.5332987081e-09
5.2054794521e-01   1.0467588990e-08
5.4794520548e-01   1.9039264137e-08
5.7534246575e-01   3.3421895501e-08
6.0273972603e-01   5.6808954790e-08
6.3013698630e-01   9.3767049014e-08
6.5753424658e-01   1.5066672326e-07
6.8493150685e-01   2.3619540823e-07
7.1232876712e-01   3.6195440134e-07
7.3972602740e-01   5.4313856768e-07
7.6712328767e-01   7.9929383978e-07
7.9452054795e-01   1.1551437188e-06
8.2191780822e-01   1.6414719858e-06
8.4931506849e-01   2.2960448838e-06
8.7671232877e-01   3.1645522875e-06
9.0410958904e-01   4.3015440017e-06
9.3150684932e-01   5.7713344490e-06
9.5890410959e-01   7.6488467633e-06
9.8630136986e-01   1.0020365782e-05
1.0136986301e+00   1.2984168719e-05
1.0410958904e+00   1.6651002429e-05
1.0684931507e+00   2.1144377201e-05
1.0958904110e+00   2.6600648891e-05
1.1232876712e+00   3.3168863950e-05
1.1506849315e+00   4.1010345431e-05
1.1780821918e+00   5.0298002304e-05
1.2054794521e+00   6.1215349326e-05
1.2328767123e+00   7.3955230138e-05
1.2602739726e+00   8.8718242104e-05
1.2876712329e+00   1.0571086760e-04
1.3150684932e+00   1.2514332277e-04
1.3424657534e+00   1.4722714114e-04
1.3698630137e+00   1.7217251572e-04
1.3972602740e+00   2.0018542938e-04
1.4246575342e+00   2.3146460878e-04
1.4520547945e+00   2.6619834252e-04
1.4794520548e+00   3.0456120854e-04
1.5068493151e+00   3.4671076000e-04
1.5342465753e+00   3.9278422153e-04
1.5616438356e+00   4.4289525032e-04
1.5890410959e+00   4.9713081747e-04
1.6164383562e+00   5.5554826540e-04
1.6438356164e+00   6.1817259623e-04
1.6712328767e+00   6.8499404437e-04
1.6986301370e+00   7.5596598334e-04
1.7260273973e+00   8.3100321345e-04
1.7534246575e+00   9.0998067159e-04
1.7808219178e+00   9.9273259913e-04
1.8082191781e+00   1.0790521970e-03
1.8356164384e+00   1.1686917902e-03
1.8630136986e+00   1.2613635154e-03
1.8904109589e+00   1.3567405384e-03
1.9178082192e+00   1.4544587983e-03
1.9452054795e+00   1.5541192660e-03
1.9726027397e+00   1.6552906994e-03
2.0000000000e+00   1.7575128644e-03
2.0273972603e+00   1.8603001852e-03
2.0547945205e+00   1.9631457806e-03
2.0821917808e+00   2.0655258335e-03
2.1095890411e+00   2.1669042350e-03
2.1369863014e+00   2.2667374428e-03
2.1643835616e+00   2.3644794821e-03
2.1917808219e+00   2.4595870222e-03
2.2191780822e+00   2.5515244534e-03
2.2465753425e+00   2.6397688922e-03
2.2739726027e+00   2.7238150420e-03
2.3013698630e+00   2.8031798379e-03
2.3287671233e+00   2.8774068085e-03
2.3561643836e+00   2.9460700922e-03
2.3835616438e+00   3.0087780492e-03
2.4109589041e+00   3.0651764201e-03
2.4383561644e+00   3.1149509869e-03
2.4657534247e+00   3.1578297037e-03
2.4931506849e+00   3.1935842694e-03
2.5205479452e+00   3.2220311288e-03
2.5479452055e+00   3.2430318967e-03
2.5753424658e+00   3.2564932071e-03
2.6027397260e+00   3.2623660052e-03
2.6301369863e+00   3.2606443034e-03
2.6575342466e+00   3.2513634370e-03
2.6849315068e+00   3.2345978594e-03
2.7123287671e+00   3.2104585275e-03
2.7397260274e+00   3.1790899325e-03
2.7671232877e+00   3.1406668382e-03
2.7945205479e+00   3.0953907910e-03
2.8219178082e+00   3.0434864710e-03
2.8493150685e+00   2.9851979530e-03
2.8767123288e+00   2.9207849457e-03
2.9041095890e+00   2.8505190782e-03
2.9315068493e+00   2.7746802963e-03
2.9589041096e+00   2.6935534287e-03
2.9863013699e+00   2.6074249775e-03
3.0136986301e+00   2.5165801781e-03
3.0410958904e+00   2.4213003690e-03
3.0684931507e+00   2.3218607000e-03
3.0958904110e+00   2.2185281999e-03
3.1232876712e+00   2.1115602149e-03
3.1506849315e+00   2.0012032192e-03
3.1780821918e+00   1.8876919882e-03
3.2054794521e+00   1.7712491197e-03
3.2328767123e+00   1.6520848757e-03
3.2602739726e+00   1.5303973137e-03
3.2876712329e+00   1.4063726701e-03
3.3150684932e+00   1.2801859527e-03
3.3424657534e+00   1.1520016987e-03
3.3698630137e+00   1.0219748546e-03
3.3972602740e+00   8.9025173495e-04
3.4246575342e+00   7.5697102384e-04
3.4520547945e+00   6.2226478676e-04
3.4794520548e+00   4.8625947393e-04
3.5068493151e+00   3.4907690522e-04
3.5342465753e+00   2.1083524333e-04
3.5616438356e+00   7.1649978313e-05
3.5890410959e+00   6.8365033511e-05
3.6164383562e+00   2.0909641171e-04
3.6438356164e+00   3.5042988660e-04
3.6712328767e+00   4.9224861311e-04
3.6986301370e+00   6.3443102342e-04
3.7260273973e+00   7.7684805020e-04
3.7534246575e+00   9.1935952427e-04
3.7808219178e+00   1.0618095219e-03
3.8082191781e+00   1.2040204089e-03
3.8356164384e+00   1.3457853025e-03
3.8630136986e+00   1.4868586436e-03
