X    Y
0.0000000000e+00   0.0000000000e+00
2.7397260274e-02   9.8232533219e-13
5.4794520548e-02   1.6602830222e-12
8.2191780822e-02   2.0867196859e-12
1.0958904110e-01   2.3114843373e-12
1.3698630137e-01   2.3804846983e-12
1.6438356164e-01   2.3351320877e-12
1.9178082192e-01   2.2114532428e-12
2.1917808219e-01   2.0385360067e-12
2.4657534247e-01   1.8333667917e-12
2.7397260274e-01   1.5839551892e-12
3.0136986301e-01   1.2019274465e-12
3.2876712329e-01   4.0495384823e-13
3.5616438356e-01   1.5476508963e-12
3.8356164384e-01   6.3983263132e-12
4.1095890411e-01   1.7930268381e-11
4.3835616438e-01   4.3832548702e-11
4.6575342466e-01   9.8871300036e-11
4.9315068493e-01   2.1002916073e-10
5.2054794521e-01   4.2449088689e-10
5.4794520548e-01   8.2159284931e-10
5.7534246575e-01   1.5301096501e-09
6.0273972603e-01   2.7525095536e-09
6.3013698630e-01   4.7980556750e-09
6.5753424658e-01   8.1268443641e-09
6.8493150685e-01   1.3407040700e-08
7.1232876712e-01   2.1587672538e-08
7.3972602740e-01   3.3989367598e-08
7.6712328767e-01   5.2415345175e-08
7.9452054795e-01   7.9284799948e-08
8.2191780822e-01   1.1779052972e-07
8.4931506849e-01   1.7208226416e-07
8.7671232877e-01   2.4747664695e-07
9.0410958904e-01   3.5069421894e-07
9.3150684932e-01   4.9012305642e-07
9.5890410959e-01   6.7610794857e-07
9.8630136986e-01   9.2126317419e-07
1.0136986301e+00   1.2408060761e-06
1.0410958904e+00   1.6529077597e-06
1.0684931507e+00   2.1790563798e-06
1.0958904110e+00   2.8444276505e-06
1.1232876712e+00   3.6782564491e-06
1.1506849315e+00   4.7142026944e-06
1.1780821918e+00   5.9907040998e-06
1.2054794521e+00   7.5513079412e-06
1.2328767123e+00   9.4449736583e-06
1.2602739726e+00   1.1726337942e-05
1.2876712329e+00   1.4455933958e-05
1.3150684932e+00   1.7700356529e-05
1.3424657534e+00   2.1532365433e-05
1.3698630137e+00   2.6030919519e-05
1.3972602740e+00   3.1281135002e-05
1.4246575342e+00   3.7374162187e-05
1.4520547945e+00   4.4406975874e-05
1.4794520548e+00   5.2482075840e-05
1.5068493151e+00   6.1707095089e-05
1.5342465753e+00   7.2194314915e-05
1.5616438356e+00   8.4060087305e-05
1.5890410959e+00   9.7424166719e-05
1.6164383562e+00   1.1240895479e-04
1.6438356164e+00   1.2913866311e-04
1.6712328767e+00   1.4773840066e-04
1.6986301370e+00   1.6833319407e-04
1.7260273973e+00   1.9104695006e-04
1.7534246575e+00   2.1600137087e-04
1.7808219178e+00   2.4331483454e-04
1.8082191781e+00   2.7310125268e-04
1.8356164384e+00   3.0546891962e-04
1.8630136986e+00   3.4051936672e-04
1.8904109589e+00   3.7834623669e-04
1.9178082192e+00   4.1903419234e-04
1.9452054795e+00   4.6265787437e-04
1.9726027397e+00   5.0928092234e-04
