X    Y
0.0000000000e+00   0.0000000000e+00
2.7397260274e-02   6.1817005508e-11
5.4794520548e-02   1.1517144530e-10
8.2191780822e-02   1.5972613466e-10
1.0958904110e-01   1.9529903562e-10
1.3698630137e-01   2.2188218190e-10
1.6438356164e-01   2.3946437021e-10
1.9178082192e-01   2.4707174241e-10
2.1917808219e-01   2.3931966565e-10
2.4657534247e-01   1.9652275033e-10
2.7397260274e-01   6.0667898656e-11
3.0136986301e-01   3.1581783889e-10
3.2876712329e-01   1.2683654517e-09
3.5616438356e-01   3.4931071161e-09
3.8356164384e-01   8.3292626581e-09
4.1095890411e-01   1.8192356109e-08
4.3835616438e-01   3.7203428623e-08
4.6575342466e-01   7.2059832045e-08
4.9315068493e-01   1.3318936630e-07
5.2054794521e-01   2.3622106884e-07
5.4794520548e-01   4.0379291825e-07
5.7534246575e-01   6.6769955676e-07
6.0273972603e-01   1.0713627362e-06
6.3013698630e-01   1.6725847197e-06
6.5753424658e-01   2.5465216915e-06
6.8493150685e-01   3.7887917758e-06
7.1232876712e-01   5.5186119453e-06
7.3972602740e-01   7.8818411660e-06
7.6712328767e-01   1.1053794624e-05
7.9452054795e-01   1.5241686572e-05
8.2191780822e-01   2.0686557718e-05
8.4931506849e-01   2.7664547277e-05
8.7671232877e-01   3.6487379756e-05
9.0410958904e-01   4.7501951867e-05
9.3150684932e-01   6.1088924991e-05
9.5890410959e-01   7.7660252808e-05
9.8630136986e-01   9.7655600927e-05
1.0136986301e+00   1.2153764496e-04
1.0410958904e+00   1.4978626434e-04
1.0684931507e+00   1.8289168028e-04
1.0958904110e+00   2.2134661731e-04
1.1232876712e+00   2.6563759666e-04
1.1506849315e+00   3.1623549752e-04
1.1780821918e+00   3.7358554626e-04
1.2054794521e+00   4.3809691507e-04
1.2328767123e+00   5.1013212865e-04
1.2602739726e+00   5.8999649072e-04
1.2876712329e+00   6.7792775074e-04
1.3150684932e+00   7.7408623536e-04
1.3424657534e+00   8.7854566819e-04
1.3698630137e+00   9.9128489607e-04
1.3972602740e+00   1.1121807299e-03
1.4246575342e+00   1.2410020934e-03
1.4520547945e+00   1.3774056542e-03
1.4794520548e+00   1.5209330882e-03
1.5068493151e+00   1.6710101037e-03
1.5342465753e+00   1.8269473187e-03
1.5616438356e+00   1.9879430565e-03
1.5890410959e+00   2.1530880872e-03
1.6164383562e+00   2.3213723090e-03
1.6438356164e+00   2.4916933267e-03
1.6712328767e+00   2.6628668473e-03
1.6986301370e+00   2.8336387762e-03
1.7260273973e+00   3.0026988667e-03
1.7534246575e+00   3.1686957368e-03
1.7808219178e+00   3.3302530431e-03
1.8082191781e+00   3.4859865714e-03
1.8356164384e+00   3.6345219821e-03
1.8630136986e+00   3.7745129303e-03
1.8904109589e+00   3.9046592664e-03
1.9178082192e+00   4.0237250155e-03
1.9452054795e+00   4.1305558305e-03
1.9726027397e+00   4.2240956165e-03
2.0000000000e+00   4.3034020345e-03
2.0273972603e+00   4.3676606047e-03
2.0547945205e+00   4.4161971494e-03
2.0821917808e+00   4.4484883444e-03
2.1095890411e+00   4.4641701720e-03
2.1369863014e+00   4.4630441084e-03
2.1643835616e+00   4.4450809134e-03
2.1917808219e+00   4.4104219326e-03
2.2191780822e+00   4.3593778657e-03
2.2465753425e+00   4.2924250012e-03
2.2739726027e+00   4.2101989605e-03
2.3013698630e+00   4.1134860437e-03
2.3287671233e+00   4.0032123117e-03
2.3561643836e+00   3.8804305821e-03
2.3835616438e+00   3.7463055573e-03
2.4109589041e+00   3.6020973365e-03
2.4383561644e+00   3.4491435971e-03
2.4657534247e+00   3.2888407564e-03
2.4931506849e+00   3.1226244424e-03
2.5205479452e+00   2.9519496202e-03
2.5479452055e+00   2.7782707235e-03
2.5753424658e+00   2.6030221444e-03
2.6027397260e+00   2.4275994234e-03
2.6301369863e+00   2.2533414717e-03
2.6575342466e+00   2.0815141330e-03
2.6849315068e+00   1.9132953671e-03
2.7123287671e+00   1.7497623009e-03
2.7397260274e+00   1.5918803571e-03
2.7671232877e+00   1.4404946234e-03
2.7945205479e+00   1.2963235788e-03
2.8219178082e+00   1.1599552441e-03
2.8493150685e+00   1.0318457692e-03
2.8767123288e+00   9.1232042043e-04
2.9041095890e+00   8.0157687483e-04
2.9315068493e+00   6.9969068186e-04
2.9589041096e+00   6.0662270391e-04
2.9863013699e+00   5.2222830440e-04
3.0136986301e+00   4.4626801505e-04
3.0410958904e+00   3.7841938290e-04
3.0684931507e+00   3.1828967420e-04
3.0958904110e+00   2.6542909721e-04
3.1232876712e+00   2.1934419998e-04
3.1506849315e+00   1.7951110280e-04
3.1780821918e+00   1.4538823844e-04
3.2054794521e+00   1.1642829762e-04
3.2328767123e+00   9.2089110518e-05
3.2602739726e+00   7.1843239721e-05
3.2876712329e+00   5.5186113369e-05
3.3150684932e+00   4.1642589827e-05
3.3424657534e+00   3.0771916089e-05
3.3698630137e+00   2.2171119969e-05
3.3972602740e+00   1.5476960098e-05
3.4246575342e+00   1.0366646404e-05
3.4520547945e+00   6.5576356222e-06
3.4794520548e+00   3.8069000063e-06
3.5068493151e+00   1.9101610239e-06
3.5342465753e+00   7.0167187803e-07
3.5616438356e+00   5.5221319462e-08
3.5890410959e+00   1.1288520405e-07
3.6164383562e+00   1.6196572819e-07
3.6438356164e+00   9.0219796448e-07
3.6712328767e+00   2.2022185919e-06
3.6986301370e+00   4.2482666878e-06
3.7260273973e+00   7.3449767321e-06
3.7534246575e+00   1.1949713747e-05
3.7808219178e+00   1.8715739248e-05
3.8082191781e+00   2.8545251172e-05
3.8356164384e+00   4.2653305383e-05
3.8630136986e+00   6.2643569095e-05
3.8904109589e+00   9.0596775340e-05
3.9178082192e+00   1.2917263946e-04
3.9452054795e+00   1.8172585996e-04
3.9726027397e+00   2.5243665244e-04
4.0000000000e+00   3.4645605056e-04
4.0273972603e+00   4.7006594537e-04
4.0547945205e+00   6.3085351401e-04
4.0821917808e+00   8.3789929960e-04
4.1095890411e+00   1.1019777322e-03
4.1369863014e+00   1.4357683090e-03
4.1643835616e+00   1.8540749598e-03
4.1917808219e+00   2.3740502905e-03
4.2191780822e+00   3.0154203913e-03
4.2465753425e+00   3.8007046972e-03
4.2739726027e+00   4.7554239564e-03
4.3013698630e+00   5.9082876755e-03
4.3287671233e+00   7.2913504398e-03
4.3561643836e+00   8.9401242326e-03
4.3835616438e+00   1.0893631296e-02
4.4109589041e+00   1.3194379206e-02
4.4383561644e+00   1.5888236730e-02
4.4657534247e+00   1.9024185762e-02
4.4931506849e+00   2.2653921423e-02
4.5205479452e+00   2.6831269408e-02
4.5479452055e+00   3.1611387289e-02
4.5753424658e+00   3.7049715182e-02
4.6027397260e+00   4.3200641544e-02
4.6301369863e+00   5.0115852666e-02
4.6575342466e+00   5.7842340556e-02
4.6849315068e+00   6.6420054369e-02
4.7123287671e+00   7.5879196369e-02
4.7397260274e+00   8.6237185569e-02
4.7671232877e+00   9.7495341421e-02
4.7945205479e+00   1.0963537634e-01
4.8219178082e+00   1.2261582893e-01
4.8493150685e+00   1.3636861791e-01
4.8767123288e+00   1.5079594609e-01
4.9041095890e+00   1.6576783087e-01
4.9315068493e+00   1.8112057367e-01
4.9589041096e+00   1.9665650026e-01
4.9863013699e+00   2.1214529496e-01
5.0136986301e+00   2.2732720896e-01
5.0410958904e+00   2.4191833714e-01
5.0684931507e+00   2.5561802907e-01
5.0958904110e+00   2.6811832999e-01
5.1232876712e+00   2.7911514983e-01
5.1506849315e+00   2.8832065017e-01
5.1780821918e+00   2.9547614747e-01
5.2054794521e+00   3.0036468419e-01
5.2328767123e+00   3.0282234563e-01
5.2602739726e+00   3.0274742014e-01
5.2876712329e+00   3.0010662239e-01
5.3150684932e+00   2.9493781661e-01
5.3424657534e+00   2.8734896696e-01
5.3698630137e+00   2.7751336927e-01
5.3972602740e+00   2.6566154053e-01
5.4246575342e+00   2.5207041790e-01
5.4520547945e+00   2.3705071442e-01
5.4794520548e+00   2.2093337441e-01
5.5068493151e+00   2.0405606480e-01
5.5342465753e+00   1.8675054025e-01
5.5616438356e+00   1.6933155386e-01
5.5890410959e+00   1.5208777971e-01
5.6164383562e+00   1.3527499814e-01
5.6438356164e+00   1.1911159418e-01
5.6712328767e+00   1.0377625221e-01
5.6986301370e+00   8.9407605691e-02
5.7260273973e+00   7.6105521664e-02
5.7534246575e+00   6.3933663431e-02
5.7808219178e+00   5.2922972787e-02
5.8082191781e+00   4.3075737966e-02
5.8356164384e+00   3.4369954842e-02
5.8630136986e+00   2.6763739467e-02
5.8904109589e+00   2.0199602874e-02
5.9178082192e+00   1.4608449671e-02
5.9452054795e+00   9.9132071437e-03
5.9726027397e+00   6.0320299611e-03
6.0000000000e+00   2.8810564311e-03
6.0273972603e+00   3.7671607767e-04
6.0547945205e+00   1.5623943407e-03
6.0821917808e+00   3.0140373185e-03
6.1095890411e+00   4.0512270522e-03
6.1369863014e+00   4.7414472759e-03
6.1643835616e+00   5.1461524833e-03
6.1917808219e+00   5.3205109933e-03
6.2191780822e+00   5.3133500762e-03
6.2465753425e+00   5.1672659704e-03
6.2739726027e+00   4.9188647354e-03
6.3013698630e+00   4.5991032658e-03
6.3287671233e+00   4.2337032492e-03
6.3561643836e+00   3.8436142598e-03
6.3835616438e+00   3.4455054629e-03
6.4109589041e+00   3.0522685003e-03
6.4383561644e+00   2.6735170047e-03
6.4657534247e+00   2.3160708310e-03
6.4931506849e+00   1.9844154838e-03
6.5205479452e+00   1.6811293743e-03
6.5479452055e+00   1.4072734461e-03
6.5753424658e+00   1.1627393960e-03
6.6027397260e+00   9.4655418497e-04
6.6301369863e+00   7.5713981044e-04
6.6575342466e+00   5.9252840119e-04
6.6849315068e+00   4.5053363315e-04
6.7123287671e+00   3.2888024916e-04
6.7397260274e+00   2.2529412695e-04
6.7671232877e+00   1.3755588541e-04
6.7945205479e+00   6.3521464738e-05
