X    Y
0.0000000000e+00   0.0000000000e+00
7.8163165608e-03   0.0000000000e+00
1.5632633122e-02   7.4165737374e-07
2.3448949682e-02   7.4322646731e-07
3.1265266243e-02   7.4475370976e-07
3.9081582804e-02   7.4623893931e-07
4.6897899365e-02   7.4768199654e-07
5.4714215926e-02   7.4908272440e-07
6.2530532487e-02   7.5044096809e-07
7.0346849047e-02   7.5175657527e-07
7.8163165608e-02   7.5302939587e-07
8.5979482169e-02   7.5425928217e-07
9.3795798730e-02   7.5544608874e-07
1.0161211529e-01   7.5658967258e-07
1.0942843185e-01   7.5768989288e-07
1.1724474841e-01   7.5874661137e-07
1.2506106497e-01   7.5975969185e-07
1.3287738153e-01   7.6072900063e-07
1.4069369809e-01   7.6165440621e-07
1.4851001466e-01   7.6253577957e-07
1.5632633122e-01   7.6337299384e-07
1.6414264778e-01   7.6416592451e-07
1.7195896434e-01   7.6491444942e-07
1.7977528090e-01   7.6561844861e-07
1.8759159746e-01   7.6627780454e-07
1.9540791402e-01   7.6689240186e-07
2.0322423058e-01   7.6746212752e-07
2.1104054714e-01   7.6798687082e-07
2.1885686370e-01   7.6846652328e-07
2.2667318026e-01   7.6890097866e-07
2.3448949682e-01   7.6929013304e-07
2.4230581339e-01   7.6963388473e-07
2.5012212995e-01   7.6993213430e-07
2.5793844651e-01   7.7018478462e-07
2.6575476307e-01   7.7039174068e-07
2.7357107963e-01   7.7055290981e-07
2.8138739619e-01   7.7066820153e-07
2.8920371275e-01   7.7073752763e-07
2.9702002931e-01   7.7076080202e-07
3.0483634587e-01   7.7073794091e-07
3.1265266243e-01   7.7066886267e-07
3.2046897899e-01   7.7055348791e-07
3.2828529555e-01   7.7039173940e-07
3.3610161212e-01   7.7018354208e-07
3.4391792868e-01   7.6992882314e-07
3.5173424524e-01   7.6962751192e-07
3.5955056180e-01   7.6927953982e-07
3.6736687836e-01   7.6888484055e-07
3.7518319492e-01   7.6844334992e-07
3.8299951148e-01   7.6795500589e-07
3.9081582804e-01   7.6741974858e-07
3.9863214460e-01   7.6683752018e-07
4.0644846116e-01   7.6620826514e-07
4.1426477772e-01   7.6553192990e-07
4.2208109428e-01   7.6480846312e-07
4.2989741085e-01   7.6403781551e-07
4.3771372741e-01   7.6321993994e-07
4.4553004397e-01   7.6235479138e-07
4.5334636053e-01   7.6144232686e-07
4.6116267709e-01   7.6048250558e-07
4.6897899365e-01   7.5947528871e-07
4.7679531021e-01   7.5842063962e-07
4.8461162677e-01   7.5731852375e-07
4.9242794333e-01   1.2644624685e-06
5.0024425989e-01   1.2624528558e-06
5.0806057645e-01   1.2603637007e-06
5.1587689301e-01   1.2581949596e-06
5.2369320957e-01   1.2559465923e-06
5.3150952614e-01   1.2536185620e-06
5.3932584270e-01   1.2512108353e-06
5.4714215926e-01   1.2487233825e-06
5.5495847582e-01   1.2461561770e-06
5.6277479238e-01   1.2435091958e-06
5.7059110894e-01   1.2407824192e-06
5.7840742550e-01   1.2379758312e-06
5.8622374206e-01   1.2350894189e-06
5.9404005862e-01   1.2321231730e-06
6.0185637518e-01   1.2290770875e-06
6.0967269174e-01   1.2259511599e-06
6.1748900830e-01   1.2227453912e-06
6.2530532487e-01   1.2194597856e-06
6.3312164143e-01   1.2160943509e-06
6.4093795799e-01   1.2126490982e-06
6.4875427455e-01   1.2091240420e-06
6.5657059111e-01   1.2055192005e-06
6.6438690767e-01   1.2018345949e-06
6.7220322423e-01   1.1980702502e-06
6.8001954079e-01   1.1942261946e-06
6.8783585735e-01   1.1903024599e-06
6.9565217391e-01   1.1862990812e-06
7.0346849047e-01   1.1822160971e-06
7.1128480703e-01   1.1780535498e-06
7.1910112360e-01   1.1738114847e-06
7.2691744016e-01   1.1694899508e-06
7.3473375672e-01   1.1650890008e-06
7.4255007328e-01   1.1606086905e-06
7.5036638984e-01   1.1560490794e-06
7.5818270640e-01   1.1514102305e-06
7.6599902296e-01   1.1466922105e-06
7.7381533952e-01   1.1418950892e-06
7.8163165608e-01   1.1370189404e-06
7.8944797264e-01   1.1320638411e-06
7.9726428920e-01   1.1270298722e-06
8.0508060576e-01   1.1219171180e-06
8.1289692233e-01   1.1167256664e-06
8.2071323889e-01   1.1114556089e-06
8.2852955545e-01   1.1061070408e-06
8.3634587201e-01   1.1006800610e-06
8.4416218857e-01   1.0951747718e-06
8.5197850513e-01   1.0895912796e-06
8.5979482169e-01   1.0839296943e-06
8.6761113825e-01   1.0781901295e-06
8.7542745481e-01   1.0723727027e-06
8.8324377137e-01   1.0664775350e-06
8.9106008793e-01   1.0605047513e-06
8.9887640449e-01   1.0544544806e-06
9.0669272106e-01   1.0483268554e-06
9.1450903762e-01   1.2563144115e-06
9.2232535418e-01   1.2487283621e-06
9.3014167074e-01   1.2410495314e-06
9.3795798730e-01   1.2332780985e-06
9.4577430386e-01   1.2254142476e-06
9.5359062042e-01   1.2174581675e-06
9.6140693698e-01   1.2094100520e-06
9.6922325354e-01   1.2012700996e-06
9.7703957010e-01   1.1930385138e-06
9.8485588666e-01   1.1847155033e-06
9.9267220322e-01   1.1763012814e-06
1.0004885198e+00   1.1677960667e-06
1.0083048363e+00   1.1592000827e-06
1.0161211529e+00   1.1505135581e-06
1.0239374695e+00   1.1417367269e-06
1.0317537860e+00   1.1328698279e-06
1.0395701026e+00   1.1239131054e-06
1.0473864191e+00   1.1148668090e-06
1.0552027357e+00   1.1057311935e-06
1.0630190523e+00   1.0965065189e-06
1.0708353688e+00   1.0871930510e-06
1.0786516854e+00   1.0777910605e-06
1.0864680020e+00   1.0683008241e-06
1.0942843185e+00   1.0587226236e-06
1.1021006351e+00   1.0490567466e-06
1.1099169516e+00   1.0393034863e-06
1.1177332682e+00   1.0294631414e-06
1.1255495848e+00   1.0195360163e-06
1.1333659013e+00   1.0095224214e-06
1.1411822179e+00   9.9942267269e-07
1.1489985344e+00   9.8923709194e-07
1.1568148510e+00   9.7896600687e-07
1.1646311676e+00   9.6860975117e-07
1.1724474841e+00   9.5816866444e-07
1.1802638007e+00   9.4764309230e-07
1.1880801172e+00   9.3703338648e-07
1.1958964338e+00   9.2633990476e-07
1.2037127504e+00   9.1556301113e-07
1.2115290669e+00   9.0470307577e-07
1.2193453835e+00   8.9376047510e-07
1.2271617000e+00   8.8273559186e-07
1.2349780166e+00   8.7162881512e-07
1.2427943332e+00   8.6044054035e-07
1.2506106497e+00   8.4917116949e-07
1.2584269663e+00   8.3782111093e-07
1.2662432829e+00   8.2639077961e-07
1.2740595994e+00   8.1488059705e-07
1.2818759160e+00   8.0329099142e-07
1.2896922325e+00   7.9162239753e-07
1.2975085491e+00   7.7987525694e-07
1.3053248657e+00   7.6805001797e-07
1.3131411822e+00   7.6150827118e-07
1.3209574988e+00   7.4941808062e-07
1.3287738153e+00   7.3725056382e-07
1.3365901319e+00   7.2500620136e-07
1.3444064485e+00   7.1268548085e-07
1.3522227650e+00   7.0028889703e-07
1.3600390816e+00   6.8781695175e-07
1.3678553981e+00   6.7527015404e-07
1.3756717147e+00   6.6264902017e-07
1.3834880313e+00   6.4995407365e-07
1.3913043478e+00   6.3718584530e-07
1.3991206644e+00   6.2434487329e-07
1.4069369809e+00   6.1143170316e-07
1.4147532975e+00   5.9844688786e-07
1.4225696141e+00   5.8539098780e-07
1.4303859306e+00   5.7226457089e-07
1.4382022472e+00   5.5906821253e-07
1.4460185638e+00   5.4580249572e-07
1.4538348803e+00   5.3246801102e-07
1.4616511969e+00   5.1906535662e-07
1.4694675134e+00   5.0559513837e-07
1.4772838300e+00   4.9205796977e-07
1.4851001466e+00   4.7845447208e-07
1.4929164631e+00   4.6478527425e-07
1.5007327797e+00   4.5105101302e-07
1.5085490962e+00   4.3725233289e-07
1.5163654128e+00   4.2338988621e-07
1.5241817294e+00   4.0946433312e-07
1.5319980459e+00   3.9547634163e-07
1.5398143625e+00   3.8142658762e-07
1.5476306790e+00   3.6731575484e-07
1.5554469956e+00   3.5314453498e-07
