X    Y
0.0000000000e+00   0.0000000000e+00
7.8163165608e-03   9.3241386834e-18
1.5632633122e-02   2.0341610142e-07
2.3448949682e-02   1.9807221832e-07
3.1265266243e-02   1.9270749083e-07
3.9081582804e-02   1.8732221834e-07
4.6897899365e-02   1.8191670023e-07
5.4714215926e-02   1.7649123584e-07
6.2530532487e-02   1.7104612442e-07
7.0346849047e-02   1.6558166509e-07
7.8163165608e-02   1.6009815680e-07
8.5979482169e-02   1.5459589832e-07
9.3795798730e-02   1.4907518815e-07
1.0161211529e-01   1.4353632456e-07
1.0942843185e-01   1.3797960548e-07
1.1724474841e-01   1.3240532853e-07
1.2506106497e-01   1.2681379093e-07
1.3287738153e-01   1.2120528953e-07
1.4069369809e-01   1.1558012073e-07
1.4851001466e-01   1.0993858049e-07
1.5632633122e-01   1.0428096427e-07
1.6414264778e-01   9.8607567021e-08
1.7195896434e-01   9.2918683171e-08
1.7977528090e-01   8.7214606585e-08
1.8759159746e-01   8.1495630515e-08
1.9540791402e-01   7.5762047642e-08
2.0322423058e-01   7.0014150005e-08
2.1104054714e-01   6.4252229016e-08
2.1885686370e-01   5.8476575387e-08
2.2667318026e-01   5.2687479178e-08
2.3448949682e-01   4.6885229747e-08
2.4230581339e-01   4.1070115732e-08
2.5012212995e-01   3.5242425062e-08
2.5793844651e-01   2.9402444923e-08
2.6575476307e-01   2.3550461740e-08
2.7357107963e-01   1.7686761195e-08
2.8138739619e-01   1.1811628189e-08
2.8920371275e-01   5.9253468798e-09
2.9702002931e-01   2.8200608515e-11
3.0483634587e-01   5.8795280311e-09
3.1265266243e-01   1.1797557292e-08
3.2046897899e-01   1.7725606150e-08
3.2828529555e-01   2.3663394425e-08
3.3610161212e-01   2.9610642688e-08
3.4391792868e-01   3.5567072315e-08
3.5173424524e-01   4.1532405487e-08
3.5955056180e-01   4.7506365133e-08
3.6736687836e-01   5.3488674989e-08
3.7518319492e-01   5.9479059539e-08
3.8299951148e-01   6.5477244057e-08
3.9081582804e-01   7.1482954542e-08
3.9863214460e-01   7.7495917752e-08
4.0644846116e-01   8.3515861199e-08
4.1426477772e-01   8.9542513057e-08
4.2208109428e-01   9.5575602252e-08
4.2989741085e-01   1.0161485842e-07
4.3771372741e-01   1.0766001178e-07
4.4553004397e-01   1.1371079334e-07
4.5334636053e-01   1.1976693463e-07
4.6116267709e-01   1.2582816784e-07
4.6897899365e-01   1.3189422578e-07
4.7679531021e-01   1.3796484181e-07
4.8461162677e-01   1.4403974986e-07
4.9242794333e-01   2.5201857629e-07
5.0024425989e-01   2.6219208567e-07
5.0806057645e-01   2.7237140179e-07
5.1587689301e-01   2.8255608299e-07
5.2369320957e-01   2.9274568826e-07
5.3150952614e-01   3.0293977728e-07
5.3932584270e-01   3.1313791031e-07
5.4714215926e-01   3.2333964815e-07
5.5495847582e-01   3.3354455206e-07
5.6277479238e-01   3.4375218376e-07
5.7059110894e-01   3.5396210536e-07
5.7840742550e-01   3.6417387919e-07
5.8622374206e-01   3.7438706794e-07
5.9404005862e-01   3.8460123440e-07
6.0185637518e-01   3.9481594155e-07
6.0967269174e-01   4.0503075238e-07
6.1748900830e-01   4.1524522984e-07
6.2530532487e-01   4.2545893689e-07
6.3312164143e-01   4.3567143623e-07
6.4093795799e-01   4.4588229045e-07
6.4875427455e-01   4.5609106175e-07
6.5657059111e-01   4.6629731204e-07
6.6438690767e-01   4.7650060273e-07
6.7220322423e-01   4.8670049471e-07
6.8001954079e-01   4.9689654838e-07
6.8783585735e-01   5.0708832333e-07
6.9565217391e-01   5.1727537848e-07
7.0346849047e-01   5.2745727191e-07
7.1128480703e-01   5.3763356078e-07
7.1910112360e-01   5.4780380129e-07
7.2691744016e-01   5.5796754850e-07
7.3473375672e-01   5.6812435642e-07
7.4255007328e-01   5.7827377770e-07
7.5036638984e-01   5.8841536379e-07
7.5818270640e-01   5.9854866466e-07
7.6599902296e-01   6.0867322879e-07
7.7381533952e-01   6.1878860311e-07
7.8163165608e-01   6.2889433292e-07
7.8944797264e-01   6.3898996172e-07
7.9726428920e-01   6.4907503122e-07
8.0508060576e-01   6.5914908118e-07
8.1289692233e-01   6.6921164937e-07
8.2071323889e-01   6.7926227151e-07
8.2852955545e-01   6.8930048111e-07
8.3634587201e-01   6.9932580940e-07
8.4416218857e-01   7.0933778532e-07
8.5197850513e-01   7.1933593535e-07
8.5979482169e-01   7.2931978343e-07
8.6761113825e-01   7.3928885094e-07
8.7542745481e-01   7.4924265661e-07
8.8324377137e-01   7.5918071626e-07
8.9106008793e-01   7.6910254301e-07
8.9887640449e-01   7.7900764697e-07
9.0669272106e-01   7.8889553526e-07
9.1450903762e-01   9.6459759336e-07
9.2232535418e-01   9.7647907271e-07
9.3014167074e-01   9.8833792281e-07
9.3795798730e-01   1.0001735332e-06
9.4577430386e-01   1.0119852892e-06
9.5359062042e-01   1.0237725722e-06
9.6140693698e-01   1.0355347589e-06
9.6922325354e-01   1.0472712219e-06
9.7703957010e-01   1.0589813291e-06
9.8485588666e-01   1.0706644439e-06
9.9267220322e-01   1.0823199251e-06
1.0004885198e+00   1.0939471267e-06
1.0083048363e+00   1.1055453979e-06
1.0161211529e+00   1.1171140829e-06
1.0239374695e+00   1.1286525209e-06
1.0317537860e+00   1.1401600463e-06
1.0395701026e+00   1.1516359880e-06
1.0473864191e+00   1.1630796699e-06
1.0552027357e+00   1.1744904108e-06
1.0630190523e+00   1.1858675237e-06
1.0708353688e+00   1.1972103165e-06
1.0786516854e+00   1.2085180917e-06
1.0864680020e+00   1.2197901462e-06
1.0942843185e+00   1.2310257711e-06
1.1021006351e+00   1.2422242522e-06
1.1099169516e+00   1.2533848694e-06
1.1177332682e+00   1.2645068969e-06
1.1255495848e+00   1.2755896033e-06
1.1333659013e+00   1.2866322512e-06
1.1411822179e+00   1.2976340974e-06
1.1489985344e+00   1.3085943927e-06
1.1568148510e+00   1.3195123822e-06
1.1646311676e+00   1.3303873050e-06
1.1724474841e+00   1.3412183940e-06
1.1802638007e+00   1.3520048764e-06
1.1880801172e+00   1.3627459733e-06
1.1958964338e+00   1.3734408996e-06
1.2037127504e+00   1.3840888644e-06
1.2115290669e+00   1.3946890706e-06
1.2193453835e+00   1.4052407152e-06
1.2271617000e+00   1.4157429890e-06
1.2349780166e+00   1.4261950768e-06
1.2427943332e+00   1.4365961576e-06
1.2506106497e+00   1.4469454041e-06
1.2584269663e+00   1.4572419831e-06
1.2662432829e+00   1.4674850554e-06
1.2740595994e+00   1.4776737759e-06
1.2818759160e+00   1.4878072936e-06
1.2896922325e+00   1.4978847515e-06
1.2975085491e+00   1.5079052869e-06
1.3053248657e+00   1.5178680311e-06
1.3131411822e+00   1.5418220229e-06
1.3209574988e+00   1.5517453905e-06
1.3287738153e+00   1.5616077240e-06
1.3365901319e+00   1.5714081242e-06
1.3444064485e+00   1.5811456860e-06
1.3522227650e+00   1.5908194989e-06
1.3600390816e+00   1.6004286469e-06
1.3678553981e+00   1.6099722090e-06
1.3756717147e+00   1.6194492587e-06
1.3834880313e+00   1.6288588644e-06
1.3913043478e+00   1.6382000894e-06
1.3991206644e+00   1.6474719922e-06
1.4069369809e+00   1.6566736262e-06
1.4147532975e+00   1.6658040403e-06
1.4225696141e+00   1.6748622787e-06
1.4303859306e+00   1.6838473811e-06
1.4382022472e+00   1.6927583827e-06
1.4460185638e+00   1.7015943146e-06
1.4538348803e+00   1.7103542038e-06
1.4616511969e+00   1.7190370733e-06
1.4694675134e+00   1.7276419422e-06
1.4772838300e+00   1.7361678259e-06
1.4851001466e+00   1.7446137365e-06
1.4929164631e+00   1.7529786825e-06
1.5007327797e+00   1.7612616692e-06
1.5085490962e+00   1.7694616991e-06
1.5163654128e+00   1.7775777715e-06
1.5241817294e+00   1.7856088835e-06
1.5319980459e+00   1.7935540292e-06
1.5398143625e+00   1.8014122006e-06
1.5476306790e+00   1.8091823877e-06
1.5554469956e+00   1.8168635784e-06
1.5632633122e+00   1.8244547590e-06
1.5710796287e+00   1.8319549143e-06
1.5788959453e+00   1.8393630276e-06
1.5867122618e+00   1.8466780815e-06
1.5945285784e+00   1.8538990572e-06
1.6023448950e+00   1.8610249358e-06
1.6101612115e+00   1.8680546977e-06
1.6179775281e+00   1.8749873231e-06
1.6257938447e+00   1.8818217924e-06
1.6336101612e+00   1.8885570863e-06
1.6414264778e+00   1.8951921859e-06
1.6492427943e+00   1.9017260731e-06
1.6570591109e+00   1.9081577310e-06
1.6648754275e+00   1.9144861441e-06
1.6726917440e+00   1.9207102979e-06
1.6805080606e+00   1.9268291804e-06
1.6883243771e+00   1.9328417813e-06
1.6961406937e+00   1.9387470926e-06
1.7039570103e+00   1.6484956180e-06
1.7117733268e+00   1.6533073376e-06
1.7195896434e+00   1.6580254998e-06
1.7274059599e+00   1.6626492612e-06
1.7352222765e+00   1.6671777813e-06
1.7430385931e+00   1.6716102234e-06
1.7508549096e+00   1.6759457542e-06
1.7586712262e+00   1.6801835446e-06
1.7664875427e+00   1.6843227695e-06
1.7743038593e+00   1.6883626085e-06
1.7821201759e+00   1.6923022456e-06
1.7899364924e+00   1.6961408700e-06
1.7977528090e+00   1.6998776761e-06
1.8055691255e+00   1.7035118635e-06
1.8133854421e+00   1.7070426380e-06
1.8212017587e+00   1.7104692110e-06
1.8290180752e+00   1.7137908005e-06
1.8368343918e+00   1.7170066308e-06
1.8446507084e+00   1.7201159329e-06
1.8524670249e+00   1.7231179453e-06
1.8602833415e+00   1.7260119132e-06
1.8680996580e+00   1.7287970900e-06
1.8759159746e+00   1.7314727366e-06
1.8837322912e+00   1.7340381220e-06
1.8915486077e+00   1.7364925239e-06
1.8993649243e+00   1.7388352282e-06
1.9071812408e+00   1.7410655301e-06
1.9149975574e+00   1.7431827339e-06
1.9228138740e+00   1.7451861531e-06
1.9306301905e+00   1.7470751114e-06
1.9384465071e+00   1.7488489419e-06
1.9462628236e+00   1.7505069883e-06
1.9540791402e+00   1.7520486048e-06
1.9618954568e+00   1.7534731562e-06
1.9697117733e+00   1.7547800184e-06
1.9775280899e+00   1.7559685785e-06
1.9853444064e+00   1.7570382354e-06
1.9931607230e+00   1.7579883993e-06
2.0009770396e+00   1.7588184928e-06
2.0087933561e+00   1.7595279507e-06
2.0166096727e+00   1.7601162202e-06
2.0244259893e+00   1.7605827614e-06
2.0322423058e+00   1.7609270475e-06
2.0400586224e+00   1.7611485645e-06
2.0478749389e+00   1.7612468125e-06
2.0556912555e+00   1.7612213048e-06
2.0635075721e+00   1.7610715688e-06
2.0713238886e+00   1.7607971462e-06
2.0791402052e+00   1.7603975929e-06
2.0869565217e+00   1.7598724794e-06
2.0947728383e+00   1.1084949126e-06
2.1025891549e+00   1.1079975261e-06
2.1104054714e+00   1.1074202430e-06
2.1182217880e+00   1.1067628317e-06
2.1260381045e+00   1.1060250704e-06
2.1338544211e+00   1.1052067474e-06
2.1416707377e+00   1.1043076612e-06
2.1494870542e+00   1.1033276202e-06
2.1573033708e+00   1.1022664433e-06
2.1651196873e+00   1.1011239598e-06
2.1729360039e+00   1.0999000097e-06
2.1807523205e+00   1.0985944433e-06
2.1885686370e+00   1.0972071219e-06
2.1963849536e+00   1.0957379174e-06
2.2042012702e+00   1.0941867128e-06
2.2120175867e+00   1.0925534020e-06
2.2198339033e+00   1.0908378901e-06
2.2276502198e+00   1.0890400932e-06
2.2354665364e+00   1.0871599387e-06
2.2432828530e+00   1.0851973653e-06
2.2510991695e+00   1.0831523232e-06
2.2589154861e+00   1.0810247738e-06
2.2667318026e+00   1.0788146902e-06
2.2745481192e+00   1.0765220569e-06
2.2823644358e+00   1.0741468700e-06
2.2901807523e+00   1.0716891373e-06
2.2979970689e+00   1.0691488785e-06
2.3058133854e+00   1.0665261245e-06
2.3136297020e+00   1.0638209184e-06
2.3214460186e+00   1.0610333150e-06
2.3292623351e+00   1.0581633806e-06
2.3370786517e+00   1.0552111938e-06
2.3448949682e+00   1.0521768446e-06
2.3527112848e+00   1.0490604350e-06
2.3605276014e+00   1.0458620791e-06
2.3683439179e+00   1.0425819023e-06
2.3761602345e+00   1.0392200422e-06
2.3839765511e+00   1.0357766484e-06
2.3917928676e+00   1.0322518818e-06
2.3996091842e+00   1.0286459155e-06
2.4074255007e+00   1.0249589342e-06
2.4152418173e+00   1.0211911344e-06
2.4230581339e+00   1.0173427243e-06
2.4308744504e+00   1.0134139236e-06
2.4386907670e+00   1.0094049639e-06
2.4465070835e+00   1.0053160882e-06
2.4543234001e+00   1.0011475509e-06
2.4621397167e+00   9.9689961813e-07
2.4699560332e+00   9.9257256719e-07
2.4777723498e+00   1.1020171201e-07
2.4855886663e+00   1.0970057288e-07
2.4934049829e+00   1.0919071033e-07
2.5012212995e+00   1.0867216052e-07
2.5090376160e+00   1.0814496063e-07
2.5168539326e+00   1.0760914920e-07
2.5246702491e+00   1.0706476594e-07
2.5324865657e+00   1.0651185178e-07
2.5403028823e+00   1.0595044875e-07
2.5481191988e+00   1.0538060016e-07
2.5559355154e+00   1.0480235038e-07
2.5637518319e+00   1.0421574492e-07
2.5715681485e+00   1.0362083055e-07
2.5793844651e+00   1.0301765502e-07
2.5872007816e+00   1.0240626722e-07
2.5950170982e+00   1.0178671708e-07
2.6028334148e+00   1.0115905574e-07
2.6106497313e+00   1.0052333518e-07
2.6184660479e+00   9.9879608639e-08
2.6262823644e+00   9.9227930206e-08
2.6340986810e+00   9.8568355034e-08
2.6419149976e+00   9.7900939300e-08
2.6497313141e+00   9.7225739987e-08
2.6575476307e+00   9.6542815214e-08
