X    Y
0.0000000000e+00   2.0000000000e-01
1.0000000000e-04   1.9999999900e-01
1.1000000000e-03   1.9999987899e-01
8.9163165608e-03   1.9999204317e-01
1.6732633122e-02   1.9997195752e-01
2.4548949682e-02   1.9993959566e-01
3.2365266243e-02   1.9989493190e-01
4.0181582804e-02   1.9983794124e-01
4.7997899365e-02   1.9976859938e-01
5.5814215926e-02   1.9968688273e-01
6.3630532487e-02   1.9959276838e-01
7.1446849047e-02   1.9948623414e-01
7.9263165608e-02   1.9936725852e-01
8.7079482169e-02   1.9923582073e-01
9.4895798730e-02   1.9909190071e-01
1.0271211529e-01   1.9893547910e-01
1.1052843185e-01   1.9876653725e-01
1.1834474841e-01   1.9858505725e-01
1.2616106497e-01   1.9839102189e-01
1.3397738153e-01   1.9818441470e-01
1.4179369809e-01   1.9796521991e-01
1.4961001466e-01   1.9773342249e-01
1.5742633122e-01   1.9748900816e-01
1.6524264778e-01   1.9723196333e-01
1.7305896434e-01   1.9696227518e-01
1.8087528090e-01   1.9667993161e-01
1.8869159746e-01   1.9638492124e-01
1.9650791402e-01   1.9607723347e-01
2.0432423058e-01   1.9575685840e-01
2.1214054714e-01   1.9542378689e-01
2.1995686370e-01   1.9507801056e-01
2.2777318026e-01   1.9471952174e-01
2.3558949682e-01   1.9434831355e-01
2.4340581339e-01   1.9396437982e-01
2.5122212995e-01   1.9356771517e-01
2.5903844651e-01   1.9315831494e-01
2.6685476307e-01   1.9273617524e-01
2.7467107963e-01   1.9230129294e-01
2.8248739619e-01   1.9185366567e-01
2.9030371275e-01   1.9139329179e-01
2.9812002931e-01   1.9092017046e-01
3.0593634587e-01   1.9043430158e-01
3.1375266243e-01   1.8993568583e-01
3.2156897899e-01   1.8942432462e-01
3.2938529555e-01   1.8890022017e-01
3.3720161212e-01   1.8836337544e-01
3.4501792868e-01   1.8781379416e-01
3.5283424524e-01   1.8725148085e-01
3.6065056180e-01   1.8667644077e-01
3.6846687836e-01   1.8608867999e-01
3.7628319492e-01   1.8548820531e-01
3.8409951148e-01   1.8487502434e-01
3.9191582804e-01   1.8424914544e-01
3.9973214460e-01   1.8361057778e-01
4.0754846116e-01   1.8295933126e-01
4.1536477772e-01   1.8229541660e-01
4.2318109428e-01   1.8161884527e-01
4.3099741085e-01   1.8092962955e-01
4.3881372741e-01   1.8022778246e-01
4.4663004397e-01   1.7951331784e-01
4.5444636053e-01   1.7878625030e-01
4.6226267709e-01   1.7804659521e-01
4.7007899365e-01   1.7729436876e-01
4.7017899365e-01   1.7728466359e-01
4.7117899365e-01   1.7718749887e-01
4.7899531021e-01   1.7642095261e-01
4.8681162677e-01   1.7564187225e-01
4.9462794333e-01   1.7485027641e-01
5.0244425989e-01   1.7404618453e-01
5.1026057645e-01   1.7322961681e-01
5.1807689301e-01   1.7240059425e-01
5.2589320957e-01   1.7155913862e-01
5.3370952614e-01   1.7070527251e-01
5.4152584270e-01   1.6983901927e-01
5.4934215926e-01   1.6896040304e-01
5.5715847582e-01   1.6806944877e-01
5.6497479238e-01   1.6716618218e-01
5.7279110894e-01   1.6625062978e-01
5.8060742550e-01   1.6532281887e-01
5.8842374206e-01   1.6438277755e-01
5.9624005862e-01   1.6343053469e-01
6.0405637518e-01   1.6246611998e-01
6.1187269174e-01   1.6148956386e-01
6.1968900830e-01   1.6050089759e-01
6.2750532487e-01   1.5950015322e-01
6.3532164143e-01   1.5848736356e-01
6.4313795799e-01   1.5746256223e-01
6.5095427455e-01   1.5642578365e-01
6.5877059111e-01   1.5537706302e-01
6.6658690767e-01   1.5431643630e-01
6.7440322423e-01   1.5324394030e-01
6.8221954079e-01   1.5215961255e-01
6.9003585735e-01   1.5106349142e-01
6.9785217391e-01   1.4995561605e-01
7.0566849047e-01   1.4883602636e-01
7.1348480703e-01   1.4770476306e-01
7.2130112360e-01   1.4656186766e-01
7.2911744016e-01   1.4540738244e-01
7.3693375672e-01   1.4424135047e-01
7.4475007328e-01   1.4306381561e-01
7.5256638984e-01   1.4187482250e-01
7.6038270640e-01   1.4067441657e-01
7.6819902296e-01   1.3946264403e-01
7.7601533952e-01   1.3823955186e-01
7.8383165608e-01   1.3700518784e-01
7.9164797264e-01   1.3575960053e-01
7.9946428920e-01   1.3450283926e-01
8.0728060576e-01   1.3323495415e-01
8.1509692233e-01   1.3195599608e-01
8.2291323889e-01   1.3066601674e-01
8.3072955545e-01   1.2936506856e-01
8.3854587201e-01   1.2805320477e-01
8.4636218857e-01   1.2673047938e-01
8.5417850513e-01   1.2539694715e-01
8.6199482169e-01   1.2405266363e-01
8.6981113825e-01   1.2269768514e-01
8.7762745481e-01   1.2133206877e-01
8.8544377137e-01   1.1995587237e-01
8.8554377137e-01   1.1993819737e-01
8.8654377137e-01   1.1976135264e-01
8.9436008793e-01   1.1837315890e-01
9.0217640449e-01   1.1697451158e-01
9.0999272106e-01   1.1556547094e-01
9.1780903762e-01   1.1414609801e-01
9.2562535418e-01   1.1271645459e-01
9.3344167074e-01   1.1127660323e-01
9.4125798730e-01   1.0982660725e-01
9.4907430386e-01   1.0836653071e-01
9.5689062042e-01   1.0689643846e-01
9.6470693698e-01   1.0541639607e-01
9.7252325354e-01   1.0392646989e-01
9.8033957010e-01   1.0242672701e-01
9.8815588666e-01   1.0091723527e-01
9.9597220322e-01   9.9398063255e-02
1.0037885198e+00   9.7869280313e-02
1.0116048363e+00   9.6330956524e-02
1.0194211529e+00   9.4783162715e-02
1.0272374695e+00   9.3225970452e-02
1.0350537860e+00   9.1659452043e-02
1.0428701026e+00   9.0083680534e-02
1.0506864191e+00   8.8498729703e-02
1.0585027357e+00   8.6904674066e-02
1.0663190523e+00   8.5301588866e-02
1.0741353688e+00   8.3689550078e-02
1.0819516854e+00   8.2068634402e-02
1.0897680020e+00   8.0438919265e-02
1.0975843185e+00   7.8800482815e-02
1.1054006351e+00   7.7153403918e-02
1.1132169516e+00   7.5497762162e-02
1.1210332682e+00   7.3833637847e-02
1.1288495848e+00   7.2161111987e-02
1.1366659013e+00   7.0480266305e-02
1.1444822179e+00   6.8791183235e-02
1.1522985344e+00   6.7093945912e-02
1.1601148510e+00   6.5388638176e-02
1.1679311676e+00   6.3675344566e-02
1.1757474841e+00   6.1954150318e-02
1.1835638007e+00   6.0225141362e-02
1.1913801172e+00   5.8488404319e-02
1.1991964338e+00   5.6744026499e-02
1.2070127504e+00   5.4992095898e-02
1.2148290669e+00   5.3232701192e-02
1.2226453835e+00   5.1465931739e-02
1.2304617000e+00   4.9691877573e-02
1.2382780166e+00   4.7910629399e-02
1.2460943332e+00   4.6122278593e-02
1.2539106497e+00   4.4326917199e-02
1.2617269663e+00   4.2524637923e-02
1.2695432829e+00   4.0715534130e-02
1.2773595994e+00   3.8899699843e-02
1.2774595994e+00   3.8876425319e-02
1.2784595994e+00   3.8643620384e-02
1.2862759160e+00   3.6820224048e-02
1.2940922325e+00   3.4990300686e-02
1.3019085491e+00   3.3153946359e-02
1.3097248657e+00   3.1311257770e-02
1.3175411822e+00   2.9462332260e-02
1.3253574988e+00   2.7607267805e-02
1.3331738153e+00   2.5746163010e-02
1.3409901319e+00   2.3879117108e-02
1.3488064485e+00   2.2006229954e-02
1.3566227650e+00   2.0127602021e-02
1.3644390816e+00   1.8243334397e-02
1.3722553981e+00   1.6353528780e-02
1.3800717147e+00   1.4458287477e-02
1.3878880313e+00   1.2557713392e-02
1.3957043478e+00   1.0651910032e-02
1.4035206644e+00   8.7409814935e-03
1.4113369809e+00   6.8250324640e-03
1.4191532975e+00   4.9041682150e-03
1.4269696141e+00   2.9784945981e-03
1.4347859306e+00   1.0481180403e-03
1.4426022472e+00   -8.8685446056e-04
1.4504185638e+00   -2.8263153407e-03
1.4582348803e+00   -4.7701564750e-03
1.4660511969e+00   -6.7182691818e-03
1.4738675134e+00   -8.6705442279e-03
1.4816838300e+00   -1.0626871833e-02
1.4895001466e+00   -1.2587141677e-02
1.4973164631e+00   -1.4551242901e-02
1.5051327797e+00   -1.6519064116e-02
1.5129490962e+00   -1.8490493406e-02
1.5207654128e+00   -2.0465418335e-02
1.5285817294e+00   -2.2443725952e-02
1.5363980459e+00   -2.4425302794e-02
1.5442143625e+00   -2.6410034894e-02
1.5520306790e+00   -2.8397807787e-02
1.5598469956e+00   -3.0388506513e-02
1.5676633122e+00   -3.2382015625e-02
1.5754796287e+00   -3.4378219194e-02
1.5832959453e+00   -3.6377000812e-02
1.5911122618e+00   -3.8378243605e-02
1.5989285784e+00   -4.0381830230e-02
1.6067448950e+00   -4.2387642888e-02
1.6145612115e+00   -4.4395563326e-02
1.6223775281e+00   -4.6405472846e-02
1.6301938447e+00   -4.8417252308e-02
1.6380101612e+00   -5.0430782138e-02
1.6458264778e+00   -5.2445942337e-02
1.6536427943e+00   -5.4462612480e-02
1.6614591109e+00   -5.6480671730e-02
1.6615591109e+00   -5.6506498748e-02
1.6625591109e+00   -5.6764780292e-02
1.6703754275e+00   -5.8784276076e-02
1.6781917440e+00   -6.0804900921e-02
1.6860080606e+00   -6.2826532730e-02
1.6938243771e+00   -6.4849049015e-02
1.7016406937e+00   -6.6872326909e-02
1.7094570103e+00   -6.8896243173e-02
1.7172733268e+00   -7.0920674196e-02
1.7250896434e+00   -7.2945496011e-02
1.7329059599e+00   -7.4970584296e-02
1.7407222765e+00   -7.6995814382e-02
1.7485385931e+00   -7.9021061263e-02
1.7563549096e+00   -8.1046199600e-02
1.7641712262e+00   -8.3071103730e-02
1.7719875427e+00   -8.5095647671e-02
1.7798038593e+00   -8.7119705135e-02
1.7876201759e+00   -8.9143149527e-02
1.7954364924e+00   -9.1165853961e-02
1.8032528090e+00   -9.3187691262e-02
1.8110691255e+00   -9.5208533976e-02
1.8188854421e+00   -9.7228254376e-02
1.8267017587e+00   -9.9246724471e-02
1.8345180752e+00   -1.0126381602e-01
1.8423343918e+00   -1.0327940052e-01
1.8501507084e+00   -1.0529334923e-01
1.8579670249e+00   -1.0730553320e-01
1.8657833415e+00   -1.0931582322e-01
1.8735996580e+00   -1.1132408989e-01
1.8814159746e+00   -1.1333020360e-01
1.8892322912e+00   -1.1533403451e-01
1.8970486077e+00   -1.1733545263e-01
1.9048649243e+00   -1.1933432776e-01
1.9126812408e+00   -1.2133052953e-01
1.9204975574e+00   -1.2332392741e-01
1.9283138740e+00   -1.2531439071e-01
1.9361301905e+00   -1.2730178858e-01
1.9439465071e+00   -1.2928599004e-01
1.9517628236e+00   -1.3126686398e-01
1.9595791402e+00   -1.3324427916e-01
1.9673954568e+00   -1.3521810421e-01
1.9752117733e+00   -1.3718820769e-01
1.9830280899e+00   -1.3915445804e-01
1.9908444064e+00   -1.4111672360e-01
1.9986607230e+00   -1.4307487265e-01
2.0064770396e+00   -1.4502877340e-01
2.0142933561e+00   -1.4697829399e-01
2.0221096727e+00   -1.4892330250e-01
2.0299259893e+00   -1.5086366699e-01
2.0377423058e+00   -1.5279925546e-01
2.0455586224e+00   -1.5472993591e-01
2.0456586224e+00   -1.5475460418e-01
2.0466586224e+00   -1.5500124146e-01
2.0544749389e+00   -1.5692616195e-01
2.0622912555e+00   -1.5884589177e-01
2.0701075721e+00   -1.6076029887e-01
2.0779238886e+00   -1.6266925125e-01
2.0857402052e+00   -1.6457261690e-01
2.0935565217e+00   -1.6647026386e-01
2.1013728383e+00   -1.6836206021e-01
2.1091891549e+00   -1.7024787407e-01
2.1170054714e+00   -1.7212757363e-01
2.1248217880e+00   -1.7400102715e-01
2.1326381045e+00   -1.7586810296e-01
2.1404544211e+00   -1.7772866949e-01
2.1482707377e+00   -1.7958259526e-01
2.1560870542e+00   -1.8142974890e-01
2.1639033708e+00   -1.8326999917e-01
2.1717196873e+00   -1.8510321495e-01
2.1795360039e+00   -1.8692926523e-01
2.1873523205e+00   -1.8874801919e-01
2.1951686370e+00   -1.9055934615e-01
2.2029849536e+00   -1.9236311558e-01
2.2108012702e+00   -1.9415919714e-01
2.2186175867e+00   -1.9594746069e-01
2.2264339033e+00   -1.9772777625e-01
2.2342502198e+00   -1.9950001409e-01
2.2420665364e+00   -2.0126404464e-01
2.2498828530e+00   -2.0301973861e-01
2.2576991695e+00   -2.0476696692e-01
2.2655154861e+00   -2.0650560072e-01
2.2733318026e+00   -2.0823551143e-01
2.2811481192e+00   -2.0995657074e-01
2.2889644358e+00   -2.1166865060e-01
2.2967807523e+00   -2.1337162326e-01
2.3045970689e+00   -2.1506536125e-01
2.3124133854e+00   -2.1674973741e-01
2.3202297020e+00   -2.1842462488e-01
2.3280460186e+00   -2.2008989714e-01
2.3358623351e+00   -2.2174542799e-01
2.3436786517e+00   -2.2339109159e-01
2.3514949682e+00   -2.2502676244e-01
2.3593112848e+00   -2.2665231539e-01
2.3671276014e+00   -2.2826762569e-01
2.3749439179e+00   -2.2987256894e-01
2.3827602345e+00   -2.3146702117e-01
2.3905765511e+00   -2.3305085877e-01
2.3983928676e+00   -2.3462395857e-01
2.4062091842e+00   -2.3618619781e-01
2.4140255007e+00   -2.3773745415e-01
2.4218418173e+00   -2.3927760572e-01
2.4219418173e+00   -2.3929723756e-01
2.4229418173e+00   -2.3949345485e-01
2.4307581339e+00   -2.4102079059e-01
2.4385744504e+00   -2.4253676213e-01
2.4463907670e+00   -2.4404124904e-01
2.4542070835e+00   -2.4553413135e-01
2.4620234001e+00   -2.4701528957e-01
2.4698397167e+00   -2.4848460472e-01
2.4776560332e+00   -2.4994195835e-01
2.4854723498e+00   -2.5138723248e-01
2.4932886663e+00   -2.5282030969e-01
2.5011049829e+00   -2.5424107310e-01
