X    Y
0.0000000000e+00   nan
7.8163165608e-03   5.9578847602e-15
1.5632633122e-02   6.0897643411e-15
2.3448949682e-02   6.2675568970e-15
3.1265266243e-02   6.4911248340e-15
3.9081582804e-02   6.8431159601e-15
4.6897899365e-02   7.3507172073e-15
5.4714215926e-02   8.1826445161e-15
6.2530532487e-02   9.2161438004e-15
7.0346849047e-02   1.0871678668e-14
7.8163165608e-02   1.3180250833e-14
8.5979482169e-02   1.5961425656e-14
9.3795798730e-02   1.9734561077e-14
1.0161211529e-01   2.4604451089e-14
1.0942843185e-01   3.0645030446e-14
1.1724474841e-01   3.8055527166e-14
1.2506106497e-01   4.6984223546e-14
1.3287738153e-01   5.7543518580e-14
1.4069369809e-01   6.9941184472e-14
1.4851001466e-01   8.4454903147e-14
1.5632633122e-01   1.0108768287e-13
1.6414264778e-01   1.2004878223e-13
1.7195896434e-01   1.4160731614e-13
1.7977528090e-01   1.6560639701e-13
1.8759159746e-01   1.9263949974e-13
1.9540791402e-01   2.2250861150e-13
2.0322423058e-01   2.5538016537e-13
2.1104054714e-01   2.9139534587e-13
2.1885686370e-01   3.3067469047e-13
2.2667318026e-01   3.7347112734e-13
2.3448949682e-01   4.1942595244e-13
2.4230581339e-01   4.6878586281e-13
2.5012212995e-01   5.2149597609e-13
2.5793844651e-01   5.7750828455e-13
2.6575476307e-01   6.3678069453e-13
2.7357107963e-01   6.9927623064e-13
2.8138739619e-01   7.6472249730e-13
2.8920371275e-01   8.3311060292e-13
2.9702002931e-01   9.0409237371e-13
3.0483634587e-01   9.7757742081e-13
3.1265266243e-01   1.0532693917e-12
3.2046897899e-01   1.1309016891e-12
3.2828529555e-01   1.2103364963e-12
3.3610161212e-01   1.2908484222e-12
3.4391792868e-01   1.3721707571e-12
3.5173424524e-01   1.4538698888e-12
3.5955056180e-01   1.5357379083e-12
3.6736687836e-01   1.6168526954e-12
3.7518319492e-01   1.6969079002e-12
3.8299951148e-01   1.7752715366e-12
3.9081582804e-01   1.8511907766e-12
3.9863214460e-01   1.9241410955e-12
4.0644846116e-01   1.9933078535e-12
4.1426477772e-01   2.0581004808e-12
4.2208109428e-01   2.1178129750e-12
4.2989741085e-01   2.1716342683e-12
4.3771372741e-01   2.2186574362e-12
4.4553004397e-01   2.2581896262e-12
4.5334636053e-01   2.2894368402e-12
4.6116267709e-01   2.3113665040e-12
4.6897899365e-01   2.3233003962e-12
4.7679531021e-01   2.3243214132e-12
4.8461162677e-01   2.3135699521e-12
4.9242794333e-01   2.2901025065e-12
5.0024425989e-01   2.2530322922e-12
5.0806057645e-01   2.2015245817e-12
5.1587689301e-01   2.1347924624e-12
5.2369320957e-01   2.0518359788e-12
5.3150952614e-01   1.9518371257e-12
5.3932584270e-01   1.8340216439e-12
5.4714215926e-01   1.6976555828e-12
5.5495847582e-01   1.5419207680e-12
5.6277479238e-01   1.3660398905e-12
5.7059110894e-01   1.1693915091e-12
5.7840742550e-01   9.5126624057e-13
5.8622374206e-01   7.1098717145e-13
5.9404005862e-01   4.4813458805e-13
6.0185637518e-01   1.6219291507e-13
6.0967269174e-01   1.4733287803e-13
6.1748900830e-01   4.8080945042e-13
6.2530532487e-01   8.3826693692e-13
6.3312164143e-01   1.2201669806e-12
