X    Y
0.0000000000e+00   nan
7.8163165608e-03   7.0663284365e-15
1.5632633122e-02   2.3805442424e-14
2.3448949682e-02   9.4013353456e-14
3.1265266243e-02   2.8119000345e-13
3.9081582804e-02   6.7217058382e-13
4.6897899365e-02   1.3764217971e-12
5.4714215926e-02   2.5252899845e-12
6.2530532487e-02   4.2709261024e-12
7.0346849047e-02   6.7853933331e-12
7.8163165608e-02   1.0259287578e-11
8.5979482169e-02   1.4901187957e-11
9.3795798730e-02   2.0936724756e-11
1.0161211529e-01   2.8607393053e-11
1.0942843185e-01   3.8169636239e-11
1.1724474841e-01   4.9894441280e-11
1.2506106497e-01   6.4065447282e-11
1.3287738153e-01   8.0979144084e-11
1.4069369809e-01   1.0094355391e-10
1.4851001466e-01   1.2427745545e-10
1.5632633122e-01   1.5130974304e-10
1.6414264778e-01   1.8237856611e-10
1.7195896434e-01   2.1783121179e-10
1.7977528090e-01   2.5802270658e-10
1.8759159746e-01   3.0331614285e-10
1.9540791402e-01   3.5408120165e-10
2.0322423058e-01   4.1069453693e-10
2.1104054714e-01   4.7353880175e-10
2.1885686370e-01   5.4300282887e-10
2.2667318026e-01   6.1948089119e-10
2.3448949682e-01   7.0337241498e-10
2.4230581339e-01   7.9508246174e-10
2.5012212995e-01   8.9502064553e-10
2.5793844651e-01   1.0036017053e-09
2.6575476307e-01   1.1212456077e-09
2.7357107963e-01   1.2483770285e-09
2.8138739619e-01   1.3854256558e-09
2.8920371275e-01   1.5328265737e-09
2.9702002931e-01   1.6910202570e-09
3.0483634587e-01   1.8604528031e-09
3.1265266243e-01   2.0415762488e-09
3.2046897899e-01   2.2348488547e-09
3.2828529555e-01   2.4407355666e-09
3.3610161212e-01   2.6597083261e-09
3.4391792868e-01   2.8922466453e-09
3.5173424524e-01   3.1388381177e-09
3.5955056180e-01   3.3999790634e-09
3.6736687836e-01   3.6761743725e-09
3.7518319492e-01   3.9679391751e-09
3.8299951148e-01   4.2757989156e-09
3.9081582804e-01   4.6002896039e-09
3.9863214460e-01   4.9419595706e-09
4.0644846116e-01   5.3013688830e-09
4.1426477772e-01   5.6790909533e-09
4.2208109428e-01   6.0757130276e-09
4.2989741085e-01   6.4918367938e-09
4.3771372741e-01   6.9280790952e-09
4.4553004397e-01   7.3850728880e-09
4.5334636053e-01   7.8634678205e-09
4.6116267709e-01   8.3639310634e-09
4.6897899365e-01   8.8871482202e-09
4.7679531021e-01   9.4338236022e-09
4.8461162677e-01   1.0004681331e-08
4.9242794333e-01   1.0600466084e-08
5.0024425989e-01   1.1221943655e-08
5.0806057645e-01   1.1869901752e-08
5.1587689301e-01   1.2545150747e-08
5.2369320957e-01   1.3248524249e-08
5.3150952614e-01   1.3980879783e-08
5.3932584270e-01   1.4743099432e-08
5.4714215926e-01   1.5536090697e-08
5.5495847582e-01   1.6360786579e-08
5.6277479238e-01   1.7218146769e-08
5.7059110894e-01   1.8109157926e-08
5.7840742550e-01   1.9034833977e-08
5.8622374206e-01   1.9996217214e-08
5.9404005862e-01   2.0994378438e-08
6.0185637518e-01   2.2030417448e-08
6.0967269174e-01   2.3105463531e-08
6.1748900830e-01   2.4220676051e-08
6.2530532487e-01   2.5377244602e-08
6.3312164143e-01   2.6576389917e-08
6.4093795799e-01   2.7819363494e-08
6.4875427455e-01   2.9107448628e-08
6.5657059111e-01   3.0441960580e-08
6.6438690767e-01   3.1824246981e-08
6.7220322423e-01   3.3255688037e-08
6.8001954079e-01   3.4737697152e-08
6.8783585735e-01   3.6271720964e-08
6.9565217391e-01   3.7859239605e-08
7.0346849047e-01   3.9501767751e-08
7.1128480703e-01   4.1200854124e-08
7.1910112360e-01   4.2958082572e-08
7.2691744016e-01   4.4775071810e-08
7.3473375672e-01   4.6653476144e-08
7.4255007328e-01   4.8594986017e-08
7.5036638984e-01   5.0601328186e-08
7.5818270640e-01   5.2674266121e-08
7.6599902296e-01   5.4815601317e-08
7.7381533952e-01   5.7027172266e-08
7.8163165608e-01   5.9310856868e-08
7.8944797264e-01   6.1668571630e-08
7.9726428920e-01   6.4102273007e-08
8.0508060576e-01   6.6613958221e-08
8.1289692233e-01   6.9205665903e-08
8.2071323889e-01   7.1879476752e-08
8.2852955545e-01   7.4637514543e-08
8.3634587201e-01   7.7481947466e-08
8.4416218857e-01   8.0414989275e-08
8.5197850513e-01   8.3438899957e-08
8.5979482169e-01   8.6555987218e-08
8.6761113825e-01   8.9768608112e-08
8.7542745481e-01   9.3079170494e-08
8.8324377137e-01   9.6490134299e-08
8.9106008793e-01   1.0000401360e-07
8.9887640449e-01   1.0362337834e-07
9.0669272106e-01   1.0735085584e-07
9.1450903762e-01   1.1118913392e-07
9.2232535418e-01   1.1514096247e-07
9.3014167074e-01   1.1920915574e-07
9.3795798730e-01   1.2339659480e-07
9.4577430386e-01   1.2770623107e-07
9.5359062042e-01   1.3214108797e-07
9.6140693698e-01   1.3670426510e-07
9.6922325354e-01   1.4139894055e-07
9.7703957010e-01   1.4622837466e-07
9.8485588666e-01   1.5119591357e-07
9.9267220322e-01   1.5630499303e-07
1.0004885198e+00   1.6155914194e-07
1.0083048363e+00   1.6696198708e-07
1.0161211529e+00   1.7251725707e-07
1.0239374695e+00   1.7822878686e-07
1.0317537860e+00   1.8410052270e-07
1.0395701026e+00   1.9013652742e-07
1.0473864191e+00   1.9634098489e-07
1.0552027357e+00   2.0271820626e-07
1.0630190523e+00   2.0927263526e-07
1.0708353688e+00   2.1600885401e-07
1.0786516854e+00   2.2293158979e-07
1.0864680020e+00   2.3004572073e-07
1.0942843185e+00   2.3735628300e-07
1.1021006351e+00   2.4486847779e-07
1.1099169516e+00   2.5258767836e-07
1.1177332682e+00   2.6051943759e-07
1.1255495848e+00   2.6866949591e-07
1.1333659013e+00   2.7704378922e-07
1.1411822179e+00   2.8564845714e-07
1.1489985344e+00   2.9448985195e-07
1.1568148510e+00   3.0357454749e-07
1.1646311676e+00   3.1290934826e-07
1.1724474841e+00   3.2250129908e-07
1.1802638007e+00   3.3235769503e-07
1.1880801172e+00   3.4248609162e-07
1.1958964338e+00   3.5289431517e-07
1.2037127504e+00   3.6359047393e-07
1.2115290669e+00   3.7458296886e-07
1.2193453835e+00   3.8588050576e-07
1.2271617000e+00   3.9749210660e-07
1.2349780166e+00   4.0942712201e-07
1.2427943332e+00   4.2169524349e-07
1.2506106497e+00   4.5318711694e-07
