X    Y
2.0000000000e-01   0.0000000000e+00
1.9999388596e-01   -1.5650082301e-03
1.9997552586e-01   -3.1334477275e-03
1.9994489321e-01   -4.7052303755e-03
1.9990196224e-01   -6.2802677085e-03
1.9984670785e-01   -7.8584709179e-03
1.9977910563e-01   -9.4397508558e-03
1.9969913190e-01   -1.1024018041e-02
1.9960676365e-01   -1.2611182664e-02
1.9950197859e-01   -1.4201154591e-02
1.9938475513e-01   -1.5793843369e-02
1.9925507239e-01   -1.7389158231e-02
1.9911291020e-01   -1.8987008102e-02
1.9895824909e-01   -2.0587301602e-02
1.9879107034e-01   -2.2189947053e-02
1.9861135590e-01   -2.3794852481e-02
1.9841908849e-01   -2.5401925625e-02
1.9821425151e-01   -2.7011073937e-02
1.9799682912e-01   -2.8622204592e-02
1.9776680617e-01   -3.0235224490e-02
1.9752416827e-01   -3.1850040259e-02
1.9726890174e-01   -3.3466558265e-02
1.9700099365e-01   -3.5084684613e-02
1.9672043179e-01   -3.6704325154e-02
1.9642720470e-01   -3.8325385487e-02
1.9612130165e-01   -3.9947770967e-02
1.9580271265e-01   -4.1571386708e-02
1.9547142845e-01   -4.3196137590e-02
1.9512744057e-01   -4.4821928260e-02
1.9477074123e-01   -4.6448663139e-02
1.9440132345e-01   -4.8076246429e-02
1.9401918095e-01   -4.9704582114e-02
1.9362430824e-01   -5.1333573967e-02
1.9321670056e-01   -5.2963125553e-02
1.9279635392e-01   -5.4593140235e-02
1.9236326508e-01   -5.6223521181e-02
1.9191743154e-01   -5.7854171364e-02
1.9145885159e-01   -5.9484993570e-02
1.9098752427e-01   -6.1115890401e-02
1.9050344936e-01   -6.2746764281e-02
1.9000662744e-01   -6.4377517459e-02
1.8949705982e-01   -6.6008052018e-02
1.8897474860e-01   -6.7638269874e-02
1.8843969664e-01   -6.9268072782e-02
1.8789190757e-01   -7.0897362344e-02
1.8733138578e-01   -7.2526040011e-02
1.8675813645e-01   -7.4154007087e-02
1.8617216550e-01   -7.5781164735e-02
1.8557347967e-01   -7.7407413981e-02
1.8496208642e-01   -7.9032655720e-02
1.8433799404e-01   -8.0656790717e-02
1.8370121155e-01   -8.2279719615e-02
1.8305174877e-01   -8.3901342939e-02
1.8238961630e-01   -8.5521561099e-02
1.8171482550e-01   -8.7140274395e-02
1.8102738854e-01   -8.8757383023e-02
1.8032731834e-01   -9.0372787077e-02
1.7961462862e-01   -9.1986386555e-02
1.7888933387e-01   -9.3598081366e-02
1.7815144937e-01   -9.5207771327e-02
1.7740099119e-01   -9.6815356176e-02
1.7663797617e-01   -9.8420735570e-02
1.7586242195e-01   -1.0002380909e-01
1.7507434693e-01   -1.0162447626e-01
1.7427377033e-01   -1.0322263653e-01
1.7346071212e-01   -1.0481818927e-01
1.7263519309e-01   -1.0641103383e-01
1.7179723479e-01   -1.0800106948e-01
1.7094685957e-01   -1.0958819546e-01
1.7008409058e-01   -1.1117231096e-01
1.6920895173e-01   -1.1275331511e-01
1.6832146774e-01   -1.1433110705e-01
1.6742166411e-01   -1.1590558585e-01
1.6650956713e-01   -1.1747665058e-01
