X    Y
0.0000000000e+00   9.8000000000e-01
1.0000000000e-04   9.8000089281e-01
1.1000000000e-03   9.8000982159e-01
1.1100000000e-02   9.8009918160e-01
3.0650342131e-02   9.8027426309e-01
5.0200684262e-02   9.8044984846e-01
6.9751026393e-02   9.8062593959e-01
8.9301368524e-02   9.8080253838e-01
1.0885171065e-01   9.8097964674e-01
1.2840205279e-01   9.8115726656e-01
1.4795239492e-01   9.8133539977e-01
1.6750273705e-01   9.8151404829e-01
1.8705307918e-01   9.8169321406e-01
2.0660342131e-01   9.8187289903e-01
2.2615376344e-01   9.8205310515e-01
2.4570410557e-01   9.8223383437e-01
2.6525444770e-01   9.8241508868e-01
2.8480478983e-01   9.8259687006e-01
3.0435513196e-01   9.8277918048e-01
3.2390547410e-01   9.8296202196e-01
3.4345581623e-01   9.8314539649e-01
3.6300615836e-01   9.8332930610e-01
3.8255650049e-01   9.8351375281e-01
4.0210684262e-01   9.8369873866e-01
4.2165718475e-01   9.8388426569e-01
4.4120752688e-01   9.8407033595e-01
4.6075786901e-01   9.8425695151e-01
4.8030821114e-01   9.8444411444e-01
4.9985855327e-01   9.8463182682e-01
5.1940889541e-01   9.8482009074e-01
5.3895923754e-01   9.8500890831e-01
5.5850957967e-01   9.8519828164e-01
5.7805992180e-01   9.8538821284e-01
5.9761026393e-01   9.8557870405e-01
6.1716060606e-01   9.8576975741e-01
6.3671094819e-01   9.8596137507e-01
6.5626129032e-01   9.8615355918e-01
6.7581163245e-01   9.8634631191e-01
6.9536197458e-01   9.8653963546e-01
7.1491231672e-01   9.8673353200e-01
7.3446265885e-01   9.8692800373e-01
7.5401300098e-01   9.8712305287e-01
7.7356334311e-01   9.8731868163e-01
7.9311368524e-01   9.8751489225e-01
8.1266402737e-01   9.8771168697e-01
8.3221436950e-01   9.8790906803e-01
8.5176471163e-01   9.8810703770e-01
8.7131505376e-01   9.8830559825e-01
8.9086539589e-01   9.8850475196e-01
9.1041573803e-01   9.8870450113e-01
9.2996608016e-01   9.8890484805e-01
9.4951642229e-01   9.8910579505e-01
9.6906676442e-01   9.8930734444e-01
9.8861710655e-01   9.8950949856e-01
1.0081674487e+00   9.8971225977e-01
1.0277177908e+00   9.8991563040e-01
1.0472681329e+00   9.9011961284e-01
1.0668184751e+00   9.9032420947e-01
1.0863688172e+00   9.9052942266e-01
1.1059191593e+00   9.9073525483e-01
1.1254695015e+00   9.9094170838e-01
1.1450198436e+00   9.9114878574e-01
1.1645701857e+00   9.9135648935e-01
1.1841205279e+00   9.9156482164e-01
1.2036708700e+00   9.9177378508e-01
1.2232212121e+00   9.9198338213e-01
1.2427715543e+00   9.9219361528e-01
1.2623218964e+00   9.9240448701e-01
1.2818722385e+00   9.9261599983e-01
1.3014225806e+00   9.9282815626e-01
1.3209729228e+00   9.9304095882e-01
1.3405232649e+00   9.9325441005e-01
1.3600736070e+00   9.9346851250e-01
1.3796239492e+00   9.9368326872e-01
1.3991742913e+00   9.9389868131e-01
1.4187246334e+00   9.9411475283e-01
1.4382749756e+00   9.9433148590e-01
1.4578253177e+00   9.9454888311e-01
1.4773756598e+00   9.9476694709e-01
1.4969260020e+00   9.9498568048e-01
1.5164763441e+00   9.9520508592e-01
1.5360266862e+00   9.9542516607e-01
1.5555770283e+00   9.9564592361e-01
1.5751273705e+00   9.9586736121e-01
1.5946777126e+00   9.9608948158e-01
1.6142280547e+00   9.9631228742e-01
1.6337783969e+00   9.9653578145e-01
1.6533287390e+00   9.9675996641e-01
1.6728790811e+00   9.9698484504e-01
1.6924294233e+00   9.9721042011e-01
1.7119797654e+00   9.9743669439e-01
1.7315301075e+00   9.9766367067e-01
1.7510804497e+00   9.9789135174e-01
1.7706307918e+00   9.9811974041e-01
1.7901811339e+00   9.9834883951e-01
1.8097314761e+00   9.9857865188e-01
1.8292818182e+00   9.9880918038e-01
1.8488321603e+00   9.9904042785e-01
1.8683825024e+00   9.9927239720e-01
1.8879328446e+00   9.9950509129e-01
1.9074831867e+00   9.9973851305e-01
1.9270335288e+00   9.9997266539e-01
1.9465838710e+00   1.0002075512e+00
1.9661342131e+00   1.0004431736e+00
1.9856845552e+00   1.0006795353e+00
2.0052348974e+00   1.0009166394e+00
2.0247852395e+00   1.0011544889e+00
2.0443355816e+00   1.0013930868e+00
2.0638859238e+00   1.0016324361e+00
