X    Y
0.0000000000e+00   1.0000000000e-01
4.8851978505e-03   8.1722524356e-02
9.7703957010e-03   6.5699593186e-02
1.4655593552e-02   5.1564856744e-02
1.9540791402e-02   3.9000867620e-02
2.4425989253e-02   2.7731577073e-02
2.9311187103e-02   1.7515876950e-02
3.4196384954e-02   8.1420301710e-03
3.9081582804e-02   -5.7714437340e-04
4.3966780655e-02   -8.8084473616e-03
4.8851978505e-02   -1.6701933564e-02
5.3737176356e-02   -2.4394090042e-02
5.8622374206e-02   -3.2010630964e-02
6.3507572057e-02   -3.9668972018e-02
6.8392769907e-02   -4.7480438859e-02
7.3277967758e-02   -5.5552256863e-02
7.8163165608e-02   -6.3989363223e-02
8.3048363459e-02   -7.2896077182e-02
8.7933561309e-02   -8.2377659619e-02
9.2818759160e-02   -9.2541789236e-02
9.7703957010e-02   -1.0349997906e-01
1.0258915486e-01   -1.1536895372e-01
1.0747435271e-01   -1.2827200495e-01
1.1235955056e-01   -1.4234033955e-01
1.1724474841e-01   -1.5771443083e-01
1.2212994626e-01   -1.7454538080e-01
1.2701514411e-01   -1.9299629575e-01
1.3190034196e-01   -2.1324367251e-01
1.3678553981e-01   -2.3547878519e-01
1.4167073766e-01   -2.5990905306e-01
1.4655593552e-01   -2.8675935777e-01
1.5144113337e-01   -3.1627326183e-01
1.5632633122e-01   -3.4871405861e-01
1.6121152907e-01   -3.8436555574e-01
1.6609672692e-01   -4.2353245647e-01
1.7098192477e-01   -4.6654015500e-01
1.7586712262e-01   -5.1373369905e-01
1.8075232047e-01   -5.6547559321e-01
1.8563751832e-01   -6.2214201629e-01
1.9052271617e-01   -6.8411690230e-01
1.9540791402e-01   -7.5178318688e-01
2.0029311187e-01   -8.2551034989e-01
2.0517830972e-01   -9.0563719823e-01
2.1006350757e-01   -9.9244864751e-01
2.1494870542e-01   -1.0861451084e+00
2.1983390327e-01   -1.1868030189e+00
2.2471910112e-01   -1.2943251709e+00
2.2960429897e-01   -1.4083798913e+00
2.3448949682e-01   -1.5283290087e+00
2.3937469468e-01   -1.6531460959e+00
2.4425989253e-01   -1.7813289022e+00
2.4914509038e-01   -1.9108133359e+00
2.5403028823e-01   -2.0389007394e+00
2.5891548608e-01   -2.1622150542e+00
2.6380068393e-01   -2.2767107458e+00
2.6868588178e-01   -2.3777542718e+00
2.7357107963e-01   -2.4602991119e+00
2.7845627748e-01   -2.5191646822e+00
2.8334147533e-01   -2.5494118478e+00
2.8822667318e-01   -2.5467839343e+00
2.9311187103e-01   -2.5081574950e+00
2.9799706888e-01   -2.4319299438e+00
3.0288226673e-01   -2.3182700310e+00
3.0776746458e-01   -2.1691764048e+00
3.1265266243e-01   -1.9883261175e+00
3.1753786028e-01   -1.7807383732e+00
3.2242305813e-01   -1.5523152976e+00
3.2730825598e-01   -1.3093401061e+00
3.3219345383e-01   -1.0580102561e+00
3.3707865169e-01   -8.0406333533e-01
