X    Y    Z
1.0000000000e-01   0.0000000000e+00   0.0000000000e+00
8.1722524356e-02   -5.7082037391e-03   -7.3192461032e-06
6.5699593186e-02   -1.1176107682e-02   -2.4882912388e-05
5.1564856744e-02   -1.6498592460e-02   -4.7383622299e-05
3.9000867620e-02   -2.1763013074e-02   -7.0815430434e-05
2.7731577073e-02   -2.7050905772e-02   -9.2069534732e-05
1.7515876950e-02   -3.2439518335e-02   -1.0862836190e-04
8.1420301710e-03   -3.8003193469e-02   -1.1832935492e-04
-5.7714437340e-04   -4.3814632170e-02   -1.1917698840e-04
-8.8084473616e-03   -4.9946061252e-02   -1.0918670450e-04
-1.6701933564e-02   -5.6470326766e-02   -8.6248118747e-05
-2.4394090042e-02   -6.3461932830e-02   -4.7997367524e-05
-3.2010630964e-02   -7.0998043459e-02   8.3098713156e-06
-3.9668972018e-02   -7.9159463277e-02   8.5932165193e-05
-4.7480438859e-02   -8.8031611543e-02   1.8878995155e-04
-5.5552256863e-02   -9.7705502571e-02   3.2163403289e-04
-6.3989363223e-02   -1.0827874445e-01   4.9024237461e-04
-7.2896077182e-02   -1.1985656678e-01   7.0165341113e-04
-8.2377659619e-02   -1.3255288689e-01   9.6444521003e-04
-9.2541789236e-02   -1.4649142281e-01   1.2890713733e-03
-1.0349997906e-01   -1.6180685933e-01   1.6882665030e-03
-1.1536895372e-01   -1.7864607185e-01   2.1775364704e-03
-1.2827200495e-01   -1.9716940942e-01   2.7757516610e-03
-1.4234033955e-01   -2.1755203550e-01   3.5058648925e-03
-1.5771443083e-01   -2.3998531907e-01   4.3957798845e-03
-1.7454538080e-01   -2.6467826299e-01   5.4794010817e-03
-1.9299629575e-01   -2.9185894642e-01   6.7979013426e-03
-2.1324367251e-01   -3.2177594655e-01   8.4012505528e-03
-2.3547878519e-01   -3.5469968755e-01   1.0350055572e-02
-2.5990905306e-01   -3.9092364253e-01   1.2717769979e-02
-2.8675935777e-01   -4.3076528443e-01   1.5593340579e-02
-3.1627326183e-01   -4.7456664170e-01   1.9084366048e-02
-3.4871405861e-01   -5.2269426286e-01   2.3320850651e-02
-3.8436555574e-01   -5.7553832510e-01   2.8459641072e-02
-4.2353245647e-01   -6.3351053433e-01   3.4689635089e-02
-4.6654015500e-01   -6.9704035035e-01   4.2237843434e-02
-5.1373369905e-01   -7.6656892887e-01   5.1376365927e-02
-5.6547559321e-01   -8.4253999543e-01   6.2430302387e-02
-6.2214201629e-01   -9.2538665388e-01   7.5786547765e-02
-6.8411690230e-01   -1.0155128848e+00   9.1903305204e-02
-7.5178318688e-01   -1.1132682160e+00   1.1131997171e-01
-8.2551034989e-01   -1.2189137717e+00   1.3466678522e-01
-9.0563719823e-01   -1.3325776719e+00   1.6267324119e-01
-9.9244864751e-01   -1.4541976407e+00   1.9617376254e-01
-1.0861451084e+00   -1.5834488128e+00   2.3610841470e-01
-1.1868030189e+00   -1.7196553029e+00   2.8351559294e-01
-1.2943251709e+00   -1.8616853829e+00   3.3951260835e-01
-1.4083798913e+00   -2.0078324513e+00   4.0525907556e-01
-1.5283290087e+00   -2.1556877591e+00   4.8189719943e-01
-1.6531460959e+00   -2.3020164071e+00   5.7046289137e-01
-1.7813289022e+00   -2.4426555049e+00   6.7176276299e-01
-1.9108133359e+00   -2.5724620697e+00   7.8621529741e-01
-2.0389007394e+00   -2.6853466609e+00   9.1366079001e-01
-2.1622150542e+00   -2.7744339080e+00   1.0531545683e+00
-2.2767107458e+00   -2.8323884362e+00   1.2027711610e+00
-2.3777542718e+00   -2.8519288986e+00   1.3594613037e+00
-2.4602991119e+00   -2.8265198781e+00   1.5190143234e+00
-2.5191646822e+00   -2.7511820387e+00   1.6761787636e+00
-2.5494118478e+00   -2.6233043003e+00   1.8249772100e+00
-2.5467839343e+00   -2.4432968096e+00   1.9592140824e+00
-2.5081574950e+00   -2.2149141840e+00   2.0731229337e+00
-2.4319299438e+00   -1.9451231099e+00   2.1620479629e+00
-2.3182700310e+00   -1.6434857361e+00   2.2230245222e+00
-2.1691764048e+00   -1.3211532697e+00   2.2551328490e+00
-1.9883261175e+00   -9.8966783423e-01   2.2595503747e+00
-1.7807383732e+00   -6.5981397641e-01   2.2393038678e+00
-1.5523152976e+00   -3.4072915365e-01   2.1987947291e+00
-1.3093401061e+00   -3.9393359521e-02   2.1432133621e+00
-1.0580102561e+00   2.3948886378e-01   2.0779614613e+00
-8.0406333533e-01   4.9328685772e-01   2.0081716629e+00
-5.5252553110e-01   7.2103991075e-01   1.9383699286e+00
-3.0758562855e-01   9.2297102603e-01   1.8722847997e+00
-7.2577632909e-02   1.1000138476e+00   1.8127797820e+00
1.4995566396e-01   1.2534131726e+00   1.7618728781e+00
3.5814858074e-01   1.3844269260e+00   1.7208074110e+00
5.5067554025e-01   1.4941337070e+00   1.6901455142e+00
7.2661319517e-01   1.5833359545e+00   1.6698653634e+00
8.8531736375e-01   1.6525423562e+00   1.6594523132e+00
1.0263245600e+00   1.7020114358e+00   1.6579811317e+00
1.1492829867e+00   1.7318387440e+00   1.6641910801e+00
1.2539139728e+00   1.7420711289e+00   1.6765578448e+00
1.3400018110e+00   1.7328324260e+00   1.6933666583e+00
1.4074075995e+00   1.7044455882e+00   1.7127897925e+00
1.4561008886e+00   1.6575372084e+00   1.7329694292e+00
1.4862016874e+00   1.5931121558e+00   1.7521042367e+00
1.4980247843e+00   1.5125891049e+00   1.7685353791e+00
1.4921185180e+00   1.4177921729e+00   1.7808257549e+00
1.4692911665e+00   1.3108993152e+00   1.7878254808e+00
1.4306199722e+00   1.1943537416e+00   1.7887172771e+00
1.3774402722e+00   1.0707493855e+00   1.7830373970e+00
1.3113149157e+00   9.4270442460e-01   1.7706706739e+00
1.2339866947e+00   8.1273747191e-01   1.7518214995e+00
1.1473185003e+00   6.8315931501e-01   1.7269654018e+00
1.0532270575e+00   5.5598953388e-01   1.6967878091e+00
9.5361631032e-01   4.3290285178e-01   1.6621172864e+00
8.5031589445e-01   3.1520563853e-01   1.6238600613e+00
7.4502889895e-01   2.0383936334e-01   1.5829412858e+00
6.3929156581e-01   9.9405426800e-02   1.5402566466e+00
5.3444600420e-01   2.2047706567e-03   1.4966360342e+00
4.3162562877e-01   -8.7714229070e-02   1.4528193396e+00
3.3175200354e-01   -1.7050518286e-01   1.4094432385e+00
2.3554112978e-01   -2.4647471189e-01   1.3670370975e+00
1.4351693195e-01   -3.1603796653e-01   1.3260258427e+00
5.6029700375e-02   -3.7968026279e-01   1.2867376640e+00
-2.6722543532e-02   -4.3792544351e-01   1.2494146732e+00
-1.0467146945e-01   -4.9131084111e-01   1.2142249867e+00
-1.7785598596e-01   -5.4036825600e-01   1.1812750782e+00
-2.4640088582e-01   -5.8561012089e-01   1.1506216014e+00
-3.1049723099e-01   -6.2751993886e-01   1.1222821782e+00
-3.7038484499e-01   -6.6654610712e-01   1.0962448811e+00
-4.2633706444e-01   -7.0309832560e-01   1.0724763115e+00
-4.7864774309e-01   -7.3754590578e-01   1.0509282903e+00
-5.2762039264e-01   -7.7021741910e-01   1.0315432498e+00
-5.7355927642e-01   -8.0140124178e-01   1.0142584577e+00
-6.1676223626e-01   -8.3134665730e-01   9.9900921607e-01
-6.5751501940e-01   -8.6026526647e-01   9.8573118310e-01
-6.9608687685e-01   -8.8833252746e-01   9.7436195196e-01
-7.3272721872e-01   -9.1568930644e-01   9.6484200918e-01
-7.6766313357e-01   -9.4244336571e-01   9.5711517727e-01
-8.0109760332e-01   -9.6867075198e-01   9.5112863001e-01
-8.3320827152e-01   -9.9441707600e-01   9.4683255360e-01
-8.6414664826e-01   -1.0196986967e+00   9.4417951366e-01
-8.9403765991e-01   -1.0445038412e+00   9.4312357763e-01
-9.2297947507e-01   -1.0687937050e+00   9.4361923425e-01
-9.5104355923e-01   -1.0925035898e+00   9.4562014694e-01
-9.7827492999e-01   -1.1155441431e+00   9.4907777525e-01
-1.0046926017e+00   -1.1378027702e+00   9.5393989915e-01
-1.0302902235e+00   -1.1591452940e+00   9.6014908311e-01
-1.0550369268e+00   -1.1794179351e+00   9.6764112162e-01
-1.0788784092e+00   -1.1984496831e+00   9.7634351353e-01
-1.1017382866e+00   -1.2160551193e+00   9.8617401954e-01
-1.1235197522e+00   -1.2320377380e+00   9.9703936412e-01
-1.1441075783e+00   -1.2461937933e+00   1.0088341495e+00
-1.1633704941e+00   -1.2583166724e+00   1.0214400535e+00
-1.1811639632e+00   -1.2682017644e+00   1.0347253850e+00
-1.1973333744e+00   -1.2756517589e+00   1.0485450687e+00
-1.2117176360e+00   -1.2804822667e+00   1.0627411214e+00
-1.2241531506e+00   -1.2825276178e+00   1.0771436722e+00
-1.2344781142e+00   -1.2816466500e+00   1.0915725569e+00
-1.2425370629e+00   -1.2777282744e+00   1.1058394917e+00
-1.2481855623e+00   -1.2706965763e+00   1.1197508036e+00
-1.2512949072e+00   -1.2605152060e+00   1.1331106572e+00
-1.2517566840e+00   -1.2471908168e+00   1.1457246865e+00
-1.2494870282e+00   -1.2307753372e+00   1.1574039051e+00
-1.2444304104e+00   -1.2113669048e+00   1.1679687414e+00
-1.2365627828e+00   -1.1891093516e+00   1.1772530253e+00
-1.2258939415e+00   -1.1641902031e+00   1.1851077438e+00
-1.2124689790e+00   -1.1368372353e+00   1.1914043876e+00
-1.1963687461e+00   -1.1073137141e+00   1.1960377273e+00
-1.1777092800e+00   -1.0759125173e+00   1.1989278850e+00
-1.1566402085e+00   -1.0429494038e+00   1.2000216107e+00
-1.1333421877e+00   -1.0087557347e+00   1.1992927149e+00
-1.1080234777e+00   -9.7367097629e-01   1.1967416587e+00
-1.0809158004e+00   -9.3803531133e-01   1.1923943529e+00
-1.0522696545e+00   -9.0218266139e-01   1.1863002545e+00
-1.0223492819e+00   -8.6643438145e-01   1.1785298855e+00
-9.9142748625e-01   -8.3109383066e-01   1.1691719202e+00
-9.5978049826e-01   -7.9644195965e-01   1.1583299961e+00
-9.2768306948e-01   -7.6273398812e-01   1.1461194033e+00
-8.9540394782e-01   -7.3019718414e-01   1.1326637975e+00
-8.6320186016e-01   -6.9902970111e-01   1.1180920597e+00
-8.3132209192e-01   -6.6940038456e-01   1.1025354047e+00
-7.9999371941e-01   -6.4144942837e-01   1.0861248134e+00
-7.6942751701e-01   -6.1528974056e-01   1.0689888348e+00
-7.3981453188e-01   -5.9100887003e-01   1.0512517829e+00
-7.1132529376e-01   -5.6867134737e-01   1.0330323290e+00
-6.8410960772e-01   -5.4832130141e-01   1.0144424726e+00
-6.5829686381e-01   -5.2998522778e-01   9.9558686319e-01
-6.3399678870e-01   -5.1367480332e-01   9.7656243450e-01
-6.1130056096e-01   -4.9938965923e-01   9.5745830747e-01
-5.9028221136e-01   -4.8712004495e-01   9.3835591919e-01
-5.7100023354e-01   -4.7684933254e-01   9.1932933378e-01
-5.5349933588e-01   -4.6855632734e-01   9.0044569540e-01
