X    Y
1.0000000000e-01   0.0000000000e+00
1.0014924051e-01   5.4379430490e-03
1.0059739845e-01   1.0891787215e-02
1.0134578410e-01   1.6377471230e-02
1.0239658470e-01   2.1911008899e-02
1.0375286959e-01   2.7508526252e-02
1.0541859736e-01   3.3186298199e-02
1.0739862508e-01   3.8960784508e-02
1.0969871932e-01   4.4848664861e-02
1.1232556926e-01   5.0866872726e-02
1.1528680144e-01   5.7032627728e-02
1.1859099637e-01   6.3363466122e-02
1.2224770665e-01   6.9877268927e-02
1.2626747666e-01   7.6592287158e-02
1.3066186344e-01   8.3527163502e-02
1.3544345872e-01   9.0700949665e-02
1.4062591172e-01   9.8133118444e-02
1.4622395245e-01   1.0584356942e-01
1.5225341515e-01   1.1385262698e-01
1.5873126135e-01   1.2218102905e-01
1.6567560196e-01   1.3084990490e-01
1.7310571794e-01   1.3988073956e-01
1.8104207842e-01   1.4929532275e-01
1.8950635567e-01   1.5911567901e-01
1.9852143554e-01   1.6936397595e-01
2.0811142222e-01   1.8006240651e-01
2.1830163572e-01   1.9123304069e-01
2.2911860026e-01   2.0289764166e-01
2.4059002139e-01   2.1507744007e-01
2.5274474954e-01   2.2779286000e-01
2.6561272685e-01   2.4106318861e-01
2.7922491433e-01   2.5490618098e-01
2.9361319513e-01   2.6933759050e-01
3.0881024987e-01   2.8437061393e-01
3.2484939886e-01   3.0001523986e-01
3.4176440557e-01   3.1627748758e-01
3.5958923510e-01   3.3315852344e-01
3.7835776033e-01   3.5065364079e-01
3.9810340813e-01   3.6875108975e-01
4.1885873681e-01   3.8743074375e-01
4.4065493567e-01   4.0666259096e-01
4.6352123663e-01   4.2640504153e-01
4.8748422780e-01   4.4660304551e-01
5.1256705850e-01   4.6718602230e-01
5.3878852564e-01   4.8806561093e-01
5.6616203207e-01   5.0913326171e-01
5.9469440915e-01   5.3025770445e-01
6.2438459810e-01   5.5128234757e-01
6.5522218839e-01   5.7202268520e-01
6.8718581631e-01   5.9226381758e-01
7.2024143361e-01   6.1175822251e-01
7.5434046454e-01   6.3022395209e-01
7.8941788039e-01   6.4734346841e-01
8.2539023337e-01   6.6276337160e-01
8.6215370654e-01   6.7609531043e-01
8.9958225355e-01   6.8691839493e-01
9.3752591967e-01   6.9478344528e-01
9.7580945401e-01   6.9921940442e-01
1.0142313401e+00   6.9974220456e-01
1.0525633854e+00   6.9586630071e-01
1.0905510203e+00   6.8711896045e-01
1.1279144551e+00   6.7305722262e-01
1.1643508349e+00   6.5328720966e-01
1.1995375070e+00   6.2748520524e-01
1.2331364737e+00   5.9541960974e-01
1.2648000489e+00   5.5697258663e-01
1.2941776610e+00   5.1215995259e-01
1.3209236636e+00   4.6114768722e-01
1.3447059211e+00   4.0426338980e-01
1.3652148483e+00   3.4200113173e-01
1.3821725064e+00   2.7501846486e-01
1.3953413000e+00   2.0412484682e-01
1.4045318012e+00   1.3026140203e-01
1.4096092364e+00   5.4472686101e-02
1.4104982354e+00   -2.2128125410e-02
1.4071855346e+00   -9.8398545951e-02
1.3997204567e+00   -1.7320803993e-01
1.3882131333e+00   -2.4547848611e-01
1.3728305902e+00   -3.1422117574e-01
1.3537909506e+00   -3.7856804223e-01
1.3313561225e+00   -4.3779540627e-01
1.3058234121e+00   -4.9133924489e-01
1.2775165394e+00   -5.3880175593e-01
1.2467765223e+00   -5.7994969475e-01
1.2139528545e+00   -6.1470553329e-01
1.1793953343e+00   -6.4313288486e-01
1.1434468133e+00   -6.6541783849e-01
1.1064370435e+00   -6.8184786561e-01
1.0686777140e+00   -6.9278983408e-01
1.0304586887e+00   -6.9866843341e-01
9.9204539328e-01   -6.9994602762e-01
9.5367725221e-01   -6.9710464824e-01
9.1556704485e-01   -6.9063055381e-01
8.7790103482e-01   -6.8100153315e-01
8.4083972087e-01   -6.6867693160e-01
8.0451906428e-01   -6.5409023311e-01
7.6905205916e-01   -6.3764393535e-01
7.3453052836e-01   -6.1970640197e-01
7.0102704558e-01   -6.0061035730e-01
6.6859690254e-01   -5.8065269584e-01
6.3728005755e-01   -5.6009530254e-01
6.0710301764e-01   -5.3916661435e-01
5.7808061981e-01   -5.1806369253e-01
5.5021768910e-01   -4.9695461499e-01
5.2351056001e-01   -4.7598103586e-01
4.9794845558e-01   -4.5526079399e-01
4.7351472410e-01   -4.3489048180e-01
4.5018793725e-01   -4.1494791101e-01
4.2794285679e-01   -3.9549443278e-01
4.0675127850e-01   -3.7657708566e-01
3.8658276321e-01   -3.5823055787e-01
3.6740526535e-01   -3.4047895975e-01
3.4918566933e-01   -3.2333740927e-01
3.3189024385e-01   -3.0681343817e-01
3.1548502367e-01   -2.9090822970e-01
2.9993612776e-01   -2.7561770039e-01
2.8521002206e-01   -2.6093343979e-01
2.7127373424e-01   -2.4684352162e-01
2.5809502703e-01   -2.3333320009e-01
2.4564253637e-01   -2.2038550425e-01
2.3388587928e-01   -2.0798174221e-01
2.2279573634e-01   -1.9610192660e-01
2.1234391273e-01   -1.8472513117e-01
2.0250338140e-01   -1.7382978768e-01
1.9324831133e-01   -1.6339393111e-01
1.8455408364e-01   -1.5339540044e-01
1.7639729769e-01   -1.4381200136e-01
1.6875576927e-01   -1.3462163623e-01
1.6160852226e-01   -1.2580240636e-01
1.5493577557e-01   -1.1733269070e-01
1.4871892612e-01   -1.0919120442e-01
1.4294052917e-01   -1.0135704075e-01
1.3758427681e-01   -9.3809698530e-02
1.3263497511e-01   -8.6529097891e-02
1.2807852090e-01   -7.9495585917e-02
1.2390187830e-01   -7.2689934042e-02
1.2009305565e-01   -6.6093328523e-02
1.1664108318e-01   -5.9687355200e-02
1.1353599155e-01   -5.3453979550e-02
1.1076879168e-01   -4.7375522864e-02
1.0833145593e-01   -4.1434635273e-02
1.0621690084e-01   -3.5614266199e-02
1.0441897155e-01   -2.9897632736e-02
1.0293242806e-01   -2.4268186372e-02
1.0175293323e-01   -1.8709578395e-02
1.0087704286e-01   -1.3205624277e-02
1.0030219761e-01   -7.7402672795e-03
1.0002671703e-01   -2.2975414858e-03
1.0004979560e-01   3.1384655442e-03
1.0037150080e-01   8.5836503440e-03
1.0099277330e-01   1.4053931172e-02
1.0191542917e-01   1.9565285557e-02
1.0314216414e-01   2.5133787599e-02
1.0467655996e-01   3.0775644854e-02
1.0652309268e-01   3.6507234631e-02
1.0868714298e-01   4.2345139459e-02
1.1117500838e-01   4.8306181505e-02
1.1399391730e-01   5.4407455615e-02
1.1715204491e-01   6.0666360643e-02
1.2065853064e-01   6.7100628635e-02
1.2452349719e-01   7.3728351362e-02
1.2875807096e-01   8.0568003584e-02
1.3337440360e-01   8.7638462336e-02
1.3838569454e-01   9.4959021349e-02
1.4380621414e-01   1.0254939959e-01
1.4965132706e-01   1.1042974269e-01
1.5593751560e-01   1.1862061584e-01
1.6268240225e-01   1.2714298641e-01
1.6990477106e-01   1.3601819435e-01
1.7762458693e-01   1.4526790796e-01
1.8586301205e-01   1.5491406237e-01
1.9464241837e-01   1.6497877750e-01
2.0398639501e-01   1.7548425180e-01
2.1391974893e-01   1.8645262749e-01
2.2446849746e-01   1.9790582237e-01
2.3565985046e-01   2.0986532266e-01
2.4752217990e-01   2.2235193021e-01
2.6008497417e-01   2.3538545695e-01
2.7337877397e-01   2.4898435829e-01
2.8743508617e-01   2.6316529616e-01
3.0228627156e-01   2.7794262153e-01
3.1796540167e-01   2.9332776519e-01
3.3450607937e-01   3.0932852450e-01
3.5194221719e-01   3.2594823321e-01
3.7030776650e-01   3.4318480072e-01
3.8963639004e-01   3.6102960703e-01
4.0996106958e-01   3.7946623972e-01
4.3131363948e-01   3.9846906079e-01
4.5372423683e-01   4.1800159257e-01
4.7722065762e-01   4.3801471597e-01
5.0182760902e-01   4.5844467904e-01
5.2756584700e-01   4.7921092115e-01
5.5445118991e-01   5.0021372833e-01
5.8249339923e-01   5.2133174826e-01
6.1169492111e-01   5.4241941059e-01
6.4204948506e-01   5.6330431956e-01
6.7354056089e-01   5.8378471167e-01
7.0613968052e-01   6.0362710198e-01
7.3980463934e-01   6.2256427733e-01
7.7447760133e-01   6.4029383335e-01
8.1008314402e-01   6.5647749191e-01
8.4652629376e-01   6.7074147442e-01
8.8369061732e-01   6.8267823927e-01
9.2143645398e-01   6.9184991361e-01
9.5959939010e-01   6.9779375314e-01
9.9798909634e-01   7.0002993995e-01
1.0363886632e+00   6.9807196962e-01
1.0745545814e+00   6.9143977525e-01
1.1122175184e+00   6.7967558225e-01
1.1490840362e+00   6.6236228100e-01
1.1848393761e+00   6.3914384899e-01
1.2191514053e+00   6.0974706320e-01
1.2516757667e+00   5.7400343999e-01
1.2820622092e+00   5.3187005791e-01
1.3099619958e+00   4.8344770092e-01
1.3350361954e+00   4.2899465126e-01
1.3569645754e+00   3.6893450716e-01
1.3754547261e+00   3.0385662968e-01
1.3902509847e+00   2.3450824666e-01
1.4011426860e+00   1.6177783887e-01
1.4079712680e+00   8.6670153368e-02
1.4106357991e+00   1.0273952591e-02
1.4090965764e+00   -6.6275682324e-02
1.4033765570e+00   -1.4183811833e-01
1.3935605294e+00   -2.1530830834e-01
1.3797920782e+00   -2.8565556195e-01
1.3622685438e+00   -3.5195746077e-01
1.3412342997e+00   -4.1342693180e-01
1.3169727633e+00   -4.6943117072e-01
1.2897976056e+00   -5.1950186577e-01
1.2600436356e+00   -5.6333691331e-01
1.2280578063e+00   -6.0079445286e-01
1.1941907305e+00   -6.3188052212e-01
1.1587890131e+00   -6.5673191469e-01
1.1221886181e+00   -6.7559591522e-01
1.0847093971e+00   -6.8880851650e-01
1.0466508222e+00   -6.9677252949e-01
1.0082888969e+00   -6.9993672826e-01
9.6987416382e-01   -6.9877687063e-01
9.3163068956e-01   -6.9377913787e-01
8.9375588587e-01   -6.8542627060e-01
8.5642101588e-01   -6.7418645725e-01
8.1977223728e-01   -6.6050486347e-01
7.8393204293e-01   -6.4479757448e-01
7.4900097468e-01   -6.2744765204e-01
7.1505950302e-01   -6.0880297585e-01
6.8216998399e-01   -5.8917553608e-01
6.5037862233e-01   -5.6884186146e-01
6.1971738659e-01   -5.4804429802e-01
5.9020583639e-01   -5.2699289100e-01
5.6185283470e-01   -5.0586766272e-01
5.3465812807e-01   -4.8482111783e-01
5.0861378620e-01   -4.6398084353e-01
4.8370549854e-01   -4.4345210427e-01
4.5991373029e-01   -4.2332035734e-01
4.3721474365e-01   -4.0365363868e-01
4.3721474365e-01   -4.0365363868e-01
