X    Y
2.0000000000e-01   0.0000000000e+00
1.9999388596e-01   -1.5650082301e-03
1.9999372846e-01   -1.5850529718e-03
1.9999204317e-01   -1.7855312385e-03
1.9997195752e-01   -3.3544465576e-03
1.9993959566e-01   -4.9266925982e-03
1.9989493190e-01   -6.5021808463e-03
1.9983794124e-01   -8.0808224449e-03
1.9976859938e-01   -9.6625281991e-03
1.9968688273e-01   -1.1247208581e-02
1.9959276838e-01   -1.2834773735e-02
1.9948623414e-01   -1.4425133482e-02
1.9936725852e-01   -1.6018197325e-02
1.9923582073e-01   -1.7613874453e-02
1.9909190071e-01   -1.9212073749e-02
1.9893547910e-01   -2.0812703791e-02
1.9876653725e-01   -2.2415672858e-02
1.9858505725e-01   -2.4020888937e-02
1.9839102189e-01   -2.5628259726e-02
1.9818441470e-01   -2.7237692640e-02
1.9796521991e-01   -2.8849094813e-02
1.9773342249e-01   -3.0462373108e-02
1.9748900816e-01   -3.2077434118e-02
1.9723196333e-01   -3.3694184171e-02
1.9696227518e-01   -3.5312529337e-02
1.9667993161e-01   -3.6932375433e-02
1.9638492124e-01   -3.8553628023e-02
1.9607723347e-01   -4.0176192429e-02
1.9575685840e-01   -4.1799973733e-02
1.9542378689e-01   -4.3424876782e-02
1.9507801056e-01   -4.5050806193e-02
1.9471952174e-01   -4.6677666356e-02
1.9434831355e-01   -4.8305361443e-02
1.9396437982e-01   -4.9933795409e-02
1.9356771517e-01   -5.1562871998e-02
1.9315831494e-01   -5.3192494747e-02
1.9273617524e-01   -5.4822566995e-02
1.9230129294e-01   -5.6452991880e-02
1.9185366567e-01   -5.8083672350e-02
1.9139329179e-01   -5.9714511165e-02
1.9092017046e-01   -6.1345410905e-02
1.9043430158e-01   -6.2976273968e-02
1.8993568583e-01   -6.4607002581e-02
1.8942432462e-01   -6.6237498803e-02
1.8890022017e-01   -6.7867664528e-02
1.8836337544e-01   -6.9497401491e-02
1.8781379416e-01   -7.1126611271e-02
1.8725148085e-01   -7.2755195299e-02
1.8667644077e-01   -7.4383054860e-02
1.8608867999e-01   -7.6010091097e-02
1.8548820531e-01   -7.7636205017e-02
1.8487502434e-01   -7.9261297496e-02
1.8424914544e-01   -8.0885269282e-02
1.8361057778e-01   -8.2508021001e-02
1.8295933126e-01   -8.4129453159e-02
1.8229541660e-01   -8.5749466150e-02
1.8161884527e-01   -8.7367960258e-02
1.8092962955e-01   -8.8984835663e-02
1.8022778246e-01   -9.0599992443e-02
1.7951331784e-01   -9.2213330583e-02
1.7878625030e-01   -9.3824749973e-02
1.7804659521e-01   -9.5434150419e-02
1.7729436876e-01   -9.7041431644e-02
1.7652958789e-01   -9.8646493290e-02
1.7575227036e-01   -1.0024923493e-01
1.7574224441e-01   -1.0026972454e-01
1.7564187225e-01   -1.0047459879e-01
1.7485027641e-01   -1.0207457121e-01
1.7404618453e-01   -1.0367200840e-01
1.7322961681e-01   -1.0526680974e-01
1.7240059425e-01   -1.0685887453e-01
1.7155913862e-01   -1.0844810203e-01
1.7070527251e-01   -1.1003439146e-01
1.6983901927e-01   -1.1161764199e-01
