X    Y
0.0000000000e+00   2.0000000000e-01
1.5640273705e-02   1.9354015907e-01
3.1280547410e-02   1.8752380683e-01
4.6920821114e-02   1.8198115072e-01
6.2561094819e-02   1.7695053738e-01
7.8201368524e-02   1.7248046040e-01
9.3841642229e-02   1.6863180559e-01
1.0948191593e-01   1.6548032021e-01
1.2512218964e-01   1.6311921014e-01
1.4076246334e-01   1.6166164274e-01
1.5640273705e-01   1.6124274338e-01
1.7204301075e-01   1.6202039721e-01
1.8768328446e-01   1.6417379193e-01
2.0332355816e-01   1.6789817249e-01
2.1896383187e-01   1.7339379659e-01
2.3460410557e-01   1.8084675630e-01
2.5024437928e-01   1.9039950902e-01
2.6588465298e-01   2.0211016515e-01
2.8152492669e-01   2.1590242997e-01
2.9716520039e-01   2.3151295814e-01
3.1280547410e-01   2.4844920621e-01
3.2844574780e-01   2.6597641622e-01
3.4408602151e-01   2.8315300428e-01
3.5972629521e-01   2.9892490390e-01
3.7536656891e-01   3.1227023758e-01
3.9100684262e-01   3.2236216706e-01
4.0664711632e-01   3.2870265223e-01
4.2228739003e-01   3.3118486641e-01
4.3792766373e-01   3.3006770154e-01
4.5356793744e-01   3.2587876860e-01
4.6920821114e-01   3.1928454775e-01
4.8484848485e-01   3.1096840670e-01
5.0048875855e-01   3.0154305828e-01
5.1612903226e-01   2.9150504280e-01
5.3176930596e-01   2.8122460515e-01
5.4740957967e-01   2.7095826875e-01
5.6304985337e-01   2.6087182932e-01
5.7869012708e-01   2.5106503210e-01
5.9433040078e-01   2.4159314706e-01
6.0997067449e-01   2.3248367572e-01
6.2561094819e-01   2.2374822713e-01
6.4125122190e-01   2.1539042587e-01
6.5689149560e-01   2.0741092603e-01
6.7253176931e-01   1.9981050653e-01
6.8817204301e-01   1.9259201361e-01
7.0381231672e-01   1.8576170130e-01
7.1945259042e-01   1.7933034508e-01
7.3509286413e-01   1.7331437810e-01
7.5073313783e-01   1.6773721745e-01
7.6637341153e-01   1.6263089880e-01
7.8201368524e-01   1.5803810795e-01
7.9765395894e-01   1.5401467585e-01
8.1329423265e-01   1.5063257414e-01
8.2893450635e-01   1.4798339741e-01
8.4457478006e-01   1.4618222232e-01
8.6021505376e-01   1.4537156554e-01
8.7585532747e-01   1.4572488234e-01
8.9149560117e-01   1.4744861214e-01
9.0713587488e-01   1.5078114844e-01
9.2277614858e-01   1.5598628830e-01
9.3841642229e-01   1.6333780618e-01
9.5405669599e-01   1.7309111191e-01
9.6969696970e-01   1.8543815195e-01
9.8533724340e-01   2.0044387212e-01
1.0009775171e+00   2.1796797357e-01
1.0166177908e+00   2.3758507452e-01
1.0322580645e+00   2.5852827702e-01
1.0478983382e+00   2.7969010894e-01
1.0635386119e+00   2.9971162990e-01
1.0791788856e+00   3.1716704005e-01
1.0948191593e+00   3.3080994394e-01
1.1104594330e+00   3.3980805068e-01
1.1260997067e+00   3.4388371253e-01
1.1417399804e+00   3.4331206046e-01
1.1573802542e+00   3.3878914723e-01
1.1730205279e+00   3.3123201960e-01
1.1886608016e+00   3.2158436509e-01
1.2043010753e+00   3.1067803827e-01
1.2199413490e+00   2.9916508595e-01
1.2355816227e+00   2.8750794074e-01
1.2512218964e+00   2.7600474333e-01
1.2668621701e+00   2.6482856054e-01
1.2825024438e+00   2.5406643617e-01
1.2981427175e+00   2.4375144163e-01
1.3137829912e+00   2.3388593092e-01
1.3294232649e+00   2.2445687885e-01
1.3450635386e+00   2.1544516530e-01
1.3607038123e+00   2.0683071309e-01
1.3763440860e+00   1.9859503500e-01
1.3919843597e+00   1.9072230753e-01
1.4076246334e+00   1.8319970504e-01
1.4232649071e+00   1.7601744160e-01
1.4389051808e+00   1.6916877702e-01
1.4545454545e+00   1.6265012758e-01
1.4701857283e+00   1.5646135952e-01
1.4858260020e+00   1.5060631637e-01
1.5014662757e+00   1.4509362599e-01
1.5171065494e+00   1.3993784200e-01
1.5327468231e+00   1.3516099087e-01
1.5483870968e+00   1.3079461744e-01
1.5640273705e+00   1.2688244397e-01
1.5796676442e+00   1.2348377674e-01
1.5953079179e+00   1.2067780097e-01
1.6109481916e+00   1.1856888349e-01
1.6265884653e+00   1.1729292639e-01
1.6422287390e+00   1.1702463663e-01
1.6578690127e+00   1.1798522519e-01
1.6735092864e+00   1.2044941774e-01
1.6891495601e+00   1.2474961631e-01
1.7047898338e+00   1.3127347409e-01
1.7204301075e+00   1.4044902931e-01
1.7360703812e+00   1.5270924121e-01
1.7517106549e+00   1.6842639298e-01
1.7673509286e+00   1.8780872493e-01
1.7829912023e+00   2.1076049824e-01
1.7986314761e+00   2.3672599621e-01
1.8142717498e+00   2.6456682342e-01
1.8299120235e+00   2.9254823744e-01
1.8455522972e+00   3.1850836697e-01
1.8611925709e+00   3.4022784285e-01
1.8768328446e+00   3.5591237600e-01
1.8924731183e+00   3.6460789902e-01
1.9081133920e+00   3.6636941564e-01
1.9237536657e+00   3.6212186456e-01
1.9393939394e+00   3.5330490510e-01
1.9550342131e+00   3.4147397931e-01
1.9706744868e+00   3.2800019876e-01
1.9863147605e+00   3.1392281836e-01
2.0019550342e+00   2.9993151480e-01
2.0175953079e+00   2.8642387347e-01
2.0332355816e+00   2.7358812912e-01
2.0488758553e+00   2.6148040024e-01
2.0645161290e+00   2.5008370874e-01
2.0801564027e+00   2.3934737633e-01
2.0957966764e+00   2.2921044304e-01
2.1114369501e+00   2.1961393019e-01
2.1270772239e+00   2.1050615682e-01
2.1427174976e+00   2.0184417602e-01
2.1583577713e+00   1.9359331995e-01
2.1739980450e+00   1.8572602395e-01
2.1896383187e+00   1.7822055285e-01
2.2052785924e+00   1.7105991993e-01
2.2209188661e+00   1.6423110621e-01
2.2365591398e+00   1.5772459883e-01
2.2521994135e+00   1.5153423439e-01
2.2678396872e+00   1.4565733062e-01
2.2834799609e+00   1.4009510214e-01
2.2991202346e+00   1.3485337701e-01
2.3147605083e+00   1.2994365487e-01
2.3304007820e+00   1.2538457453e-01
2.3460410557e+00   1.2120388834e-01
2.3616813294e+00   1.1744107067e-01
2.3773216031e+00   1.1415071774e-01
2.3929618768e+00   1.1140691730e-01
2.4086021505e+00   1.0930876882e-01
2.4242424242e+00   1.0798719059e-01
2.4398826979e+00   1.0761301727e-01
2.4555229717e+00   1.0840609466e-01
2.4711632454e+00   1.1064450282e-01
2.4868035191e+00   1.1467202201e-01
2.5024437928e+00   1.2090030995e-01
2.5180840665e+00   1.2979985581e-01
2.5337243402e+00   1.4187077809e-01
2.5493646139e+00   1.5758185011e-01
2.5650048876e+00   1.7726610372e-01
2.5806451613e+00   2.0096827692e-01
2.5962854350e+00   2.2825864603e-01
2.6119257087e+00   2.5806164562e-01
2.6275659824e+00   2.8858638728e-01
2.6432062561e+00   3.1746032092e-01
2.6588465298e+00   3.4211715059e-01
2.6744868035e+00   3.6036543159e-01
2.6901270772e+00   3.7092826444e-01
2.7057673509e+00   3.7371216803e-01
2.7214076246e+00   3.6969132733e-01
2.7370478983e+00   3.6049734596e-01
2.7526881720e+00   3.4792997471e-01
2.7683284457e+00   3.3358031849e-01
2.7839687195e+00   3.1864425192e-01
2.7996089932e+00   3.0390014321e-01
2.8152492669e+00   2.8978092697e-01
2.8308895406e+00   2.7647639872e-01
2.8465298143e+00   2.6402706726e-01
2.8621700880e+00   2.5239441321e-01
2.8778103617e+00   2.4150664451e-01
2.8934506354e+00   2.3128504907e-01
2.9090909091e+00   2.2165716536e-01
2.9247311828e+00   2.1256199165e-01
2.9403714565e+00   2.0395092506e-01
2.9560117302e+00   1.9578675877e-01
2.9716520039e+00   1.8804206960e-01
2.9872922776e+00   1.8069768266e-01
3.0029325513e+00   1.7374152085e-01
3.0185728250e+00   1.6716794753e-01
3.0342130987e+00   1.6097762130e-01
3.0498533724e+00   1.5517785596e-01
3.0654936461e+00   1.4978348578e-01
3.0811339198e+00   1.4481825836e-01
3.0967741935e+00   1.4031680413e-01
3.1124144673e+00   1.3632725503e-01
3.1280547410e+00   1.3291459807e-01
3.1436950147e+00   1.3016484057e-01
3.1593352884e+00   1.2819001423e-01
3.1749755621e+00   1.2713392469e-01
3.1906158358e+00   1.2717831267e-01
3.2062561095e+00   1.2854866308e-01
3.2218963832e+00   1.3151818967e-01
3.2375366569e+00   1.3640744512e-01
3.2531769306e+00   1.4357553090e-01
3.2688172043e+00   1.5339717156e-01
3.2844574780e+00   1.6621857155e-01
3.3000977517e+00   1.8228533542e-01
3.3157380254e+00   2.0164008720e-01
3.3313782991e+00   2.2399848860e-01
3.3470185728e+00   2.4863121127e-01
3.3626588465e+00   2.7430150611e-01
3.3782991202e+00   2.9931940745e-01
3.3939393939e+00   3.2175399203e-01
3.4095796676e+00   3.3978388151e-01
3.4252199413e+00   3.5208481615e-01
3.4408602151e+00   3.5810651181e-01
3.4565004888e+00   3.5812665186e-01
3.4721407625e+00   3.5307531559e-01
3.4877810362e+00   3.4422668599e-01
3.5034213099e+00   3.3288999137e-01
3.5190615836e+00   3.2019301952e-01
3.5347018573e+00   3.0698431606e-01
3.5503421310e+00   2.9382986728e-01
3.5659824047e+00   2.8106231522e-01
3.5816226784e+00   2.6884662216e-01
3.5972629521e+00   2.5724046249e-01
3.6129032258e+00   2.4624047378e-01
3.6285434995e+00   2.3581348406e-01
3.6441837732e+00   2.2591544152e-01
3.6598240469e+00   2.1650164628e-01
3.6754643206e+00   2.0753146300e-01
3.6911045943e+00   1.9896986554e-01
3.7067448680e+00   1.9078736536e-01
3.7223851417e+00   1.8295925472e-01
3.7380254154e+00   1.7546467141e-01
3.7536656891e+00   1.6828572829e-01
3.7693059629e+00   1.6140679983e-01
3.7849462366e+00   1.5481398110e-01
3.8005865103e+00   1.4849470000e-01
3.8162267840e+00   1.4243745328e-01
3.8318670577e+00   1.3663163771e-01
3.8475073314e+00   1.3106745335e-01
3.8631476051e+00   1.2573586281e-01
3.8787878788e+00   1.2062859721e-01
3.8944281525e+00   1.1573820526e-01
3.9100684262e+00   1.1105814791e-01
3.9257086999e+00   1.0658294614e-01
3.9413489736e+00   1.0230839556e-01
3.9569892473e+00   9.8231868623e-02
3.9726295210e+00   9.4352733974e-02
3.9882697947e+00   9.0672934374e-02
4.0039100684e+00   8.7197779956e-02
4.0195503421e+00   8.3937034561e-02
4.0351906158e+00   8.0906400454e-02
4.0508308895e+00   7.8129543073e-02
