X    Y    Z
2.0000000000e-01   2.0000000000e-01   2.0000000000e-01
2.0130399337e-01   2.1789544572e-01   1.9354320873e-01
2.0516443717e-01   2.3790808117e-01   1.8752945938e-01
2.1153046225e-01   2.6021692054e-01   1.8198890965e-01
2.2038776471e-01   2.8504316904e-01   1.7695983865e-01
2.3175839638e-01   3.1263630085e-01   1.7249064952e-01
2.4569846949e-01   3.4325849861e-01   1.6864210872e-01
2.6229370556e-01   3.7716557677e-01   1.6548980891e-01
2.8165246729e-01   4.1458210729e-01   1.6312675968e-01
3.0389560438e-01   4.5566807475e-01   1.6166588524e-01
3.2914213165e-01   5.0047410880e-01   1.6124201904e-01
3.5748946973e-01   5.4888238915e-01   1.6201271078e-01
3.8898678688e-01   6.0053107142e-01   1.6415678651e-01
4.2360001276e-01   6.5472214059e-01   1.6786914075e-01
4.6116756781e-01   7.1031678265e-01   1.7334975822e-01
5.0134707667e-01   7.6562957899e-01   1.8078463942e-01
5.4355568850e-01   8.1834360753e-01   1.9031647659e-01
5.8691043184e-01   8.6548211220e-01   2.0200411774e-01
6.3018026061e-01   9.0348524448e-01   2.1577268192e-01
6.7176727172e-01   9.2844474202e-01   2.3136101704e-01
7.0973883815e-01   9.3653351686e-01   2.4827948880e-01
7.4193150202e-01   9.2461962885e-01   2.6579663833e-01
7.6613733473e-01   8.9097455068e-01   2.8297394969e-01
7.8036217215e-01   8.3589721541e-01   2.9875937935e-01
7.8311644072e-01   7.6202765264e-01   3.1213128182e-01
7.7367433792e-01   6.7417051328e-01   3.2226091727e-01
7.5223070362e-01   5.7860189162e-01   3.2864649738e-01
7.1990615884e-01   4.8203210494e-01   3.3117646719e-01
6.7859477673e-01   3.9053381950e-01   3.3010512479e-01
6.3069561530e-01   3.0873937072e-01   3.2595655449e-01
5.7879845180e-01   2.3947481364e-01   3.1939523860e-01
5.2539475868e-01   1.8382012198e-01   3.1110403265e-01
4.7266276376e-01   1.4145871401e-01   3.0169624336e-01
4.2234484946e-01   1.1114379544e-01   2.9166962203e-01
3.7570994386e-01   9.1144059972e-02   2.8139581618e-01
3.3357927117e-01   7.9593510701e-02   2.7113265842e-01
2.9639036498e-01   7.4725068878e-02   2.6104701729e-01
2.6427769850e-01   7.5001145050e-02   2.5123943663e-01
2.3715451970e-01   7.9167708001e-02   2.4176573409e-01
2.1478669575e-01   8.6258893646e-02   2.3265375708e-01
1.9685425817e-01   9.5573902115e-02   2.2391531154e-01
1.8299962267e-01   1.0664137486e-01   2.1555411500e-01
1.7286336595e-01   1.1918076475e-01   2.0757084400e-01
1.6610936238e-01   1.3306603124e-01   1.9996625147e-01
1.6244137222e-01   1.4829420590e-01   1.9274312153e-01
1.6161309962e-01   1.6495964392e-01   1.8590761473e-01
1.6343348263e-01   1.8323376076e-01   1.7947038085e-01
1.6776864655e-01   2.0334947915e-01   1.7344768980e-01
1.7454160635e-01   2.2558928443e-01   1.6786274898e-01
1.8373047068e-01   2.5027557172e-01   1.6274732585e-01
1.9536558628e-01   2.7776177203e-01   1.5814376457e-01
2.0952576156e-01   3.0842249662e-01   1.5410746325e-01
2.2633340889e-01   3.4264058879e-01   1.5070985013e-01
2.4594812836e-01   3.8078848480e-01   1.4804184610e-01
2.6855790356e-01   4.2320065405e-01   1.4621770757e-01
2.9436667905e-01   4.7013315932e-01   1.4537897774e-01
3.2357664164e-01   5.2170570069e-01   1.4569799923e-01
3.5636307062e-01   5.7782121794e-01   1.4738001121e-01
3.9283925497e-01   6.3805886809e-01   1.5066223370e-01
4.3300891088e-01   7.0153905264e-01   1.5580752650e-01
4.7670414385e-01   7.6676574192e-01   1.6308930328e-01
5.2350886923e-01   8.3146354368e-01   1.7276368524e-01
5.7267148157e-01   8.9244615935e-01   1.8502503936e-01
6.2301712969e-01   9.4557787851e-01   1.9994312193e-01
6.7287923147e-01   9.8591349297e-01   2.1738532911e-01
7.2008017721e-01   1.0081080447e+00   2.3693678883e-01
7.6199801837e-01   1.0071511011e+00   2.5784285064e-01
7.9575183632e-01   9.7937887426e-01   2.7900768304e-01
8.1851567746e-01   9.2355910460e-01   2.9908004993e-01
8.2792792212e-01   8.4169302607e-01   3.1663466387e-01
8.2251195314e-01   7.3914997085e-01   3.3041683656e-01
8.0199135912e-01   6.2393193279e-01   3.3957841064e-01
7.6739539207e-01   5.0521611616e-01   3.4382224842e-01
7.2091292298e-01   3.9165011518e-01   3.4340541646e-01
6.6553824373e-01   2.8996492841e-01   3.3901132014e-01
6.0461595608e-01   2.0427557976e-01   3.3155134554e-01
5.4140586104e-01   1.3610761488e-01   3.2196969492e-01
4.7875566858e-01   8.4927770237e-02   3.1110275534e-01
4.1891617453e-01   4.8873693731e-02   2.9960880038e-01
3.6348779588e-01   2.5440217815e-02   2.8795643787e-01
3.1346247113e-01   1.1997265641e-02   2.7644897035e-01
2.6931997026e-01   6.1146778794e-03   2.6526329799e-01
2.3114472359e-01   5.7254546170e-03   2.5448905013e-01
1.9874043951e-01   9.1768623380e-03   2.4416089122e-01
1.7173010312e-01   1.5214937133e-02   2.3428206250e-01
1.4963648391e-01   2.2936001579e-02   2.2483996740e-01
1.3194292879e-01   3.1726713309e-02   2.1581564031e-01
1.1813663215e-01   4.1204845948e-02   2.0718900857e-01
1.0773752883e-01   5.1166811789e-02   1.9894151577e-01
1.0031606965e-01   6.1544220847e-02   1.9105723768e-01
9.5502832308e-02   7.2369730716e-02   1.8352323617e-01
9.2992445261e-02   8.3751430475e-02   1.7632960718e-01
9.2543798230e-02   9.5854581732e-02   1.6946948470e-01
9.3978046329e-02   1.0888943839e-01   1.6293914463e-01
9.7175514967e-02   1.2310392247e-01   1.5673828825e-01
1.0207228375e-01   1.3878005108e-01   1.5087055669e-01
1.0865696443e-01   1.5623313210e-01   1.4534432220e-01
1.1696797840e-01   1.7581283480e-01   1.4017380994e-01
1.2709146852e-01   1.9790526651e-01   1.3538062054e-01
1.3915983086e-01   2.2293511862e-01   1.3099574473e-01
