X    Y    Z
2.0000000000e-01   2.0000000000e-01   2.0000000000e-01
2.0130526136e-01   2.1790469739e-01   1.9354015907e-01
2.0516944197e-01   2.3792873420e-01   1.8752380683e-01
2.1154162471e-01   2.6025142154e-01   1.8198115072e-01
2.2040752971e-01   2.8509433071e-01   1.7695053738e-01
2.3178930176e-01   3.1270733576e-01   1.7248046040e-01
2.4574320583e-01   3.4335301027e-01   1.6863180559e-01
2.6235515990e-01   3.7728749341e-01   1.6548032021e-01
2.8173374213e-01   4.1473553516e-01   1.6311921014e-01
3.0400000017e-01   4.5585703770e-01   1.6166164274e-01
3.2927307636e-01   5.0070213019e-01   1.6124274338e-01
3.5765037424e-01   5.4915186365e-01   1.6202039721e-01
3.8918079925e-01   6.0084237279e-01   1.6417379193e-01
4.2382964070e-01   6.5507242528e-01   1.6789817249e-01
4.6143413975e-01   7.1069849310e-01   1.7339379659e-01
5.0165002270e-01   7.6602874051e-01   1.8084675630e-01
5.4389165077e-01   8.1873816607e-01   1.9039950902e-01
5.8727226639e-01   8.6584077576e-01   2.0211016515e-01
6.3055607413e-01   9.0376752766e-01   2.1590242997e-01
6.7213973791e-01   9.2860306068e-01   2.3151295814e-01
7.1008513066e-01   9.3651805124e-01   2.4844920621e-01
7.4222420720e-01   9.2438606791e-01   2.6597641622e-01
7.6634659723e-01   8.9049369884e-01   2.8315300428e-01
7.8045903648e-01   8.3516409940e-01   2.9892490390e-01
7.8307692457e-01   7.6106694712e-01   3.1227023758e-01
7.7348336922e-01   6.7303561775e-01   3.2236216706e-01
7.5188489740e-01   5.7736703946e-01   3.2870265223e-01
7.1941464916e-01   4.8077960454e-01   3.3118486641e-01
6.7797789223e-01   3.8934040151e-01   3.3006770154e-01
6.2998183498e-01   3.0766559098e-01   3.2587876860e-01
5.7802050478e-01   2.3855974327e-01   3.1928454775e-01
5.2458579402e-01   1.8308132607e-01   3.1096840670e-01
4.7185327541e-01   1.4089594641e-01   3.0154305828e-01
4.2156067418e-01   1.1074436588e-01   2.9150504280e-01
3.7497132599e-01   9.0888205431e-02   2.8122460515e-01
3.3290078849e-01   7.9458808421e-02   2.7095826875e-01
2.9578143899e-01   7.4689565924e-02   2.6087182932e-01
2.6374342856e-01   7.5045284481e-02   2.5106503210e-01
2.3669663868e-01   7.9275311999e-02   2.4159314706e-01
2.1440451127e-01   8.6417495323e-02   2.3248367572e-01
1.9654550093e-01   9.5774676271e-02   2.2374822713e-01
1.8276116587e-01   1.0687885427e-01   2.1539042587e-01
1.7269180788e-01   1.1945246845e-01   2.0741092603e-01
1.6600148071e-01   1.3337208353e-01   1.9981050653e-01
1.6239446710e-01   1.4863699059e-01   1.9259201361e-01
1.6162524552e-01   1.6534351433e-01   1.8576170130e-01
1.6350370866e-01   1.8366480998e-01   1.7933034508e-01
1.6789706231e-01   2.0383536335e-01   1.7331437810e-01
1.7472948683e-01   2.2613908279e-01   1.6773721745e-01
1.8398030895e-01   2.5089965786e-01   1.6263089880e-01
1.9568111743e-01   2.7847166168e-01   1.5803810795e-01
2.0991195467e-01   3.0923062334e-01   1.5401467585e-01
2.2679641625e-01   3.4355994253e-01   1.5063257414e-01
2.4649517125e-01   3.8183202530e-01   1.4798339741e-01
2.6919706194e-01   4.2438038287e-01   1.4618222232e-01
2.9510653721e-01   4.7145870196e-01   1.4537156554e-01
3.2442572455e-01   5.2318222027e-01   1.4572488234e-01
