X    Y
0.0000000000e+00   2.0000000000e-01
1.5640273705e-02   2.1790469739e-01
3.1280547410e-02   2.3792873420e-01
4.6920821114e-02   2.6025142154e-01
6.2561094819e-02   2.8509433071e-01
7.8201368524e-02   3.1270733576e-01
9.3841642229e-02   3.4335301027e-01
1.0948191593e-01   3.7728749341e-01
1.2512218964e-01   4.1473553516e-01
1.4076246334e-01   4.5585703770e-01
1.5640273705e-01   5.0070213019e-01
1.7204301075e-01   5.4915186365e-01
1.8768328446e-01   6.0084237279e-01
2.0332355816e-01   6.5507242528e-01
2.1896383187e-01   7.1069849310e-01
2.3460410557e-01   7.6602874051e-01
2.5024437928e-01   8.1873816607e-01
2.6588465298e-01   8.6584077576e-01
2.8152492669e-01   9.0376752766e-01
2.9716520039e-01   9.2860306068e-01
3.1280547410e-01   9.3651805124e-01
3.2844574780e-01   9.2438606791e-01
3.4408602151e-01   8.9049369884e-01
3.5972629521e-01   8.3516409940e-01
3.7536656891e-01   7.6106694712e-01
3.9100684262e-01   6.7303561775e-01
4.0664711632e-01   5.7736703946e-01
4.2228739003e-01   4.8077960454e-01
4.3792766373e-01   3.8934040151e-01
4.5356793744e-01   3.0766559098e-01
4.6920821114e-01   2.3855974327e-01
4.8484848485e-01   1.8308132607e-01
5.0048875855e-01   1.4089594641e-01
5.1612903226e-01   1.1074436588e-01
5.3176930596e-01   9.0888205431e-02
5.4740957967e-01   7.9458808421e-02
5.6304985337e-01   7.4689565924e-02
5.7869012708e-01   7.5045284481e-02
5.9433040078e-01   7.9275311999e-02
6.0997067449e-01   8.6417495323e-02
6.2561094819e-01   9.5774676271e-02
6.4125122190e-01   1.0687885427e-01
6.5689149560e-01   1.1945246845e-01
6.7253176931e-01   1.3337208353e-01
6.8817204301e-01   1.4863699059e-01
7.0381231672e-01   1.6534351433e-01
7.1945259042e-01   1.8366480998e-01
7.3509286413e-01   2.0383536335e-01
7.5073313783e-01   2.2613908279e-01
7.6637341153e-01   2.5089965786e-01
7.8201368524e-01   2.7847166168e-01
7.9765395894e-01   3.0923062334e-01
8.1329423265e-01   3.4355994253e-01
8.2893450635e-01   3.8183202530e-01
8.4457478006e-01   4.2438038287e-01
8.6021505376e-01   4.7145870196e-01
8.7585532747e-01   5.2318222027e-01
8.9149560117e-01   5.7944646782e-01
9.0713587488e-01   6.3981922014e-01
9.2277614858e-01   7.0340445549e-01
9.3841642229e-01   7.6868383687e-01
9.5405669599e-01   8.3335367022e-01
9.6969696970e-01   8.9419476223e-01
9.8533724340e-01   9.4703780493e-01
1.0009775171e+00   9.8691049731e-01
1.0166177908e+00   1.0084577738e+00
1.0322580645e+00   1.0066879233e+00
1.0478983382e+00   9.7799349457e-01
1.0635386119e+00   9.2123581034e-01
1.0791788856e+00   8.3853274869e-01
1.0948191593e+00   7.3536648374e-01
1.1104594330e+00   6.1981748469e-01
1.1260997067e+00   5.0108601941e-01
1.1417399804e+00   3.8778523122e-01
1.1573802542e+00   2.8657047587e-01
1.1730205279e+00   2.0146532115e-01
1.1886608016e+00   1.3391111411e-01
1.2043010753e+00   8.3311469640e-02
1.2199413490e+00   4.7765765886e-02
1.2355816227e+00   2.4752275593e-02
1.2512218964e+00   1.1639957478e-02
1.2668621701e+00   6.0070723181e-03
1.2825024438e+00   5.7995187785e-03
1.2981427175e+00   9.3786518992e-03
1.3137829912e+00   1.5503879756e-02
1.3294232649e+00   2.3283258507e-02
1.3450635386e+00   3.2113239251e-02
1.3607038123e+00   4.1619497889e-02
1.3763440860e+00   5.1604681224e-02
1.3919843597e+00   6.2005258284e-02
1.4076246334e+00   7.2857672431e-02
1.4232649071e+00   8.4273007350e-02
1.4389051808e+00   9.6418976499e-02
1.4545454545e+00   1.0950795331e-01
1.4701857283e+00   1.2378981974e-01
1.4858260020e+00   1.3954853019e-01
1.5014662757e+00   1.5710141001e-01
1.5171065494e+00   1.7680029442e-01
1.5327468231e+00   1.9903363525e-01
1.5483870968e+00   2.2422862926e-01
1.5640273705e+00   2.5285221865e-01
1.5796676442e+00   2.8540943559e-01
1.5953079179e+00   3.2243695206e-01
1.6109481916e+00   3.6448878389e-01
1.6265884653e+00   4.1210981712e-01
1.6422287390e+00   4.6579114291e-01
1.6578690127e+00   5.2589918359e-01
1.6735092864e+00   5.9256861381e-01
1.6891495601e+00   6.6554801429e-01
1.7047898338e+00   7.4398889318e-01
1.7204301075e+00   8.2617649516e-01
1.7360703812e+00   9.0921973773e-01
1.7517106549e+00   9.8875348375e-01
1.7673509286e+00   1.0587618325e+00
1.7829912023e+00   1.1116966635e+00
1.7986314761e+00   1.1391063056e+00
1.8142717498e+00   1.1329373748e+00
1.8299120235e+00   1.0874531386e+00
1.8455522972e+00   1.0013221081e+00
1.8611925709e+00   8.7904652558e-01
1.8768328446e+00   7.3086324780e-01
1.8924731183e+00   5.7080228801e-01
1.9081133920e+00   4.1351816336e-01
1.9237536657e+00   2.7116950310e-01
1.9393939394e+00   1.5150283205e-01
1.9550342131e+00   5.7540139152e-02
1.9706744868e+00   -1.1508803484e-02
1.9863147605e+00   -5.8822591102e-02
2.0019550342e+00   -8.8628860891e-02
2.0175953079e+00   -1.0524239823e-01
2.0332355816e+00   -1.1251702734e-01
2.0488758553e+00   -1.1361820658e-01
2.0645161290e+00   -1.1099592657e-01
2.0801564027e+00   -1.0646003547e-01
