X    Y
5.0000000000e-01   5.0000000000e-01
5.2018368735e-01   4.9095526577e-01
5.4155477685e-01   4.8244736354e-01
5.6416835620e-01   4.7447540366e-01
5.8808143400e-01   4.6703968387e-01
6.1335278097e-01   4.6014178743e-01
6.4004272724e-01   4.5378469152e-01
6.6821290825e-01   4.4797288736e-01
6.9792595033e-01   4.4271251370e-01
7.2924508606e-01   4.3801150536e-01
7.6223368810e-01   4.3387975897e-01
7.9695470871e-01   4.3032931777e-01
8.3347001050e-01   4.2737457799e-01
8.7183957228e-01   4.2503251926e-01
9.1212055192e-01   4.2332296161e-01
9.5436618606e-01   4.2226885201e-01
9.9862450455e-01   4.2189658328e-01
1.0449368353e+00   4.2223634824e-01
1.0933360734e+00   4.2332253205e-01
1.1438446862e+00   4.2519414518e-01
1.1964724251e+00   4.2789529904e-01
1.2512137143e+00   4.3147572552e-01
1.3080446868e+00   4.3599134014e-01
1.3669198392e+00   4.4150484673e-01
1.4277682836e+00   4.4808637873e-01
1.4904895781e+00   4.5581416817e-01
1.5549491337e+00   4.6477522807e-01
1.6209732059e+00   4.7506602705e-01
1.6883435099e+00   4.8679312527e-01
1.7567915239e+00   5.0007372883e-01
1.8259925931e+00   5.1503610457e-01
1.8955600004e+00   5.3181977798e-01
1.9650392414e+00   5.5057541454e-01
2.0339028266e+00   5.7146425771e-01
2.1015460392e+00   5.9465696791e-01
2.1672841890e+00   6.2033167542e-01
2.2303520324e+00   6.4867103134e-01
2.2899061452e+00   6.7985801817e-01
2.3450311427e+00   7.1407027380e-01
2.3947506957e+00   7.5147269800e-01
2.4380442719e+00   7.9220816384e-01
2.4738703956e+00   8.3638625905e-01
2.5011969135e+00   8.8407015028e-01
2.5190382579e+00   9.3526190246e-01
2.5264989751e+00   9.8988689676e-01
2.5228218675e+00   1.0477783538e+00
2.5074380427e+00   1.1086633438e+00
2.4800151190e+00   1.1721519831e+00
2.4404989934e+00   1.2377316943e+00
2.3891441892e+00   1.3047683400e+00
2.3265280827e+00   1.3725156654e+00
2.2535454057e+00   1.4401337607e+00
2.1713813227e+00   1.5067162465e+00
2.0814638589e+00   1.5713247184e+00
1.9853991017e+00   1.6330278861e+00
1.8848949068e+00   1.6909420307e+00
1.7816803156e+00   1.7442690785e+00
1.6774282337e+00   1.7923288421e+00
1.5736880837e+00   1.8345827613e+00
1.4718333626e+00   1.8706476204e+00
1.3730267283e+00   1.9002989885e+00
1.2782028970e+00   1.9234652854e+00
1.1880676613e+00   1.9402142286e+00
1.1031099993e+00   1.9507338943e+00
1.0236235980e+00   1.9553107133e+00
9.4973408583e-01   1.9543065187e+00
8.8142869164e-01   1.9481363552e+00
8.1858572186e-01   1.9372482753e+00
7.6100200436e-01   1.9221058705e+00
7.0841715970e-01   1.9031738694e+00
6.6053415508e-01   1.8809068156e+00
6.1703604402e-01   1.8557406195e+00
5.7759909796e-01   1.8280866462e+00
5.4190271617e-01   1.7983279399e+00
5.0963658425e-01   1.7668171793e+00
4.8050556846e-01   1.7338759814e+00
4.5423280702e-01   1.6997952153e+00
4.3056140883e-01   1.6648360391e+00
4.0925510998e-01   1.6292314270e+00
3.9009817613e-01   1.5931880009e+00
3.7289478120e-01   1.5568880247e+00
3.5746804174e-01   1.5204914571e+00
3.4365884322e-01   1.4841379861e+00
3.3132455923e-01   1.4479489943e+00
3.2033773629e-01   1.4120294199e+00
3.1058479521e-01   1.3764694947e+00
3.0196478287e-01   1.3413463482e+00
2.9438819604e-01   1.3067254744e+00
2.8777588943e-01   1.2726620648e+00
2.8205807370e-01   1.2392022128e+00
2.7717340437e-01   1.2063839953e+00
2.7306815973e-01   1.1742384433e+00
2.6969550354e-01   1.1427904078e+00
2.6701482732e-01   1.1120593316e+00
2.6499116639e-01   1.0820599366e+00
2.6359468349e-01   1.0528028332e+00
2.6280021392e-01   1.0242950620e+00
2.6258686654e-01   9.9654057373e-01
2.6293767488e-01   9.6954065420e-01
2.6383929356e-01   9.4329430137e-01
2.6528173515e-01   9.1779855898e-01
2.6725814341e-01   8.9304881226e-01
2.6976459886e-01   8.6903905000e-01
2.7279995348e-01   8.4576209693e-01
2.7636569126e-01   8.2320982000e-01
2.8046581194e-01   8.0137331160e-01
2.8510673537e-01   7.8024305266e-01
2.9029722436e-01   7.5980905796e-01
2.9604832389e-01   7.4006100602e-01
3.0237331495e-01   7.2098835550e-01
3.0928768120e-01   7.0258044984e-01
3.1680908709e-01   6.8482661178e-01
3.2495736578e-01   6.6771622929e-01
3.3375451558e-01   6.5123883398e-01
3.4322470353e-01   6.3538417345e-01
3.5339427473e-01   6.2014227845e-01
3.6429176613e-01   6.0550352604e-01
3.7594792332e-01   5.9145869950e-01
3.8839571875e-01   5.7799904610e-01
4.0167037000e-01   5.6511633340e-01
4.1580935610e-01   5.5280290502e-01
4.3085243015e-01   5.4105173662e-01
4.4684162607e-01   5.2985649302e-01
4.6382125695e-01   5.1921158709e-01
4.8183790256e-01   5.0911224151e-01
5.0094038254e-01   4.9955455401e-01
5.2117971223e-01   4.9053556726e-01
5.4260903666e-01   4.8205334417e-01
5.6528353857e-01   4.7410704988e-01
5.8926031492e-01   4.6669704138e-01
6.1459821608e-01   4.5982496612e-01
6.4135764095e-01   4.5349387097e-01
6.6960028011e-01   4.4770832288e-01
6.9938879830e-01   4.4247454311e-01
7.3078644615e-01   4.3780055653e-01
7.6385658975e-01   4.3369635819e-01
7.9866214538e-01   4.3017409912e-01
8.3526490458e-01   4.2724829385e-01
8.7372473366e-01   4.2493605194e-01
9.1409862915e-01   4.2325733642e-01
9.5643960921e-01   4.2223525175e-01
1.0007954186e+00   4.2189636435e-01
1.0472070228e+00   4.2227105859e-01
1.0957068651e+00   4.2339393094e-01
1.1463168585e+00   4.2530422497e-01
1.1990460826e+00   4.2804630910e-01
1.2538881562e+00   4.3167019816e-01
1.3108182553e+00   4.3623211870e-01
1.3697897497e+00   4.4179511549e-01
1.4307304342e+00   4.4842969441e-01
1.4935383399e+00   4.5621449245e-01
1.5580771196e+00   4.6523696027e-01
1.6241710215e+00   4.7559403579e-01
1.6915994866e+00   4.8739277723e-01
1.7600914401e+00   5.0075091238e-01
1.8293193896e+00   5.1579724485e-01
1.8988934993e+00   5.3267183939e-01
1.9683558817e+00   5.5152588499e-01
2.0371754360e+00   5.7252110809e-01
2.1047436632e+00   5.9582857836e-01
2.1703720083e+00   6.2162671876e-01
2.2332914021e+00   6.5009830265e-01
2.2926547979e+00   6.8142619881e-01
2.3475435988e+00   7.1578761815e-01
2.3969789276e+00   7.5334663291e-01
2.4399386642e+00   7.9424479433e-01
2.4753810326e+00   8.3858978045e-01
2.5022752071e+00   8.8644217647e-01
2.5196388984e+00   9.3780073366e-01
2.5265821494e+00   9.9258676630e-01
2.5223556384e+00   1.0506287118e+00
2.5064007335e+00   1.1116482524e+00
2.4783974999e+00   1.1752497111e+00
2.4383060347e+00   1.2409146014e+00
2.3863961452e+00   1.3080031303e+00
2.3232606994e+00   1.3757640643e+00
2.2498091246e+00   1.4433536251e+00
2.1672394560e+00   1.5098630650e+00
2.0769898408e+00   1.5743534035e+00
1.9806730438e+00   1.6358947107e+00
1.8799997754e+00   1.6936065355e+00
1.7766980959e+00   1.7466957738e+00
1.6724364295e+00   1.7944885559e+00
1.5687568354e+00   1.8364535318e+00
1.4670233647e+00   1.8722150916e+00
1.3683880109e+00   1.9015563289e+00
1.2737744309e+00   1.9244126959e+00
1.1838776676e+00   1.9408581396e+00
1.0991767959e+00   1.9510859634e+00
1.0199568018e+00   1.9553867329e+00
9.4633600162e-01   1.9541253235e+00
8.7829574575e-01   1.9477188018e+00
8.1570983453e-01   1.9366163391e+00
7.5837183094e-01   1.9212818849e+00
7.0601916203e-01   1.9021799141e+00
6.5835348956e-01   1.8797642488e+00
6.1505727016e-01   1.8544697402e+00
5.7580672296e-01   1.8267064676e+00
5.4028159657e-01   1.7968560554e+00
5.0817220812e-01   1.7652697014e+00
4.7918424110e-01   1.7322675359e+00
4.5304176102e-01   1.6981389766e+00
4.2948885672e-01   1.6631437940e+00
4.0829025474e-01   1.6275136567e+00
3.8923119174e-01   1.5914539736e+00
3.7211677299e-01   1.5551458936e+00
3.5677099401e-01   1.5187483584e+00
3.4303555967e-01   1.4824001354e+00
3.3076860023e-01   1.4462217778e+00
