X    Y
0.0000000000e+00   5.0000000000e-01
7.8431372549e-02   5.2018368735e-01
1.5686274510e-01   5.4155477685e-01
2.3529411765e-01   5.6416835620e-01
3.1372549020e-01   5.8808143400e-01
3.9215686275e-01   6.1335278097e-01
4.7058823529e-01   6.4004272724e-01
5.4901960784e-01   6.6821290825e-01
6.2745098039e-01   6.9792595033e-01
7.0588235294e-01   7.2924508606e-01
7.8431372549e-01   7.6223368810e-01
8.6274509804e-01   7.9695470871e-01
9.4117647059e-01   8.3347001050e-01
1.0196078431e+00   8.7183957228e-01
1.0980392157e+00   9.1212055192e-01
1.1764705882e+00   9.5436618606e-01
1.2549019608e+00   9.9862450455e-01
1.3333333333e+00   1.0449368353e+00
1.4117647059e+00   1.0933360734e+00
1.4901960784e+00   1.1438446862e+00
1.5686274510e+00   1.1964724251e+00
1.6470588235e+00   1.2512137143e+00
1.7254901961e+00   1.3080446868e+00
1.8039215686e+00   1.3669198392e+00
1.8823529412e+00   1.4277682836e+00
1.9607843137e+00   1.4904895781e+00
2.0392156863e+00   1.5549491337e+00
2.1176470588e+00   1.6209732059e+00
2.1960784314e+00   1.6883435099e+00
2.2745098039e+00   1.7567915239e+00
2.3529411765e+00   1.8259925931e+00
2.4313725490e+00   1.8955600004e+00
2.5098039216e+00   1.9650392414e+00
2.5882352941e+00   2.0339028266e+00
2.6666666667e+00   2.1015460392e+00
2.7450980392e+00   2.1672841890e+00
2.8235294118e+00   2.2303520324e+00
2.9019607843e+00   2.2899061452e+00
2.9803921569e+00   2.3450311427e+00
3.0588235294e+00   2.3947506957e+00
3.1372549020e+00   2.4380442719e+00
3.2156862745e+00   2.4738703956e+00
3.2941176471e+00   2.5011969135e+00
3.3725490196e+00   2.5190382579e+00
3.4509803922e+00   2.5264989751e+00
3.5294117647e+00   2.5228218675e+00
3.6078431373e+00   2.5074380427e+00
3.6862745098e+00   2.4800151190e+00
3.7647058824e+00   2.4404989934e+00
3.8431372549e+00   2.3891441892e+00
3.9215686275e+00   2.3265280827e+00
4.0000000000e+00   2.2535454057e+00
4.0784313725e+00   2.1713813227e+00
4.1568627451e+00   2.0814638589e+00
4.2352941176e+00   1.9853991017e+00
4.3137254902e+00   1.8848949068e+00
4.3921568627e+00   1.7816803156e+00
4.4705882353e+00   1.6774282337e+00
4.5490196078e+00   1.5736880837e+00
4.6274509804e+00   1.4718333626e+00
4.7058823529e+00   1.3730267283e+00
4.7843137255e+00   1.2782028970e+00
4.8627450980e+00   1.1880676613e+00
4.9411764706e+00   1.1031099993e+00
5.0196078431e+00   1.0236235980e+00
5.0980392157e+00   9.4973408583e-01
5.1764705882e+00   8.8142869164e-01
5.2549019608e+00   8.1858572186e-01
5.3333333333e+00   7.6100200436e-01
5.4117647059e+00   7.0841715970e-01
5.4901960784e+00   6.6053415508e-01
5.5686274510e+00   6.1703604402e-01
5.6470588235e+00   5.7759909796e-01
5.7254901961e+00   5.4190271617e-01
5.8039215686e+00   5.0963658425e-01
5.8823529412e+00   4.8050556846e-01
5.9607843137e+00   4.5423280702e-01
6.0392156863e+00   4.3056140883e-01
6.1176470588e+00   4.0925510998e-01
6.1960784314e+00   3.9009817613e-01
6.2745098039e+00   3.7289478120e-01
6.3529411765e+00   3.5746804174e-01
6.4313725490e+00   3.4365884322e-01
6.5098039216e+00   3.3132455923e-01
6.5882352941e+00   3.2033773629e-01
6.6666666667e+00   3.1058479521e-01
6.7450980392e+00   3.0196478287e-01
6.8235294118e+00   2.9438819604e-01
6.9019607843e+00   2.8777588943e-01
6.9803921569e+00   2.8205807370e-01
7.0588235294e+00   2.7717340437e-01
7.1372549020e+00   2.7306815973e-01
7.2156862745e+00   2.6969550354e-01
7.2941176471e+00   2.6701482732e-01
7.3725490196e+00   2.6499116639e-01
7.4509803922e+00   2.6359468349e-01
7.5294117647e+00   2.6280021392e-01
7.6078431373e+00   2.6258686654e-01
7.6862745098e+00   2.6293767488e-01
7.7647058824e+00   2.6383929356e-01
7.8431372549e+00   2.6528173515e-01
7.9215686275e+00   2.6725814341e-01
8.0000000000e+00   2.6976459886e-01
8.0784313725e+00   2.7279995348e-01
8.1568627451e+00   2.7636569126e-01
8.2352941176e+00   2.8046581194e-01
8.3137254902e+00   2.8510673537e-01
8.3921568627e+00   2.9029722436e-01
8.4705882353e+00   2.9604832389e-01
8.5490196078e+00   3.0237331495e-01
8.6274509804e+00   3.0928768120e-01
8.7058823529e+00   3.1680908709e-01
8.7843137255e+00   3.2495736578e-01
8.8627450980e+00   3.3375451558e-01
8.9411764706e+00   3.4322470353e-01
9.0196078431e+00   3.5339427473e-01
9.0980392157e+00   3.6429176613e-01
9.1764705882e+00   3.7594792332e-01
9.2549019608e+00   3.8839571875e-01
9.3333333333e+00   4.0167037000e-01
9.4117647059e+00   4.1580935610e-01
9.4901960784e+00   4.3085243015e-01
9.5686274510e+00   4.4684162607e-01
9.6470588235e+00   4.6382125695e-01
