X    Y    Z
5.0000000000e-01   5.0000000000e-01   0.0000000000e+00
5.1953187205e-01   5.2017465905e-01   7.9146178803e-03
5.3894860564e-01   5.4164902027e-01   1.6029506568e-02
5.5812315571e-01   5.6449901271e-01   2.4362320142e-02
5.7691559743e-01   5.8879835303e-01   3.2931602102e-02
5.9517359037e-01   6.1461658268e-01   4.1756722474e-02
6.1273329259e-01   6.4201668797e-01   5.0857782241e-02
6.2942080421e-01   6.7105227344e-01   6.0255478872e-02
6.4505421466e-01   7.0176427456e-01   6.9970926499e-02
6.5944631438e-01   7.3417722042e-01   8.0025424328e-02
6.7240800943e-01   7.6829508927e-01   9.0440167408e-02
6.8375244376e-01   8.0409684207e-01   1.0123589492e-01
6.9329978877e-01   8.4153177000e-01   1.1243247295e-01
7.0088260367e-01   8.8051484872e-01   1.2404841132e-01
7.0635160550e-01   9.2092235248e-01   1.3610031743e-01
7.0958161877e-01   9.6258803718e-01   1.4860229459e-01
7.1047740880e-01   1.0053002463e+00   1.6156529704e-01
7.0897904879e-01   1.0488003173e+00   1.7499645983e-01
7.0506643826e-01   1.0927826584e+00   1.8889842676e-01
6.9876259012e-01   1.1368968182e+00   2.0326870522e-01
6.9013534238e-01   1.1807517812e+00   2.1809908011e-01
6.7929723179e-01   1.2239225842e+00   2.3337512168e-01
6.6640338780e-01   1.2659591809e+00   2.4907582129e-01
6.5164745560e-01   1.3063972905e+00   2.6517338637e-01
6.3525572119e-01   1.3447707751e+00   2.8163321944e-01
6.1747976813e-01   1.3806249297e+00   2.9841409758e-01
5.9858812410e-01   1.4135299535e+00   3.1546855774e-01
5.7885743699e-01   1.4430938235e+00   3.3274348145e-01
5.5856374504e-01   1.4689738249e+00   3.5018086077e-01
5.3797436995e-01   1.4908860914e+00   3.6771871647e-01
5.1734087498e-01   1.5086126733e+00   3.8529213137e-01
4.9689340552e-01   1.5220058518e+00   4.0283435603e-01
4.7683658730e-01   1.5309896267e+00   4.2027794231e-01
4.5734701635e-01   1.5355585065e+00   4.3755586108e-01
4.3857225161e-01   1.5357738936e+00   4.5460256467e-01
4.2063112714e-01   1.5317584772e+00   4.7135496060e-01
4.0361514063e-01   1.5236891154e+00   4.8775327088e-01
3.8759064846e-01   1.5117887084e+00   5.0374175890e-01
3.7260159961e-01   1.4963175451e+00   5.1926931434e-01
3.5867256458e-01   1.4775645509e+00   5.3428989334e-01
3.4581185319e-01   1.4558387996e+00   5.4876281774e-01
3.3401455865e-01   1.4314615686e+00   5.6265294180e-01
3.2326541048e-01   1.4047591386e+00   5.7593069866e-01
3.1354135912e-01   1.3760564671e+00   5.8857204101e-01
3.0481385063e-01   1.3456717974e+00   6.0055829173e-01
2.9705077696e-01   1.3139122155e+00   6.1187592057e-01
2.9021810820e-01   1.2810701254e+00   6.2251626256e-01
2.8428122716e-01   1.2474205836e+00   6.3247519288e-01
2.7920599499e-01   1.2132194136e+00   6.4175277153e-01
2.7495958129e-01   1.1787020131e+00   6.5035286987e-01
2.7151109264e-01   1.1440827573e+00   6.5828278907e-01
2.6883203286e-01   1.1095549054e+00   6.6555287939e-01
2.6689662538e-01   1.0752909209e+00   6.7217616712e-01
2.6568202522e-01   1.0414431213e+00   6.7816799506e-01
2.6516844393e-01   1.0081445837e+00   6.8354568069e-01
2.6533920767e-01   9.7551023668e-01   6.8832819520e-01
2.6618076502e-01   9.4363808452e-01   6.9253586561e-01
2.6768265777e-01   9.1261051157e-01   6.9619010113e-01
2.6983746561e-01   8.8249562813e-01   6.9931314444e-01
2.7264073284e-01   8.5334862393e-01   7.0192784774e-01
2.7609088354e-01   8.2521310316e-01   7.0405747324e-01
2.8018912957e-01   7.9812238084e-01   7.0572551715e-01
2.8493937478e-01   7.7210072560e-01   7.0695555608e-01
2.9034811723e-01   7.4716453837e-01   7.0777111472e-01
2.9642435057e-01   7.2332346029e-01   7.0819555323e-01
3.0317946468e-01   7.0058140626e-01   7.0825197302e-01
3.1062714509e-01   6.7893752304e-01   7.0796313949e-01
3.1878327007e-01   6.5838707302e-01   7.0735142018e-01
3.2766580384e-01   6.3892224613e-01   7.0643873710e-01
3.3729468366e-01   6.2053290381e-01   7.0524653181e-01
3.4769169815e-01   6.0320725971e-01   7.0379574215e-01
3.5888035398e-01   5.8693250263e-01   7.0210678937e-01
3.7088572700e-01   5.7169536754e-01   7.0019957476e-01
3.8373429405e-01   5.5748266091e-01   6.9809348484e-01
3.9745374044e-01   5.4428174659e-01   6.9580740423e-01
4.1207273805e-01   5.3208099901e-01   6.9335973571e-01
4.2762068784e-01   5.2087022980e-01   6.9076842670e-01
4.4412742010e-01   5.1064109468e-01   6.8805100182e-01
4.6162284485e-01   5.0138748679e-01   6.8522460115e-01
4.8013654370e-01   4.9310592289e-01   6.8230602391e-01
4.9969729372e-01   4.8579592868e-01   6.7931177749e-01
5.2033251267e-01   4.7946042934e-01   6.7625813167e-01
5.4206761369e-01   4.7410615117e-01   6.7316117818e-01
5.6492525656e-01   4.6974404004e-01   6.7003689571e-01
5.8892448132e-01   4.6638970196e-01   6.6690122047e-01
6.1407970899e-01   4.6406387051e-01   6.6377012286e-01
6.4039959321e-01   4.6279290522e-01   6.6065969027e-01
6.6788570579e-01   4.6260932370e-01   6.5758621671e-01
6.9653103936e-01   4.6355236878e-01   6.5456629950e-01
7.2631831029e-01   4.6566860984e-01   6.5161694360e-01
7.5721804720e-01   4.6901257383e-01   6.4875567385e-01
7.8918645299e-01   4.7364739768e-01   6.4600065543e-01
8.2216303354e-01   4.7964548741e-01   6.4337082267e-01
8.5606799416e-01   4.8708916135e-01   6.4088601603e-01
8.9079941594e-01   4.9607124466e-01   6.3856712654e-01
9.2623024036e-01   5.0669556815e-01   6.3643624662e-01
9.6220511218e-01   5.1907730761e-01   6.3451682510e-01
9.9853715935e-01   5.3334307783e-01   6.3283382335e-01
1.0350048257e+00   5.4963066935e-01   6.3141386784e-01
1.0713489185e+00   5.6808828513e-01   6.3028539253e-01
1.1072700882e+00   5.8887309939e-01   6.2947876221e-01
1.1424270241e+00   6.1214892429e-01   6.2902636488e-01
1.1764357171e+00   6.3808273453e-01   6.2896265804e-01
1.2088702169e+00   6.6683977247e-01   6.2932414955e-01
1.2392653720e+00   6.9857694467e-01   6.3014928995e-01
1.2671220833e+00   7.3343423852e-01   6.3147824893e-01
