X    Y
0.0000000000e+00   5.0000000000e-01
7.8201368524e-02   5.1953187205e-01
1.5640273705e-01   5.3894860564e-01
2.3460410557e-01   5.5812315571e-01
3.1280547410e-01   5.7691559743e-01
3.9100684262e-01   5.9517359037e-01
4.6920821114e-01   6.1273329259e-01
5.4740957967e-01   6.2942080421e-01
6.2561094819e-01   6.4505421466e-01
7.0381231672e-01   6.5944631438e-01
7.8201368524e-01   6.7240800943e-01
8.6021505376e-01   6.8375244376e-01
9.3841642229e-01   6.9329978877e-01
1.0166177908e+00   7.0088260367e-01
1.0948191593e+00   7.0635160550e-01
1.1730205279e+00   7.0958161877e-01
1.2512218964e+00   7.1047740880e-01
1.3294232649e+00   7.0897904879e-01
1.4076246334e+00   7.0506643826e-01
1.4858260020e+00   6.9876259012e-01
1.5640273705e+00   6.9013534238e-01
1.6422287390e+00   6.7929723179e-01
1.7204301075e+00   6.6640338780e-01
1.7986314761e+00   6.5164745560e-01
1.8768328446e+00   6.3525572119e-01
1.9550342131e+00   6.1747976813e-01
2.0332355816e+00   5.9858812410e-01
2.1114369501e+00   5.7885743699e-01
2.1896383187e+00   5.5856374504e-01
2.2678396872e+00   5.3797436995e-01
2.3460410557e+00   5.1734087498e-01
2.4242424242e+00   4.9689340552e-01
2.5024437928e+00   4.7683658730e-01
2.5806451613e+00   4.5734701635e-01
2.6588465298e+00   4.3857225161e-01
2.7370478983e+00   4.2063112714e-01
2.8152492669e+00   4.0361514063e-01
2.8934506354e+00   3.8759064846e-01
2.9716520039e+00   3.7260159961e-01
3.0498533724e+00   3.5867256458e-01
3.1280547410e+00   3.4581185319e-01
3.2062561095e+00   3.3401455865e-01
3.2844574780e+00   3.2326541048e-01
3.3626588465e+00   3.1354135912e-01
3.4408602151e+00   3.0481385063e-01
3.5190615836e+00   2.9705077696e-01
3.5972629521e+00   2.9021810820e-01
3.6754643206e+00   2.8428122716e-01
3.7536656891e+00   2.7920599499e-01
3.8318670577e+00   2.7495958129e-01
3.9100684262e+00   2.7151109264e-01
3.9882697947e+00   2.6883203286e-01
4.0664711632e+00   2.6689662538e-01
4.1446725318e+00   2.6568202522e-01
4.2228739003e+00   2.6516844393e-01
4.3010752688e+00   2.6533920767e-01
4.3792766373e+00   2.6618076502e-01
4.4574780059e+00   2.6768265777e-01
4.5356793744e+00   2.6983746561e-01
4.6138807429e+00   2.7264073284e-01
4.6920821114e+00   2.7609088354e-01
4.7702834800e+00   2.8018912957e-01
4.8484848485e+00   2.8493937478e-01
4.9266862170e+00   2.9034811723e-01
5.0048875855e+00   2.9642435057e-01
5.0830889541e+00   3.0317946468e-01
5.1612903226e+00   3.1062714509e-01
5.2394916911e+00   3.1878327007e-01
5.3176930596e+00   3.2766580384e-01
5.3958944282e+00   3.3729468366e-01
5.4740957967e+00   3.4769169815e-01
5.5522971652e+00   3.5888035398e-01
5.6304985337e+00   3.7088572700e-01
5.7086999022e+00   3.8373429405e-01
5.7869012708e+00   3.9745374044e-01
5.8651026393e+00   4.1207273805e-01
5.9433040078e+00   4.2762068784e-01
6.0215053763e+00   4.4412742010e-01
6.0997067449e+00   4.6162284485e-01
6.1779081134e+00   4.8013654370e-01
6.2561094819e+00   4.9969729372e-01
6.3343108504e+00   5.2033251267e-01
6.4125122190e+00   5.4206761369e-01
6.4907135875e+00   5.6492525656e-01
6.5689149560e+00   5.8892448132e-01
6.6471163245e+00   6.1407970899e-01
6.7253176931e+00   6.4039959321e-01
6.8035190616e+00   6.6788570579e-01
6.8817204301e+00   6.9653103936e-01
6.9599217986e+00   7.2631831029e-01
7.0381231672e+00   7.5721804720e-01
7.1163245357e+00   7.8918645299e-01
7.1945259042e+00   8.2216303354e-01
7.2727272727e+00   8.5606799416e-01
7.3509286413e+00   8.9079941594e-01
7.4291300098e+00   9.2623024036e-01
7.5073313783e+00   9.6220511218e-01
7.5855327468e+00   9.9853715935e-01
7.6637341153e+00   1.0350048257e+00
7.7419354839e+00   1.0713489185e+00
7.8201368524e+00   1.1072700882e+00
7.8983382209e+00   1.1424270241e+00
7.9765395894e+00   1.1764357171e+00
8.0547409580e+00   1.2088702169e+00
8.1329423265e+00   1.2392653720e+00
8.2111436950e+00   1.2671220833e+00
8.2893450635e+00   1.2919156048e+00
8.3675464321e+00   1.3131073601e+00
8.4457478006e+00   1.3301605908e+00
8.5239491691e+00   1.3425598838e+00
8.6021505376e+00   1.3498342270e+00
8.6803519062e+00   1.3515827257e+00
8.7585532747e+00   1.3475015068e+00
8.8367546432e+00   1.3374097366e+00
8.9149560117e+00   1.3212721851e+00
8.9931573803e+00   1.2992155420e+00
9.0713587488e+00   1.2715358572e+00
9.1495601173e+00   1.2386951256e+00
9.2277614858e+00   1.2013061519e+00
9.3059628543e+00   1.1601062688e+00
9.3841642229e+00   1.1159219888e+00
9.4623655914e+00   1.0696279392e+00
9.5405669599e+00   1.0221041773e+00
9.6187683284e+00   9.7419604501e-01
9.6969696970e+00   9.2668011811e-01
9.7751710655e+00   8.8023868920e-01
9.8533724340e+00   8.3544388162e-01
9.9315738025e+00   7.9275119699e-01
1.0009775171e+01   7.5250128255e-01
1.0087976540e+01   7.1492807747e-01
1.0166177908e+01   6.8017126848e-01
1.0244379277e+01   6.4829108280e-01
