X    Y
0.0000000000e+00   5.0000000000e-01
3.8095238095e-02   5.0967040985e-01
7.6190476190e-02   5.1963992910e-01
1.1428571429e-01   5.2991741985e-01
1.5238095238e-01   5.4051171327e-01
1.9047619048e-01   5.5143156907e-01
2.2857142857e-01   5.6268563014e-01
2.6666666667e-01   5.7428237220e-01
3.0476190476e-01   5.8623004817e-01
3.4285714286e-01   5.9853662694e-01
3.8095238095e-01   6.1120972636e-01
4.1904761905e-01   6.2425654027e-01
4.5714285714e-01   6.3768375943e-01
4.9523809524e-01   6.5149748615e-01
5.3333333333e-01   6.6570314285e-01
5.7142857143e-01   6.8030537434e-01
6.0952380952e-01   6.9530794422e-01
6.4761904762e-01   7.1071362557e-01
6.8571428571e-01   7.2652408631e-01
7.2380952381e-01   7.4273976998e-01
7.6190476190e-01   7.5935977238e-01
8.0000000000e-01   7.7638171517e-01
8.3809523810e-01   7.9380161738e-01
8.7619047619e-01   8.1161376617e-01
9.1428571429e-01   8.2981058818e-01
9.5238095238e-01   8.4838252316e-01
9.9047619048e-01   8.6731790177e-01
1.0285714286e+00   8.8660282945e-01
1.0666666667e+00   9.0622107861e-01
1.1047619048e+00   9.2615399147e-01
1.1428571429e+00   9.4638039585e-01
1.1809523810e+00   9.6687653659e-01
1.2190476190e+00   9.8761602496e-01
1.2571428571e+00   1.0085698086e+00
1.2952380952e+00   1.0297061645e+00
1.3333333333e+00   1.0509907170e+00
1.3714285714e+00   1.0723864828e+00
1.4095238095e+00   1.0938539455e+00
1.4476190476e+00   1.1153511594e+00
1.4857142857e+00   1.1368338852e+00
1.5238095238e+00   1.1582557568e+00
1.5619047619e+00   1.1795684792e+00
1.6000000000e+00   1.2007220575e+00
1.6380952381e+00   1.2216650547e+00
1.6761904762e+00   1.2423448766e+00
1.7142857143e+00   1.2627080813e+00
1.7523809524e+00   1.2827007098e+00
1.7904761905e+00   1.3022686346e+00
1.8285714286e+00   1.3213579208e+00
1.8666666667e+00   1.3399151959e+00
1.9047619048e+00   1.3578880241e+00
1.9428571429e+00   1.3752252775e+00
1.9809523810e+00   1.3918775025e+00
2.0190476190e+00   1.4077972726e+00
2.0571428571e+00   1.4229395258e+00
2.0952380952e+00   1.4372618804e+00
2.1333333333e+00   1.4507249243e+00
2.1714285714e+00   1.4632924765e+00
2.2095238095e+00   1.4749318149e+00
2.2476190476e+00   1.4856138699e+00
2.2857142857e+00   1.4953133813e+00
2.3238095238e+00   1.5040090168e+00
2.3619047619e+00   1.5116834526e+00
2.4000000000e+00   1.5183234157e+00
