X    Y
0.0000000000e+00   4.0000000000e-01
7.8201368524e-02   4.0506703347e-01
1.5640273705e-01   4.0770329809e-01
2.3460410557e-01   4.0784491119e-01
3.1280547410e-01   4.0544690052e-01
3.9100684262e-01   4.0048211021e-01
4.6920821114e-01   3.9294046550e-01
5.4740957967e-01   3.8282851695e-01
6.2561094819e-01   3.7016917196e-01
7.0381231672e-01   3.5500152700e-01
7.8201368524e-01   3.3738073010e-01
8.6021505376e-01   3.1737782193e-01
9.3841642229e-01   2.9507952059e-01
1.0166177908e+00   2.7058792915e-01
1.0948191593e+00   2.4402015405e-01
1.1730205279e+00   2.1550782874e-01
1.2512218964e+00   1.8519654102e-01
1.3294232649e+00   1.5324516450e-01
1.4076246334e+00   1.1982509656e-01
1.4858260020e+00   8.5119405701e-02
1.5640273705e+00   4.9321892379e-02
1.6422287390e+00   1.2636067755e-02
1.7204301075e+00   -2.4725944552e-02
1.7986314761e+00   -6.2544578042e-02
1.8768328446e+00   -1.0059405814e-01
1.9550342131e+00   -1.3864369563e-01
2.0332355816e+00   -1.7645923167e-01
2.1114369501e+00   -2.1380422696e-01
2.1896383187e+00   -2.5044148733e-01
2.2678396872e+00   -2.8613451750e-01
2.3460410557e+00   -3.2064899486e-01
2.4242424242e+00   -3.5375425446e-01
2.5024437928e+00   -3.8522477665e-01
2.5806451613e+00   -4.1484166854e-01
2.6588465298e+00   -4.4239413042e-01
2.7370478983e+00   -4.6768089841e-01
2.8152492669e+00   -4.9051165474e-01
2.8934506354e+00   -5.1070839743e-01
2.9716520039e+00   -5.2810676121e-01
3.0498533724e+00   -5.4255728247e-01
3.1280547410e+00   -5.5392660130e-01
3.2062561095e+00   -5.6209859482e-01
3.2844574780e+00   -5.6697543711e-01
3.3626588465e+00   -5.6847858250e-01
3.4408602151e+00   -5.6654967086e-01
3.5190615836e+00   -5.6115135635e-01
3.5972629521e+00   -5.5226806416e-01
3.6754643206e+00   -5.3990668446e-01
3.7536656891e+00   -5.2409721865e-01
3.8318670577e+00   -5.0489340112e-01
3.9100684262e+00   -4.8237333003e-01
3.9882697947e+00   -4.5664015489e-01
4.0664711632e+00   -4.2782288603e-01
4.1446725318e+00   -3.9607741295e-01
4.2228739003e+00   -3.6158784279e-01
4.3010752688e+00   -3.2456829338e-01
4.3792766373e+00   -2.8526528765e-01
4.4574780059e+00   -2.4396087910e-01
4.5356793744e+00   -2.0097655624e-01
4.6138807429e+00   -1.5667777430e-01
4.6920821114e+00   -1.1147856970e-01
4.7702834800e+00   -6.5845057631e-02
4.8484848485e+00   -2.0295691969e-02
4.9266862170e+00   2.4604830206e-02
5.0048875855e+00   6.8261664100e-02
5.0830889541e+00   1.1007867787e-01
5.1612903226e+00   1.4949961415e-01
5.2394916911e+00   1.8605557440e-01
5.3176930596e+00   2.1940722351e-01
5.3958944282e+00   2.4936830119e-01
5.4740957967e+00   2.7590186074e-01
5.5522971652e+00   2.9909055693e-01
5.6304985337e+00   3.1909158374e-01
5.7086999022e+00   3.3609030029e-01
5.7869012708e+00   3.5026351938e-01
5.8651026393e+00   3.6175722875e-01
5.9433040078e+00   3.7067801533e-01
6.0215053763e+00   3.7709450689e-01
6.0997067449e+00   3.8104455972e-01
6.1779081134e+00   3.8254468960e-01
6.2561094819e+00   3.8159943521e-01
6.3343108504e+00   3.7820942751e-01
6.4125122190e+00   3.7237771977e-01
6.4907135875e+00   3.6411440551e-01
6.5689149560e+00   3.5343978221e-01
6.6471163245e+00   3.4038638908e-01
6.7253176931e+00   3.2500022686e-01
6.8035190616e+00   3.0734140811e-01
6.8817204301e+00   2.8748441826e-01
6.9599217986e+00   2.6551810859e-01
7.0381231672e+00   2.4154549740e-01
7.1163245357e+00   2.1568342466e-01
7.1945259042e+00   1.8806208661e-01
7.2727272727e+00   1.5882446542e-01
7.3509286413e+00   1.2812566290e-01
7.4291300098e+00   9.6132144710e-02
7.5073313783e+00   6.3020900029e-02
7.5855327468e+00   2.8978521370e-02
7.6637341153e+00   -5.7997905277e-03
7.7419354839e+00   -4.1111291610e-02
7.8201368524e+00   -7.6746823623e-02
7.8983382209e+00   -1.1249200144e-01
7.9765395894e+00   -1.4812845219e-01
8.0547409580e+00   -1.8343509943e-01
8.1329423265e+00   -2.1818948507e-01
8.2111436950e+00   -2.5216912184e-01
8.2893450635e+00   -2.8515286821e-01
8.3675464321e+00   -3.1692231816e-01
8.4457478006e+00   -3.4726319740e-01
8.5239491691e+00   -3.7596675788e-01
8.6021505376e+00   -4.0283116231e-01
8.6803519062e+00   -4.2766285043e-01
8.7585532747e+00   -4.5027787870e-01
8.8367546432e+00   -4.7050322559e-01
8.9149560117e+00   -4.8817805451e-01
8.9931573803e+00   -5.0315492721e-01
9.0713587488e+00   -5.1530096057e-01
9.1495601173e+00   -5.2449892070e-01
9.2277614858e+00   -5.3064824877e-01
9.3059628543e+00   -5.3366601439e-01
9.3841642229e+00   -5.3348779324e-01
9.4623655914e+00   -5.3006846784e-01
9.5405669599e+00   -5.2338295191e-01
9.6187683284e+00   -5.1342684196e-01
9.6969696970e+00   -5.0021700296e-01
9.7751710655e+00   -4.8379209938e-01
9.8533724340e+00   -4.6421308849e-01
9.9315738025e+00   -4.4156369965e-01
1.0009775171e+01   -4.1595093191e-01
1.0087976540e+01   -3.8750561141e-01
1.0166177908e+01   -3.5638306061e-01
1.0244379277e+01   -3.2276393927e-01
1.0322580645e+01   -2.8685532001e-01
1.0400782014e+01   -2.4889205040e-01
1.0478983382e+01   -2.0913841679e-01
1.0557184751e+01   -1.6789004341e-01
1.0635386119e+01   -1.2547580903e-01
1.0713587488e+01   -8.2259318610e-02
1.0791788856e+01   -3.8639121443e-02
1.0869990225e+01   4.9535390722e-03
1.0948191593e+01   4.8060991638e-02
1.1026392962e+01   9.0210967551e-02
1.1104594330e+01   1.3093486659e-01
1.1182795699e+01   1.6979172411e-01
1.1260997067e+01   2.0639478550e-01
1.1339198436e+01   2.4043534244e-01
1.1417399804e+01   2.7169770332e-01
1.1495601173e+01   3.0006086976e-01
1.1573802542e+01   3.2548635446e-01
1.1652003910e+01   3.4799583525e-01
1.1730205279e+01   3.6764491802e-01
1.1808406647e+01   3.8449921856e-01
1.1886608016e+01   3.9861686930e-01
1.1964809384e+01   4.1003882050e-01
1.2043010753e+01   4.1878612532e-01
1.2121212121e+01   4.2486225677e-01
1.2199413490e+01   4.2825829014e-01
1.2277614858e+01   4.2895913691e-01
1.2355816227e+01   4.2694958665e-01
1.2434017595e+01   4.2221947068e-01
1.2512218964e+01   4.1476769316e-01
1.2590420332e+01   4.0460515302e-01
1.2668621701e+01   3.9175672174e-01
1.2746823069e+01   3.7626248599e-01
1.2825024438e+01   3.5817844986e-01
1.2903225806e+01   3.3757685146e-01
1.2981427175e+01   3.1454620421e-01
1.3059628543e+01   2.8919113501e-01
1.3137829912e+01   2.6163206371e-01
1.3216031281e+01   2.3200474979e-01
1.3294232649e+01   2.0045972138e-01
1.3372434018e+01   1.6716159580e-01
1.3450635386e+01   1.3228829770e-01
1.3528836755e+01   9.6030180149e-02
1.3607038123e+01   5.8589053189e-02
1.3685239492e+01   2.0177125166e-02
1.3763440860e+01   -1.8984137980e-02
1.3841642229e+01   -5.8665229452e-02
1.3919843597e+01   -9.8629888050e-02
1.3998044966e+01   -1.3863644745e-01
1.4076246334e+01   -1.7843924100e-01
1.4154447703e+01   -2.1779005434e-01
1.4232649071e+01   -2.5643961757e-01
1.4310850440e+01   -2.9413912872e-01
1.4389051808e+01   -3.3064179962e-01
1.4467253177e+01   -3.6570441524e-01
1.4545454545e+01   -3.9908889736e-01
1.4623655914e+01   -4.3056386337e-01
1.4701857283e+01   -4.5990617097e-01
1.4780058651e+01   -4.8690243946e-01
1.4858260020e+01   -5.1135053879e-01
1.4936461388e+01   -5.3306103746e-01
1.5014662757e+01   -5.5185860109e-01
1.5092864125e+01   -5.6758333366e-01
1.5171065494e+01   -5.8009205464e-01
1.5249266862e+01   -5.8925950573e-01
1.5327468231e+01   -5.9497948271e-01
1.5405669599e+01   -5.9716588914e-01
1.5483870968e+01   -5.9575371152e-01
1.5562072336e+01   -5.9069991803e-01
1.5640273705e+01   -5.8198428767e-01
1.5718475073e+01   -5.6961018192e-01
1.5796676442e+01   -5.5360527933e-01
1.5874877810e+01   -5.3402230389e-01
1.5953079179e+01   -5.1093979346e-01
1.6031280547e+01   -4.8446297485e-01
1.6109481916e+01   -4.5472483990e-01
1.6187683284e+01   -4.2188755322e-01
1.6265884653e+01   -3.8614436702e-01
1.6344086022e+01   -3.4772226813e-01
1.6422287390e+01   -3.0688562569e-01
1.6500488759e+01   -2.6394111584e-01
1.6578690127e+01   -2.1924411624e-01
1.6656891496e+01   -1.7320648419e-01
1.6735092864e+01   -1.2630500274e-01
1.6813294233e+01   -7.9088618978e-02
1.6891495601e+01   -3.2180830716e-02
1.6969696970e+01   1.3728468798e-02
1.7047898338e+01   5.7908538766e-02
1.7126099707e+01   9.9635685191e-02
1.7204301075e+01   1.3826136327e-01
1.7282502444e+01   1.7328676328e-01
1.7360703812e+01   2.0442023797e-01
1.7438905181e+01   2.3159484552e-01
1.7517106549e+01   2.5493833527e-01
