X    Y
0.0000000000e+00   0.0000000000e+00
7.8201368524e-02   -3.1603285728e-02
1.5640273705e-01   -6.3664165282e-02
2.3460410557e-01   -9.5919353847e-02
3.1280547410e-01   -1.2812586564e-01
3.9100684262e-01   -1.6005583464e-01
4.6920821114e-01   -1.9149223356e-01
5.4740957967e-01   -2.2222579444e-01
6.2561094819e-01   -2.5205314003e-01
7.0381231672e-01   -2.8077595217e-01
7.8201368524e-01   -3.0820092799e-01
8.6021505376e-01   -3.3414027744e-01
9.3841642229e-01   -3.5841255798e-01
1.0166177908e+00   -3.8084369692e-01
1.0948191593e+00   -4.0126810069e-01
1.1730205279e+00   -4.1952978774e-01
1.2512218964e+00   -4.3548350655e-01
1.3294232649e+00   -4.4899581531e-01
1.4076246334e+00   -4.5994610846e-01
1.4858260020e+00   -4.6822757990e-01
1.5640273705e+00   -4.7374811480e-01
1.6422287390e+00   -4.7643110342e-01
1.7204301075e+00   -4.7621617093e-01
1.7986314761e+00   -4.7305981765e-01
1.8768328446e+00   -4.6693596498e-01
1.9550342131e+00   -4.5783640225e-01
2.0332355816e+00   -4.4577113076e-01
2.1114369501e+00   -4.3076860157e-01
2.1896383187e+00   -4.1287584422e-01
2.2678396872e+00   -3.9215848443e-01
2.3460410557e+00   -3.6870064936e-01
2.4242424242e+00   -3.4260475991e-01
2.5024437928e+00   -3.1399121029e-01
2.5806451613e+00   -2.8299793594e-01
2.6588465298e+00   -2.4977987213e-01
2.7370478983e+00   -2.1450830616e-01
2.8152492669e+00   -1.7737012766e-01
2.8934506354e+00   -1.3856698264e-01
2.9716520039e+00   -9.8314338479e-02
3.0498533724e+00   -5.6840468906e-02
3.1280547410e+00   -1.4385370332e-02
3.2062561095e+00   2.8800376461e-02
3.2844574780e+00   7.2456781519e-02
3.3626588465e+00   1.1631563538e-01
3.4408602151e+00   1.6010168451e-01
3.5190615836e+00   2.0353375534e-01
3.5972629521e+00   2.4632577828e-01
3.6754643206e+00   2.8818764752e-01
3.7536656891e+00   3.2882583162e-01
3.8318670577e+00   3.6794362229e-01
3.9100684262e+00   4.0524087308e-01
3.9882697947e+00   4.4041303681e-01
4.0664711632e+00   4.7314926228e-01
4.1446725318e+00   5.0312926890e-01
4.2228739003e+00   5.3001870474e-01
4.3010752688e+00   5.5346275920e-01
4.3792766373e+00   5.7307803643e-01
4.4574780059e+00   5.8844325338e-01
4.5356793744e+00   5.9909043221e-01
4.6138807429e+00   6.0450017519e-01
4.6920821114e+00   6.0410749341e-01
4.7702834800e+00   5.9732816227e-01
4.8484848485e+00   5.8361816136e-01
4.9266862170e+00   5.6257693880e-01
5.0048875855e+00   5.3409381963e-01
5.0830889541e+00   4.9851222009e-01
5.1612903226e+00   4.5675380265e-01
5.2394916911e+00   4.1032537194e-01
5.3176930596e+00   3.6115442211e-01
5.3958944282e+00   3.1127301964e-01
5.4740957967e+00   2.6245497040e-01
5.5522971652e+00   2.1594269166e-01
5.6304985337e+00   1.7235013605e-01
5.7086999022e+00   1.3173721326e-01
5.7869012708e+00   9.3784982397e-02
5.8651026393e+00   5.7989280728e-02
5.9433040078e+00   2.3817509376e-02
6.0215053763e+00   -9.1915319141e-03
6.0997067449e+00   -4.1380407094e-02
6.1779081134e+00   -7.2963586704e-02
6.2561094819e+00   -1.0404004475e-01
6.3343108504e+00   -1.3461558327e-01
6.4125122190e+00   -1.6462687974e-01
6.4907135875e+00   -1.9396294250e-01
6.5689149560e+00   -2.2248226831e-01
6.6471163245e+00   -2.5002557575e-01
6.7253176931e+00   -2.7642477447e-01
6.8035190616e+00   -3.0150908546e-01
6.8817204301e+00   -3.2510918346e-01
6.9599217986e+00   -3.4706005679e-01
7.0381231672e+00   -3.6720307879e-01
7.1163245357e+00   -3.8538761189e-01
7.1945259042e+00   -4.0147233659e-01
7.2727272727e+00   -4.1532641264e-01
7.3509286413e+00   -4.2683052738e-01
7.4291300098e+00   -4.3587785653e-01
7.5073313783e+00   -4.4237494686e-01
7.5855327468e+00   -4.4624252227e-01
7.6637341153e+00   -4.4741621103e-01
7.7419354839e+00   -4.4584719046e-01
7.8201368524e+00   -4.4150274468e-01
7.8983382209e+00   -4.3436673150e-01
7.9765395894e+00   -4.2443995433e-01
8.0547409580e+00   -4.1174043585e-01
8.1329423265e+00   -3.9630359053e-01
8.2111436950e+00   -3.7818229374e-01
8.2893450635e+00   -3.5744684575e-01
8.3675464321e+00   -3.3418482978e-01
