X    Y    Z
0.0000000000e+00   4.0000000000e-01   0.0000000000e+00
-3.1603285728e-02   4.0506703347e-01   2.5719128803e-03
-6.3664165282e-02   4.0770329809e-01   4.0546451701e-03
-9.5919353847e-02   4.0784491119e-01   4.8067149425e-03
-1.2812586564e-01   4.0544690052e-01   5.0981851986e-03
-1.6005583464e-01   4.0048211021e-01   5.1197986661e-03
-1.9149223356e-01   3.9294046550e-01   4.9978659026e-03
-2.2222579444e-01   3.8282851695e-01   4.8106625636e-03
-2.5205314003e-01   3.7016917196e-01   4.6033347819e-03
-2.8077595217e-01   3.5500152700e-01   4.3997957048e-03
-3.0820092799e-01   3.3738073010e-01   4.2112987096e-03
-3.3414027744e-01   3.1737782193e-01   4.0420996176e-03
-3.5841255798e-01   2.9507952059e-01   3.8929121347e-03
-3.8084369692e-01   2.7058792915e-01   3.7628629134e-03
-4.0126810069e-01   2.4402015405e-01   3.6505151246e-03
-4.1952978774e-01   2.1550782874e-01   3.5543589730e-03
-4.3548350655e-01   1.8519654102e-01   3.4730201231e-03
-4.4899581531e-01   1.5324516450e-01   3.4053306668e-03
-4.5994610846e-01   1.1982509656e-01   3.3503395675e-03
-4.6822757990e-01   8.5119405701e-02   3.3073004530e-03
-4.7374811480e-01   4.9321892379e-02   3.2756539233e-03
-4.7643110342e-01   1.2636067755e-02   3.2550114046e-03
-4.7621617093e-01   -2.4725944552e-02   3.2451430199e-03
-4.7305981765e-01   -6.2544578042e-02   3.2459701059e-03
-4.6693596498e-01   -1.0059405814e-01   3.2575624010e-03
-4.5783640225e-01   -1.3864369563e-01   3.2801398474e-03
-4.4577113076e-01   -1.7645923167e-01   3.3140790752e-03
-4.3076860157e-01   -2.1380422696e-01   3.3599248481e-03
-4.1287584422e-01   -2.5044148733e-01   3.4184070106e-03
-3.9215848443e-01   -2.8613451750e-01   3.4904637770e-03
-3.6870064936e-01   -3.2064899486e-01   3.5772725756e-03
-3.4260475991e-01   -3.5375425446e-01   3.6802901156e-03
-3.1399121029e-01   -3.8522477665e-01   3.8013039381e-03
-2.8299793594e-01   -4.1484166854e-01   3.9424984827e-03
-2.4977987213e-01   -4.4239413042e-01   4.1065397316e-03
-2.1450830616e-01   -4.6768089841e-01   4.2966838767e-03
-1.7737012766e-01   -4.9051165474e-01   4.5169173348e-03
-1.3856698264e-01   -5.1070839743e-01   4.7721380052e-03
-9.8314338479e-02   -5.2810676121e-01   5.0683911999e-03
-5.6840468906e-02   -5.4255728247e-01   5.4131785604e-03
-1.4385370332e-02   -5.5392660130e-01   5.8158650601e-03
2.8800376461e-02   -5.6209859482e-01   6.2882186291e-03
7.2456781519e-02   -5.6697543711e-01   6.8451300992e-03
1.1631563538e-01   -5.6847858250e-01   7.5055795042e-03
1.6010168451e-01   -5.6654967086e-01   8.2939402446e-03
2.0353375534e-01   -5.6115135635e-01   9.2417477950e-03
2.4632577828e-01   -5.5226806416e-01   1.0390107615e-02
2.8818764752e-01   -5.3990668446e-01   1.1792981175e-02
3.2882583162e-01   -5.2409721865e-01   1.3521672386e-02
3.6794362229e-01   -5.0489340112e-01   1.5670939341e-02
4.0524087308e-01   -4.8237333003e-01   1.8367270927e-02
4.4041303681e-01   -4.5664015489e-01   2.1779970376e-02
4.7314926228e-01   -4.2782288603e-01   2.6135719767e-02
5.0312926890e-01   -3.9607741295e-01   3.1737136900e-02
5.3001870474e-01   -3.6158784279e-01   3.8985240153e-02
5.5346275920e-01   -3.2456829338e-01   4.8404285453e-02
5.7307803643e-01   -2.8526528765e-01   6.0664457513e-02
5.8844325338e-01   -2.4396087910e-01   7.6592462033e-02
5.9909043221e-01   -2.0097655624e-01   9.7151276048e-02
6.0450017519e-01   -1.5667777430e-01   1.2335822621e-01
6.0410749341e-01   -1.1147856970e-01   1.5609838039e-01
5.9732816227e-01   -6.5845057631e-02   1.9578804755e-01
5.8361816136e-01   -2.0295691969e-02   2.4187157572e-01
5.6257693880e-01   2.4604830206e-02   2.9222122998e-01
5.3409381963e-01   6.8261664100e-02   3.4266513369e-01
4.9851222009e-01   1.1007867787e-01   3.8703296793e-01
4.5675380265e-01   1.4949961415e-01   4.1811322142e-01
4.1032537194e-01   1.8605557440e-01   4.2955978335e-01
3.6115442211e-01   2.1940722351e-01   4.1811165380e-01
3.1127301964e-01   2.4936830119e-01   3.8498825443e-01
2.6245497040e-01   2.7590186074e-01   3.3559494908e-01
2.1594269166e-01   2.9909055693e-01   2.7767399245e-01
1.7235013605e-01   3.1909158374e-01   2.1893580087e-01
1.3173721326e-01   3.3609030029e-01   1.6528056649e-01
9.3784982397e-02   3.5026351938e-01   1.2010257365e-01
5.7989280728e-02   3.6175722875e-01   8.4508325516e-02
2.3817509376e-02   3.7067801533e-01   5.7992572882e-02
-9.1915319141e-03   3.7709450689e-01   3.9173443251e-02
-4.1380407094e-02   3.8104455972e-01   2.6372732287e-02
-7.2963586704e-02   3.8254468960e-01   1.7984470543e-02
-1.0404004475e-01   3.8159943521e-01   1.2659539733e-02
-1.3461558327e-01   3.7820942751e-01   9.3619147624e-03
-1.6462687974e-01   3.7237771977e-01   7.3500188022e-03
-1.9396294250e-01   3.6411440551e-01   6.1236696853e-03
-2.2248226831e-01   3.5343978221e-01   5.3627435971e-03
-2.5002557575e-01   3.4038638908e-01   4.8717835021e-03
-2.7642477447e-01   3.2500022686e-01   4.5363584761e-03
-3.0150908546e-01   3.0734140811e-01   4.2918456234e-03
-3.2510918346e-01   2.8748441826e-01   4.1027564592e-03
-3.4706005679e-01   2.6551810859e-01   3.9499158504e-03
-3.6720307879e-01   2.4154549740e-01   3.8229552429e-03
-3.8538761189e-01   2.1568342466e-01   3.7161350402e-03
-4.0147233659e-01   1.8806208661e-01   3.6261203124e-03
-4.1532641264e-01   1.5882446542e-01   3.5508394227e-03
-4.2683052738e-01   1.2812566290e-01   3.4889143451e-03
-4.3587785653e-01   9.6132144710e-02   3.4393807026e-03
-4.4237494686e-01   6.3020900029e-02   3.4015501802e-03
-4.4624252227e-01   2.8978521370e-02   3.3749417848e-03
-4.4741621103e-01   -5.7997905277e-03   3.3592466589e-03
-4.4584719046e-01   -4.1111291610e-02   3.3543100272e-03
-4.4150274468e-01   -7.6746823623e-02   3.3601228327e-03
-4.3436673150e-01   -1.1249200144e-01   3.3768197881e-03
-4.2443995433e-01   -1.4812845219e-01   3.4046825065e-03
-4.1174043585e-01   -1.8343509943e-01   3.4441473175e-03
-3.9630359053e-01   -2.1818948507e-01   3.4958178966e-03
-3.7818229374e-01   -2.5216912184e-01   3.5604832011e-03
-3.5744684575e-01   -2.8515286821e-01   3.6391415310e-03
-3.3418482978e-01   -3.1692231816e-01   3.7330318877e-03
-3.0850086384e-01   -3.4726319740e-01   3.8436742285e-03
-2.8051624693e-01   -3.7596675788e-01   3.9729207517e-03
-2.5036850111e-01   -4.0283116231e-01   4.1230210381e-03
-2.1821081167e-01   -4.2766285043e-01   4.2967047896e-03
-1.8421136877e-01   -4.5027787870e-01   4.4972871100e-03
-1.4855261493e-01   -4.7050322559e-01   4.7288028884e-03
-1.1143040396e-01   -4.8817805451e-01   4.9961790077e-03
-7.3053078373e-02   -5.0315492721e-01   5.3054560150e-03
-3.3640473788e-02   -5.1530096057e-01   5.6640748239e-03
6.5771390631e-03   -5.2449892070e-01   6.0812493267e-03
4.7360161875e-02   -5.3064824877e-01   6.5684529658e-03
8.8460810026e-02   -5.3366601439e-01   7.1400569456e-03
1.2962426801e-01   -5.3348779324e-01   7.8141706453e-03
1.7058983471e-01   -5.3006846784e-01   8.6137518065e-03
2.1109202816e-01   -5.2338295191e-01   9.5680761636e-03
2.5086161124e-01   -5.1342684196e-01   1.0714684082e-02
2.8962649014e-01   -5.0021700296e-01   1.2101955440e-02
3.2711242435e-01   -4.8379209938e-01   1.3792501479e-02
3.6304347222e-01   -4.6421308849e-01   1.5867597745e-02
3.9714207902e-01   -4.4156369965e-01   1.8432901671e-02
4.2912869830e-01   -4.1595093191e-01   2.1625673896e-02
4.5872082667e-01   -3.8750561141e-01   2.5623601389e-02
4.8563133896e-01   -3.5638306061e-01   3.0655011774e-02
5.0956605350e-01   -3.2276393927e-01   3.7009624595e-02
5.3022057154e-01   -2.8685532001e-01   4.5047792210e-02
5.4727667169e-01   -2.4889205040e-01   5.5204174444e-02
5.6039897234e-01   -2.0913841679e-01   6.7978741031e-02
5.6923328181e-01   -1.6789004341e-01   8.3903972047e-02
5.7340908123e-01   -1.2547580903e-01   1.0347301809e-01
5.7254984448e-01   -8.2259318610e-02   1.2701194789e-01
5.6629600900e-01   -3.8639121443e-02   1.5448515383e-01
5.5434549207e-01   4.9535390722e-03   1.8524390576e-01
5.3651426054e-01   4.8060991638e-02   2.1776991151e-01
5.1281306947e-01   9.0210967551e-02   2.4952345407e-01
4.8352584096e-01   1.3093486659e-01   2.7704991300e-01
4.4926342896e-01   1.6979172411e-01   2.9647376591e-01
4.1096130954e-01   2.0639478550e-01   3.0436723959e-01
3.6979986232e-01   2.4043534244e-01   2.9875002690e-01
3.2705326914e-01   2.7169770332e-01   2.7980130072e-01
2.8390595021e-01   3.0006086976e-01   2.4991988449e-01
2.4129336719e-01   3.2548635446e-01   2.1307462991e-01
1.9981389523e-01   3.4799583525e-01   1.7374331435e-01
1.5972685665e-01   3.6764491802e-01   1.3589258361e-01
1.2101900104e-01   3.8449921856e-01   1.0233472627e-01
8.3504526985e-02   3.9861686930e-01   7.4549607683e-02
4.6925101210e-02   4.1003882050e-01   5.2861809753e-02
1.1028541258e-02   4.1878612532e-01   3.6791249165e-02
-2.4381468799e-02   4.2486225677e-01   2.5422797372e-02
-5.9422481282e-02   4.2825829014e-01   1.7705245658e-02
-9.4130309611e-02   4.2895913691e-01   1.2648851449e-02
-1.2846816060e-01   4.2694958665e-01   9.4280502197e-03
-1.6234127907e-01   4.2221947068e-01   7.4129686982e-03
-1.9561252042e-01   4.1476769316e-01   6.1567369421e-03
-2.2811624329e-01   4.0460515302e-01   5.3615684100e-03
-2.5966945755e-01   3.9175672174e-01   4.8396897546e-03
-2.9008015918e-01   3.7626248599e-01   4.4783059878e-03
-3.1915329479e-01   3.5817844986e-01   4.2123804567e-03
-3.4669496007e-01   3.3757685146e-01   4.0055593138e-03
-3.7251539614e-01   3.1454620421e-01   3.8378641151e-03
-3.9643122214e-01   2.8919113501e-01   3.6982859120e-03
-4.1826720479e-01   2.6163206371e-01   3.5805875487e-03
-4.3785775176e-01   2.3200474979e-01   3.4810419602e-03
-4.5504823513e-01   2.0045972138e-01   3.3972621046e-03
-4.6969619949e-01   1.6716159580e-01   3.3276123887e-03
-4.8167247980e-01   1.3228829770e-01   3.2709159480e-03
-4.9086223783e-01   9.6030180149e-02   3.2263076295e-03
-4.9716591770e-01   5.8589053189e-02   3.1931577619e-03
-5.0050011767e-01   2.0177125166e-02   3.1710308460e-03
-5.0079837337e-01   -1.8984137980e-02   3.1596625040e-03
-4.9801184755e-01   -5.8665229452e-02   3.1589470886e-03
-4.9210992114e-01   -9.8629888050e-02   3.1689325463e-03
-4.8308068112e-01   -1.3863644745e-01   3.1898210775e-03
-4.7093130085e-01   -1.7843924100e-01   3.2219751071e-03
-4.5568830937e-01   -2.1779005434e-01   3.2659286397e-03
-4.3739774651e-01   -2.5643961757e-01   3.3224044865e-03
-4.1612520175e-01   -2.9413912872e-01   3.3923382322e-03
-3.9195573508e-01   -3.3064179962e-01   3.4769102415e-03
-3.6499367938e-01   -3.6570441524e-01   3.5775875198e-03
-3.3536232425e-01   -3.9908889736e-01   3.6961779152e-03
-3.0320348257e-01   -4.3056386337e-01   3.8349000254e-03
-2.6867694187e-01   -4.5990617097e-01   3.9964733624e-03
-2.3195980382e-01   -4.8690243946e-01   4.1842349345e-03
-1.9324571631e-01   -5.1135053879e-01   4.4022906306e-03
-1.5274400426e-01   -5.3306103746e-01   4.6557128596e-03
-1.1067870680e-01   -5.5185860109e-01   4.9508002005e-03
-6.7287530691e-02   -5.6758333366e-01   5.2954208586e-03
-2.2820732439e-02   -5.8009205464e-01   5.6994702690e-03
2.2460055189e-02   -5.8925950573e-01   6.1754853379e-03
6.8283032071e-02   -5.9497948271e-01   6.7394751431e-03
1.1436744902e-01   -5.9716588914e-01   7.4120527129e-03
1.6042480133e-01   -5.9575371152e-01   8.2199879912e-03
2.0615995237e-01   -5.9069991803e-01   9.1983527982e-03
2.5127212605e-01   -5.8198428767e-01   1.0393500629e-02
2.9545568540e-01   -5.6961018192e-01   1.1867225373e-02
3.3840058329e-01   -5.5360527933e-01   1.3702582689e-02
3.7979232879e-01   -5.3402230389e-01   1.6012044483e-02
4.1931125403e-01   -5.1093979346e-01   1.8948893324e-02
4.5663078961e-01   -4.8446297485e-01   2.2723033714e-02
4.9141436076e-01   -4.5472483990e-01   2.7622639301e-02
5.2331040995e-01   -4.2188755322e-01   3.4043108253e-02
5.5194496255e-01   -3.8614436702e-01   4.2524304300e-02
5.7691114849e-01   -3.4772226813e-01   5.3795298895e-02
5.9775532071e-01   -3.0688562569e-01   6.8821494285e-02
6.1396014599e-01   -2.6394111584e-01   8.8840009933e-02
6.2492674975e-01   -2.1924411624e-01   1.1535287946e-01
6.2996131925e-01   -1.7320648419e-01   1.5002219869e-01
6.2827710756e-01   -1.2630500274e-01   1.9438081458e-01
6.1903028185e-01   -7.9088618978e-02   2.4925602170e-01
6.0141467912e-01   -3.2180830716e-02   3.1385034230e-01
5.7483847273e-01   1.3728468798e-02   3.8460780380e-01
5.3918208865e-01   5.7908538766e-02   4.5435520629e-01
4.9508195375e-01   9.9635685191e-02   5.1258988454e-01
4.4411429384e-01   1.3826136327e-01   5.4770995639e-01
3.8872518800e-01   1.7328676328e-01   5.5095325591e-01
3.3183627997e-01   2.0442023797e-01   5.2019871902e-01
2.7623823855e-01   2.3159484552e-01   4.6116964398e-01
2.2403072277e-01   2.5493833527e-01   3.8511838359e-01
1.7634030698e-01   2.7470841016e-01   3.0454512380e-01
1.3337109245e-01   2.9121811765e-01   2.2949558600e-01
9.4674015233e-02   3.0477372354e-01   1.6590711381e-01
5.9470457363e-02   3.1563595780e-01   1.1584955503e-01
2.6915567843e-02   3.2400428054e-01   7.8711013496e-02
-3.7386179614e-03   3.3001777029e-01   5.2481779973e-02
-3.3069856760e-02   3.3376519151e-01   3.4719627541e-02
-6.1473183451e-02   3.3529840792e-01   2.3121044384e-02
-8.9181188124e-02   3.3464554424e-01   1.5780554756e-02
-1.1629710360e-01   3.3182215161e-01   1.1252659021e-02
-1.4282895954e-01   3.2683984502e-01   8.5103350476e-03
-1.6871915191e-01   3.1971254316e-01   6.8623657288e-03
-1.9386757345e-01   3.1046072522e-01   5.8650618739e-03
-2.1814849496e-01   2.9911418277e-01   5.2455183919e-03
-2.4142228231e-01   2.8571369578e-01   4.8422552716e-03
-2.6354325478e-01   2.7031197171e-01   4.5629771918e-03
-2.8436486906e-01   2.5297409213e-01   4.3564656037e-03
-3.0374315872e-01   2.3377763162e-01   4.1949230380e-03
-3.2153909085e-01   2.1281255350e-01   4.0634369169e-03
-3.3762027551e-01   1.9018094589e-01   3.9539756631e-03
-3.5186229598e-01   1.6599663508e-01   3.8621066395e-03
-3.6414981467e-01   1.4038469755e-01   3.7852666890e-03
-3.7437753860e-01   1.1348088305e-01   3.7218787850e-03
-3.8245108671e-01   8.5430956462e-02   3.6709116704e-03
-3.8828777813e-01   5.6389964222e-02   3.6316637145e-03
-3.9181734808e-01   2.6521429824e-02   3.6036573916e-03
-3.9298259248e-01   -4.0035169400e-03   3.5865876403e-03
-3.9173993907e-01   -3.5007072419e-02   3.5802966997e-03
-3.8805994199e-01   -6.6305748258e-02   3.5847625742e-03
-3.8192769638e-01   -9.7711412011e-02   3.6000952760e-03
-3.7334316973e-01   -1.2903237358e-01   3.6265382940e-03
-3.6232144692e-01   -1.6007451154e-01   3.6644742912e-03
-3.4889288641e-01   -1.9064243299e-01   3.7144347985e-03
-3.3310318562e-01   -2.2054066055e-01   3.7771140956e-03
-3.1501335382e-01   -2.4957483948e-01   3.8533877615e-03
-2.9469959176e-01   -2.7755295811e-01   3.9443366302e-03
-2.7225307773e-01   -3.0428657430e-01   4.0512771624e-03
-2.4777966032e-01   -3.2959204072e-01   4.1757995569e-03
-2.2139945898e-01   -3.5329172158e-01   4.3198153199e-03
-1.9324637420e-01   -3.7521519350e-01   4.4856164932e-03
-1.6346750983e-01   -3.9520042325e-01   4.6759493656e-03
-1.3222251080e-01   -4.1309491512e-01   4.8941062683e-03
-9.9682820672e-02   -4.2875682105e-01   5.1440400569e-03
-6.6030863965e-02   -4.4205600674e-01   5.4305071397e-03
-3.1459159684e-02   -4.5287506734e-01   5.7592465052e-03
3.8306267788e-03   -4.6111028682e-01   6.1372041904e-03
3.9628684645e-02   -4.6667253565e-01   6.5728150867e-03
7.5718101634e-02   -4.6948810188e-01   7.0763569417e-03
1.1187593901e-01   -4.6949945182e-01   7.6603948922e-03
1.4787432427e-01   -4.6666591715e-01   8.3403387169e-03
1.8348154572e-01   -4.6096430658e-01   9.1351389175e-03
2.1846313123e-01   -4.5238944135e-01   1.0068150988e-02
2.5258289059e-01   -4.4095461546e-01   1.1168198442e-02
2.8560389930e-01   -4.2669198317e-01   1.2470861849e-02
3.1728939971e-01   -4.0965287805e-01   1.4020009143e-02
3.4740359573e-01   -3.8990807024e-01   1.5869555010e-02
3.7571232098e-01   -3.6754796986e-01   1.8085384047e-02
4.0198356888e-01   -3.4268278638e-01   2.0747278716e-02
4.2598789245e-01   -3.1544265407e-01   2.3950539549e-02
4.4749871513e-01   -2.8597773171e-01   2.7806749063e-02
4.6629264976e-01   -2.5445828005e-01   3.2442793596e-02
4.8215000877e-01   -2.2107470931e-01   3.7996817925e-02
4.9485581019e-01   -1.8603757024e-01   4.4609291060e-02
5.0420174097e-01   -1.4957743171e-01   5.2406942895e-02
5.0998971422e-01   -1.1194454378e-01   6.1477270674e-02
5.1203780434e-01   -7.3408126977e-02   7.1832078597e-02
5.1018937391e-01   -3.4255062226e-02   8.3360724241e-02
5.0432598317e-01   5.2123055141e-03   9.5777963256e-02
4.9438403332e-01   4.4679565995e-02   1.0857751155e-01
4.8037392800e-01   8.3825119638e-02   1.2100935981e-01
4.6239890993e-01   1.2232665233e-01   1.3210317648e-01
4.4066904571e-01   1.5986904056e-01   1.4075687295e-01
4.1550487462e-01   1.9615311335e-01   1.4589431603e-01
3.8732596026e-01   2.3090427071e-01   1.4666992340e-01
3.5662255591e-01   2.6387966949e-01   1.4266958602e-01
3.2391336222e-01   2.9487270578e-01   1.3404285184e-01
2.8969723225e-01   3.2371393625e-01   1.2151393828e-01
2.5440941827e-01   3.5026831480e-01   1.0625839798e-01
2.1839205097e-01   3.7442944372e-01   8.9680547202e-02
1.8188425827e-01   3.9611216273e-01   7.3159735836e-02
1.4503157327e-01   4.1524502102e-01   5.7836381479e-02
1.0790943093e-01   4.3176397142e-01   4.4484542082e-02
7.0553175480e-02   4.4560812456e-01   3.3482551445e-02
3.2987295193e-02   4.5671781324e-01   2.4863524847e-02
-4.7512732801e-03   4.6503472211e-01   1.8412220480e-02
-4.2598161039e-02   4.7050353604e-01   1.3773892066e-02
-8.0454854168e-02   4.7307446362e-01   1.0549389087e-02
-1.1818860915e-01   4.7270605494e-01   8.3628790032e-03
-1.5563669735e-01   4.6936788480e-01   6.8996015014e-03
-1.9261276966e-01   4.6304284730e-01   5.9185447564e-03
-2.2891365803e-01   4.5372895886e-01   5.2482943119e-03
-2.6432559009e-01   4.4144067200e-01   4.7743139604e-03
-2.9862937339e-01   4.2620975920e-01   4.4239657232e-03
-3.3160450517e-01   4.0808584494e-01   4.1530328047e-03
-3.6303237410e-01   3.8713665929e-01   3.9353151795e-03
-3.9269878648e-01   3.6344807130e-01   3.7554244757e-03
-4.2039603181e-01   3.3712394308e-01   3.6042004024e-03
-4.4592464995e-01   3.0828583153e-01   3.4759874706e-03
-4.6909500688e-01   2.7707255395e-01   3.3671017194e-03
-4.8972874175e-01   2.4363962819e-01   3.2749998327e-03
-5.0766011715e-01   2.0815859366e-01   3.1978376090e-03
-5.2273728631e-01   1.7081621863e-01   3.1342346126e-03
-5.3482348018e-01   1.3181359836e-01   3.0831452461e-03
-5.4379811213e-01   9.1365148499e-02   3.0437847842e-03
-5.4955779560e-01   4.9697499103e-02   3.0155847997e-03
-5.5201726861e-01   7.0482945291e-03   2.9981655113e-03
-5.5111021941e-01   -3.6335094566e-02   2.9913189828e-03
-5.4679000703e-01   -8.0196940520e-02   2.9950001991e-03
-5.3903027147e-01   -1.2427460204e-01   3.0093245929e-03
-5.2782542836e-01   -1.6830003389e-01   3.0345714451e-03
-5.1319104376e-01   -2.1200135471e-01   3.0711931315e-03
-4.9516408530e-01   -2.5510446423e-01   3.1198306266e-03
-4.7380304668e-01   -2.9733470081e-01   3.1813360990e-03
-4.4918794343e-01   -3.3841852988e-01   3.2568039104e-03
-4.2142017848e-01   -3.7808525356e-01   3.3476119124e-03
-3.9062227730e-01   -4.1606873145e-01   3.4554756844e-03
-3.5693749317e-01   -4.5210910265e-01   3.5825193630e-03
-3.2052928450e-01   -4.8595449872e-01   3.7313680735e-03
-2.8158066704e-01   -5.1736273743e-01   3.9052688690e-03
-2.4029344574e-01   -5.4610298755e-01   4.1082497332e-03
-1.9688733206e-01   -5.7195739467e-01   4.3453299584e-03
-1.5159895515e-01   -5.9472265884e-01   4.6228005879e-03
-1.0468077724e-01   -6.1421155542e-01   4.9486013802e-03
-5.6399927035e-02   -6.3025439093e-01   5.3328320655e-03
-7.0369690051e-03   -6.4270038738e-01   5.7884522984e-03
4.3115368078e-02   -6.5141898958e-01   6.3322493372e-03
9.3753471910e-02   -6.5630109225e-01   6.9861892159e-03
1.4456409424e-01   -6.5726018654e-01   7.7793223078e-03
1.9522550642e-01   -6.5423342940e-01   8.7504973065e-03
2.4540848021e-01   -6.4718264498e-01   9.9522633483e-03
2.9477697527e-01   -6.3609527516e-01   1.1456530044e-02
3.4298836195e-01   -6.2098530771e-01   1.3362841362e-02
3.8969292784e-01   -6.0189422776e-01   1.5810545904e-02
4.3453229818e-01   -5.7889206288e-01   1.8996769776e-02
4.7713622535e-01   -5.5207862897e-01   2.3202978381e-02
5.1711695120e-01   -5.2158513797e-01   2.8834077207e-02
5.5406000045e-01   -4.8757640667e-01   3.6475346547e-02
5.8750982601e-01   -4.5025401645e-01   4.6973563930e-02
6.1694826732e-01   -4.0986092187e-01   6.1548091558e-02
6.4176354206e-01   -3.6668818741e-01   8.1932238569e-02
6.6120809232e-01   -3.2108470660e-01   1.1052795319e-01
6.7434641653e-01   -2.7347081498e-01   1.5051526295e-01
6.8000160625e-01   -2.2435637762e-01   2.0577404793e-01
6.7672546801e-01   -1.7436268865e-01   2.8033945095e-01
6.6284473632e-01   -1.2424453691e-01   3.7696769410e-01
6.3666905477e-01   -7.4903269837e-02   4.9443634455e-01
5.9695415391e-01   -2.7374137532e-02   6.2388136165e-01
5.4362869638e-01   1.7233964777e-02   7.4616240630e-01
4.7855742479e-01   5.7860950374e-02   8.3408154099e-01
4.0582782890e-01   9.3665281864e-02   8.6209282521e-01
3.3107047472e-01   1.2418290992e-01   8.1960776158e-01
2.5991865987e-01   1.4939783384e-01   7.1768489094e-01
1.9644391629e-01   1.6968462553e-01   5.8286169453e-01
1.4243703572e-01   1.8565611538e-01   4.4365063431e-01
9.7692950670e-02   1.9799314148e-01   3.2017481347e-01
6.0818143012e-02   2.0731865809e-01   2.2152147912e-01
3.0016872017e-02   2.1413543542e-01   1.4841616006e-01
3.5983832961e-03   2.1881444875e-01   9.7192347424e-02
-1.9797066350e-02   2.2161152057e-01   6.2811822711e-02
-4.1155515794e-02   2.2269412866e-01   4.0512253172e-02
-6.1135031906e-02   2.2216800891e-01   2.6447829568e-02
-8.0139362770e-02   2.2009919234e-01   1.7780294080e-02
-9.8389577472e-02   2.1653054238e-01   1.2537103782e-02
-1.1598253440e-01   2.1149339017e-01   9.4072847419e-03
-1.3293436887e-01   2.0501533916e-01   7.5505142054e-03
-1.4921098452e-01   1.9712529444e-01   6.4447031506e-03
-1.6474856101e-01   1.8785658059e-01   5.7744484410e-03
-1.7946693329e-01   1.7724878968e-01   5.3540463126e-03
-1.9327813886e-01   1.6534880684e-01   5.0767108427e-03
-2.0609182225e-01   1.5221131107e-01   4.8823329596e-03
-2.1781866442e-01   1.3789894190e-01   4.7376953245e-03
-2.2837260638e-01   1.2248224968e-01   4.6247038048e-03
-2.3767235287e-01   1.0603950072e-01   4.5335873776e-03
-2.4564245144e-01   8.8656378853e-02   4.4590737030e-03
-2.5221411962e-01   7.0425608134e-02   4.3982916231e-03
-2.5732591778e-01   5.1446510843e-02   4.3496471556e-03
-2.6092432029e-01   3.1824509753e-02   4.3122337821e-03
-2.6296421209e-01   1.1670580594e-02   4.2855289485e-03
-2.6340932334e-01   -8.8993407772e-03   4.2692406446e-03
-2.6223260753e-01   -2.9764992554e-02   4.2632313148e-03
-2.5941656411e-01   -5.0802458788e-02   4.2674811565e-03
-2.5495350544e-01   -7.1884875021e-02   4.2820714577e-03
-2.4884576632e-01   -9.2883163843e-02   4.3071783123e-03
-2.4110585482e-01   -1.1366679626e-01   4.3430719973e-03
-2.3175654278e-01   -1.3410457458e-01   4.3901197704e-03
-2.2083089466e-01   -1.5406543237e-01   4.4487910720e-03
-2.0837223389e-01   -1.7341924685e-01   4.5196647165e-03
-1.9443404587e-01   -1.9203765893e-01   4.6034379536e-03
-1.7907981762e-01   -2.0979489604e-01   4.7009374286e-03
-1.6238281395e-01   -2.2656859286e-01   4.8131321430e-03
-1.4442579089e-01   -2.4224060475e-01   4.9411485529e-03
-1.2530064714e-01   -2.5669780912e-01   5.0862879484e-03
-1.0510801500e-01   -2.6983288943e-01   5.2500462448e-03
-8.3956792468e-02   -2.8154509711e-01   5.4341362695e-03
-6.1963618575e-02   -2.9174098625e-01   5.6405125462e-03
-3.9252294581e-02   -3.0033511646e-01   5.8713984423e-03
-1.5953153766e-02   -3.0725071912e-01   6.1293153309e-03
7.7976169445e-03   -3.1242032255e-01   6.4171131021e-03
3.1858700095e-02   -3.1578633173e-01   6.7380008948e-03
5.6084411891e-02   -3.1730155866e-01   7.0955762700e-03
8.0325503655e-02   -3.1692969921e-01   7.4938501369e-03
1.0442999672e-01   -3.1464575307e-01   7.9372635195e-03
1.2824404699e-01   -3.1043638331e-01   8.4306906232e-03
1.5161283572e-01   -3.0430021238e-01   8.9794205697e-03
1.7438148339e-01   -2.9624805172e-01   9.5891075495e-03
1.9639598451e-01   -2.8630306202e-01   1.0265676011e-02
2.1750416174e-01   -2.7450084167e-01   1.1015163949e-02
