X    Y    Z
0.0000000000e+00   4.0000000000e-01   0.0000000000e+00
-1.1002412317e-02   4.0204699736e-01   1.0511739199e-03
-2.2083375078e-02   4.0380187179e-01   1.9349820116e-03
-3.3230514835e-02   4.0526103103e-01   2.6705733928e-03
-4.4431870945e-02   4.0642119731e-01   3.2757920448e-03
-5.5675867598e-02   4.0727939804e-01   3.7671301195e-03
-6.6951284678e-02   4.0783295742e-01   4.1597066846e-03
-7.8247228149e-02   4.0807948861e-01   4.4672702534e-03
-8.9553100611e-02   4.0801688682e-01   4.7022227602e-03
-1.0085857259e-01   4.0764332308e-01   4.8756621642e-03
-1.1215355505e-01   4.0695723881e-01   4.9974405720e-03
-1.2342817357e-01   4.0595734100e-01   5.0762346513e-03
-1.3467274438e-01   4.0464259817e-01   5.1196251462e-03
-1.4587775267e-01   4.0301223684e-01   5.1341824588e-03
-1.5703383310e-01   4.0106573855e-01   5.1255555157e-03
-1.6813175277e-01   3.9880283748e-01   5.0985614585e-03
-1.7916239653e-01   3.9622351830e-01   5.0572740569e-03
-1.9011675463e-01   3.9332801458e-01   5.0051091211e-03
-2.0098591259e-01   3.9011680735e-01   4.9449055661e-03
-2.1176104327e-01   3.8659062396e-01   4.8790011367e-03
-2.2243340078e-01   3.8275043714e-01   4.8093021302e-03
-2.3299431629e-01   3.7859746419e-01   4.7373467425e-03
-2.4343519541e-01   3.7413316620e-01   4.6643619085e-03
-2.5374751706e-01   3.6935924740e-01   4.5913137119e-03
-2.6392283355e-01   3.6427765447e-01   4.5189515984e-03
-2.7395277189e-01   3.5889057585e-01   4.4478467431e-03
-2.8382903591e-01   3.5320044099e-01   4.3784250062e-03
-2.9354340930e-01   3.4720991949e-01   4.3109949618e-03
-3.0308775929e-01   3.4092192023e-01   4.2457715063e-03
-3.1245404091e-01   3.3433959028e-01   4.1828955557e-03
-3.2163430169e-01   3.2746631380e-01   4.1224503262e-03
-3.3062068676e-01   3.2030571064e-01   4.0644746649e-03
-3.3940544422e-01   3.1286163496e-01   4.0089738640e-03
-3.4798093074e-01   3.0513817358e-01   3.9559283484e-03
-3.5633961732e-01   2.9713964421e-01   3.9053005875e-03
-3.6447409519e-01   2.8887059346e-01   3.8570405372e-03
-3.7237708178e-01   2.8033579476e-01   3.8110898791e-03
-3.8004142667e-01   2.7154024604e-01   3.7673852823e-03
-3.8746011767e-01   2.6248916724e-01   3.7258608812e-03
-3.9462628680e-01   2.5318799766e-01   3.6864501292e-03
-4.0153321623e-01   2.4364239311e-01   3.6490871612e-03
-4.0817434426e-01   2.3385822292e-01   3.6137077717e-03
-4.1454327114e-01   2.2384156672e-01   3.5802500987e-03
-4.2063376488e-01   2.1359871106e-01   3.5486550812e-03
-4.2643976692e-01   2.0313614588e-01   3.5188667485e-03
-4.3195539778e-01   1.9246056079e-01   3.4908323829e-03
-4.3717496256e-01   1.8157884114e-01   3.4645025919e-03
-4.4209295629e-01   1.7049806398e-01   3.4398313152e-03
-4.4670406930e-01   1.5922549380e-01   3.4167757869e-03
-4.5100319229e-01   1.4776857816e-01   3.3952964682e-03
-4.5498542146e-01   1.3613494308e-01   3.3753569619e-03
-4.5864606336e-01   1.2433238832e-01   3.3569239172e-03
-4.6198063966e-01   1.1236888251e-01   3.3399669303e-03
-4.6498489186e-01   1.0025255807e-01   3.3244584461e-03
-4.6765478569e-01   8.7991706051e-02   3.3103736633e-03
-4.6998651553e-01   7.5594770740e-02   3.2976904447e-03
-4.7197650855e-01   6.3070344199e-02   3.2863892356e-03
-4.7362142880e-01   5.0427160605e-02   3.2764529893e-03
-4.7491818107e-01   3.7674090481e-02   3.2678671012e-03
-4.7586391459e-01   2.4820134772e-02   3.2606193516e-03
-4.7645602663e-01   1.1874418802e-02   3.2546998577e-03
-4.7669216584e-01   -1.1538139041e-03   3.2501010337e-03
-4.7657023552e-01   -1.4255207925e-02   3.2468175601e-03
-4.7608839659e-01   -2.7420302361e-02   3.2448463612e-03
-4.7524507051e-01   -4.0639537378e-02   3.2441865921e-03
-4.7403894194e-01   -5.3903260853e-02   3.2448396329e-03
-4.7246896124e-01   -6.7201735134e-02   3.2468090925e-03
-4.7053434677e-01   -8.0525143905e-02   3.2501008200e-03
-4.6823458703e-01   -9.3863599141e-02   3.2547229255e-03
-4.6556944255e-01   -1.0720714816e-01   3.2606858086e-03
-4.6253894770e-01   -1.2054578079e-01   3.2680021962e-03
-4.5914341216e-01   -1.3386943655e-01   3.2766871893e-03
-4.5538342230e-01   -1.4716801200e-01   3.2867583187e-03
-4.5125984232e-01   -1.6043136810e-01   3.2982356103e-03
-4.4677381518e-01   -1.7364933768e-01   3.3111416605e-03
-4.4192676334e-01   -1.8681173292e-01   3.3255017216e-03
-4.3672038933e-01   -1.9990835296e-01   3.3413437984e-03
-4.3115667603e-01   -2.1292899150e-01   3.3586987560e-03
-4.2523788683e-01   -2.2586344450e-01   3.3776004398e-03
-4.1896656552e-01   -2.3870151787e-01   3.3980858086e-03
-4.1234553604e-01   -2.5143303524e-01   3.4201950809e-03
-4.0537790191e-01   -2.6404784575e-01   3.4439718962e-03
-3.9806704560e-01   -2.7653583185e-01   3.4694634924e-03
-3.9041662755e-01   -2.8888691717e-01   3.4967208993e-03
-3.8243058508e-01   -3.0109107429e-01   3.5257991509e-03
-3.7411313102e-01   -3.1313833268e-01   3.5567575172e-03
-3.6546875220e-01   -3.2501878652e-01   3.5896597577e-03
-3.5650220766e-01   -3.3672260258e-01   3.6245743971e-03
-3.4721852672e-01   -3.4824002803e-01   3.6615750270e-03
-3.3762300680e-01   -3.5956139833e-01   3.7007406344e-03
-3.2772121102e-01   -3.7067714501e-01   3.7421559599e-03
-3.1751896568e-01   -3.8157780348e-01   3.7859118884e-03
-3.0702235744e-01   -3.9225402079e-01   3.8321058754e-03
-2.9623773036e-01   -4.0269656335e-01   3.8808424113e-03
-2.8517168269e-01   -4.1289632464e-01   3.9322335290e-03
-2.7383106356e-01   -4.2284433280e-01   3.9863993567e-03
-2.6222296936e-01   -4.3253175825e-01   4.0434687231e-03
-2.5035474001e-01   -4.4194992119e-01   4.1035798172e-03
-2.3823395504e-01   -4.5109029910e-01   4.1668809100e-03
-2.2586842940e-01   -4.5994453408e-01   4.2335311445e-03
-2.1326620925e-01   -4.6850444018e-01   4.3037013989e-03
-2.0043556741e-01   -4.7676201067e-01   4.3775752333e-03
-1.8738499875e-01   -4.8470942512e-01   4.4553499261e-03
-1.7412321537e-01   -4.9233905654e-01   4.5372376112e-03
-1.6065914162e-01   -4.9964347827e-01   4.6234665251e-03
-1.4700190899e-01   -5.0661547088e-01   4.7142823773e-03
-1.3316085086e-01   -5.1324802894e-01   4.8099498557e-03
-1.1914549702e-01   -5.1953436762e-01   4.9107542827e-03
-1.0496556820e-01   -5.2546792926e-01   5.0170034378e-03
-9.0630970351e-02   -5.3104238979e-01   5.1290295648e-03
-7.6151788899e-02   -5.3625166499e-01   5.2471915853e-03
-6.1538282811e-02   -5.4108991668e-01   5.3718775399e-03
-4.6800878633e-02   -5.4555155877e-01   5.5035072843e-03
-3.1950164406e-02   -5.4963126314e-01   5.6425354668e-03
-1.6996883517e-02   -5.5332396542e-01   5.7894548229e-03
-1.9519284855e-03   -5.5662487063e-01   5.9447998192e-03
1.3173665289e-02   -5.5952945864e-01   6.1091506899e-03
2.8368725822e-02   -5.6203348957e-01   6.2831379100e-03
4.3621950848e-02   -5.6413300896e-01   6.4674471567e-03
5.8921914126e-02   -5.6582435283e-01   6.6628248148e-03
7.4257071715e-02   -5.6710415261e-01   6.8700840917e-03
8.9615768215e-02   -5.6796933991e-01   7.0901118130e-03
1.0498624294e-01   -5.6841715114e-01   7.3238759781e-03
1.2035663597e-01   -5.6844513200e-01   7.5724341675e-03
1.3571499416e-01   -5.6805114181e-01   7.8369429019e-03
1.5104927685e-01   -5.6723335773e-01   8.1186680650e-03
1.6634736158e-01   -5.6599027882e-01   8.4189965179e-03
1.8159704940e-01   -5.6432073000e-01   8.7394490446e-03
1.9678607000e-01   -5.6222386585e-01   9.0816947862e-03
2.1190208654e-01   -5.5969917432e-01   9.4475673396e-03
2.2693270007e-01   -5.5674648035e-01   9.8390827131e-03
2.4186545351e-01   -5.5336594934e-01   1.0258459358e-02
2.5668783526e-01   -5.4955809058e-01   1.0708140510e-02
2.7138728209e-01   -5.4532376061e-01   1.1190819111e-02
2.8595118152e-01   -5.4066416648e-01   1.1709465593e-02
3.0036687346e-01   -5.3558086904e-01   1.2267358841e-02
3.1462165100e-01   -5.3007578616e-01   1.2868120688e-02
3.2870276036e-01   -5.2415119598e-01   1.3515754303e-02
3.4259739976e-01   -5.1780974019e-01   1.4214686874e-02
3.5629271717e-01   -5.1105442736e-01   1.4969817011e-02
3.6977580680e-01   -5.0388863642e-01   1.5786567319e-02
3.8303370414e-01   -4.9631612020e-01   1.6670942585e-02
3.9605337945e-01   -4.8834100918e-01   1.7629594058e-02
4.0882172950e-01   -4.7996781552e-01   1.8669890275e-02
4.2132556735e-01   -4.7120143723e-01   1.9799994863e-02
4.3355161009e-01   -4.6204716282e-01   2.1028951709e-02
4.4548646423e-01   -4.5251067626e-01   2.2366777785e-02
4.5711660854e-01   -4.4259806239e-01   2.3824563833e-02
4.6842837429e-01   -4.3231581294e-01   2.5414582903e-02
4.7940792250e-01   -4.2167083310e-01   2.7150406517e-02
4.9004121808e-01   -4.1067044880e-01   2.9047027906e-02
5.0031400081e-01   -3.9932241485e-01   3.1120991342e-02
5.1021175286e-01   -3.8763492386e-01   3.3390526033e-02
5.1971966290e-01   -3.7561661627e-01   3.5875682344e-02
5.2882258675e-01   -3.6327659134e-01   3.8598467231e-02
5.3750500475e-01   -3.5062441945e-01   4.1582974672e-02
5.4575097592e-01   -3.3767015558e-01   4.4855505540e-02
5.5354408961e-01   -3.2442435425e-01   4.8444669747e-02
5.6086741497e-01   -3.1089808581e-01   5.2381461562e-02
5.6770344943e-01   -2.9710295431e-01   5.6699296761e-02
5.7403406731e-01   -2.8305111684e-01   6.1433997680e-02
5.7984047027e-01   -2.6875530434e-01   6.6623709351e-02
5.8510314182e-01   -2.5422884393e-01   7.2308726740e-02
5.8980180875e-01   -2.3948568239e-01   7.8531209769e-02
5.9391541274e-01   -2.2454041083e-01   8.5334759445e-02
5.9742209662e-01   -2.0940829002e-01   9.2763825353e-02
6.0029921017e-01   -1.9410527594e-01   1.0086291217e-01
6.0252334150e-01   -1.7864804509e-01   1.0967555140e-01
6.0407038094e-01   -1.6305401852e-01   1.1924300477e-01
6.0491562503e-01   -1.4734138381e-01   1.2960266804e-01
6.0503392931e-01   -1.3152911359e-01   1.4078615034e-01
6.0439991867e-01   -1.1563697923e-01   1.5281701380e-01
6.0298826475e-01   -9.9685557942e-02   1.6570817429e-01
6.0077403887e-01   -8.3696231233e-02   1.7945898569e-01
5.9773314862e-01   -6.7691172573e-02   1.9405205923e-01
5.9384286360e-01   -5.1693321757e-02   2.0944990551e-01
5.8908243333e-01   -3.5726343431e-02   2.2559152964e-01
5.8343379573e-01   -1.9814567159e-02   2.4238915796e-01
5.7688236893e-01   -3.9829065320e-03   2.5972532375e-01
5.6941791246e-01   1.1743244914e-02   2.7745058641e-01
5.6103543555e-01   2.7338142721e-02   2.9538219428e-01
5.5173612144e-01   4.2775846492e-02   3.1330402065e-01
5.4152822778e-01   5.8030400895e-02   3.3096809361e-01
5.3042791463e-01   7.3076041519e-02   3.4809799718e-01
5.1845994551e-01   8.7887423001e-02   3.6439433586e-01
5.0565820290e-01   1.0243986525e-01   3.7954232522e-01
4.9206596087e-01   1.1670961200e-01   3.9322140229e-01
4.7773586275e-01   1.3067409429e-01   4.0511655088e-01
4.6272956341e-01   1.4431219028e-01   4.1493082971e-01
4.4711701280e-01   1.5760447181e-01   4.2239839925e-01
4.3097537882e-01   1.7053342759e-01   4.2729719701e-01
4.1438763264e-01   1.8308365332e-01   4.2946033731e-01
3.9744084484e-01   1.9524199994e-01   4.2878533173e-01
3.8022426463e-01   2.0699767268e-01   4.2524034854e-01
3.6282727284e-01   2.1834227590e-01   4.1886694744e-01
3.4533731130e-01   2.2926980143e-01   4.0977901587e-01
3.2783789429e-01   2.3977656081e-01   3.9815796125e-01
3.1040680158e-01   2.4986106483e-01   3.8424453545e-01
2.9311453842e-01   2.5952385621e-01   3.6832794397e-01
2.7602312666e-01   2.6876730357e-01   3.5073308783e-01
2.5918526633e-01   2.7759536596e-01   3.3180688251e-01
2.4264388069e-01   2.8601333842e-01   3.1190459165e-01
2.2643203274e-01   2.9402758878e-01   2.9137701540e-01
2.1057318046e-01   3.0164529540e-01   2.7055920751e-01
1.9508172162e-01   3.0887419466e-01   2.4976118983e-01
1.7996376918e-01   3.1572234531e-01   2.2926091776e-01
1.6521809400e-01   3.2219791522e-01   2.0929955030e-01
1.5083717215e-01   3.2830899455e-01   1.9007891051e-01
1.3680827908e-01   3.3406343729e-01   1.7176089858e-01
1.2311458076e-01   3.3946873217e-01   1.5446854054e-01
1.0973618067e-01   3.4453190221e-01   1.3828831895e-01
9.6651092003e-02   3.4925943165e-01   1.2327343043e-01
8.3836113224e-02   3.5365721773e-01   1.0944763904e-01
7.1267594399e-02   3.5773054494e-01   9.6809436138e-02
5.8922088513e-02   3.6148407848e-01   8.5336267378e-02
4.6776888210e-02   3.6492187413e-01   7.4988640366e-02
3.4810452790e-02   3.6804740124e-01   6.5713976556e-02
2.3002733482e-02   3.7086357631e-01   5.7450116062e-02
1.1335407066e-02   3.7337280430e-01   5.0128421883e-02
-2.0797098865e-04   3.7557702554e-01   4.3676460643e-02
-1.1641882341e-02   3.7747776604e-01   3.8020260282e-02
-2.2978819256e-02   3.7907618966e-01   3.3086162099e-02
-3.4229305014e-02   3.8037315058e-01   2.8802296041e-02
-4.5401951420e-02   3.8136924497e-01   2.5099715208e-02
-5.6503544564e-02   3.8206486095e-01   2.1913229150e-02
-6.7539151091e-02   3.8246022623e-01   1.9181976566e-02
-7.8512238311e-02   3.8255545280e-01   1.6849777172e-02
-8.9424802544e-02   3.8235057848e-01   1.4865300415e-02
-1.0027750106e-01   3.8184560516e-01   1.3182085771e-02
-1.1106978394e-01   3.8104053354e-01   1.1758446012e-02
-1.2180002283e-01   3.7993539452e-01   1.0557281194e-02
-1.3246563458e-01   3.7853027727e-01   9.5458275338e-03
-1.4306319799e-01   3.7682535421e-01   8.6953618068e-03
-1.5358856271e-01   3.7482090292e-01   7.9808785618e-03
-1.6403694970e-01   3.7251732536e-01   7.3807543809e-03
-1.7440304287e-01   3.6991516459e-01   6.8764105930e-03
-1.8468107203e-01   3.6701511909e-01   6.4519833465e-03
-1.9486488734e-01   3.6381805508e-01   6.0940077410e-03
-2.0494802566e-01   3.6032501694e-01   5.7911208105e-03
-2.1492376931e-01   3.5653723594e-01   5.5337865363e-03
-2.2478519787e-01   3.5245613760e-01   5.3140447187e-03
-2.3452523358e-01   3.4808334760e-01   5.1252844498e-03
-2.4413668106e-01   3.4342069675e-01   4.9620420640e-03
-2.5361226189e-01   3.3847022476e-01   4.8198227854e-03
-2.6294464477e-01   3.3323418333e-01   4.6949448148e-03
-2.7212647172e-01   3.2771503832e-01   4.5844042668e-03
-2.8115038090e-01   3.2191547144e-01   4.4857591761e-03
-2.9000902657e-01   3.1583838114e-01   4.3970306904e-03
-2.9869509654e-01   3.0948688324e-01   4.3166195577e-03
-3.0720132752e-01   3.0286431087e-01   4.2432360653e-03
