X    Y
0.0000000000e+00   -2.0000000000e-01
1.5655577299e-02   -2.0037638143e-01
3.1311154599e-02   -2.0075406011e-01
4.6966731898e-02   -2.0113303914e-01
6.2622309198e-02   -2.0151332163e-01
7.8277886497e-02   -2.0189491070e-01
9.3933463796e-02   -2.0227780944e-01
1.0958904110e-01   -2.0266202092e-01
1.2524461840e-01   -2.0304754823e-01
1.4090019569e-01   -2.0343439442e-01
1.5655577299e-01   -2.0382256256e-01
1.7221135029e-01   -2.0421205569e-01
1.8786692759e-01   -2.0460287684e-01
2.0352250489e-01   -2.0499502904e-01
2.1917808219e-01   -2.0538851531e-01
2.3483365949e-01   -2.0578333865e-01
2.5048923679e-01   -2.0617950204e-01
2.6614481409e-01   -2.0657700848e-01
2.8180039139e-01   -2.0697586092e-01
2.9745596869e-01   -2.0737606234e-01
3.1311154599e-01   -2.0777761566e-01
3.2876712329e-01   -2.0818052382e-01
3.4442270059e-01   -2.0858478975e-01
3.6007827789e-01   -2.0899041634e-01
3.7573385519e-01   -2.0939740650e-01
3.9138943249e-01   -2.0980576309e-01
4.0704500978e-01   -2.1021548899e-01
4.2270058708e-01   -2.1062658704e-01
4.3835616438e-01   -2.1103906009e-01
4.5401174168e-01   -2.1145291094e-01
4.6966731898e-01   -2.1186814242e-01
4.8532289628e-01   -2.1228475732e-01
5.0097847358e-01   -2.1270275839e-01
5.1663405088e-01   -2.1312214842e-01
5.3228962818e-01   -2.1354293014e-01
5.4794520548e-01   -2.1396510627e-01
5.6360078278e-01   -2.1438867953e-01
5.7925636008e-01   -2.1481365262e-01
5.9491193738e-01   -2.1524002819e-01
6.1056751468e-01   -2.1566780893e-01
6.2622309198e-01   -2.1609699746e-01
6.4187866928e-01   -2.1652759640e-01
6.5753424658e-01   -2.1695960836e-01
6.7318982387e-01   -2.1739303592e-01
6.8884540117e-01   -2.1782788164e-01
7.0450097847e-01   -2.1826414808e-01
7.2015655577e-01   -2.1870183775e-01
7.3581213307e-01   -2.1914095315e-01
7.5146771037e-01   -2.1958149678e-01
7.6712328767e-01   -2.2002347109e-01
7.8277886497e-01   -2.2046687853e-01
7.9843444227e-01   -2.2091172150e-01
8.1409001957e-01   -2.2135800242e-01
8.2974559687e-01   -2.2180572365e-01
8.4540117417e-01   -2.2225488755e-01
8.6105675147e-01   -2.2270549645e-01
8.7671232877e-01   -2.2315755264e-01
8.9236790607e-01   -2.2361105841e-01
9.0802348337e-01   -2.2406601602e-01
9.2367906067e-01   -2.2452242771e-01
9.3933463796e-01   -2.2498029567e-01
9.5499021526e-01   -2.2543962209e-01
9.7064579256e-01   -2.2590040912e-01
9.8630136986e-01   -2.2636265890e-01
1.0019569472e+00   -2.2682637354e-01
1.0176125245e+00   -2.2729155510e-01
1.0332681018e+00   -2.2775820563e-01
1.0489236791e+00   -2.2822632717e-01
1.0645792564e+00   -2.2869592170e-01
1.0802348337e+00   -2.2916699118e-01
1.0958904110e+00   -2.2963953756e-01
1.1115459883e+00   -2.3011356275e-01
1.1272015656e+00   -2.3058906861e-01
1.1428571429e+00   -2.3106605700e-01
1.1585127202e+00   -2.3154452974e-01
1.1741682975e+00   -2.3202448862e-01
1.1898238748e+00   -2.3250593538e-01
1.2054794521e+00   -2.3298887175e-01
1.2211350294e+00   -2.3347329942e-01
1.2367906067e+00   -2.3395922006e-01
1.2524461840e+00   -2.3444663529e-01
1.2681017613e+00   -2.3493554670e-01
1.2837573386e+00   -2.3542595585e-01
1.2994129159e+00   -2.3591786427e-01
1.3150684932e+00   -2.3641127344e-01
1.3307240705e+00   -2.3690618482e-01
1.3463796477e+00   -2.3740259984e-01
1.3620352250e+00   -2.3790051987e-01
1.3776908023e+00   -2.3839994627e-01
1.3933463796e+00   -2.3890088034e-01
1.4090019569e+00   -2.3940332335e-01
1.4246575342e+00   -2.3990727655e-01
1.4403131115e+00   -2.4041274113e-01
1.4559686888e+00   -2.4091971825e-01
1.4716242661e+00   -2.4142820902e-01
1.4872798434e+00   -2.4193821453e-01
1.5029354207e+00   -2.4244973583e-01
1.5185909980e+00   -2.4296277390e-01
1.5342465753e+00   -2.4347732971e-01
1.5499021526e+00   -2.4399340417e-01
1.5655577299e+00   -2.4451099817e-01
1.5812133072e+00   -2.4503011253e-01
1.5968688845e+00   -2.4555074804e-01
1.6125244618e+00   -2.4607290546e-01
1.6281800391e+00   -2.4659658548e-01
1.6438356164e+00   -2.4712178876e-01
1.6594911937e+00   -2.4764851593e-01
1.6751467710e+00   -2.4817676754e-01
1.6908023483e+00   -2.4870654413e-01
1.7064579256e+00   -2.4923784616e-01
1.7221135029e+00   -2.4977067408e-01
1.7377690802e+00   -2.5030502826e-01
1.7534246575e+00   -2.5084090904e-01
1.7690802348e+00   -2.5137831671e-01
1.7847358121e+00   -2.5191725151e-01
1.8003913894e+00   -2.5245771362e-01
1.8160469667e+00   -2.5299970320e-01
1.8317025440e+00   -2.5354322033e-01
1.8473581213e+00   -2.5408826505e-01
1.8630136986e+00   -2.5463483734e-01
1.8786692759e+00   -2.5518293716e-01
1.8943248532e+00   -2.5573256437e-01
1.9099804305e+00   -2.5628371882e-01
1.9256360078e+00   -2.5683640029e-01
1.9412915851e+00   -2.5739060850e-01
1.9569471624e+00   -2.5794634312e-01
1.9726027397e+00   -2.5850360377e-01
1.9882583170e+00   -2.5906239002e-01
2.0039138943e+00   -2.5962270136e-01
2.0195694716e+00   -2.6018453725e-01
2.0352250489e+00   -2.6074789709e-01
2.0508806262e+00   -2.6131278021e-01
2.0665362035e+00   -2.6187918589e-01
2.0821917808e+00   -2.6244711336e-01
2.0978473581e+00   -2.6301656176e-01
2.1135029354e+00   -2.6358753021e-01
2.1291585127e+00   -2.6416001775e-01
2.1448140900e+00   -2.6473402337e-01
2.1604696673e+00   -2.6530954598e-01
2.1761252446e+00   -2.6588658445e-01
2.1917808219e+00   -2.6646513757e-01
2.2074363992e+00   -2.6704520409e-01
2.2230919765e+00   -2.6762678267e-01
2.2387475538e+00   -2.6820987194e-01
2.2544031311e+00   -2.6879447043e-01
2.2700587084e+00   -2.6938057663e-01
2.2857142857e+00   -2.6996818896e-01
2.3013698630e+00   -2.7055730577e-01
2.3170254403e+00   -2.7114792534e-01
2.3326810176e+00   -2.7174004591e-01
2.3483365949e+00   -2.7233366562e-01
2.3639921722e+00   -2.7292878256e-01
2.3796477495e+00   -2.7352539475e-01
2.3953033268e+00   -2.7412350013e-01
2.4109589041e+00   -2.7472309660e-01
2.4266144814e+00   -2.7532418196e-01
2.4422700587e+00   -2.7592675395e-01
2.4579256360e+00   -2.7653081025e-01
2.4735812133e+00   -2.7713634846e-01
2.4892367906e+00   -2.7774336610e-01
2.5048923679e+00   -2.7835186064e-01
2.5205479452e+00   -2.7896182947e-01
2.5362035225e+00   -2.7957326989e-01
2.5518590998e+00   -2.8018617914e-01
2.5675146771e+00   -2.8080055439e-01
2.5831702544e+00   -2.8141639274e-01
2.5988258317e+00   -2.8203369119e-01
2.6144814090e+00   -2.8265244669e-01
2.6301369863e+00   -2.8327265611e-01
2.6457925636e+00   -2.8389431624e-01
2.6614481409e+00   -2.8451742379e-01
2.6771037182e+00   -2.8514197539e-01
2.6927592955e+00   -2.8576796761e-01
2.7084148728e+00   -2.8639539692e-01
2.7240704501e+00   -2.8702425973e-01
2.7397260274e+00   -2.8765455237e-01
2.7553816047e+00   -2.8828627107e-01
2.7710371820e+00   -2.8891941199e-01
2.7866927593e+00   -2.8955397124e-01
2.8023483366e+00   -2.9018994480e-01
2.8180039139e+00   -2.9082732860e-01
2.8336594912e+00   -2.9146611848e-01
2.8493150685e+00   -2.9210631021e-01
2.8649706458e+00   -2.9274789945e-01
2.8806262231e+00   -2.9339088180e-01
2.8962818004e+00   -2.9403525277e-01
2.9119373777e+00   -2.9468100779e-01
2.9275929550e+00   -2.9532814221e-01
2.9432485323e+00   -2.9597665128e-01
2.9589041096e+00   -2.9662653017e-01
2.9745596869e+00   -2.9727777398e-01
2.9902152642e+00   -2.9793037771e-01
3.0058708415e+00   -2.9858433628e-01
3.0215264188e+00   -2.9923964452e-01
3.0371819961e+00   -2.9989629717e-01
3.0528375734e+00   -3.0055428890e-01
3.0684931507e+00   -3.0121361427e-01
3.0841487280e+00   -3.0187426777e-01
3.0998043053e+00   -3.0253624379e-01
3.1154598826e+00   -3.0319953665e-01
3.1311154599e+00   -3.0386414055e-01
3.1467710372e+00   -3.0453004964e-01
3.1624266145e+00   -3.0519725795e-01
3.1780821918e+00   -3.0586575943e-01
3.1937377691e+00   -3.0653554794e-01
3.2093933464e+00   -3.0720661727e-01
3.2250489237e+00   -3.0787896108e-01
3.2407045010e+00   -3.0855257297e-01
3.2563600783e+00   -3.0922744644e-01
3.2720156556e+00   -3.0990357491e-01
3.2876712329e+00   -3.1058095167e-01
3.3033268102e+00   -3.1125956998e-01
3.3189823875e+00   -3.1193942295e-01
3.3346379648e+00   -3.1262050363e-01
3.3502935421e+00   -3.1330280498e-01
3.3659491194e+00   -3.1398631984e-01
3.3816046967e+00   -3.1467104099e-01
3.3972602740e+00   -3.1535696111e-01
3.4129158513e+00   -3.1604407276e-01
3.4285714286e+00   -3.1673236844e-01
3.4442270059e+00   -3.1742184054e-01
3.4598825832e+00   -3.1811248137e-01
3.4755381605e+00   -3.1880428312e-01
3.4911937378e+00   -3.1949723792e-01
3.5068493151e+00   -3.2019133779e-01
3.5225048924e+00   -3.2088657464e-01
3.5381604697e+00   -3.2158294033e-01
3.5538160470e+00   -3.2228042657e-01
3.5694716243e+00   -3.2297902503e-01
3.5851272016e+00   -3.2367872724e-01
3.6007827789e+00   -3.2437952468e-01
3.6164383562e+00   -3.2508140869e-01
3.6320939335e+00   -3.2578437056e-01
3.6477495108e+00   -3.2648840145e-01
3.6634050881e+00   -3.2719349245e-01
3.6790606654e+00   -3.2789963454e-01
3.6947162427e+00   -3.2860681862e-01
3.7103718200e+00   -3.2931503548e-01
3.7260273973e+00   -3.3002427583e-01
3.7416829746e+00   -3.3073453029e-01
3.7573385519e+00   -3.3144578937e-01
3.7729941292e+00   -3.3215804349e-01
3.7886497065e+00   -3.3287128299e-01
3.8043052838e+00   -3.3358549809e-01
3.8199608611e+00   -3.3430067896e-01
3.8356164384e+00   -3.3501681563e-01
3.8512720157e+00   -3.3573389807e-01
3.8669275930e+00   -3.3645191614e-01
3.8825831703e+00   -3.3717085961e-01
3.8982387476e+00   -3.3789071817e-01
3.9138943249e+00   -3.3861148140e-01
3.9295499022e+00   -3.3933313879e-01
3.9452054795e+00   -3.4005567976e-01
3.9608610568e+00   -3.4077909361e-01
3.9765166341e+00   -3.4150336957e-01
3.9921722114e+00   -3.4222849676e-01
4.0078277886e+00   -3.4295446424e-01
4.0234833659e+00   -3.4368126094e-01
4.0391389432e+00   -3.4440887573e-01
4.0547945205e+00   -3.4513729739e-01
4.0704500978e+00   -3.4586651458e-01
4.0861056751e+00   -3.4659651591e-01
4.1017612524e+00   -3.4732728988e-01
4.1174168297e+00   -3.4805882490e-01
4.1330724070e+00   -3.4879110931e-01
4.1487279843e+00   -3.4952413134e-01
4.1643835616e+00   -3.5025787915e-01
4.1800391389e+00   -3.5099234081e-01
4.1956947162e+00   -3.5172750431e-01
4.2113502935e+00   -3.5246335753e-01
4.2270058708e+00   -3.5319988829e-01
4.2426614481e+00   -3.5393708433e-01
4.2583170254e+00   -3.5467493328e-01
4.2739726027e+00   -3.5541342271e-01
4.2896281800e+00   -3.5615254010e-01
4.3052837573e+00   -3.5689227284e-01
4.3209393346e+00   -3.5763260825e-01
4.3365949119e+00   -3.5837353357e-01
4.3522504892e+00   -3.5911503595e-01
4.3679060665e+00   -3.5985710246e-01
4.3835616438e+00   -3.6059972011e-01
4.3992172211e+00   -3.6134287581e-01
4.4148727984e+00   -3.6208655641e-01
4.4305283757e+00   -3.6283074866e-01
4.4461839530e+00   -3.6357543927e-01
4.4618395303e+00   -3.6432061483e-01
4.4774951076e+00   -3.6506626190e-01
4.4931506849e+00   -3.6581236693e-01
4.5088062622e+00   -3.6655891633e-01
4.5244618395e+00   -3.6730589641e-01
4.5401174168e+00   -3.6805329342e-01
4.5557729941e+00   -3.6880109354e-01
4.5714285714e+00   -3.6954928288e-01
4.5870841487e+00   -3.7029784748e-01
4.6027397260e+00   -3.7104677332e-01
4.6183953033e+00   -3.7179604631e-01
4.6340508806e+00   -3.7254565227e-01
4.6497064579e+00   -3.7329557700e-01
4.6653620352e+00   -3.7404580620e-01
4.6810176125e+00   -3.7479632552e-01
4.6966731898e+00   -3.7554712055e-01
4.7123287671e+00   -3.7629817681e-01
4.7279843444e+00   -3.7704947978e-01
4.7436399217e+00   -3.7780101485e-01
4.7592954990e+00   -3.7855276737e-01
4.7749510763e+00   -3.7930472264e-01
4.7906066536e+00   -3.8005686590e-01
4.8062622309e+00   -3.8080918232e-01
4.8219178082e+00   -3.8156165703e-01
4.8375733855e+00   -3.8231427511e-01
4.8532289628e+00   -3.8306702158e-01
4.8688845401e+00   -3.8381988141e-01
4.8845401174e+00   -3.8457283953e-01
4.9001956947e+00   -3.8532588081e-01
4.9158512720e+00   -3.8607899009e-01
4.9315068493e+00   -3.8683215215e-01
4.9471624266e+00   -3.8758535172e-01
4.9628180039e+00   -3.8833857350e-01
4.9784735812e+00   -3.8909180216e-01
4.9941291585e+00   -3.8984502229e-01
5.0097847358e+00   -3.9059821847e-01
5.0254403131e+00   -3.9135137525e-01
5.0410958904e+00   -3.9210447711e-01
5.0567514677e+00   -3.9285750853e-01
5.0724070450e+00   -3.9361045393e-01
5.0880626223e+00   -3.9436329771e-01
5.1037181996e+00   -3.9511602423e-01
5.1193737769e+00   -3.9586861782e-01
5.1350293542e+00   -3.9662106280e-01
5.1506849315e+00   -3.9737334344e-01
5.1663405088e+00   -3.9812544398e-01
5.1819960861e+00   -3.9887734867e-01
5.1976516634e+00   -3.9962904169e-01
5.2133072407e+00   -4.0038050724e-01
5.2289628180e+00   -4.0113172947e-01
5.2446183953e+00   -4.0188269252e-01
5.2602739726e+00   -4.0263338051e-01
5.2759295499e+00   -4.0338377756e-01
5.2915851272e+00   -4.0413386776e-01
5.3072407045e+00   -4.0488363517e-01
5.3228962818e+00   -4.0563306388e-01
5.3385518591e+00   -4.0638213793e-01
5.3542074364e+00   -4.0713084138e-01
5.3698630137e+00   -4.0787915826e-01
5.3855185910e+00   -4.0862707260e-01
5.4011741683e+00   -4.0937456844e-01
5.4168297456e+00   -4.1012162980e-01
5.4324853229e+00   -4.1086824070e-01
5.4481409002e+00   -4.1161438517e-01
5.4637964775e+00   -4.1236004723e-01
5.4794520548e+00   -4.1310521091e-01
5.4951076321e+00   -4.1384986024e-01
5.5107632094e+00   -4.1459397927e-01
5.5264187867e+00   -4.1533755203e-01
5.5420743640e+00   -4.1608056259e-01
5.5577299413e+00   -4.1682299500e-01
5.5733855186e+00   -4.1756483336e-01
5.5890410959e+00   -4.1830606174e-01
5.6046966732e+00   -4.1904666426e-01
5.6203522505e+00   -4.1978662503e-01
5.6360078278e+00   -4.2052592821e-01
5.6516634051e+00   -4.2126455796e-01
5.6673189824e+00   -4.2200249845e-01
5.6829745597e+00   -4.2273973389e-01
5.6986301370e+00   -4.2347624852e-01
5.7142857143e+00   -4.2421202660e-01
5.7299412916e+00   -4.2494705240e-01
5.7455968689e+00   -4.2568131024e-01
5.7612524462e+00   -4.2641478447e-01
5.7769080235e+00   -4.2714745946e-01
5.7925636008e+00   -4.2787931963e-01
5.8082191781e+00   -4.2861034942e-01
5.8238747554e+00   -4.2934053331e-01
5.8395303327e+00   -4.3006985584e-01
5.8551859100e+00   -4.3079830155e-01
5.8708414873e+00   -4.3152585506e-01
5.8864970646e+00   -4.3225250101e-01
5.9021526419e+00   -4.3297822409e-01
5.9178082192e+00   -4.3370300905e-01
5.9334637965e+00   -4.3442684066e-01
5.9491193738e+00   -4.3514970376e-01
5.9647749511e+00   -4.3587158324e-01
5.9804305284e+00   -4.3659246404e-01
5.9960861057e+00   -4.3731233114e-01
6.0117416830e+00   -4.3803116960e-01
6.0273972603e+00   -4.3874896451e-01
6.0430528376e+00   -4.3946570105e-01
6.0587084149e+00   -4.4018136442e-01
6.0743639922e+00   -4.4089593992e-01
6.0900195695e+00   -4.4160941289e-01
6.1056751468e+00   -4.4232176873e-01
6.1213307241e+00   -4.4303299293e-01
6.1369863014e+00   -4.4374307102e-01
6.1526418787e+00   -4.4445198861e-01
6.1682974560e+00   -4.4515973139e-01
6.1839530333e+00   -4.4586628510e-01
6.1996086106e+00   -4.4657163556e-01
6.2152641879e+00   -4.4727576868e-01
6.2309197652e+00   -4.4797867043e-01
6.2465753425e+00   -4.4868032685e-01
6.2622309198e+00   -4.4938072406e-01
6.2778864971e+00   -4.5007984829e-01
6.2935420744e+00   -4.5077768580e-01
6.3091976517e+00   -4.5147422298e-01
6.3248532290e+00   -4.5216944627e-01
6.3405088063e+00   -4.5286334220e-01
6.3561643836e+00   -4.5355589740e-01
6.3718199609e+00   -4.5424709858e-01
6.3874755382e+00   -4.5493693254e-01
6.4031311155e+00   -4.5562538614e-01
6.4187866928e+00   -4.5631244639e-01
6.4344422701e+00   -4.5699810034e-01
6.4500978474e+00   -4.5768233515e-01
6.4657534247e+00   -4.5836513808e-01
6.4814090020e+00   -4.5904649648e-01
6.4970645793e+00   -4.5972639779e-01
6.5127201566e+00   -4.6040482957e-01
6.5283757339e+00   -4.6108177945e-01
6.5440313112e+00   -4.6175723517e-01
6.5596868885e+00   -4.6243118458e-01
6.5753424658e+00   -4.6310361563e-01
6.5909980431e+00   -4.6377451636e-01
6.6066536204e+00   -4.6444387492e-01
6.6223091977e+00   -4.6511167957e-01
6.6379647750e+00   -4.6577791867e-01
6.6536203523e+00   -4.6644258070e-01
6.6692759295e+00   -4.6710565422e-01
6.6849315068e+00   -4.6776712792e-01
6.7005870841e+00   -4.6842699060e-01
6.7162426614e+00   -4.6908523117e-01
6.7318982387e+00   -4.6974183863e-01
6.7475538160e+00   -4.7039680212e-01
6.7632093933e+00   -4.7105011089e-01
6.7788649706e+00   -4.7170175427e-01
6.7945205479e+00   -4.7235172176e-01
6.8101761252e+00   -4.7300000292e-01
6.8258317025e+00   -4.7364658746e-01
6.8414872798e+00   -4.7429146521e-01
6.8571428571e+00   -4.7493462608e-01
6.8727984344e+00   -4.7557606015e-01
6.8884540117e+00   -4.7621575758e-01
6.9041095890e+00   -4.7685370866e-01
6.9197651663e+00   -4.7748990381e-01
6.9354207436e+00   -4.7812433356e-01
6.9510763209e+00   -4.7875698856e-01
6.9667318982e+00   -4.7938785959e-01
6.9823874755e+00   -4.8001693755e-01
6.9980430528e+00   -4.8064421346e-01
