X    Y
0.0000000000e+00   2.0000000000e-01
1.5655577299e-02   2.0075134742e-01
3.1311154599e-02   2.0150244370e-01
4.6966731898e-02   2.0225327297e-01
6.2622309198e-02   2.0300381934e-01
7.8277886497e-02   2.0375406691e-01
9.3933463796e-02   2.0450399977e-01
1.0958904110e-01   2.0525360199e-01
1.2524461840e-01   2.0600285763e-01
1.4090019569e-01   2.0675175074e-01
1.5655577299e-01   2.0750026537e-01
1.7221135029e-01   2.0824838555e-01
1.8786692759e-01   2.0899609532e-01
2.0352250489e-01   2.0974337869e-01
2.1917808219e-01   2.1049021969e-01
2.3483365949e-01   2.1123660235e-01
2.5048923679e-01   2.1198251070e-01
2.6614481409e-01   2.1272792875e-01
2.8180039139e-01   2.1347284054e-01
2.9745596869e-01   2.1421723011e-01
3.1311154599e-01   2.1496108149e-01
3.2876712329e-01   2.1570437873e-01
3.4442270059e-01   2.1644710591e-01
3.6007827789e-01   2.1718924708e-01
3.7573385519e-01   2.1793078633e-01
3.9138943249e-01   2.1867170777e-01
4.0704500978e-01   2.1941199550e-01
4.2270058708e-01   2.2015163366e-01
4.3835616438e-01   2.2089060641e-01
4.5401174168e-01   2.2162889791e-01
4.6966731898e-01   2.2236649236e-01
4.8532289628e-01   2.2310337397e-01
5.0097847358e-01   2.2383952700e-01
5.1663405088e-01   2.2457493570e-01
5.3228962818e-01   2.2530958439e-01
5.4794520548e-01   2.2604345739e-01
5.6360078278e-01   2.2677653906e-01
5.7925636008e-01   2.2750881380e-01
5.9491193738e-01   2.2824026603e-01
6.1056751468e-01   2.2897088021e-01
6.2622309198e-01   2.2970064086e-01
6.4187866928e-01   2.3042953251e-01
6.5753424658e-01   2.3115753975e-01
6.7318982387e-01   2.3188464719e-01
6.8884540117e-01   2.3261083952e-01
7.0450097847e-01   2.3333610144e-01
7.2015655577e-01   2.3406041772e-01
7.3581213307e-01   2.3478377316e-01
7.5146771037e-01   2.3550615262e-01
7.6712328767e-01   2.3622754103e-01
7.8277886497e-01   2.3694792333e-01
7.9843444227e-01   2.3766728455e-01
8.1409001957e-01   2.3838560976e-01
8.2974559687e-01   2.3910288411e-01
8.4540117417e-01   2.3981909276e-01
