X    Y
0.0000000000e+00   -4.0000000000e-01
2.7397260274e-03   -4.0594608304e-01
5.4794520548e-03   -4.1194896985e-01
8.2191780822e-03   -4.1800903827e-01
1.0958904110e-02   -4.2412666132e-01
1.3698630137e-02   -4.3030220692e-01
1.6438356164e-02   -4.3653603749e-01
1.9178082192e-02   -4.4282850961e-01
2.1917808219e-02   -4.4917997363e-01
2.4657534247e-02   -4.5559077331e-01
2.7397260274e-02   -4.6206124538e-01
3.0136986301e-02   -4.6859171918e-01
3.2876712329e-02   -4.7518251620e-01
3.5616438356e-02   -4.8183394965e-01
3.8356164384e-02   -4.8854632406e-01
4.1095890411e-02   -4.9531993476e-01
4.3835616438e-02   -5.0215506747e-01
4.6575342466e-02   -5.0905199779e-01
4.9315068493e-02   -5.1601099069e-01
5.2054794521e-02   -5.2303230006e-01
5.4794520548e-02   -5.3011616815e-01
5.7534246575e-02   -5.3726282507e-01
6.0273972603e-02   -5.4447248823e-01
6.3013698630e-02   -5.5174536181e-01
6.5753424658e-02   -5.5908163617e-01
6.8493150685e-02   -5.6648148732e-01
7.1232876712e-02   -5.7394507629e-01
7.3972602740e-02   -5.8147254860e-01
7.6712328767e-02   -5.8906403355e-01
7.9452054795e-02   -5.9671964373e-01
8.2191780822e-02   -6.0443947430e-01
8.4931506849e-02   -6.1222360238e-01
8.7671232877e-02   -6.2007208645e-01
9.0410958904e-02   -6.2798496563e-01
9.3150684932e-02   -6.3596225906e-01
9.5890410959e-02   -6.4400396523e-01
9.8630136986e-02   -6.5211006130e-01
1.0136986301e-01   -6.6028050239e-01
1.0410958904e-01   -6.6851522095e-01
1.0684931507e-01   -6.7681412601e-01
1.0958904110e-01   -6.8517710253e-01
1.1232876712e-01   -6.9360401068e-01
1.1506849315e-01   -7.0209468511e-01
1.1780821918e-01   -7.1064893430e-01
1.2054794521e-01   -7.1926653982e-01
1.2328767123e-01   -7.2794725563e-01
1.2602739726e-01   -7.3669080740e-01
1.2876712329e-01   -7.4549689177e-01
1.3150684932e-01   -7.5436517571e-01
1.3424657534e-01   -7.6329529578e-01
1.3698630137e-01   -7.7228685747e-01
1.3972602740e-01   -7.8133943454e-01
1.4246575342e-01   -7.9045256832e-01
1.4520547945e-01   -7.9962576711e-01
1.4794520548e-01   -8.0885850548e-01
1.5068493151e-01   -8.1815022369e-01
1.5342465753e-01   -8.2750032706e-01
1.5616438356e-01   -8.3690818538e-01
1.5890410959e-01   -8.4637313238e-01
1.6164383562e-01   -8.5589446510e-01
1.6438356164e-01   -8.6547144343e-01
1.6712328767e-01   -8.7510328961e-01
1.6986301370e-01   -8.8478918771e-01
1.7260273973e-01   -8.9452828325e-01
1.7534246575e-01   -9.0431968274e-01
1.7808219178e-01   -9.1416245332e-01
1.8082191781e-01   -9.2405562243e-01
1.8356164384e-01   -9.3399817750e-01
1.8630136986e-01   -9.4398906568e-01
1.8904109589e-01   -9.5402719362e-01
1.9178082192e-01   -9.6411142732e-01
1.9452054795e-01   -9.7424059196e-01
1.9726027397e-01   -9.8441347183e-01
2.0000000000e-01   -9.9462881033e-01
2.0273972603e-01   -1.0048853100e+00
2.0547945205e-01   -1.0151816324e+00
2.0821917808e-01   -1.0255163986e+00
2.1095890411e-01   -1.0358881891e+00
2.1369863014e-01   -1.0462955440e+00
2.1643835616e-01   -1.0567369638e+00
2.1917808219e-01   -1.0672109092e+00
2.2191780822e-01   -1.0777158016e+00
2.2465753425e-01   -1.0882500242e+00
2.2739726027e-01   -1.0988119218e+00
2.3013698630e-01   -1.1093998019e+00
2.3287671233e-01   -1.1200119353e+00
2.3561643836e-01   -1.1306465568e+00
2.3835616438e-01   -1.1413018661e+00
2.4109589041e-01   -1.1519760288e+00
2.4383561644e-01   -1.1626671772e+00
2.4657534247e-01   -1.1733734115e+00
2.4931506849e-01   -1.1840928009e+00
2.5205479452e-01   -1.1948233848e+00
2.5479452055e-01   -1.2055631740e+00
2.5753424658e-01   -1.2163101520e+00
2.6027397260e-01   -1.2270622767e+00
2.6301369863e-01   -1.2378174814e+00
2.6575342466e-01   -1.2485736768e+00
2.6849315068e-01   -1.2593287522e+00
2.7123287671e-01   -1.2700805776e+00
2.7397260274e-01   -1.2808270047e+00
2.7671232877e-01   -1.2915658696e+00
2.7945205479e-01   -1.3022949939e+00
2.8219178082e-01   -1.3130121868e+00
2.8493150685e-01   -1.3237152473e+00
2.8767123288e-01   -1.3344019656e+00
2.9041095890e-01   -1.3450701257e+00
2.9315068493e-01   -1.3557175071e+00
2.9589041096e-01   -1.3663418868e+00
2.9863013699e-01   -1.3769410419e+00
3.0136986301e-01   -1.3875127512e+00
