X    Y
0.0000000000e+00   4.0000000000e-01
2.7397260274e-03   4.0171625302e-01
5.4794520548e-03   4.0344588588e-01
8.2191780822e-03   4.0518897633e-01
1.0958904110e-02   4.0694560200e-01
1.3698630137e-02   4.0871584044e-01
1.6438356164e-02   4.1049976904e-01
1.9178082192e-02   4.1229746504e-01
2.1917808219e-02   4.1410900553e-01
2.4657534247e-02   4.1593446744e-01
2.7397260274e-02   4.1777392746e-01
3.0136986301e-02   4.1962746210e-01
3.2876712329e-02   4.2149514764e-01
3.5616438356e-02   4.2337706012e-01
3.8356164384e-02   4.2527327530e-01
4.1095890411e-02   4.2718386867e-01
4.3835616438e-02   4.2910891543e-01
4.6575342466e-02   4.3104849045e-01
4.9315068493e-02   4.3300266826e-01
5.2054794521e-02   4.3497152306e-01
5.4794520548e-02   4.3695512865e-01
5.7534246575e-02   4.3895355846e-01
6.0273972603e-02   4.4096688547e-01
6.3013698630e-02   4.4299518226e-01
6.5753424658e-02   4.4503852094e-01
6.8493150685e-02   4.4709697313e-01
7.1232876712e-02   4.4917060997e-01
7.3972602740e-02   4.5125950207e-01
7.6712328767e-02   4.5336371948e-01
7.9452054795e-02   4.5548333172e-01
8.2191780822e-02   4.5761840768e-01
8.4931506849e-02   4.5976901565e-01
8.7671232877e-02   4.6193522329e-01
9.0410958904e-02   4.6411709758e-01
9.3150684932e-02   4.6631470482e-01
9.5890410959e-02   4.6852811060e-01
9.8630136986e-02   4.7075737977e-01
1.0136986301e-01   4.7300257640e-01
1.0410958904e-01   4.7526376378e-01
1.0684931507e-01   4.7754100439e-01
1.0958904110e-01   4.7983435983e-01
1.1232876712e-01   4.8214389087e-01
1.1506849315e-01   4.8446965735e-01
1.1780821918e-01   4.8681171818e-01
1.2054794521e-01   4.8917013132e-01
1.2328767123e-01   4.9154495374e-01
1.2602739726e-01   4.9393624137e-01
1.2876712329e-01   4.9634404913e-01
1.3150684932e-01   4.9876843083e-01
1.3424657534e-01   5.0120943919e-01
1.3698630137e-01   5.0366712576e-01
1.3972602740e-01   5.0614154095e-01
1.4246575342e-01   5.0863273396e-01
1.4520547945e-01   5.1114075272e-01
1.4794520548e-01   5.1366564393e-01
1.5068493151e-01   5.1620745298e-01
1.5342465753e-01   5.1876622390e-01
1.5616438356e-01   5.2134199937e-01
1.5890410959e-01   5.2393482067e-01
1.6164383562e-01   5.2654472763e-01
1.6438356164e-01   5.2917175861e-01
1.6712328767e-01   5.3181595046e-01
1.6986301370e-01   5.3447733848e-01
1.7260273973e-01   5.3715595642e-01
1.7534246575e-01   5.3985183638e-01
1.7808219178e-01   5.4256500882e-01
1.8082191781e-01   5.4529550251e-01
1.8356164384e-01   5.4804334451e-01
1.8630136986e-01   5.5080856010e-01
1.8904109589e-01   5.5359117277e-01
1.9178082192e-01   5.5639120416e-01
1.9452054795e-01   5.5920867404e-01
1.9726027397e-01   5.6204360028e-01
2.0000000000e-01   5.6489599878e-01
2.0273972603e-01   5.6776588346e-01
2.0547945205e-01   5.7065326622e-01
2.0821917808e-01   5.7355815686e-01
2.1095890411e-01   5.7648056310e-01
2.1369863014e-01   5.7942049052e-01
2.1643835616e-01   5.8237794249e-01
2.1917808219e-01   5.8535292018e-01
2.2191780822e-01   5.8834542248e-01
2.2465753425e-01   5.9135544599e-01
2.2739726027e-01   5.9438298495e-01
2.3013698630e-01   5.9742803123e-01
2.3287671233e-01   6.0049057428e-01
2.3561643836e-01   6.0357060108e-01
2.3835616438e-01   6.0666809612e-01
2.4109589041e-01   6.0978304134e-01
2.4383561644e-01   6.1291541611e-01
2.4657534247e-01   6.1606519717e-01
2.4931506849e-01   6.1923235861e-01
2.5205479452e-01   6.2241687182e-01
2.5479452055e-01   6.2561870547e-01
2.5753424658e-01   6.2883782543e-01
2.6027397260e-01   6.3207419477e-01
2.6301369863e-01   6.3532777372e-01
2.6575342466e-01   6.3859851960e-01
2.6849315068e-01   6.4188638682e-01
2.7123287671e-01   6.4519132683e-01
2.7397260274e-01   6.4851328806e-01
2.7671232877e-01   6.5185221593e-01
2.7945205479e-01   6.5520805277e-01
2.8219178082e-01   6.5858073781e-01
2.8493150685e-01   6.6197020714e-01
2.8767123288e-01   6.6537639366e-01
2.9041095890e-01   6.6879922708e-01
2.9315068493e-01   6.7223863386e-01
2.9589041096e-01   6.7569453716e-01
2.9863013699e-01   6.7916685686e-01
3.0136986301e-01   6.8265550950e-01
3.0410958904e-01   6.8616040823e-01
3.0684931507e-01   6.8968146281e-01
3.0958904110e-01   6.9321857957e-01
3.1232876712e-01   6.9677166139e-01
3.1506849315e-01   7.0034060766e-01
3.1780821918e-01   7.0392531425e-01
3.2054794521e-01   7.0752567351e-01
3.2328767123e-01   7.1114157422e-01
3.2602739726e-01   7.1477290158e-01
3.2876712329e-01   7.1841953717e-01
3.3150684932e-01   7.2208135896e-01
3.3424657534e-01   7.2575824127e-01
3.3698630137e-01   7.2945005474e-01
3.3972602740e-01   7.3315666634e-01
3.4246575342e-01   7.3687793934e-01
3.4520547945e-01   7.4061373328e-01
3.4794520548e-01   7.4436390397e-01
3.5068493151e-01   7.4812830351e-01
3.5342465753e-01   7.5190678021e-01
3.5616438356e-01   7.5569917862e-01
3.5890410959e-01   7.5950533955e-01
3.6164383562e-01   7.6332510000e-01
3.6438356164e-01   7.6715829320e-01
3.6712328767e-01   7.7100474861e-01
3.6986301370e-01   7.7486429186e-01
