X    Y
0.0000000000e+00   1.0000000000e-01
3.1511187103e-02   1.3201983967e-02
7.1692769907e-02   -5.2898047633e-02
1.1187435271e-01   -1.4088704955e-01
1.3860034196e-01   -2.4428650737e-01
1.5755593552e-01   -3.5737356329e-01
1.7561152907e-01   -5.1115498842e-01
1.8111152907e-01   -5.6946988196e-01
1.8661152907e-01   -6.3406257578e-01
1.9211152907e-01   -7.0548117586e-01
1.9761152907e-01   -7.8426844003e-01
2.0311152907e-01   -8.7093707333e-01
2.0861152907e-01   -9.6593452306e-01
2.1411152907e-01   -1.0695942857e+00
2.1961152907e-01   -1.1820704392e+00
2.2511152907e-01   -1.3032521979e+00
2.3061152907e-01   -1.4326561032e+00
2.3611152907e-01   -1.5692955359e+00
2.4161152907e-01   -1.7115311925e+00
2.4711152907e-01   -1.8569126770e+00
2.5261152907e-01   -2.0020307576e+00
2.5811152907e-01   -2.1424116094e+00
2.6361152907e-01   -2.2724963403e+00
2.6911152907e-01   -2.3857567403e+00
2.7461152907e-01   -2.4749946605e+00
2.8011152907e-01   -2.5328503318e+00
2.8561152907e-01   -2.5525005927e+00
2.9111152907e-01   -2.5284669716e+00
2.9661152907e-01   -2.4573941512e+00
3.0211152907e-01   -2.3386287343e+00
3.0761152907e-01   -2.1744497090e+00
3.1311152907e-01   -1.9698786929e+00
3.1861152907e-01   -1.7321055230e+00
3.2411152907e-01   -1.4696612296e+00
3.2961152907e-01   -1.1915192913e+00
3.3511152907e-01   -9.0629518261e-01
3.4061152907e-01   -6.2165849286e-01
3.4611152907e-01   -3.4400033208e-01
3.5161152907e-01   -7.8337530986e-02
3.5711152907e-01   1.7160216143e-01
3.6261152907e-01   4.0318245070e-01
3.6811152907e-01   6.1461216232e-01
3.7361152907e-01   8.0470006493e-01
3.7911152907e-01   9.7264457801e-01
3.8461152907e-01   1.1178774730e+00
3.9011152907e-01   1.2399689325e+00
4.0039672692e-01   1.4051420074e+00
4.1456712262e-01   1.4974621501e+00
4.2006712262e-01   1.4922953182e+00
4.2556712262e-01   1.4656733901e+00
4.3106712262e-01   1.4191523619e+00
4.3656712262e-01   1.3546974507e+00
4.4206712262e-01   1.2746221931e+00
4.4756712262e-01   1.1814951873e+00
4.5306712262e-01   1.0780261310e+00
4.5856712262e-01   9.6694488457e-01
4.6406712262e-01   8.5088675169e-01
4.6956712262e-01   7.3229455812e-01
4.7506712262e-01   6.1334430156e-01
4.8056712262e-01   4.9589711468e-01
4.8606712262e-01   3.8147677867e-01
4.9156712262e-01   2.7126949770e-01
4.9706712262e-01   1.6614121455e-01
5.0256712262e-01   6.6667297914e-02
5.0806712262e-01   -2.6830288210e-02
5.1356712262e-01   -1.1424249277e-01
5.1906712262e-01   -1.9563259359e-01
5.2845232047e-01   -3.2122450360e-01
5.4740791402e-01   -5.3019485063e-01
5.7024870542e-01   -7.2300817062e-01
5.9308949682e-01   -8.7638522133e-01
6.2460068393e-01   -1.0515218392e+00
6.5611187103e-01   -1.1862932366e+00
6.8762305813e-01   -1.2507776525e+00
7.1913424524e-01   -1.2093557450e+00
7.4586023449e-01   -1.0898359141e+00
7.6481582804e-01   -9.7384646983e-01
7.8765661944e-01   -8.2395546737e-01
8.1049741085e-01   -6.8653484400e-01
8.4200859795e-01   -5.4765516078e-01
8.7740498290e-01   -4.8071535346e-01
9.1370136786e-01   -5.1366812383e-01
9.4042735711e-01   -6.0661574109e-01
9.6326814851e-01   -7.3759367017e-01
9.8222374206e-01   -8.8599740239e-01
1.0002793356e+00   -1.0610176854e+00
1.0057793356e+00   -1.1201409727e+00
1.0112793356e+00   -1.1814400902e+00
1.0167793356e+00   -1.2444315409e+00
1.0222793356e+00   -1.3084917971e+00
1.0277793356e+00   -1.3728410540e+00
