X    Y
0.0000000000e+00   0.0000000000e+00
3.1511187103e-02   -3.4919022428e-02
7.1692769907e-02   -9.4472722129e-02
1.1187435271e-01   -2.1543918071e-01
1.3860034196e-01   -3.6775483384e-01
1.5755593552e-01   -5.3553511736e-01
1.7561152907e-01   -7.6277531048e-01
1.8111152907e-01   -8.4839236136e-01
1.8661152907e-01   -9.4276288158e-01
1.9211152907e-01   -1.0464538951e+00
1.9761152907e-01   -1.1599346243e+00
2.0311152907e-01   -1.2835101834e+00
2.0861152907e-01   -1.4172321650e+00
2.1411152907e-01   -1.5607812930e+00
2.1961152907e-01   -1.7133181508e+00
2.2511152907e-01   -1.8733005016e+00
2.3061152907e-01   -2.0382709316e+00
2.3611152907e-01   -2.2046276793e+00
2.4161152907e-01   -2.3674056426e+00
2.4711152907e-01   -2.5201138219e+00
2.5261152907e-01   -2.6546977517e+00
2.5811152907e-01   -2.7617146743e+00
2.6361152907e-01   -2.8308137613e+00
2.6911152907e-01   -2.8515874959e+00
2.7461152907e-01   -2.8147883801e+00
2.8011152907e-01   -2.7137854177e+00
2.8561152907e-01   -2.5459929685e+00
2.9111152907e-01   -2.3138996603e+00
2.9661152907e-01   -2.0253316156e+00
3.0211152907e-01   -1.6927469503e+00
3.0761152907e-01   -1.3316441956e+00
3.1311152907e-01   -9.5845927154e-01
3.1861152907e-01   -5.8848358691e-01
3.2411152907e-01   -2.3428594646e-01
3.2961152907e-01   9.5096651282e-02
3.3511152907e-01   3.9420007375e-01
3.4061152907e-01   6.6060416430e-01
3.4611152907e-01   8.9410870813e-01
3.5161152907e-01   1.0958614270e+00
3.5711152907e-01   1.2676042370e+00
3.6261152907e-01   1.4111177171e+00
3.6811152907e-01   1.5278788677e+00
3.7361152907e-01   1.6189098587e+00
3.7911152907e-01   1.6847797801e+00
3.8461152907e-01   1.7257182676e+00
3.9011152907e-01   1.7418017139e+00
4.0039672692e-01   1.7058971988e+00
4.1456712262e-01   1.5246049132e+00
4.2006712262e-01   1.4190323709e+00
4.2556712262e-01   1.2980992296e+00
4.3106712262e-01   1.1653015791e+00
4.3656712262e-01   1.0243543705e+00
4.4206712262e-01   8.7896308048e-01
4.4756712262e-01   7.3260726594e-01
4.5306712262e-01   5.8836315181e-01
4.5856712262e-01   4.4878228464e-01
4.6406712262e-01   3.1583170306e-01
4.6956712262e-01   1.9089086829e-01
4.7506712262e-01   7.4793637498e-02
4.8056712262e-01   -3.2099576331e-02
4.8606712262e-01   -1.2981413267e-01
4.9156712262e-01   -2.1867024894e-01
4.9706712262e-01   -2.9919767965e-01
5.0256712262e-01   -3.7206133133e-01
5.0806712262e-01   -4.3800019928e-01
5.1356712262e-01   -4.9777984828e-01
5.1906712262e-01   -5.5215729189e-01
5.2845232047e-01   -6.3451335269e-01
5.4740791402e-01   -7.7194974255e-01
5.7024870542e-01   -9.0836390888e-01
5.9308949682e-01   -1.0298142705e+00
6.2460068393e-01   -1.1765661975e+00
6.5611187103e-01   -1.2707495851e+00
6.8762305813e-01   -1.2632853942e+00
7.1913424524e-01   -1.1309009782e+00
7.4586023449e-01   -9.4956410590e-01
7.6481582804e-01   -8.1166308176e-01
7.8765661944e-01   -6.6272449119e-01
8.1049741085e-01   -5.5009375394e-01
8.4200859795e-01   -4.6605618499e-01
8.7740498290e-01   -4.6790369270e-01
9.1370136786e-01   -5.7241696529e-01
9.4042735711e-01   -7.2286787272e-01
9.6326814851e-01   -9.0901089155e-01
9.8222374206e-01   -1.1061248735e+00
1.0002793356e+00   -1.3242250574e+00
1.0057793356e+00   -1.3941455427e+00
1.0112793356e+00   -1.4643353246e+00
1.0167793356e+00   -1.5337147411e+00
1.0222793356e+00   -1.6009847676e+00
1.0277793356e+00   -1.6646232720e+00
1.0332793356e+00   -1.7228955106e+00
1.0387793356e+00   -1.7738835305e+00
1.0577349292e+00   -1.8651216814e+00
1.0757905227e+00   -1.7789241355e+00
1.0860757206e+00   -1.6425707360e+00
1.0915757206e+00   -1.5456164505e+00
1.0970757206e+00   -1.4343789562e+00
1.1025757206e+00   -1.3114607118e+00
1.1080757206e+00   -1.1798324291e+00
1.1135757206e+00   -1.0426298938e+00
1.1190757206e+00   -9.0294860313e-01
1.1245757206e+00   -7.6366047205e-01
1.1300757206e+00   -6.2727100174e-01
1.1355757206e+00   -4.9582684528e-01
1.1410757206e+00   -3.7087492793e-01
1.1465757206e+00   -2.5346708396e-01
1.1520757206e+00   -1.4419965284e-01
1.1575757206e+00   -4.3275805493e-02
1.1630757206e+00   4.9420973352e-02
1.1685757206e+00   1.3425169023e-01
1.1740757206e+00   2.1175163519e-01
1.1795757206e+00   2.8256916802e-01
1.1850757206e+00   3.4741526157e-01
1.1905757206e+00   4.0702392947e-01
1.1960757206e+00   4.6212262636e-01
1.2054609184e+00   5.4770468338e-01
1.2244165120e+00   6.9916409330e-01
1.2472573034e+00   8.6619372023e-01
1.2653128969e+00   9.9850662410e-01
1.2842684905e+00   1.1403881362e+00
1.3071092819e+00   1.3051754589e+00
1.3251648754e+00   1.4117907488e+00
1.3527908647e+00   1.4792143628e+00
1.3795168539e+00   1.3754600756e+00
1.3984724475e+00   1.1987902283e+00
1.4213132389e+00   9.1833766841e-01
1.4306984367e+00   7.9763186801e-01
1.4361984367e+00   7.2839388323e-01
1.4416984367e+00   6.6121248332e-01
1.4519836346e+00   5.4312467762e-01
1.4748244260e+00   3.2558281508e-01
1.4928800195e+00   1.9940324055e-01
1.5118356131e+00   1.0414752392e-01
1.5433468002e+00   4.1300555273e-03
1.5748579873e+00   -5.8246180135e-02
1.6063691744e+00   -1.1321149081e-01
1.6378803615e+00   -1.8395308543e-01
1.6732767465e+00   -3.1266828504e-01
1.7009027357e+00   -4.7946712585e-01
1.7189583293e+00   -6.3754197457e-01
1.7379139228e+00   -8.6051617484e-01
1.7434139228e+00   -9.3810837282e-01
1.7489139228e+00   -1.0220032768e+00
1.7544139228e+00   -1.1123545172e+00
1.7599139228e+00   -1.2091836894e+00
1.7654139228e+00   -1.3123284946e+00
1.7709139228e+00   -1.4213788405e+00
1.7764139228e+00   -1.5356004529e+00
1.7819139228e+00   -1.6538470034e+00
1.7874139228e+00   -1.7744641879e+00
1.7929139228e+00   -1.8951928214e+00
1.7984139228e+00   -2.0130829858e+00
1.8039139228e+00   -2.1244373543e+00
1.8094139228e+00   -2.2248081899e+00
1.8149139228e+00   -2.3090774117e+00
1.8204139228e+00   -2.3716496956e+00
1.8259139228e+00   -2.4067811363e+00
1.8314139228e+00   -2.4090471615e+00
1.8369139228e+00   -2.3739220527e+00
1.8424139228e+00   -2.2984024841e+00
1.8479139228e+00   -2.1815695255e+00
1.8534139228e+00   -2.0249635910e+00
1.8589139228e+00   -1.8326605170e+00
1.8644139228e+00   -1.6109904794e+00
1.8699139228e+00   -1.3679240793e+00
1.8754139228e+00   -1.1122347355e+00
1.8809139228e+00   -8.5260162329e-01
1.8864139228e+00   -5.9682210247e-01
1.8919139228e+00   -3.5125818688e-01
1.8974139228e+00   -1.2056942031e-01
1.9029139228e+00   9.2286784472e-02
1.9084139228e+00   2.8585490159e-01
1.9139139228e+00   4.5986697123e-01
1.9194139228e+00   6.1489298559e-01
1.9249139228e+00   7.5201357689e-01
1.9304139228e+00   8.7254814688e-01
1.9359139228e+00   9.7785093620e-01
1.9414139228e+00   1.0691735357e+00
1.9469139228e+00   1.1475848028e+00
1.9524139228e+00   1.2139364325e+00
1.9579139228e+00   1.2688626452e+00
1.9634139228e+00   1.3128040247e+00
1.9775843185e+00   1.3771515939e+00
2.0043103078e+00   1.3159183577e+00
2.0271510992e+00   1.1065175235e+00
