X    Y
0.0000000000e+00   0.0000000000e+00
3.1511187103e-02   -1.1396733108e-04
7.1692769907e-02   2.7491052185e-04
1.1187435271e-01   3.4267030477e-03
1.3860034196e-01   1.1176353495e-02
1.5755593552e-01   2.4522483884e-02
1.7561152907e-01   5.0853827146e-02
1.8111152907e-01   6.3328825527e-02
1.8661152907e-01   7.8763598345e-02
1.9211152907e-01   9.7827479052e-02
1.9761152907e-01   1.2132338662e-01
2.0311152907e-01   1.5020478778e-01
2.0861152907e-01   1.8558920383e-01
2.1411152907e-01   2.2876418617e-01
2.1961152907e-01   2.8117969651e-01
2.2511152907e-01   3.4441838793e-01
2.3061152907e-01   4.2013265629e-01
2.3611152907e-01   5.0993518076e-01
2.4161152907e-01   6.1522928167e-01
2.4711152907e-01   7.3696886441e-01
2.5261152907e-01   8.7534775633e-01
2.5811152907e-01   1.0294375970e+00
2.6361152907e-01   1.1968229854e+00
2.6911152907e-01   1.3733184035e+00
2.7461152907e-01   1.5528817566e+00
2.8011152907e-01   1.7278442191e+00
2.8561152907e-01   1.8895335889e+00
2.9111152907e-01   2.0292694311e+00
2.9661152907e-01   2.1395736017e+00
3.0211152907e-01   2.2153238575e+00
3.0761152907e-01   2.2545472481e+00
3.1311152907e-01   2.2586382890e+00
3.1861152907e-01   2.2319652101e+00
3.2411152907e-01   2.1810137794e+00
3.2961152907e-01   2.1133287547e+00
3.3511152907e-01   2.0365134299e+00
3.4061152907e-01   1.9574636406e+00
3.4611152907e-01   1.8819005857e+00
3.5161152907e-01   1.8141761130e+00
3.5711152907e-01   1.7572762971e+00
3.6261152907e-01   1.7129407136e+00
3.6811152907e-01   1.6818304533e+00
3.7361152907e-01   1.6637021796e+00
3.7911152907e-01   1.6575682883e+00
3.8461152907e-01   1.6618398886e+00
3.9011152907e-01   1.6744589770e+00
4.0039672692e-01   1.7120103834e+00
4.1456712262e-01   1.7664828802e+00
4.2006712262e-01   1.7807051260e+00
4.2556712262e-01   1.7882461264e+00
4.3106712262e-01   1.7879656711e+00
4.3656712262e-01   1.7792908653e+00
4.4206712262e-01   1.7621993264e+00
4.4756712262e-01   1.7371555376e+00
4.5306712262e-01   1.7050124687e+00
4.5856712262e-01   1.6668943809e+00
4.6406712262e-01   1.6240770370e+00
4.6956712262e-01   1.5778788680e+00
4.7506712262e-01   1.5295722110e+00
4.8056712262e-01   1.4803188687e+00
4.8606712262e-01   1.4311300419e+00
4.9156712262e-01   1.3828477199e+00
4.9706712262e-01   1.3361430203e+00
5.0256712262e-01   1.2915265313e+00
5.0806712262e-01   1.2493660810e+00
5.1356712262e-01   1.2099081654e+00
5.1906712262e-01   1.1733002288e+00
5.2845232047e-01   1.1175818924e+00
5.4740791402e-01   1.0305495496e+00
