X    Y
0.0000000000e+00   0.0000000000e+00
4.8851978505e-03   -5.7082037391e-03
9.7703957010e-03   -1.1176107682e-02
1.4655593552e-02   -1.6498592460e-02
1.9540791402e-02   -2.1763013074e-02
2.4425989253e-02   -2.7050905772e-02
2.9311187103e-02   -3.2439518335e-02
3.4196384954e-02   -3.8003193469e-02
3.9081582804e-02   -4.3814632170e-02
4.3966780655e-02   -4.9946061252e-02
4.8851978505e-02   -5.6470326766e-02
5.3737176356e-02   -6.3461932830e-02
5.8622374206e-02   -7.0998043459e-02
6.3507572057e-02   -7.9159463277e-02
6.8392769907e-02   -8.8031611543e-02
7.3277967758e-02   -9.7705502571e-02
7.8163165608e-02   -1.0827874445e-01
8.3048363459e-02   -1.1985656678e-01
8.7933561309e-02   -1.3255288689e-01
9.2818759160e-02   -1.4649142281e-01
9.7703957010e-02   -1.6180685933e-01
1.0258915486e-01   -1.7864607185e-01
1.0747435271e-01   -1.9716940942e-01
1.1235955056e-01   -2.1755203550e-01
1.1724474841e-01   -2.3998531907e-01
1.2212994626e-01   -2.6467826299e-01
1.2701514411e-01   -2.9185894642e-01
1.3190034196e-01   -3.2177594655e-01
1.3678553981e-01   -3.5469968755e-01
1.4167073766e-01   -3.9092364253e-01
1.4655593552e-01   -4.3076528443e-01
1.5144113337e-01   -4.7456664170e-01
1.5632633122e-01   -5.2269426286e-01
1.6121152907e-01   -5.7553832510e-01
1.6609672692e-01   -6.3351053433e-01
1.7098192477e-01   -6.9704035035e-01
1.7586712262e-01   -7.6656892887e-01
1.8075232047e-01   -8.4253999543e-01
1.8563751832e-01   -9.2538665388e-01
1.9052271617e-01   -1.0155128848e+00
1.9540791402e-01   -1.1132682160e+00
2.0029311187e-01   -1.2189137717e+00
2.0517830972e-01   -1.3325776719e+00
2.1006350757e-01   -1.4541976407e+00
2.1494870542e-01   -1.5834488128e+00
2.1983390327e-01   -1.7196553029e+00
2.2471910112e-01   -1.8616853829e+00
2.2960429897e-01   -2.0078324513e+00
2.3448949682e-01   -2.1556877591e+00
2.3937469468e-01   -2.3020164071e+00
2.4425989253e-01   -2.4426555049e+00
2.4914509038e-01   -2.5724620697e+00
2.5403028823e-01   -2.6853466609e+00
2.5891548608e-01   -2.7744339080e+00
2.6380068393e-01   -2.8323884362e+00
2.6868588178e-01   -2.8519288986e+00
2.7357107963e-01   -2.8265198781e+00
2.7845627748e-01   -2.7511820387e+00
2.8334147533e-01   -2.6233043003e+00
2.8822667318e-01   -2.4432968096e+00
2.9311187103e-01   -2.2149141840e+00
2.9799706888e-01   -1.9451231099e+00
3.0288226673e-01   -1.6434857361e+00
3.0776746458e-01   -1.3211532697e+00
3.1265266243e-01   -9.8966783423e-01
3.1753786028e-01   -6.5981397641e-01
3.2242305813e-01   -3.4072915365e-01
3.2730825598e-01   -3.9393359521e-02
3.3219345383e-01   2.3948886378e-01
3.3707865169e-01   4.9328685772e-01
3.4196384954e-01   7.2103991075e-01
3.4684904739e-01   9.2297102603e-01
3.5173424524e-01   1.1000138476e+00
3.5661944309e-01   1.2534131726e+00
3.6150464094e-01   1.3844269260e+00
3.6638983879e-01   1.4941337070e+00
3.7127503664e-01   1.5833359545e+00
3.7616023449e-01   1.6525423562e+00
3.8104543234e-01   1.7020114358e+00
3.8593063019e-01   1.7318387440e+00
3.9081582804e-01   1.7420711289e+00
3.9570102589e-01   1.7328324260e+00
4.0058622374e-01   1.7044455882e+00
4.0547142159e-01   1.6575372084e+00
4.1035661944e-01   1.5931121558e+00
4.1524181729e-01   1.5125891049e+00
4.2012701514e-01   1.4177921729e+00
4.2501221299e-01   1.3108993152e+00
4.2989741085e-01   1.1943537416e+00
4.3478260870e-01   1.0707493855e+00
4.3966780655e-01   9.4270442460e-01
4.4455300440e-01   8.1273747191e-01
4.4943820225e-01   6.8315931501e-01
4.5432340010e-01   5.5598953388e-01
4.5920859795e-01   4.3290285178e-01
4.6409379580e-01   3.1520563853e-01
4.6897899365e-01   2.0383936334e-01
4.7386419150e-01   9.9405426800e-02
4.7874938935e-01   2.2047706567e-03
4.8363458720e-01   -8.7714229070e-02
4.8851978505e-01   -1.7050518286e-01
4.9340498290e-01   -2.4647471189e-01
4.9829018075e-01   -3.1603796653e-01
5.0317537860e-01   -3.7968026279e-01
5.0806057645e-01   -4.3792544351e-01
5.1294577430e-01   -4.9131084111e-01
5.1783097215e-01   -5.4036825600e-01
5.2271617000e-01   -5.8561012089e-01
5.2760136786e-01   -6.2751993886e-01
5.3248656571e-01   -6.6654610712e-01
5.3737176356e-01   -7.0309832560e-01
5.4225696141e-01   -7.3754590578e-01
5.4714215926e-01   -7.7021741910e-01
5.5202735711e-01   -8.0140124178e-01
5.5691255496e-01   -8.3134665730e-01
5.6179775281e-01   -8.6026526647e-01
5.6668295066e-01   -8.8833252746e-01
5.7156814851e-01   -9.1568930644e-01
5.7645334636e-01   -9.4244336571e-01
5.8133854421e-01   -9.6867075198e-01
5.8622374206e-01   -9.9441707600e-01
5.9110893991e-01   -1.0196986967e+00
5.9599413776e-01   -1.0445038412e+00
6.0087933561e-01   -1.0687937050e+00
6.0576453346e-01   -1.0925035898e+00
6.1064973131e-01   -1.1155441431e+00
6.1553492916e-01   -1.1378027702e+00
6.2042012702e-01   -1.1591452940e+00
6.2530532487e-01   -1.1794179351e+00
6.3019052272e-01   -1.1984496831e+00
6.3507572057e-01   -1.2160551193e+00
6.3996091842e-01   -1.2320377380e+00
6.4484611627e-01   -1.2461937933e+00
6.4973131412e-01   -1.2583166724e+00
6.5461651197e-01   -1.2682017644e+00
6.5950170982e-01   -1.2756517589e+00
6.6438690767e-01   -1.2804822667e+00
6.6927210552e-01   -1.2825276178e+00
6.7415730337e-01   -1.2816466500e+00
6.7904250122e-01   -1.2777282744e+00
6.8392769907e-01   -1.2706965763e+00
6.8881289692e-01   -1.2605152060e+00
6.9369809477e-01   -1.2471908168e+00
6.9858329262e-01   -1.2307753372e+00
7.0346849047e-01   -1.2113669048e+00
7.0835368832e-01   -1.1891093516e+00
7.1323888617e-01   -1.1641902031e+00
7.1812408403e-01   -1.1368372353e+00
7.2300928188e-01   -1.1073137141e+00
7.2789447973e-01   -1.0759125173e+00
7.3277967758e-01   -1.0429494038e+00
7.3766487543e-01   -1.0087557347e+00
7.4255007328e-01   -9.7367097629e-01
7.4743527113e-01   -9.3803531133e-01
7.5232046898e-01   -9.0218266139e-01
7.5720566683e-01   -8.6643438145e-01
7.6209086468e-01   -8.3109383066e-01
7.6697606253e-01   -7.9644195965e-01
7.7186126038e-01   -7.6273398812e-01
7.7674645823e-01   -7.3019718414e-01
7.8163165608e-01   -6.9902970111e-01
7.8651685393e-01   -6.6940038456e-01
7.9140205178e-01   -6.4144942837e-01
7.9628724963e-01   -6.1528974056e-01
8.0117244748e-01   -5.9100887003e-01
8.0605764533e-01   -5.6867134737e-01
8.1094284319e-01   -5.4832130141e-01
8.1582804104e-01   -5.2998522778e-01
8.2071323889e-01   -5.1367480332e-01
8.2559843674e-01   -4.9938965923e-01
8.3048363459e-01   -4.8712004495e-01
8.3536883244e-01   -4.7684933254e-01
8.4025403029e-01   -4.6855632734e-01
8.4513922814e-01   -4.6221736430e-01
8.5002442599e-01   -4.5780818063e-01
8.5490962384e-01   -4.5530556386e-01
8.5979482169e-01   -4.5468878087e-01
8.6468001954e-01   -4.5594079782e-01
8.6956521739e-01   -4.5904930301e-01
8.7445041524e-01   -4.6400754594e-01
8.7933561309e-01   -4.7081500484e-01
8.8422081094e-01   -4.7947789398e-01
8.8910600879e-01   -4.9000951883e-01
8.9399120664e-01   -5.0243048429e-01
8.9887640449e-01   -5.1676875680e-01
9.0376160234e-01   -5.3305957639e-01
9.0864680020e-01   -5.5134520918e-01
9.1353199805e-01   -5.7167452470e-01
9.1841719590e-01   -5.9410237529e-01
9.2330239375e-01   -6.1868874729e-01
9.2818759160e-01   -6.4549764491e-01
9.3307278945e-01   -6.7459565869e-01
9.3795798730e-01   -7.0605016010e-01
9.4284318515e-01   -7.3992705345e-01
9.4772838300e-01   -7.7628800536e-01
9.5261358085e-01   -8.1518706189e-01
9.5749877870e-01   -8.5666655407e-01
9.6238397655e-01   -9.0075218617e-01
9.6726917440e-01   -9.4744719915e-01
9.7215437225e-01   -9.9672550661e-01
9.7703957010e-01   -1.0485237163e+00
9.8192476795e-01   -1.1027319805e+00
9.8680996580e-01   -1.1591836703e+00
9.9169516365e-01   -1.2176439448e+00
9.9658036150e-01   -1.2777973982e+00
1.0014655594e+00   -1.3392351200e+00
1.0063507572e+00   -1.4014416945e+00
1.0112359551e+00   -1.4637829151e+00
1.0161211529e+00   -1.5254952642e+00
1.0210063508e+00   -1.5856785233e+00
1.0258915486e+00   -1.6432931792e+00
1.0307767465e+00   -1.6971645424e+00
1.0356619443e+00   -1.7459956277e+00
1.0405471422e+00   -1.7883907672e+00
1.0454323400e+00   -1.8228915537e+00
1.0503175379e+00   -1.8480259449e+00
1.0552027357e+00   -1.8623701613e+00
1.0600879336e+00   -1.8646213929e+00
1.0649731314e+00   -1.8536774180e+00
1.0698583293e+00   -1.8287172885e+00
1.0747435271e+00   -1.7892755979e+00
1.0796287250e+00   -1.7353019663e+00
1.0845139228e+00   -1.6671976274e+00
1.0893991207e+00   -1.5858226269e+00
1.0942843185e+00   -1.4924701000e+00
1.0991695164e+00   -1.3888080028e+00
1.1040547142e+00   -1.2767928815e+00
1.1089399121e+00   -1.1585639451e+00
1.1138251099e+00   -1.0363281297e+00
1.1187103078e+00   -9.1224754001e-01
1.1235955056e+00   -7.8833955491e-01
1.1284807035e+00   -6.6639734659e-01
1.1333659013e+00   -5.4793519525e-01
1.1382510992e+00   -4.3415950957e-01
1.1431362970e+00   -3.2596348918e-01
1.1480214949e+00   -2.2394128205e-01
1.1529066927e+00   -1.2841641922e-01
1.1577918906e+00   -3.9479158281e-02
1.1626770884e+00   4.2972098632e-02
1.1675622863e+00   1.1918920581e-01
1.1724474841e+00   1.8953529580e-01
1.1773326820e+00   2.5445017505e-01
1.1822178798e+00   3.1442095721e-01
1.1871030777e+00   3.6995811920e-01
1.1919882755e+00   4.2157669991e-01
1.1968734734e+00   4.6978208182e-01
1.2017586712e+00   5.1505966134e-01
1.2066438691e+00   5.5786768342e-01
1.2115290669e+00   5.9863255156e-01
1.2164142648e+00   6.3774599771e-01
1.2212994626e+00   6.7556358592e-01
1.2261846605e+00   7.1240411550e-01
1.2310698583e+00   7.4854957520e-01
1.2359550562e+00   7.8424537646e-01
1.2408402540e+00   8.1970065863e-01
1.2457254519e+00   8.5508851395e-01
1.2506106497e+00   8.9054602552e-01
1.2554958476e+00   9.2617404995e-01
1.2603810454e+00   9.6203671005e-01
1.2652662433e+00   9.9816059293e-01
