X    Y
0.0000000000e+00   0.0000000000e+00
4.8851978505e-03   2.4808095119e-03
9.7703957010e-03   2.5870197795e-03
1.4655593552e-02   2.7457582970e-03
1.9540791402e-02   2.9979209572e-03
2.4425989253e-02   3.4400734761e-03
2.9311187103e-02   4.3684747378e-03
3.4196384954e-02   1.0021180745e-02
3.9081582804e-02   1.0552040659e-01
4.3966780655e-02   4.8012152126e-03
4.8851978505e-02   1.5190142304e-03
5.3737176356e-02   4.0138082986e-04
5.8622374206e-02   1.4848941371e-04
6.3507572057e-02   4.6729632302e-04
6.8392769907e-02   6.6990139626e-04
7.3277967758e-02   7.4480722489e-04
7.8163165608e-02   8.2516696967e-04
8.3048363459e-02   8.8277984815e-04
8.7933561309e-02   9.2481743410e-04
9.2818759160e-02   9.5584632547e-04
9.7703957010e-02   4.0735501621e-04
1.0258915486e-01   4.1398444240e-04
1.0747435271e-01   4.1888163082e-04
1.1235955056e-01   4.2244716145e-04
1.1724474841e-01   4.5877608846e-05
1.2212994626e-01   4.9707117484e-04
1.2701514411e-01   4.9884079027e-04
1.3190034196e-01   1.0506815960e-03
1.3678553981e-01   1.0509558643e-03
1.4167073766e-01   1.1419055202e-03
1.4655593552e-01   7.5319105068e-04
1.5144113337e-01   2.1753236565e-05
1.5632633122e-01   1.1544645774e-04
1.6121152907e-01   8.4828393854e-04
1.6609672692e-01   1.1292425167e-03
1.7098192477e-01   9.4888058641e-04
1.7586712262e-01   3.5372958295e-05
1.8075232047e-01   3.4934012591e-05
1.8563751832e-01   1.9750843691e-05
1.9052271617e-01   4.1377969424e-05
1.9540791402e-01   5.0898098358e-08
2.0029311187e-01   4.0574662103e-05
2.0517830972e-01   4.9511756929e-06
2.1006350757e-01   3.3206463248e-05
2.1494870542e-01   1.8332056075e-05
2.1983390327e-01   2.0980881508e-05
2.2471910112e-01   2.1998653610e-05
2.2960429897e-01   7.3537336056e-06
2.3448949682e-01   1.6443684793e-05
2.3937469468e-01   9.1358904406e-08
2.4425989253e-01   3.8812388748e-06
2.4914509038e-01   8.0106065485e-07
2.5403028823e-01   1.0742657698e-05
2.5891548608e-01   1.3128227377e-05
2.6380068393e-01   1.9243743121e-05
2.6868588178e-01   3.5545630351e-05
2.7357107963e-01   1.1464063148e-05
2.7845627748e-01   5.9095546870e-05
2.8334147533e-01   5.7944738972e-07
2.8822667318e-01   7.2218876834e-05
2.9311187103e-01   2.8258471332e-05
2.9799706888e-01   6.5987765064e-05
3.0288226673e-01   5.6953103150e-05
3.0776746458e-01   4.0204879994e-05
3.1265266243e-01   6.5201694845e-05
3.1753786028e-01   6.0959154230e-06
3.2242305813e-01   4.8984353633e-05
3.2730825598e-01   3.3599046587e-07
3.3219345383e-01   1.1397376569e-05
3.3707865169e-01   6.9298267062e-06
3.4196384954e-01   4.8863551205e-05
3.4684904739e-01   1.3098709386e-04
3.5173424524e-01   3.9441512049e-04
3.5661944309e-01   4.7892984446e-04
3.6150464094e-01   8.2413740138e-07
3.6638983879e-01   1.5785819415e-04
3.7127503664e-01   1.7531467872e-05
3.7616023449e-01   9.5256387132e-05
3.8104543234e-01   5.1041965297e-05
3.8593063019e-01   5.7229456817e-05
3.9081582804e-01   6.4540605171e-05
3.9570102589e-01   1.3557865704e-03
4.0058622374e-01   2.4773683139e-04
4.0547142159e-01   2.1795270233e-05
4.1035661944e-01   9.3744058218e-04
4.1524181729e-01   6.0695296036e-05
4.2012701514e-01   5.6469456756e-07
4.2501221299e-01   5.5838131862e-05
4.2989741085e-01   1.3875782105e-05
4.3478260870e-01   4.2434286448e-05
4.3966780655e-01   2.8784657287e-05
4.4455300440e-01   2.3807949100e-05
4.4943820225e-01   3.0113357177e-05
4.5432340010e-01   5.7269698129e-06
4.5920859795e-01   2.0155362760e-05
4.6409379580e-01   1.3836890021e-07
4.6897899365e-01   2.8976851158e-06
4.7386419150e-01   2.4693281193e-06
4.7874938935e-01   1.6361975250e-05
4.8363458720e-01   2.5275375934e-05
4.8851978505e-01   3.0093686452e-05
4.9340498290e-01   8.5858777474e-05
4.9829018075e-01   1.4517424214e-05
5.0317537860e-01   4.4216980242e-04
5.0806057645e-01   2.1653074134e-05
5.1294577430e-01   2.2387934966e-04
5.1783097215e-01   6.4014263307e-05
5.2271617000e-01   7.0354541448e-05
5.2760136786e-01   8.9418695392e-04
5.3248656571e-01   1.2577149914e-03
5.3737176356e-01   1.0155410280e-03
5.4225696141e-01   4.8367947269e-04
5.4714215926e-01   2.3415267547e-05
5.5202735711e-01   1.2643292340e-04
5.5691255496e-01   4.0647098322e-04
5.6179775281e-01   4.1405739018e-04
5.6668295066e-01   2.6805998276e-04
5.7156814851e-01   4.7867837842e-05
5.7645334636e-01   4.0230120515e-05
5.8133854421e-01   3.5167197358e-06
5.8622374206e-01   1.0638466733e-04
5.9110893991e-01   9.1411539393e-05
5.9599413776e-01   1.2839268104e-04
6.0087933561e-01   1.1482171015e-04
6.0576453346e-01   1.0139511896e-04
6.1064973131e-01   9.6585126352e-05
6.1553492916e-01   5.0555804680e-05
6.2042012702e-01   5.1498110421e-05
6.2530532487e-01   4.2514521100e-06
6.3019052272e-01   3.2960934951e-05
6.3507572057e-01   3.5368971045e-05
6.3996091842e-01   3.8345842446e-05
6.4484611627e-01   1.2125278168e-04
6.4973131412e-01   1.3232354166e-04
6.5461651197e-01   1.4415917819e-04
6.5950170982e-01   1.8599490055e-04
6.6438690767e-01   2.0063371606e-04
6.6927210552e-01   2.1508101024e-04
6.7415730337e-01   2.2898128560e-04
6.7904250122e-01   2.4197841676e-04
6.8392769907e-01   1.8902873256e-04
6.8881289692e-01   1.9627849140e-04
6.9369809477e-01   2.0206298841e-04
6.9858329262e-01   2.0616176271e-04
7.0346849047e-01   2.0487392316e-05
7.0835368832e-01   2.0469463544e-05
7.1323888617e-01   2.0234969688e-05
7.1812408403e-01   1.3629302131e-07
7.2300928188e-01   1.7741313913e-04
7.2789447973e-01   1.7024048163e-04
7.3277967758e-01   2.3764482092e-04
7.3766487543e-01   2.2008256992e-04
7.4255007328e-01   1.7951907150e-04
