X    Y
0.0000000000e+00   nan
4.8851978505e-03   3.9436933516e-03
9.7703957010e-03   1.2622489573e-03
1.4655593552e-02   3.8713559367e-04
1.9540791402e-02   3.6757676794e-05
2.4425989253e-02   2.8059607637e-04
2.9311187103e-02   4.3486370426e-04
3.4196384954e-02   7.9921270427e-04
3.9081582804e-02   8.9703394827e-04
4.3966780655e-02   9.6717327789e-04
4.8851978505e-02   1.0184306097e-03
5.3737176356e-02   1.0563977348e-03
5.8622374206e-02   1.0847850994e-03
6.3507572057e-02   1.1061380265e-03
6.8392769907e-02   1.1222475633e-03
7.3277967758e-02   1.0216312883e-03
7.8163165608e-02   1.0292879753e-03
8.3048363459e-02   1.0349608107e-03
8.7933561309e-02   1.0390727824e-03
9.2818759160e-02   1.0419329801e-03
9.7703957010e-02   4.3245123114e-04
1.0258915486e-01   4.3277253875e-04
1.0747435271e-01   4.3278288939e-04
1.1235955056e-01   4.3250182000e-04
1.1724474841e-01   4.6754938285e-05
1.2212994626e-01   5.0454861099e-04
1.2701514411e-01   5.0340513905e-04
1.3190034196e-01   1.0539571349e-03
1.3678553981e-01   1.0495976907e-03
1.4167073766e-01   1.1346733283e-03
1.4655593552e-01   7.4459395817e-04
1.5144113337e-01   2.1436938615e-05
1.5632633122e-01   1.1338007380e-04
1.6121152907e-01   8.2753873436e-04
1.6609672692e-01   1.0927615881e-03
1.7098192477e-01   9.0906544065e-04
1.7586712262e-01   3.3574691902e-05
1.8075232047e-01   3.2766195057e-05
1.8563751832e-01   1.8199502675e-05
1.9052271617e-01   3.7406115608e-05
1.9540791402e-01   4.2904170072e-08
2.0029311187e-01   3.4466844479e-05
2.0517830972e-01   4.0243140300e-06
2.1006350757e-01   2.5130845304e-05
2.1494870542e-01   1.2674658104e-05
2.1983390327e-01   1.2247994814e-05
2.2471910112e-01   9.8456960814e-06
2.2960429897e-01   1.4141957803e-06
2.3448949682e-01   3.3520906150e-06
2.3937469468e-01   1.2644125569e-07
2.4425989253e-01   2.2903793544e-05
2.4914509038e-01   8.3272650086e-06
2.5403028823e-01   4.0559869383e-05
2.5891548608e-01   3.6696128829e-05
2.6380068393e-01   4.3998488430e-05
2.6868588178e-01   7.2500462395e-05
2.7357107963e-01   2.0914438106e-05
2.7845627748e-01   9.9695636724e-05
2.8334147533e-01   8.8051302885e-07
2.8822667318e-01   1.0114015000e-04
2.9311187103e-01   3.5695968600e-05
2.9799706888e-01   6.9536718279e-05
3.0288226673e-01   4.7574934338e-05
3.0776746458e-01   1.7720211129e-05
3.1265266243e-01   7.8724960924e-06
3.1753786028e-01   9.6409480010e-06
3.2242305813e-01   2.7604986398e-04
3.2730825598e-01   4.3117647365e-05
3.3219345383e-01   5.2202333892e-04
3.3707865169e-01   1.2809823393e-04
3.4196384954e-01   1.4185811085e-04
3.4684904739e-01   1.0971322604e-04
3.5173424524e-01   4.8384001320e-05
3.5661944309e-01   8.9219499612e-05
3.6150464094e-01   2.1907140739e-07
3.6638983879e-01   7.1654506356e-05
3.7127503664e-01   9.3021154606e-06
3.7616023449e-01   5.6774651102e-05
3.8104543234e-01   3.3474590968e-05
3.8593063019e-01   4.0554030324e-05
3.9081582804e-01   4.8808133419e-05
3.9570102589e-01   1.0702546795e-03
4.0058622374e-01   1.9990233440e-04
4.0547142159e-01   1.7998263697e-05
4.1035661944e-01   7.8309532074e-04
4.1524181729e-01   4.8498658889e-05
4.2012701514e-01   4.3939429604e-07
4.2501221299e-01   3.8091391964e-05
4.2989741085e-01   8.2297396812e-06
4.3478260870e-01   1.8481792700e-05
4.3966780655e-01   7.1514505232e-06
4.4455300440e-01   1.9199592748e-06
4.4943820225e-01   1.6128082030e-05
4.5432340010e-01   8.3077790578e-06
4.5920859795e-01   6.4899405233e-05
4.6409379580e-01   6.0662525890e-07
4.6897899365e-01   1.7298274265e-04
4.7386419150e-01   1.4020979080e-04
4.7874938935e-01   1.4009604759e-02
4.8363458720e-01   3.0380085846e-04
4.8851978505e-01   1.0778465641e-04
4.9340498290e-01   1.2571879870e-04
4.9829018075e-01   8.5206288160e-06
5.0317537860e-01   7.4225787428e-05
5.0806057645e-01   1.3227586979e-06
5.1294577430e-01   4.3140051045e-05
5.1783097215e-01   1.7340187135e-05
5.2271617000e-01   2.2020408227e-05
5.2760136786e-01   3.0891276954e-04
5.3248656571e-01   4.4173362830e-04
5.3737176356e-01   3.5331176825e-04
5.4225696141e-01   1.6375432482e-04
5.4714215926e-01   7.8175053737e-06
5.5202735711e-01   4.1823265648e-05
5.5691255496e-01   1.2750618080e-04
5.6179775281e-01   1.2321829125e-04
5.6668295066e-01   7.6464010175e-05
5.7156814851e-01   1.3384068460e-05
5.7645334636e-01   1.1492066916e-05
5.8133854421e-01   1.0217913363e-06
5.8622374206e-01   3.4423397092e-05
5.9110893991e-01   3.4005055714e-05
5.9599413776e-01   5.8857101081e-05
6.0087933561e-01   6.4649889712e-05
6.0576453346e-01   7.2124672732e-05
6.1064973131e-01   8.2611945736e-05
6.1553492916e-01   5.1502440093e-05
6.2042012702e-01   5.8986879186e-05
6.2530532487e-01   5.2540836467e-06
6.3019052272e-01   4.2601126996e-05
6.3507572057e-01   4.7924971338e-05
6.3996091842e-01   5.3420567503e-05
6.4484611627e-01   1.7103199485e-04
6.4973131412e-01   1.8673510993e-04
6.5461651197e-01   2.0194473819e-04
6.5950170982e-01   2.5620534289e-04
6.6438690767e-01   2.7134726712e-04
6.6927210552e-01   2.8460471257e-04
6.7415730337e-01   2.9556423269e-04
6.7904250122e-01   3.0382525516e-04
6.8392769907e-01   2.2876188740e-04
6.8881289692e-01   2.2958107921e-04
6.9369809477e-01   2.2762401054e-04
6.9858329262e-01   2.2272371246e-04
7.0346849047e-01   2.0941088330e-05
7.0835368832e-01   1.9806982268e-05
7.1323888617e-01   1.8368947603e-05
7.1812408403e-01   1.4902619629e-07
7.2300928188e-01   1.4367525383e-04
7.2789447973e-01   1.2405922516e-04
7.3277967758e-01   1.4671509306e-04
7.3766487543e-01   1.1036195961e-04
7.4255007328e-01   5.9689070389e-05
7.4743527113e-01   7.4366032314e-06
7.5232046898e-01   5.4674078914e-07
7.5720566683e-01   1.8293624192e-05
7.6209086468e-01   8.8115586968e-05
7.6697606253e-01   1.4784298167e-04
7.7186126038e-01   1.3505928765e-04
7.7674645823e-01   1.4962713470e-06
7.8163165608e-01   8.6177949343e-06
7.8651685393e-01   2.2145965394e-04
7.9140205178e-01   3.4650284893e-04
7.9628724963e-01   3.7902593603e-04
8.0117244748e-01   3.5710113731e-04
