X    Y
0.0000000000e+00   nan
4.8851978505e-03   3.9436933516e-03
9.7703957010e-03   1.2622489573e-03
1.4655593552e-02   3.8713559367e-04
1.9540791402e-02   3.6757676794e-05
2.4425989253e-02   2.8059607637e-04
2.9311187103e-02   4.3486370426e-04
3.4196384954e-02   5.3840117145e-04
3.9081582804e-02   6.1066536163e-04
4.3966780655e-02   6.6248352161e-04
4.8851978505e-02   7.0035608706e-04
5.3737176356e-02   7.2841389366e-04
5.8622374206e-02   7.4939820520e-04
6.3507572057e-02   7.6518976420e-04
6.8392769907e-02   7.7711228641e-04
7.3277967758e-02   7.8611552538e-04
7.8163165608e-02   7.9289042340e-04
8.3048363459e-02   7.9794412573e-04
8.7933561309e-02   8.0165027836e-04
9.2818759160e-02   8.0428353526e-04
9.7703957010e-02   8.0604363402e-04
1.0258915486e-01   8.0707236177e-04
1.0747435271e-01   8.0746552879e-04
1.1235955056e-01   8.0728133167e-04
1.1724474841e-01   8.0654602616e-04
1.2212994626e-01   8.0525753225e-04
1.2701514411e-01   8.0338740202e-04
1.3190034196e-01   8.0088145839e-04
1.3678553981e-01   7.9765934768e-04
1.4167073766e-01   7.9361323695e-04
1.4655593552e-01   7.8857013754e-04
1.5144113337e-01   1.1246910985e-03
1.5632633122e-01   1.1133781224e-03
1.6121152907e-01   1.0995976379e-03
1.6609672692e-01   1.0828531360e-03
1.7098192477e-01   1.0625469053e-03
1.7586712262e-01   1.0379634171e-03
1.8075232047e-01   1.0082509601e-03
1.8563751832e-01   8.6785689149e-04
1.9052271617e-01   8.2788269175e-04
1.9540791402e-01   7.7988777534e-04
2.0029311187e-01   7.2242502584e-04
2.0517830972e-01   2.6568387194e-04
2.1006350757e-01   2.3103862681e-04
2.1494870542e-01   1.9013316434e-04
2.1983390327e-01   1.6893170294e-05
2.2471910112e-01   1.1362222285e-04
2.2960429897e-01   5.7197653089e-05
2.3448949682e-01   3.0884138057e-05
2.3937469468e-01   9.8999766071e-05
2.4425989253e-01   2.4839426387e-04
2.4914509038e-01   9.4390320180e-05
2.5403028823e-01   2.6356396035e-04
2.5891548608e-01   3.7642332374e-04
2.6380068393e-01   2.6266995052e-05
2.6868588178e-01   7.8217904087e-04
2.7357107963e-01   1.5263418136e-03
2.7845627748e-01   1.0025719966e-03
2.8334147533e-01   1.8091815571e-03
2.8822667318e-01   1.0773318338e-03
2.9311187103e-01   1.1846781295e-03
2.9799706888e-01   2.6896067856e-04
3.0288226673e-01   1.9001542115e-04
3.0776746458e-01   6.2004025988e-05
3.1265266243e-01   5.9835849424e-05
3.1753786028e-01   1.9155199355e-04
3.2242305813e-01   1.0925935418e-03
3.2730825598e-01   1.4163111699e-02
3.3219345383e-01   7.2245762738e-05
3.3707865169e-01   2.5392398081e-07
3.4196384954e-01   1.2115584714e-03
3.4684904739e-01   6.9387329355e-05
3.5173424524e-01   8.6572141314e-04
3.5661944309e-01   1.2272756440e-05
3.6150464094e-01   6.0737056782e-04
3.6638983879e-01   1.1827212401e-03
3.7127503664e-01   1.0256513056e-03
3.7616023449e-01   8.3771341907e-04
3.8104543234e-01   1.0325599567e-03
3.8593063019e-01   1.0127910512e-03
3.9081582804e-01   1.3887066840e-03
3.9570102589e-01   1.3739836122e-03
4.0058622374e-01   1.3523113736e-03
4.0547142159e-01   1.3163730220e-03
4.1035661944e-01   1.2599690886e-03
4.1524181729e-01   1.1779986563e-03
4.2012701514e-01   1.0663841990e-03
4.2501221299e-01   9.2187722873e-04
4.2989741085e-01   6.1018170001e-04
4.3478260870e-01   4.1608951857e-04
4.3966780655e-01   1.8531404551e-04
4.4455300440e-01   4.9883189787e-05
4.4943820225e-01   1.7642708587e-04
4.5432340010e-01   3.3415540408e-04
4.5920859795e-01   5.8600867367e-05
4.6409379580e-01   1.1321686463e-03
4.6897899365e-01   1.9441224325e-03
4.7386419150e-01   4.2011450202e-03
4.7874938935e-01   3.8087289481e-01
4.8363458720e-01   9.3901547386e-03
4.8851978505e-01   4.6301938828e-03
4.9340498290e-01   3.0120523657e-03
4.9829018075e-01   2.2639188809e-03
5.0317537860e-01   1.7159871917e-03
5.0806057645e-01   1.3384113118e-03
5.1294577430e-01   1.0615343700e-03
5.1783097215e-01   8.5020612517e-04
5.2271617000e-01   4.2521457420e-04
5.2760136786e-01   3.4268037377e-04
5.3248656571e-01   2.7619373489e-04
5.3737176356e-01   2.2227981391e-04
5.4225696141e-01   1.7844758626e-04
5.4714215926e-01   1.4285295642e-04
5.5202735711e-01   1.1409510191e-04
5.5691255496e-01   9.1087500035e-05
5.6179775281e-01   7.2972795133e-05
5.6668295066e-01   2.1203781552e-06
5.7156814851e-01   1.1322220323e-05
5.7645334636e-01   9.4863102897e-06
5.8133854421e-01   8.2905517549e-06
5.8622374206e-01   7.6617487933e-06
5.9110893991e-01   7.5374103019e-06
5.9599413776e-01   7.8632920887e-06
6.0087933561e-01   8.5913640386e-06
6.0576453346e-01   9.6780978522e-06
6.1064973131e-01   1.1083002732e-05
6.1553492916e-01   1.2767358679e-05
6.2042012702e-01   1.4693112580e-05
6.2530532487e-01   1.6821912466e-05
6.3019052272e-01   1.9114261564e-05
6.3507572057e-01   2.1528777867e-05
6.3996091842e-01   2.4021550925e-05
6.4484611627e-01   2.6549710798e-05
6.4973131412e-01   1.6867110124e-04
6.5461651197e-01   1.8248559949e-04
6.5950170982e-01   1.9555658042e-04
6.6438690767e-01   2.0756622495e-04
6.6927210552e-01   2.1819176182e-04
6.7415730337e-01   2.2711123888e-04
6.7904250122e-01   2.3401044009e-04
6.8392769907e-01   2.3859074565e-04
6.8881289692e-01   2.4057765211e-04
6.9369809477e-01   2.3972959479e-04
6.9858329262e-01   2.3584665534e-04
7.0346849047e-01   2.2877870020e-04
7.0835368832e-01   2.1843248888e-04
7.1323888617e-01   2.0477731833e-04
7.1812408403e-01   1.8784883269e-04
7.2300928188e-01   1.6775072206e-04
7.2789447973e-01   1.4465415285e-04
7.3277967758e-01   1.1879490301e-04
7.3766487543e-01   9.0468306193e-05
7.4255007328e-01   6.0022229512e-05
7.4743527113e-01   2.7848413951e-05
7.5232046898e-01   5.6274107138e-06
7.5720566683e-01   3.9956176764e-05
7.6209086468e-01   7.4676463984e-05
7.6697606253e-01   1.0932556674e-04
7.7186126038e-01   1.4345079447e-04
7.7674645823e-01   1.7661350929e-04
7.8163165608e-01   2.7482974720e-04
7.8651685393e-01   3.1323821361e-04
7.9140205178e-01   3.4895159656e-04
7.9628724963e-01   3.8163194166e-04
8.0117244748e-01   4.1101394710e-04
