X    Y
0.0000000000e+00   nan
4.8851978505e-03   1.3446511475e-01
9.7703957010e-03   2.0042018475e-02
1.4655593552e-02   2.8197978674e-03
1.9540791402e-02   2.0905459163e-03
2.4425989253e-02   4.0637404999e-03
2.9311187103e-02   5.2117247172e-03
3.4196384954e-02   6.2620682197e-03
3.9081582804e-02   7.6579100755e-03
4.3966780655e-02   1.0012539025e-02
4.8851978505e-02   1.5002446229e-02
5.3737176356e-02   3.1787875633e-02
5.8622374206e-02   2.1662432195e-01
6.3507572057e-02   2.4783109077e-02
6.8392769907e-02   1.3394002861e-02
7.3277967758e-02   9.3699800870e-03
7.8163165608e-02   7.3524559507e-03
8.3048363459e-02   6.1632936800e-03
8.7933561309e-02   5.3937648914e-03
9.2818759160e-02   4.8647897752e-03
9.7703957010e-02   4.4856197177e-03
1.0258915486e-01   4.2054126360e-03
1.0747435271e-01   3.9935003995e-03
1.1235955056e-01   3.8303001664e-03
1.1724474841e-01   3.7027256428e-03
1.2212994626e-01   3.6016979099e-03
1.2701514411e-01   3.5207145223e-03
1.3190034196e-01   3.4549862091e-03
1.3678553981e-01   3.4008939280e-03
1.4167073766e-01   3.3556345560e-03
1.4655593552e-01   3.3169742885e-03
1.5144113337e-01   4.7934015513e-03
1.5632633122e-01   4.7482104614e-03
1.6121152907e-01   4.7057180623e-03
1.6609672692e-01   4.6641420816e-03
1.7098192477e-01   4.6217965253e-03
1.7586712262e-01   4.5770201825e-03
1.8075232047e-01   4.5281137297e-03
1.8563751832e-01   4.0698333529e-03
1.9052271617e-01   4.0107717436e-03
1.9540791402e-01   3.9422387915e-03
2.0029311187e-01   3.8620224106e-03
2.0517830972e-01   1.5752635684e-03
2.1006350757e-01   1.5269659563e-03
2.1494870542e-01   1.4701227874e-03
2.1983390327e-01   1.5061914329e-04
2.2471910112e-01   1.2642461296e-03
2.2960429897e-01   1.2178557128e-03
2.3448949682e-01   1.7750652011e-03
2.3937469468e-01   1.0876877436e-03
2.4425989253e-01   1.1988353439e-03
2.4914509038e-01   2.6693186495e-04
2.5403028823e-01   4.3208037961e-04
2.5891548608e-01   2.8852265961e-04
2.6380068393e-01   1.2008641776e-05
2.6868588178e-01   7.0102074320e-05
2.7357107963e-01   1.6827003436e-04
2.7845627748e-01   2.9253250546e-04
2.8334147533e-01   7.4789010905e-04
2.8822667318e-01   5.8107253852e-04
2.9311187103e-01   7.3738153773e-04
2.9799706888e-01   1.9941066825e-04
3.0288226673e-01   2.1178605510e-04
3.0776746458e-01   9.2233065123e-05
3.1265266243e-01   3.6846408850e-04
3.1753786028e-01   9.2713360621e-05
3.2242305813e-01   1.4931660792e-04
3.2730825598e-01   1.0760221057e-04
3.3219345383e-01   1.6077281159e-06
3.3707865169e-01   1.5038049167e-08
3.4196384954e-01   6.4703230376e-05
3.4684904739e-01   9.8627708415e-06
3.5173424524e-01   1.9455656531e-04
3.5661944309e-01   4.0121605720e-06
3.6150464094e-01   2.4189013253e-04
3.6638983879e-01   5.3168691821e-04
3.7127503664e-01   4.8192868321e-04
3.7616023449e-01   3.8451492401e-04
3.8104543234e-01   4.2867624550e-04
3.8593063019e-01   3.4714623071e-04
3.9081582804e-01   3.3319478256e-04
3.9570102589e-01   1.9567421090e-04
4.0058622374e-01   5.8391858003e-05
4.0547142159e-01   7.1907964542e-05
4.1035661944e-01   1.8937132179e-04
4.1524181729e-01   2.8928618403e-04
4.2012701514e-01   3.6826632676e-04
4.2501221299e-01   4.2434997487e-04
4.2989741085e-01   4.0043517769e-04
4.3478260870e-01   4.0609372468e-04
4.3966780655e-01   3.9406473826e-04
4.4455300440e-01   1.3821020785e-04
4.4943820225e-01   1.2259130922e-04
4.5432340010e-01   1.0380384260e-04
4.5920859795e-01   1.0174013887e-05
4.6409379580e-01   1.0314600111e-04
4.6897899365e-01   7.2481375687e-05
4.7386419150e-01   4.2449906708e-05
4.7874938935e-01   1.9622299553e-05
4.8363458720e-01   3.1036974312e-05
4.8851978505e-01   7.6026518563e-05
4.9340498290e-01   1.1492409072e-04
4.9829018075e-01   1.5970862268e-04
5.0317537860e-01   1.8694157127e-04
5.0806057645e-01   2.0842538665e-04
5.1294577430e-01   2.2473381211e-04
5.1783097215e-01   2.3650838576e-04
5.2271617000e-01   1.5509695031e-04
5.2760136786e-01   1.5782229813e-04
5.3248656571e-01   1.5895288369e-04
5.3737176356e-01   1.5883067303e-04
5.4225696141e-01   1.5775498087e-04
5.4714215926e-01   1.5597984526e-04
5.5202735711e-01   1.5371375686e-04
5.5691255496e-01   1.5112103935e-04
5.6179775281e-01   1.4832431040e-04
5.6668295066e-01   5.6841339611e-06
5.7156814851e-01   3.1547953387e-05
5.7645334636e-01   3.0868452522e-05
5.8133854421e-01   3.0178275110e-05
5.8622374206e-01   2.9472738489e-05
5.9110893991e-01   2.8742407756e-05
5.9599413776e-01   2.7973954247e-05
6.0087933561e-01   2.7151021861e-05
6.0576453346e-01   2.6255110299e-05
6.1064973131e-01   2.5266482654e-05
6.1553492916e-01   2.4165100736e-05
