X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   -1.1992815652e-04
1.1000000000e-03   -1.3114952186e-03
5.9851978505e-03   -6.9568588666e-03
1.0870395701e-02   -1.2384038746e-02
1.5755593552e-02   -1.7686061798e-02
2.0640791402e-02   -2.2948830707e-02
2.5525989253e-02   -2.8252788276e-02
3.0411187103e-02   -3.3674412152e-02
3.5296384954e-02   -3.9287568949e-02
4.0181582804e-02   -4.5164754008e-02
4.5066780655e-02   -5.1378240433e-02
4.9951978505e-02   -5.8001158583e-02
5.4837176356e-02   -6.5108525103e-02
5.9722374206e-02   -7.2778238669e-02
6.4607572057e-02   -8.1092057983e-02
6.9492769907e-02   -9.0136576144e-02
7.4377967758e-02   -1.0000420419e-01
7.9263165608e-02   -1.1079417546e-01
8.4148363459e-02   -1.2261358121e-01
8.9033561309e-02   -1.3557844671e-01
9.3918759160e-02   -1.4981485564e-01
9.8803957010e-02   -1.6546012890e-01
1.0368915486e-01   -1.8266406170e-01
1.0857435271e-01   -2.0159021999e-01
1.1345955056e-01   -2.2241729329e-01
1.1834474841e-01   -2.4534049579e-01
1.2322994626e-01   -2.7057300016e-01
1.2811514411e-01   -2.9834737913e-01
1.3300034196e-01   -3.2891701610e-01
1.3788553981e-01   -3.6255742880e-01
1.4277073766e-01   -3.9956742572e-01
1.4765593552e-01   -4.4026996350e-01
1.4775593552e-01   -4.4114411384e-01
1.4875593552e-01   -4.4997936136e-01
1.5364113337e-01   -4.9568219807e-01
1.5852633122e-01   -5.4588417956e-01
1.6341152907e-01   -6.0098552608e-01
1.6829672692e-01   -6.6140652656e-01
1.7318192477e-01   -7.2758282074e-01
1.7806712262e-01   -7.9995806841e-01
1.8295232047e-01   -8.7897313004e-01
1.8305232047e-01   -8.8066294230e-01
1.8405232047e-01   -8.9772466921e-01
1.8893751832e-01   -9.8544721183e-01
1.9382271617e-01   -1.0806932857e+00
1.9870791402e-01   -1.1837570306e+00
2.0359311187e-01   -1.2948153526e+00
2.0369311187e-01   -1.2971726208e+00
2.0469311187e-01   -1.3209299509e+00
2.0957830972e-01   -1.4417693130e+00
2.1446350757e-01   -1.5702862637e+00
2.1934870542e-01   -1.7058442093e+00
2.1944870542e-01   -1.7086858983e+00
2.2044870542e-01   -1.7372386406e+00
2.2522673965e-01   -1.8767155246e+00
2.3011193750e-01   -2.0231654326e+00
2.3021193750e-01   -2.0261878689e+00
2.3121193750e-01   -2.0564408782e+00
2.3554559505e-01   -2.1875791528e+00
2.3998823462e-01   -2.3200883716e+00
2.4008823462e-01   -2.3230248714e+00
2.4108823462e-01   -2.3522379022e+00
2.4518099356e-01   -2.4681312979e+00
2.4933728758e-01   -2.5772659055e+00
2.4943728758e-01   -2.5797548541e+00
2.5043728758e-01   -2.6042374718e+00
2.5445347368e-01   -2.6941086216e+00
2.5852603081e-01   -2.7683757727e+00
2.6280493130e-01   -2.8234615314e+00
2.6290493130e-01   -2.8244285151e+00
2.6390493130e-01   -2.8332317522e+00
2.6803384454e-01   -2.8517897028e+00
2.7222124584e-01   -2.8383578829e+00
2.7659061989e-01   -2.7860735348e+00
2.7669061989e-01   -2.7843971280e+00
2.7769061989e-01   -2.7664280659e+00
2.8170621028e-01   -2.6720022596e+00
2.8599491951e-01   -2.5318379811e+00
2.8609491951e-01   -2.5280944286e+00
2.8709491951e-01   -2.4894961069e+00
2.9053133797e-01   -2.3412256788e+00
2.9425612938e-01   -2.1551177451e+00
2.9435612938e-01   -2.1497871618e+00
2.9535612938e-01   -2.0955867149e+00
2.9827787538e-01   -1.9285457884e+00
3.0143695387e-01   -1.7354022480e+00
3.0153695387e-01   -1.7291072506e+00
3.0253695387e-01   -1.6656223950e+00
3.0512713849e-01   -1.4972333141e+00
3.0790093579e-01   -1.3121661839e+00
3.0800093579e-01   -1.3054287343e+00
3.0900093579e-01   -1.2378734404e+00
3.1139075592e-01   -1.0755482850e+00
3.1392408358e-01   -9.0325873633e-01
3.1402408358e-01   -8.9647275406e-01
3.1502408358e-01   -8.2873127565e-01
3.1730571224e-01   -6.7530922258e-01
3.1970915080e-01   -5.1619479027e-01
3.1980915080e-01   -5.0964364380e-01
3.2080915080e-01   -4.4447597890e-01
3.2305148762e-01   -3.0084905047e-01
3.2540389189e-01   -1.5440020648e-01
3.2550389189e-01   -1.4827924564e-01
3.2650389189e-01   -8.7563296036e-02
3.2876270292e-01   4.6140483198e-02
3.3112818223e-01   1.8075227330e-01
3.3122818223e-01   1.8631657605e-01
3.3222818223e-01   2.4138396352e-01
3.3455352288e-01   3.6532539142e-01
3.3698807262e-01   4.8881752558e-01
3.3708807262e-01   4.9375156532e-01
3.3808807262e-01   5.4248918994e-01
3.4053024052e-01   6.5690832088e-01
3.4308766715e-01   7.6975478855e-01
3.4318766715e-01   7.7402347551e-01
3.4418766715e-01   8.1611961013e-01
3.4680281446e-01   9.2117880042e-01
3.4954081270e-01   1.0235249558e+00
3.4964081270e-01   1.0271175264e+00
3.5064081270e-01   1.0624872827e+00
3.5349753406e-01   1.1580418454e+00
3.5648458879e-01   1.2494849152e+00
3.5658458879e-01   1.2523997583e+00
3.5758458879e-01   1.2810341501e+00
3.6077324102e-01   1.3661918618e+00
3.6409798229e-01   1.4452610915e+00
3.6818486606e-01   1.5292604993e+00
3.6828486606e-01   1.5311366762e+00
3.6928486606e-01   1.5494325115e+00
3.7322479258e-01   1.6133359927e+00
3.7730041473e-01   1.6658487702e+00
3.8218561258e-01   1.7107287697e+00
3.8707081043e-01   1.7359777321e+00
3.8717081043e-01   1.7362898204e+00
3.8817081043e-01   1.7389594636e+00
3.9305600828e-01   1.7402383601e+00
3.9794120613e-01   1.7221626621e+00
4.0282640398e-01   1.6851831334e+00
4.0771160183e-01   1.6300927598e+00
4.1259679968e-01   1.5580843591e+00
4.1748199753e-01   1.4707662638e+00
4.2236719538e-01   1.3701337014e+00
4.2725239323e-01   1.2584991328e+00
4.2735239323e-01   1.2561165945e+00
4.2835239323e-01   1.2321006554e+00
4.3323759108e-01   1.1104442162e+00
4.3812278893e-01   9.8352424424e-01
4.4300798678e-01   8.5390350747e-01
4.4310798678e-01   8.5123916040e-01
4.4410798678e-01   8.2459323589e-01
4.4899318463e-01   6.9489118491e-01
4.5387838248e-01   5.6742723382e-01
4.5876358033e-01   4.4390892904e-01
4.5886358033e-01   4.4143178666e-01
4.5986358033e-01   4.1678502650e-01
4.6474877818e-01   2.9988978769e-01
4.6963397603e-01   1.8942511234e-01
4.7451917389e-01   8.5949571166e-02
4.7461917389e-01   8.3906741294e-02
4.7561917389e-01   6.3646292952e-02
4.8050437174e-01   -3.0932407046e-02
4.8538956959e-01   -1.1826401212e-01
4.9027476744e-01   -1.9856255087e-01
4.9515996529e-01   -2.7217845476e-01
4.9525996529e-01   -2.7361857954e-01
4.9625996529e-01   -2.8787686564e-01
5.0114516314e-01   -3.5391777085e-01
5.0603036099e-01   -4.1434093118e-01
5.1091555884e-01   -4.6968071032e-01
5.1580075669e-01   -5.2047316453e-01
5.2068595454e-01   -5.6724016075e-01
5.2078595454e-01   -5.6815898209e-01
5.2178595454e-01   -5.7726683426e-01
5.2667115239e-01   -6.1977541907e-01
5.3155635024e-01   -6.5931787549e-01
5.3644154809e-01   -6.9631145196e-01
5.4132674594e-01   -7.3113321178e-01
5.4621194379e-01   -7.6411946404e-01
5.5109714164e-01   -7.9556616678e-01
5.5598233949e-01   -8.2572994512e-01
5.6086753734e-01   -8.5482945838e-01
5.6575273519e-01   -8.8304692630e-01
5.6585273519e-01   -8.8361642023e-01
5.6685273519e-01   -8.8929473367e-01
5.7173793305e-01   -9.1662893612e-01
5.7662313090e-01   -9.4336358530e-01
5.8150832875e-01   -9.6957364917e-01
5.8639352660e-01   -9.9530370230e-01
5.9127872445e-01   -1.0205691073e+00
5.9616392230e-01   -1.0453571332e+00
6.0104912015e-01   -1.0696280559e+00
6.0593431800e-01   -1.0933162989e+00
6.1081951585e-01   -1.1163316766e+00
6.1570471370e-01   -1.1385608148e+00
6.2058991155e-01   -1.1598688200e+00
6.2547510940e-01   -1.1801012717e+00
6.3036030725e-01   -1.1990866090e+00
6.3524550510e-01   -1.2166389695e+00
