X    Y
0.0000000000e+00   0.0000000000e+00
4.8851978505e-03   2.4808095119e-03
9.7703957010e-03   2.5870197795e-03
1.4655593552e-02   2.7457582970e-03
1.9540791402e-02   2.9979209572e-03
2.4425989253e-02   3.4400734761e-03
2.9311187103e-02   4.3684747378e-03
3.4196384954e-02   7.3504817344e-03
3.9081582804e-02   7.7997707804e-02
4.3966780655e-02   3.5985103506e-03
4.8851978505e-02   1.1740109411e-03
5.3737176356e-02   3.4843160546e-04
5.8622374206e-02   5.7754501914e-05
6.3507572057e-02   2.9326096122e-04
6.8392769907e-02   4.4293402787e-04
7.3277967758e-02   5.4365494011e-04
7.8163165608e-02   6.1404919638e-04
8.3048363459e-02   6.6453863463e-04
8.7933561309e-02   7.0140377585e-04
9.2818759160e-02   7.2864498739e-04
9.7703957010e-02   7.4891942599e-04
1.0258915486e-01   7.6404885631e-04
1.0747435271e-01   7.7531178450e-04
1.1235955056e-01   7.8361994113e-04
1.1724474841e-01   7.8962928400e-04
1.2212994626e-01   7.9381213955e-04
1.2701514411e-01   7.9650529657e-04
1.3190034196e-01   7.9794264507e-04
1.3678553981e-01   7.9827753360e-04
1.4167073766e-01   7.9759807382e-04
1.4655593552e-01   7.9593749227e-04
1.5144113337e-01   7.9328098139e-04
1.5632633122e-01   7.8955679418e-04
1.6121152907e-01   7.8464072249e-04
1.6609672692e-01   7.7836993549e-04
1.7098192477e-01   7.7053222999e-04
1.7586712262e-01   1.0927648721e-03
1.8075232047e-01   1.0751296432e-03
1.8563751832e-01   1.0536818740e-03
1.9052271617e-01   1.0277008248e-03
1.9540791402e-01   9.9633293773e-04
2.0029311187e-01   9.5857866646e-04
2.0517830972e-01   8.1322693490e-04
2.1006350757e-01   7.6315501957e-04
2.1494870542e-01   7.0359136529e-04
2.1983390327e-01   6.3308176883e-04
2.2471910112e-01   2.0786327527e-04
2.2960429897e-01   2.6974389767e-04
2.3448949682e-01   1.9986286248e-04
2.3937469468e-01   9.8255851536e-06
2.4425989253e-01   1.5420735943e-05
2.4914509038e-01   4.7148712629e-05
2.5403028823e-01   1.0919899487e-05
2.5891548608e-01   2.0950866446e-04
2.6380068393e-01   6.5684498753e-04
2.6868588178e-01   7.0575222060e-04
2.7357107963e-01   1.1740781402e-03
2.7845627748e-01   5.9048677636e-04
2.8334147533e-01   6.7042424051e-05
2.8822667318e-01   6.9613671387e-04
2.9311187103e-01   7.4767241568e-04
2.9799706888e-01   4.7660508323e-05
3.0288226673e-01   1.0892708804e-03
3.0776746458e-01   1.0563382299e-03
3.1265266243e-01   1.6312923874e-03
3.1753786028e-01   1.4270758699e-03
3.2242305813e-01   1.0680246686e-03
3.2730825598e-01   7.0782954550e-04
3.3219345383e-01   5.3689543543e-05
3.3707865169e-01   1.0708754844e-04
3.4196384954e-01   1.2701146449e-03
3.4684904739e-01   7.1626296417e-04
3.5173424524e-01   8.6632425178e-03
3.5661944309e-01   1.0000464421e-02
3.6150464094e-01   2.0534961735e-03
3.6638983879e-01   1.3757750718e-03
3.7127503664e-01   1.1776829090e-04
3.7616023449e-01   2.2878344013e-04
3.8104543234e-01   1.1343951545e-03
3.8593063019e-01   1.0278104575e-03
3.9081582804e-01   9.5237089329e-04
3.9570102589e-01   6.7106658864e-05
4.0058622374e-01   4.5396273451e-04
4.0547142159e-01   4.3717387572e-04
4.1035661944e-01   1.2933067052e-03
4.1524181729e-01   1.4763758786e-03
4.2012701514e-01   1.4143924095e-03
4.2501221299e-01   1.3445503304e-03
4.2989741085e-01   1.2640178809e-03
4.3478260870e-01   1.1707902619e-03
4.3966780655e-01   1.0635336350e-03
4.4455300440e-01   6.8738493204e-04
4.4943820225e-01   5.8186977747e-04
4.5432340010e-01   4.6446653466e-04
4.5920859795e-01   3.3420517856e-04
4.6409379580e-01   2.2053293203e-05
4.6897899365e-01   4.2214596278e-07
4.7386419150e-01   2.4437301986e-05
4.7874938935e-01   5.4119731783e-05
4.8363458720e-01   9.1720417036e-05
4.8851978505e-01   4.4472245028e-06
4.9340498290e-01   1.3906959606e-03
4.9829018075e-01   2.4951005409e-03
5.0317537860e-01   6.7123677798e-03
5.0806057645e-01   1.4346476804e-02
5.1294577430e-01   3.6470622209e-03
5.1783097215e-01   2.0968088150e-03
5.2271617000e-01   1.4550818145e-03
5.2760136786e-01   1.6605802627e-03
5.3248656571e-01   1.3021195455e-03
5.3737176356e-01   1.0470633861e-03
5.4225696141e-01   8.5510307279e-04
5.4714215926e-01   7.0515986936e-04
5.5202735711e-01   5.8507839784e-04
5.5691255496e-01   4.8730972325e-04
5.6179775281e-01   4.0688239207e-04
5.6668295066e-01   3.4036177736e-04
5.7156814851e-01   2.8527821214e-04
5.7645334636e-01   2.3979453178e-04
5.8133854421e-01   2.0250344659e-04
5.8622374206e-01   1.7229888731e-04
5.9110893991e-01   1.4829128087e-04
5.9599413776e-01   1.1920189094e-04
6.0087933561e-01   1.0699966651e-04
6.0576453346e-01   9.8789793454e-05
6.1064973131e-01   9.4148476957e-05
6.1553492916e-01   9.2697966108e-05
6.2042012702e-01   9.4094182393e-05
6.2530532487e-01   9.8016784462e-05
6.3019052272e-01   1.0416107527e-04
6.3507572057e-01   1.1223137675e-04
6.3996091842e-01   1.2193564730e-04
6.4484611627e-01   1.3298122090e-04
6.4973131412e-01   1.4507161730e-04
6.5461651197e-01   1.5790441804e-04
6.5950170982e-01   1.7117022806e-04
6.6438690767e-01   1.8455275089e-04
6.6927210552e-01   1.9772999722e-04
6.7415730337e-01   2.1037662567e-04
6.7904250122e-01   2.2216737919e-04
6.8392769907e-01   2.3278153134e-04
6.8881289692e-01   2.4190819175e-04
6.9369809477e-01   2.4925223588e-04
6.9858329262e-01   2.5454051934e-04
7.0346849047e-01   2.5752791525e-04
7.0835368832e-01   2.5800258707e-04
7.1323888617e-01   2.5578981464e-04
7.1812408403e-01   2.5075368555e-04
7.2300928188e-01   2.4279613339e-04
7.2789447973e-01   2.3185324756e-04
7.3277967758e-01   2.1788957848e-04
7.3766487543e-01   2.0089232623e-04
7.4255007328e-01   1.8086869552e-04
