X    Y
0.0000000000e+00   9.8000000000e-01
1.0000000000e-04   9.8000436491e-01
1.1000000000e-03   9.8004802666e-01
1.1100000000e-02   9.8048590640e-01
3.0650342131e-02   9.8134863739e-01
5.0200684262e-02   9.8222024983e-01
6.9751026393e-02   9.8310082480e-01
8.9301368524e-02   9.8399044379e-01
1.0885171065e-01   9.8488918873e-01
1.2840205279e-01   9.8579714196e-01
1.4795239492e-01   9.8671438623e-01
1.6750273705e-01   9.8764100470e-01
1.8705307918e-01   9.8857708090e-01
2.0660342131e-01   9.8952269876e-01
2.2615376344e-01   9.9047794257e-01
2.4570410557e-01   9.9144289697e-01
2.6525444770e-01   9.9241764698e-01
2.8480478983e-01   9.9340227793e-01
3.0435513196e-01   9.9439687547e-01
3.2390547410e-01   9.9540152558e-01
3.4345581623e-01   9.9641631452e-01
3.6300615836e-01   9.9744132884e-01
3.8255650049e-01   9.9847665535e-01
4.0210684262e-01   9.9952238115e-01
4.2165718475e-01   1.0005785935e+00
4.4120752688e-01   1.0016453800e+00
4.6075786901e-01   1.0027228283e+00
4.8030821114e-01   1.0038110264e+00
4.9985855327e-01   1.0049100623e+00
5.1940889541e-01   1.0060200244e+00
5.3895923754e-01   1.0071410008e+00
5.5850957967e-01   1.0082730802e+00
5.7805992180e-01   1.0094163511e+00
5.9761026393e-01   1.0105709020e+00
6.1716060606e-01   1.0117368217e+00
6.3671094819e-01   1.0129141989e+00
6.5626129032e-01   1.0141031221e+00
6.7581163245e-01   1.0153036802e+00
6.9536197458e-01   1.0165159615e+00
7.1491231672e-01   1.0177400547e+00
7.3446265885e-01   1.0189760481e+00
7.5401300098e-01   1.0202240299e+00
7.7356334311e-01   1.0214840883e+00
7.9311368524e-01   1.0227563111e+00
8.1266402737e-01   1.0240407859e+00
8.3221436950e-01   1.0253376001e+00
8.5176471163e-01   1.0266468407e+00
8.7131505376e-01   1.0279685946e+00
8.9086539589e-01   1.0293029480e+00
9.1041573803e-01   1.0306499869e+00
9.2996608016e-01   1.0320097968e+00
9.4951642229e-01   1.0333824627e+00
9.6906676442e-01   1.0347680692e+00
9.8861710655e-01   1.0361667002e+00
1.0081674487e+00   1.0375784389e+00
1.0277177908e+00   1.0390033682e+00
1.0472681329e+00   1.0404415699e+00
1.0668184751e+00   1.0418931253e+00
1.0863688172e+00   1.0433581150e+00
1.1059191593e+00   1.0448366184e+00
1.1254695015e+00   1.0463287143e+00
1.1450198436e+00   1.0478344806e+00
1.1645701857e+00   1.0493539941e+00
1.1841205279e+00   1.0508873305e+00
1.2036708700e+00   1.0524345646e+00
1.2232212121e+00   1.0539957698e+00
1.2427715543e+00   1.0555710186e+00
1.2623218964e+00   1.0571603820e+00
1.2818722385e+00   1.0587639298e+00
1.3014225806e+00   1.0603817303e+00
1.3209729228e+00   1.0620138505e+00
1.3405232649e+00   1.0636603557e+00
1.3600736070e+00   1.0653213100e+00
1.3796239492e+00   1.0669967753e+00
1.3991742913e+00   1.0686868124e+00
1.4187246334e+00   1.0703914800e+00
1.4382749756e+00   1.0721108348e+00
1.4578253177e+00   1.0738449320e+00
1.4773756598e+00   1.0755938246e+00
1.4969260020e+00   1.0773575635e+00
1.5164763441e+00   1.0791361975e+00
1.5360266862e+00   1.0809297732e+00
1.5555770283e+00   1.0827383351e+00
1.5751273705e+00   1.0845619250e+00
1.5946777126e+00   1.0864005826e+00
1.6142280547e+00   1.0882543447e+00
1.6337783969e+00   1.0901232459e+00
1.6533287390e+00   1.0920073180e+00
1.6728790811e+00   1.0939065897e+00
1.6924294233e+00   1.0958210873e+00
1.7119797654e+00   1.0977508340e+00
1.7315301075e+00   1.0996958499e+00
1.7510804497e+00   1.1016561520e+00
1.7706307918e+00   1.1036317542e+00
1.7901811339e+00   1.1056226671e+00
1.8097314761e+00   1.1076288978e+00
1.8292818182e+00   1.1096504501e+00
1.8488321603e+00   1.1116873205e+00
1.8683825024e+00   1.1137395086e+00
1.8879328446e+00   1.1158070073e+00
1.9074831867e+00   1.1178898054e+00
1.9270335288e+00   1.1199878879e+00
1.9271335288e+00   1.1199986588e+00
1.9281335288e+00   1.1201063903e+00
1.9381335288e+00   1.1211859011e+00
1.9576838710e+00   1.1233079059e+00
1.9772342131e+00   1.1254451380e+00
1.9967845552e+00   1.1275975673e+00
2.0163348974e+00   1.1297651599e+00
2.0358852395e+00   1.1319478770e+00
2.0554355816e+00   1.1341456755e+00
2.0749859238e+00   1.1363585078e+00
2.0945362659e+00   1.1385863212e+00
2.1140866080e+00   1.1408290585e+00
2.1336369501e+00   1.1430866575e+00
2.1531872923e+00   1.1453590510e+00
2.1727376344e+00   1.1476461667e+00
2.1922879765e+00   1.1499479272e+00
2.2118383187e+00   1.1522642499e+00
2.2313886608e+00   1.1545950466e+00
2.2509390029e+00   1.1569402240e+00
2.2704893451e+00   1.1592996831e+00
2.2900396872e+00   1.1616733195e+00
2.3095900293e+00   1.1640610229e+00
2.3291403715e+00   1.1664626775e+00
2.3486907136e+00   1.1688781616e+00
2.3682410557e+00   1.1713073477e+00
2.3877913978e+00   1.1737501022e+00
2.4073417400e+00   1.1762062857e+00
2.4268920821e+00   1.1786757526e+00
2.4464424242e+00   1.1811583513e+00
2.4659927664e+00   1.1836539239e+00
2.4855431085e+00   1.1861623063e+00
2.5050934506e+00   1.1886833284e+00
2.5246437928e+00   1.1912168133e+00
2.5441941349e+00   1.1937625781e+00
2.5637444770e+00   1.1963204336e+00
2.5832948192e+00   1.1988901838e+00
2.6028451613e+00   1.2014716266e+00
2.6223955034e+00   1.2040645532e+00
