X    Y
0.0000000000e+00   2.0000000000e-01
1.0000000000e-04   1.9995734190e-01
1.1000000000e-03   1.9953170473e-01
1.1100000000e-02   1.9537088889e-01
2.6740273705e-02   1.8922299621e-01
4.2380547410e-02   1.8353927570e-01
5.8020821114e-02   1.7835551421e-01
7.3661094819e-02   1.7371703927e-01
8.9301368524e-02   1.6968089383e-01
1.0494164223e-01   1.6631824611e-01
1.2058191593e-01   1.6371696587e-01
1.3622218964e-01   1.6198418717e-01
1.5186246334e-01   1.6124850856e-01
1.6750273705e-01   1.6166123204e-01
1.8314301075e-01   1.6339569348e-01
1.9878328446e-01   1.6664328809e-01
2.1442355816e-01   1.7160428526e-01
2.1452355816e-01   1.7164194491e-01
2.1552355816e-01   1.7202284408e-01
2.2552355816e-01   1.7627149446e-01
2.4116383187e-01   1.8459159139e-01
2.5680410557e-01   1.9504884337e-01
2.7244437928e-01   2.0765145909e-01
2.8808465298e-01   2.2225087732e-01
3.0372492669e-01   2.3849155388e-01
3.1936520039e-01   2.5577855150e-01
3.3500547410e-01   2.7328269244e-01
3.5064574780e-01   2.9000011869e-01
3.6628602151e-01   3.0486960354e-01
3.8192629521e-01   3.1692885734e-01
3.9756656891e-01   3.2547117371e-01
4.1320684262e-01   3.3016121025e-01
4.2884711632e-01   3.3108752360e-01
4.4448739003e-01   3.2874705916e-01
4.6012766373e-01   3.2393666855e-01
4.7576793744e-01   3.1748022081e-01
4.9140821114e-01   3.0977073230e-01
5.0704848485e-01   2.9985338171e-01
5.0714848485e-01   2.9978805811e-01
5.0814848485e-01   2.9913382736e-01
5.1814848485e-01   2.9251179332e-01
5.3378875855e-01   2.8201253299e-01
5.4942903226e-01   2.7155498819e-01
5.6506930596e-01   2.6130133375e-01
5.8070957967e-01   2.5134697808e-01
5.9634985337e-01   2.4174280789e-01
6.1199012708e-01   2.3251223739e-01
6.2763040078e-01   2.2366320035e-01
6.4327067449e-01   2.1519604251e-01
6.5891094819e-01   2.0710845198e-01
6.7455122190e-01   1.9939841864e-01
6.9019149560e-01   1.9206595100e-01
7.0583176931e-01   1.8511402903e-01
7.2147204301e-01   1.7854910952e-01
7.3711231672e-01   1.7238145825e-01
7.5275259042e-01   1.6662564503e-01
7.6839286413e-01   1.6130164735e-01
7.8403313783e-01   1.5643708462e-01
7.9967341153e-01   1.5207106324e-01
8.1531368524e-01   1.4825989181e-01
8.3095395894e-01   1.4508450318e-01
8.4659423265e-01   1.4265881925e-01
8.6223450635e-01   1.4113758455e-01
8.7787478006e-01   1.4072148026e-01
8.9351505376e-01   1.4165674068e-01
9.0915532747e-01   1.4422617225e-01
9.2479560117e-01   1.4871263599e-01
9.2489560117e-01   1.4874775724e-01
9.2589560117e-01   1.4910370917e-01
9.3589560117e-01   1.5315331967e-01
9.5153587488e-01   1.6141219676e-01
9.6717614858e-01   1.7225847252e-01
9.8281642229e-01   1.8588799683e-01
9.9845669599e-01   2.0234282811e-01
1.0140969697e+00   2.2142066259e-01
1.0297372434e+00   2.4258639157e-01
1.0453775171e+00   2.6491768478e-01
1.0610177908e+00   2.8712508513e-01
1.0766580645e+00   3.0767748829e-01
1.0922983382e+00   3.2502765807e-01
1.1079386119e+00   3.3788264097e-01
1.1235788856e+00   3.4544715721e-01
1.1391353375e+00   3.4763858509e-01
1.1543884651e+00   3.4549237634e-01
1.1696621172e+00   3.4125821658e-01
1.1851272462e+00   3.3841637210e-01
1.2006702419e+00   3.4022777046e-01
1.2007702419e+00   3.4015884826e-01
1.2017702419e+00   3.3946597469e-01
1.2117702419e+00   3.3221673436e-01
1.2274105156e+00   3.2006423805e-01
1.2430507894e+00   3.0746884112e-01
1.2586910631e+00   2.9487850046e-01
1.2743313368e+00   2.8257254497e-01
1.2899716105e+00   2.7070355827e-01
1.3056118842e+00   2.5933864350e-01
1.3212521579e+00   2.4849287442e-01
1.3368924316e+00   2.3815327982e-01
1.3525327053e+00   2.2829454679e-01
1.3681729790e+00   2.1888844926e-01
1.3838132527e+00   2.0990863492e-01
1.3994535264e+00   2.0133160920e-01
1.4150938001e+00   1.9313419498e-01
1.4307340738e+00   1.8528780413e-01
1.4463743475e+00   1.7775052035e-01
1.4620146212e+00   1.7045889252e-01
1.4776548949e+00   1.6332197164e-01
1.4932951686e+00   1.5622011666e-01
1.5089354423e+00   1.4901035618e-01
1.5245757160e+00   1.4153881580e-01
1.5402159897e+00   1.3365925456e-01
1.5558562634e+00   1.2525544879e-01
1.5714965372e+00   1.1626426196e-01
1.5871368109e+00   1.0669585395e-01
1.6027770846e+00   9.6647603055e-02
1.6184173583e+00   8.6308870059e-02
1.6340576320e+00   7.5954629097e-02
1.6496979057e+00   6.5927134996e-02
1.6653381794e+00   5.6606108430e-02
1.6809784531e+00   4.8369322670e-02
1.6966187268e+00   4.9557061855e-02
1.7122590005e+00   5.2065556130e-02
1.7123590005e+00   5.2086642371e-02
1.7133590005e+00   5.2301384039e-02
1.7233590005e+00   5.4863284759e-02
1.7389992742e+00   6.0644209580e-02
1.7546395479e+00   6.9183455022e-02
1.7702798216e+00   8.1307580104e-02
1.7859200953e+00   9.7986632815e-02
1.7860200953e+00   9.8110155728e-02
1.7870200953e+00   9.9358014467e-02
1.7970200953e+00   1.1315231414e-01
1.8126603690e+00   1.3993136177e-01
1.8283006427e+00   1.7353941801e-01
1.8439409164e+00   2.1374535435e-01
1.8440409164e+00   2.1402113810e-01
1.8450409164e+00   2.1679047225e-01
1.8550409164e+00   2.4548856473e-01
1.8702781789e+00   2.9120229656e-01
1.8852021281e+00   3.3476059406e-01
1.9008424018e+00   3.7411270881e-01
1.9009424018e+00   3.7433283815e-01
1.9019424018e+00   3.7650853726e-01
1.9119424018e+00   3.9551605269e-01
1.9234579854e+00   4.1058456994e-01
1.9235579854e+00   4.1068180479e-01
1.9245579854e+00   4.1162208044e-01
1.9339442979e+00   4.1763548855e-01
1.9441271444e+00   4.1869322619e-01
1.9555864148e+00   4.1399465400e-01
1.9556864148e+00   4.1393008592e-01
1.9566864148e+00   4.1326433536e-01
1.9666864148e+00   4.0481542373e-01
1.9768038463e+00   3.9370121221e-01
1.9899331457e+00   3.7705512438e-01
1.9900331457e+00   3.7692300025e-01
1.9910331457e+00   3.7559920919e-01
2.0010331457e+00   3.6222975668e-01
2.0135619614e+00   3.4569088923e-01
2.0292022351e+00   3.2630660068e-01
2.0448425088e+00   3.0888147836e-01
2.0604827825e+00   2.9352999986e-01
2.0605827825e+00   2.9343826916e-01
2.0615827825e+00   2.9252528341e-01
2.0715827825e+00   2.8381430530e-01
2.0872230562e+00   2.7159347124e-01
2.1028633299e+00   2.6084961981e-01
2.1185036036e+00   2.5134170325e-01
2.1341438773e+00   2.4287517185e-01
2.1497841510e+00   2.3530499613e-01
2.1654244247e+00   2.2853081359e-01
2.1810646984e+00   2.2248963445e-01
2.1967049721e+00   2.1714872790e-01
2.2123452458e+00   2.1249972777e-01
2.2279855195e+00   2.0855417743e-01
2.2436257933e+00   2.0534034840e-01
2.2592660670e+00   2.0290100904e-01
2.2749063407e+00   2.0129176878e-01
2.2905466144e+00   2.0057961186e-01
2.3061868881e+00   2.0084122765e-01
2.3218271618e+00   2.0205264898e-01
2.3219271618e+00   2.0206379359e-01
2.3229271618e+00   2.0217766371e-01
2.3329271618e+00   2.0356170733e-01
2.3485674355e+00   2.0664323976e-01
2.3642077092e+00   2.1087206489e-01
2.3798479829e+00   2.1625181724e-01
2.3954882566e+00   2.2274192888e-01
2.4111285303e+00   2.3024429118e-01
2.4267688040e+00   2.3859195613e-01
2.4424090777e+00   2.4754289798e-01
2.4580493514e+00   2.5678217122e-01
2.4736896251e+00   2.6593520237e-01
2.4893298988e+00   2.7459314441e-01
2.5049701725e+00   2.8234833546e-01
2.5206104462e+00   2.8883471744e-01
2.5362507199e+00   2.9376589211e-01
2.5518909936e+00   2.9696353787e-01
2.5675312673e+00   2.9837136258e-01
2.5831715411e+00   2.9805316946e-01
2.5988118148e+00   2.9617557429e-01
2.6144520885e+00   2.9297540767e-01
2.6300923622e+00   2.8871171571e-01
2.6457326359e+00   2.8360874627e-01
2.6613729096e+00   2.7781254282e-01
2.6770131833e+00   2.7139966550e-01
2.6926534570e+00   2.6446506666e-01
2.7082937307e+00   2.5725089390e-01
2.7239340044e+00   2.5017578053e-01
2.7395742781e+00   2.4358398308e-01
2.7552145518e+00   2.3720867760e-01
2.7708548255e+00   2.2979111291e-01
2.7864950992e+00   2.1975183443e-01
2.8021353729e+00   2.0760229409e-01
2.8177756466e+00   1.9923091090e-01
2.8334159203e+00   2.0656869811e-01
2.8490561940e+00   2.4064274705e-01
2.8646964677e+00   2.9540718661e-01
2.8803367414e+00   2.9244899761e-01
2.8959770151e+00   2.8928609935e-01
2.9116172889e+00   2.8582329564e-01
2.9272575626e+00   2.8202548237e-01
2.9428978363e+00   2.7790200246e-01
2.9585381100e+00   2.7349276723e-01
2.9741783837e+00   2.6885666617e-01
2.9898186574e+00   2.6406252297e-01
3.0054589311e+00   2.5918257090e-01
3.0210992048e+00   2.5428817526e-01
3.0367394785e+00   2.4944740768e-01
3.0523797522e+00   2.4472401159e-01
3.0680200259e+00   2.4017733285e-01
3.0836602996e+00   2.3586285051e-01
3.0993005733e+00   2.3183302254e-01
3.1149408470e+00   2.2813823464e-01
3.1305811207e+00   2.2482769890e-01
3.1462213944e+00   2.2195018758e-01
3.1618616681e+00   2.1955450743e-01
3.1775019418e+00   2.1768962426e-01
3.1931422155e+00   2.1640434165e-01
3.2087824892e+00   2.1574642585e-01
3.2244227629e+00   2.1576106079e-01
3.2400630367e+00   2.1648851795e-01
3.2557033104e+00   2.1796095585e-01
3.2713435841e+00   2.2019831834e-01
3.2869838578e+00   2.2320341780e-01
3.3026241315e+00   2.2695645726e-01
3.3182644052e+00   2.3140946523e-01
3.3339046789e+00   2.3648137633e-01
3.3495449526e+00   2.4205472492e-01
3.3651852263e+00   2.4797505123e-01
3.3808255000e+00   2.5405405172e-01
3.3964657737e+00   2.6007714916e-01
3.4121060474e+00   2.6581549021e-01
3.4277463211e+00   2.7104148202e-01
3.4433865948e+00   2.7554606039e-01
3.4590268685e+00   2.7915522662e-01
3.4746671422e+00   2.8174326485e-01
3.4903074159e+00   2.8324055924e-01
3.5059476896e+00   2.8363501570e-01
3.5215879633e+00   2.8296732906e-01
3.5372282370e+00   2.8132151255e-01
3.5528685107e+00   2.7881274584e-01
3.5685087845e+00   2.7557470231e-01
3.5841490582e+00   2.7174812818e-01
3.5997893319e+00   2.6747179282e-01
3.6154296056e+00   2.6287624294e-01
3.6310698793e+00   2.5808024225e-01
3.6467101530e+00   2.5318943708e-01
3.6623504267e+00   2.4829665036e-01
3.6779907004e+00   2.4348321863e-01
3.6936309741e+00   2.3882088410e-01
3.7092712478e+00   2.3437388084e-01
3.7249115215e+00   2.3020097406e-01
3.7405517952e+00   2.2635730522e-01
3.7561920689e+00   2.2289595773e-01
3.7718323426e+00   2.1986919024e-01
3.7874726163e+00   2.1732929278e-01
3.8031128900e+00   2.1532901095e-01
3.8187531637e+00   2.1392146291e-01
3.8343934374e+00   2.1315944763e-01
3.8500337111e+00   2.1309401956e-01
3.8656739848e+00   2.1377219387e-01
3.8813142585e+00   2.1523365653e-01
3.8969545323e+00   2.1750641243e-01
3.9125948060e+00   2.2060140118e-01
3.9282350797e+00   2.2450630559e-01
3.9438753534e+00   2.2917901724e-01
3.9595156271e+00   2.3454154138e-01
3.9751559008e+00   2.4047543178e-01
3.9907961745e+00   2.4682006505e-01
4.0064364482e+00   2.5337506514e-01
4.0220767219e+00   2.5990785033e-01
4.0377169956e+00   2.6616653576e-01
4.0533572693e+00   2.7189735508e-01
4.0689975430e+00   2.7686459843e-01
4.0846378167e+00   2.8087016117e-01
4.1002780904e+00   2.8376952107e-01
4.1159183641e+00   2.8548148606e-01
4.1315586378e+00   2.8599035375e-01
4.1471989115e+00   2.8534065332e-01
4.1628391852e+00   2.8362614416e-01
4.1784794589e+00   2.8097557156e-01
4.1941197326e+00   2.7753782669e-01
4.2097600064e+00   2.7346867140e-01
4.2254002801e+00   2.6892036501e-01
4.2410405538e+00   2.6403467314e-01
4.2566808275e+00   2.5893906349e-01
4.2723211012e+00   2.5374549062e-01
4.2879613749e+00   2.4855102719e-01
4.3036016486e+00   2.4343962988e-01
4.3192419223e+00   2.3848447394e-01
4.3348821960e+00   2.3375044355e-01
4.3505224697e+00   2.2929652075e-01
4.3661627434e+00   2.2517792629e-01
4.3818030171e+00   2.2144793869e-01
4.3974432908e+00   2.1815935371e-01
4.4130835645e+00   2.1536555395e-01
4.4287238382e+00   2.1312114492e-01
4.4443641119e+00   2.1148208619e-01
4.4600043856e+00   2.1050521212e-01
4.4756446593e+00   2.1024700130e-01
4.4912849330e+00   2.1076142840e-01
4.5069252067e+00   2.1209672567e-01
4.5225654804e+00   2.1429092213e-01
4.5382057542e+00   2.1736611234e-01
4.5538460279e+00   2.2132159736e-01
4.5694863016e+00   2.2612630313e-01
4.5851265753e+00   2.3171124419e-01
4.6007668490e+00   2.3796320673e-01
4.6164071227e+00   2.4472116437e-01
4.6320473964e+00   2.5177707859e-01
4.6476876701e+00   2.5888249254e-01
4.6633279438e+00   2.6576158397e-01
4.6789682175e+00   2.7213011875e-01
4.6946084912e+00   2.7771827502e-01
4.7102487649e+00   2.8229402094e-01
4.7258890386e+00   2.8568312554e-01
4.7415293123e+00   2.8778229936e-01
4.7571695860e+00   2.8856335598e-01
4.7728098597e+00   2.8806830365e-01
4.7884501334e+00   2.8639710220e-01
4.8040904071e+00   2.8369111572e-01
4.8197306808e+00   2.8011554315e-01
4.8353709545e+00   2.7584357917e-01
4.8510112282e+00   2.7104403504e-01
4.8666515020e+00   2.6587305566e-01
4.8822917757e+00   2.6046970210e-01
4.8979320494e+00   2.5495465227e-01
4.9135723231e+00   2.4943109447e-01
4.9292125968e+00   2.4398693207e-01
4.9448528705e+00   2.3869761495e-01
4.9604931442e+00   2.3362910634e-01
4.9761334179e+00   2.2884069427e-01
4.9917736916e+00   2.2438749469e-01
5.0074139653e+00   2.2032258275e-01
5.0230542390e+00   2.1669873373e-01
5.0386945127e+00   2.1356976400e-01
5.0543347864e+00   2.1099144720e-01
5.0699750601e+00   2.0902194809e-01
5.0856153338e+00   2.0772167355e-01
5.1012556075e+00   2.0715239313e-01
5.1168958812e+00   2.0737543816e-01
5.1325361549e+00   2.0844876115e-01
5.1481764286e+00   2.1042264184e-01
5.1638167023e+00   2.1333389440e-01
5.1794569760e+00   2.1719857494e-01
5.1950972498e+00   2.2200346325e-01
