X    Y
0.0000000000e+00   0.0000000000e+00
1.5640273705e-02   1.0107345775e-03
3.1280547410e-02   1.0065816667e-03
4.6920821114e-02   1.0101885503e-03
6.2561094819e-02   1.0137937813e-03
7.8201368524e-02   1.0112734089e-03
9.3841642229e-02   9.9750117154e-04
1.0948191593e-01   9.6784391345e-04
1.2512218964e-01   9.1778804211e-04
1.4076246334e-01   8.4269183562e-04
1.5640273705e-01   7.3766864127e-04
1.7204301075e-01   5.9762192834e-04
1.8768328446e-01   4.1747544207e-04
2.0332355816e-01   1.9268804598e-04
2.1896383187e-01   2.5696074581e-05
2.3460410557e-01   3.8790371394e-04
2.5024437928e-01   8.5828072587e-04
2.6588465298e-01   1.3240420885e-03
2.8152492669e-01   1.7323613510e-03
2.9716520039e-01   1.9689258670e-03
3.1280547410e-01   1.0178815839e-03
3.2844574780e-01   2.8571448467e-03
3.4408602151e-01   3.0271600525e-03
3.5972629521e-01   2.8315349184e-03
3.7536656891e-01   2.2462771566e-03
3.9100684262e-01   1.3644426882e-03
4.0664711632e-01   1.3780343325e-04
4.2228739003e-01   5.1949505137e-04
4.3792766373e-01   2.2936079294e-03
4.5356793744e-01   2.0531349045e-05
4.6920821114e-01   6.2622556413e-03
4.8484848485e-01   5.2731049934e-03
5.0048875855e-01   6.1082217344e-03
5.1612903226e-01   4.2901597329e-03
5.3176930596e-01   1.5908205825e-03
5.4740957967e-01   3.3806770273e-05
5.6304985337e-01   7.3012267705e-03
5.7869012708e-01   5.4766049133e-03
5.9433040078e-01   1.7644303706e-03
6.0997067449e-01   3.0558776933e-03
6.2561094819e-01   2.1631809207e-03
6.4125122190e-01   1.6192741254e-03
6.5689149560e-01   1.3177339935e-03
6.7253176931e-01   1.1729365768e-03
6.8817204301e-01   1.1240412293e-03
7.0381231672e-01   1.1303230934e-03
7.1945259042e-01   1.1653262212e-03
7.3509286413e-01   1.2120775325e-03
7.5073313783e-01   1.2596446961e-03
7.6637341153e-01   1.3007788497e-03
7.8201368524e-01   1.3303238151e-03
7.9765395894e-01   1.3441390319e-03
8.1329423265e-01   1.3383603078e-03
8.2893450635e-01   1.3088841822e-03
8.4457478006e-01   1.2510101550e-03
8.6021505376e-01   1.1592007582e-03
8.7585532747e-01   2.1356493995e-04
8.9149560117e-01   3.0052498644e-04
9.0713587488e-01   2.2403135407e-04
9.2277614858e-01   1.2630849401e-04
9.3841642229e-01   1.1997134609e-04
9.5405669599e-01   1.7039825259e-04
9.6969696970e-01   3.9548634952e-04
9.8533724340e-01   1.0844152479e-03
1.0009775171e+00   2.0842929609e-03
1.0166177908e+00   2.9003995548e-03
1.0322580645e+00   3.3066529653e-03
1.0478983382e+00   3.5336956418e-03
1.0635386119e+00   3.4150526110e-03
1.0791788856e+00   2.9241254511e-03
1.0948191593e+00   1.7632387677e-03
1.1104594330e+00   3.9076464674e-04
1.1260997067e+00   5.9192552026e-04
1.1417399804e+00   3.5214052535e-03
1.1573802542e+00   6.4865258879e-03
1.1730205279e+00   1.8430314832e-03
1.1886608016e+00   7.7688466545e-03
1.2043010753e+00   4.6323188316e-04
1.2199413490e+00   6.4760504853e-04
1.2355816227e+00   1.7999674103e-05
1.2512218964e+00   2.1146790108e-02
1.2668621701e+00   5.6907312257e-02
1.2825024438e+00   3.8650157555e-02
1.2981427175e+00   1.5842339275e-02
1.3137829912e+00   6.1282389740e-03
1.3294232649e+00   2.5520586997e-03
1.3450635386e+00   1.1826673022e-03
1.3607038123e+00   6.5787086951e-04
1.3763440860e+00   4.8313606116e-04
1.3919843597e+00   4.6044421384e-04
1.4076246334e+00   5.0361963213e-04
1.4232649071e+00   5.7289650175e-04
1.4389051808e+00   6.4933146511e-04
1.4545454545e+00   7.2388504589e-04
1.4701857283e+00   7.9239885508e-04
1.4858260020e+00   8.5312964823e-04
1.5014662757e+00   9.0546794103e-04
1.5171065494e+00   9.4923761961e-04
1.5327468231e+00   9.8429358522e-04
1.5483870968e+00   1.0102757995e-03
1.5640273705e+00   1.0264437951e-03
1.5796676442e+00   1.0315483325e-03
1.5953079179e+00   1.0237149377e-03
1.6109481916e+00   1.0003262986e-03
1.6265884653e+00   3.2773835982e-04
1.6422287390e+00   1.6890164783e-03
1.6578690127e+00   1.5254527547e-03
1.6735092864e+00   5.1311087365e-04
1.6891495601e+00   8.1324117482e-04
1.7047898338e+00   5.2553202657e-04
1.7204301075e+00   1.5935157002e-04
1.7360703812e+00   8.4873746813e-05
1.7517106549e+00   1.5256906116e-05
1.7673509286e+00   8.0296552925e-04
1.7829912023e+00   2.6800847299e-03
1.7986314761e+00   7.9271553308e-04
1.8142717498e+00   1.5619215408e-03
1.8299120235e+00   1.7398449263e-03
1.8455522972e+00   1.9392295312e-03
1.8611925709e+00   1.8347095764e-03
1.8768328446e+00   7.5071240168e-04
1.8924731183e+00   2.6813140073e-04
1.9081133920e+00   4.7136076943e-03
1.9237536657e+00   4.2133641048e-03
1.9393939394e+00   1.6371830501e-02
1.9550342131e+00   4.2434945401e-02
1.9706744868e+00   1.4917405591e-03
1.9863147605e+00   2.1016340433e-02
2.0019550342e+00   6.7766400152e-03
2.0175953079e+00   1.5393946724e-03
2.0332355816e+00   9.1154801191e-04
2.0488758553e+00   1.2731849934e-05
2.0645161290e+00   1.6775468405e-03
2.0801564027e+00   4.7182045353e-04
2.0957966764e+00   4.1347385716e-04
2.1114369501e+00   4.7874752453e-04
2.1270772239e+00   1.5267063034e-03
2.1427174976e+00   1.8649219531e-03
2.1583577713e+00   2.0638527754e-03
2.1739980450e+00   2.1587104453e-03
2.1896383187e+00   2.1826902052e-03
2.2052785924e+00   2.1649685537e-03
2.2209188661e+00   2.1286760623e-03
2.2365591398e+00   2.0899555952e-03
2.2521994135e+00   2.0583400062e-03
2.2678396872e+00   2.0380383378e-03
2.2834799609e+00   2.0295252519e-03
2.2991202346e+00   2.0309746642e-03
2.3147605083e+00   2.0393203912e-03
2.3304007820e+00   2.0509141723e-03
2.3460410557e+00   2.0618473705e-03
2.3616813294e+00   2.0680269440e-03
2.3773216031e+00   2.0650843778e-03
2.3929618768e+00   2.0481734254e-03
2.4086021505e+00   2.0116922716e-03
2.4242424242e+00   1.9489541016e-03
2.4398826979e+00   4.0673191885e-04
2.4555229717e+00   6.0058001300e-04
2.4711632454e+00   1.0366032568e-03
2.4868035191e+00   8.2878205990e-04
2.5024437928e+00   2.5466368258e-04
2.5180840665e+00   4.1752626540e-04
2.5337243402e+00   2.0625651000e-04
2.5493646139e+00   3.1677787233e-04
2.5650048876e+00   4.9224943162e-06
