X    Y
0.0000000000e+00   0.0000000000e+00
1.5640273705e-02   2.3785760011e-04
3.1280547410e-02   2.6258444635e-04
4.6920821114e-02   2.9295022013e-04
6.2561094819e-02   3.3035531083e-04
7.8201368524e-02   3.7633867746e-04
9.3841642229e-02   4.3249622264e-04
1.0948191593e-01   5.0030421652e-04
1.2512218964e-01   5.8080775262e-04
1.4076246334e-01   6.7413345739e-04
1.5640273705e-01   7.7880236404e-04
1.7204301075e-01   8.9086404765e-04
1.8768328446e-01   1.0029491978e-03
2.0332355816e-01   1.1034192214e-03
2.1896383187e-01   5.2308393919e-04
2.3460410557e-01   1.4115953161e-03
2.5024437928e-01   1.4002390046e-03
2.6588465298e-01   1.2707076526e-03
2.8152492669e-01   9.6981852072e-04
2.9716520039e-01   5.6797391268e-04
3.1280547410e-01   1.0407840310e-04
3.2844574780e-01   1.2900973160e-04
3.4408602151e-01   6.1437264726e-04
3.5972629521e-01   1.0134727564e-03
3.7536656891e-01   1.3062929466e-03
3.9100684262e-01   1.4529001504e-03
4.0664711632e-01   1.4591775887e-03
4.2228739003e-01   5.4160838406e-04
4.3792766373e-01   9.2774115069e-04
4.5356793744e-01   2.9539974665e-06
4.6920821114e-01   5.5745477990e-04
4.8484848485e-01   2.3228456902e-04
5.0048875855e-01   1.2509147593e-04
5.1612903226e-01   2.5899314473e-05
5.3176930596e-01   5.6589405067e-06
5.4740957967e-01   8.2295923962e-07
5.6304985337e-01   1.2326869822e-04
5.7869012708e-01   1.5015536228e-04
5.9433040078e-01   7.4564388954e-05
6.0997067449e-01   1.8999111269e-04
6.2561094819e-01   1.9931803550e-04
6.4125122190e-01   2.0730395860e-04
6.5689149560e-01   2.1554422592e-04
6.7253176931e-01   2.2518640147e-04
6.8817204301e-01   2.3716025792e-04
7.0381231672e-01   2.5235533723e-04
7.1945259042e-01   2.7175734486e-04
7.3509286413e-01   2.9655428302e-04
7.5073313783e-01   3.2821974922e-04
7.6637341153e-01   3.6857391679e-04
7.8201368524e-01   4.1981258071e-04
7.9765395894e-01   4.8448072999e-04
8.1329423265e-01   5.6534892244e-04
8.2893450635e-01   6.6512941459e-04
8.4457478006e-01   7.8594975202e-04
8.6021505376e-01   9.2849800624e-04
8.7585532747e-01   2.2556248658e-04
8.9149560117e-01   4.2768319931e-04
9.0713587488e-01   4.8842752221e-04
9.2277614858e-01   5.4412692540e-04
9.3841642229e-01   1.1949355066e-03
9.5405669599e-01   4.9482353941e-04
9.6969696970e-01   6.6044304803e-04
9.8533724340e-01   1.0991111469e-03
1.0009775171e+00   1.1417407513e-03
1.0166177908e+00   7.0457794775e-04
1.0322580645e+00   7.8829355981e-05
1.0478983382e+00   5.3055225304e-04
1.0635386119e+00   1.0785728219e-03
1.0791788856e+00   1.4949287859e-03
1.0948191593e+00   1.6195470961e-03
1.1104594330e+00   1.6481160602e-03
1.1260997067e+00   6.7905435050e-04
1.1417399804e+00   1.3620256225e-03
1.1573802542e+00   1.0659674456e-03
1.1730205279e+00   1.3923109463e-04
1.1886608016e+00   2.0664623188e-04
1.2043010753e+00   1.5528879239e-06
1.2199413490e+00   1.9154177147e-06
1.2355816227e+00   2.0996226694e-06
1.2512218964e+00   3.4302003445e-05
1.2668621701e+00   9.0932779133e-05
1.2825024438e+00   1.1825726562e-04
1.2981427175e+00   1.2229435891e-04
1.3137829912e+00   1.2296189503e-04
1.3294232649e+00   1.2217952522e-04
1.3450635386e+00   1.2108744356e-04
1.3607038123e+00   1.2031425598e-04
1.3763440860e+00   1.2018220667e-04
1.3919843597e+00   1.2085538278e-04
1.4076246334e+00   1.2244065181e-04
1.4232649071e+00   1.2505482778e-04
1.4389051808e+00   1.2887090896e-04
1.4545454545e+00   1.3415396088e-04
1.4701857283e+00   1.4129474580e-04
1.4858260020e+00   1.5084705113e-04
1.5014662757e+00   1.6357282986e-04
1.5171065494e+00   1.8049734506e-04
1.5327468231e+00   2.0297377108e-04
1.5483870968e+00   2.3275198321e-04
1.5640273705e+00   2.7203786116e-04
1.5796676442e+00   3.2351510569e-04
1.5953079179e+00   3.9027907077e-04
1.6109481916e+00   4.7560092093e-04
1.6265884653e+00   2.0282512763e-04
1.6422287390e+00   1.2969023132e-03
1.6578690127e+00   1.5739079728e-03
1.6735092864e+00   7.3860717103e-04
1.6891495601e+00   1.6693019401e-03
1.7047898338e+00   1.8984057391e-03
1.7204301075e+00   2.0752994796e-03
1.7360703812e+00   2.7429793093e-04
1.7517106549e+00   1.0966366732e-05
1.7673509286e+00   9.0325323406e-04
1.7829912023e+00   1.7388656962e-03
1.7986314761e+00   2.2846618286e-04
1.8142717498e+00   1.0157086940e-04
1.8299120235e+00   2.3885889120e-04
1.8455522972e+00   6.0929732515e-04
1.8611925709e+00   9.4860643471e-04
1.8768328446e+00   1.3595725685e-03
1.8924731183e+00   4.7380981335e-04
1.9081133920e+00   2.0260606206e-03
1.9237536657e+00   6.2623811040e-04
1.9393939394e+00   8.7383715521e-04
1.9550342131e+00   5.0375846778e-04
1.9706744868e+00   7.0774864245e-06
