X    Y
0.0000000000e+00   2.0000000000e-01
1.0000000000e-04   2.0000005400e-01
1.1000000000e-03   2.0000652812e-01
1.1100000000e-02   2.0065959061e-01
2.6740273705e-02   2.0378776868e-01
4.2380547410e-02   2.0943500212e-01
5.8020821114e-02   2.1757630161e-01
7.3661094819e-02   2.2822338369e-01
8.9301368524e-02   2.4142296824e-01
1.0494164223e-01   2.5725296334e-01
1.2058191593e-01   2.7581626081e-01
1.3622218964e-01   2.9723156168e-01
1.5186246334e-01   3.2162033547e-01
1.6750273705e-01   3.4908871652e-01
1.8314301075e-01   3.7970290892e-01
1.9878328446e-01   4.1345662149e-01
2.1442355816e-01   4.5022937581e-01
2.1452355816e-01   4.5047369668e-01
2.1552355816e-01   4.5292307106e-01
2.2552355816e-01   4.7801062835e-01
2.4116383187e-01   5.1916344112e-01
2.4126383187e-01   5.1943292448e-01
2.4226383187e-01   5.2213157797e-01
2.4236383187e-01   5.2240182031e-01
2.4336383187e-01   5.2510792536e-01
2.5900410557e-01   5.6811822327e-01
2.7464437928e-01   6.1162051468e-01
2.7474437928e-01   6.1189733546e-01
2.7574437928e-01   6.1466338142e-01
2.9138465298e-01   6.5708491161e-01
2.9148465298e-01   6.5734896826e-01
2.9248465298e-01   6.5998298125e-01
3.0812492669e-01   6.9923704072e-01
3.0822492669e-01   6.9947382970e-01
3.0922492669e-01   7.0183005047e-01
3.1922492669e-01   7.2410633549e-01
3.3486520039e-01   7.5321670292e-01
3.3496520039e-01   7.5337644616e-01
3.3596520039e-01   7.5495373741e-01
3.5160547410e-01   7.7448799271e-01
3.6724574780e-01   7.8321746467e-01
3.6734574780e-01   7.8323563226e-01
3.6834574780e-01   7.8339023776e-01
3.8398602151e-01   7.7931000334e-01
3.9962629521e-01   7.6301384879e-01
4.1526656891e-01   7.3522911448e-01
4.1536656891e-01   7.3501751907e-01
4.1636656891e-01   7.3287929489e-01
4.2636656891e-01   7.0938135005e-01
4.4200684262e-01   6.6598860608e-01
4.4210684262e-01   6.6568944854e-01
4.4310684262e-01   6.6268476601e-01
4.5310684262e-01   6.3146696408e-01
4.5320684262e-01   6.3114531808e-01
4.5420684262e-01   6.2791994067e-01
4.6420684262e-01   5.9491180188e-01
4.7984711632e-01   5.4169308709e-01
4.7994711632e-01   5.4135073285e-01
4.8094711632e-01   5.3792750337e-01
4.8104711632e-01   5.3758522379e-01
4.8204711632e-01   5.3416307136e-01
4.9768739003e-01   4.8116335197e-01
5.1332766373e-01   4.3032708714e-01
5.1342766373e-01   4.3001216655e-01
5.1442766373e-01   4.2687100530e-01
5.3006793744e-01   3.7983158857e-01
5.3016793744e-01   3.7954445448e-01
5.3116793744e-01   3.7668322960e-01
5.4680821114e-01   3.3442862542e-01
5.4690821114e-01   3.3417406207e-01
5.4790821114e-01   3.3163960983e-01
5.5790821114e-01   3.0742460547e-01
5.7354848485e-01   2.7371682085e-01
5.8918875855e-01   2.4504942549e-01
5.8928875855e-01   2.4488199650e-01
5.9028875855e-01   2.4321860304e-01
6.0028875855e-01   2.2765936899e-01
6.1592903226e-01   2.0709684727e-01
6.3156930596e-01   1.9083305296e-01
6.4720957967e-01   1.7850548800e-01
6.6284985337e-01   1.6976106195e-01
6.7849012708e-01   1.6427760517e-01
6.9413040078e-01   1.6177763909e-01
7.0977067449e-01   1.6203634368e-01
