X    Y    Z
2.0000000000e-01   2.0000000000e-01   2.0000000000e-01
2.0000005400e-01   2.0010804068e-01   1.9995734190e-01
2.0000652812e-01   2.0119292767e-01   1.9953170473e-01
2.0065959061e-01   2.1249540412e-01   1.9537088889e-01
2.0378776868e-01   2.3188795763e-01   1.8922299621e-01
2.0943500212e-01   2.5352215152e-01   1.8353927570e-01
2.1757630161e-01   2.7760869500e-01   1.7835551421e-01
2.2822338369e-01   3.0439074788e-01   1.7371703927e-01
2.4142296824e-01   3.3412897162e-01   1.6968089383e-01
2.5725296334e-01   3.6708363800e-01   1.6631824611e-01
2.7581626081e-01   4.0349162408e-01   1.6371696587e-01
2.9723156168e-01   4.4353571870e-01   1.6198418717e-01
3.2162033547e-01   4.8730333687e-01   1.6124850856e-01
3.4908871652e-01   5.3473165932e-01   1.6166123204e-01
3.7970290892e-01   5.8553671291e-01   1.6339569348e-01
4.1345662149e-01   6.3912552359e-01   1.6664328809e-01
4.5022937581e-01   6.9449401263e-01   1.7160428526e-01
4.5047369668e-01   6.9485078978e-01   1.7164194491e-01
4.5292307106e-01   6.9841915148e-01   1.7202284408e-01
4.7801062835e-01   7.3405898865e-01   1.7627149446e-01
5.1916344112e-01   7.8861167273e-01   1.8459159139e-01
5.1943292448e-01   7.8895139402e-01   1.8465158906e-01
5.2213157797e-01   7.9234003023e-01   1.8525639435e-01
5.2240182031e-01   7.9267801912e-01   1.8531735814e-01
5.2510792536e-01   7.9604885986e-01   1.8593183522e-01
5.6811822327e-01   8.4602692208e-01   1.9669339372e-01
6.1162051468e-01   8.8846016422e-01   2.0959012467e-01
6.1189733546e-01   8.8869917587e-01   2.0967918119e-01
6.1466338142e-01   8.9106357543e-01   2.1057417853e-01
6.5708491161e-01   9.2120017891e-01   2.2555721766e-01
6.5734896826e-01   9.2134690723e-01   2.2565851600e-01
6.5998298125e-01   9.2277892246e-01   2.2667496938e-01
6.9923704072e-01   9.3613103854e-01   2.4328073215e-01
6.9947382970e-01   9.3615769626e-01   2.4339042872e-01
7.0183005047e-01   9.3638064736e-01   2.4448927030e-01
7.2410633549e-01   9.3410205556e-01   2.5562107126e-01
7.5321670292e-01   9.1314206652e-01   2.7312751177e-01
7.5337644616e-01   9.1293748615e-01   2.7323807364e-01
7.5495373741e-01   9.1084202073e-01   2.7434189590e-01
7.7448799271e-01   8.6646051205e-01   2.9097658590e-01
7.8321746467e-01   8.0163079668e-01   3.0570115763e-01
7.8323563226e-01   8.0115744917e-01   3.0578700540e-01
7.8339023776e-01   7.9638638417e-01   3.0663895756e-01
7.7931000334e-01   7.1389692125e-01   3.1827503761e-01
7.6301384879e-01   6.2082451373e-01   3.2633656534e-01
7.3522911448e-01   5.2383711429e-01   3.3053901046e-01
7.3501751907e-01   5.2321879028e-01   3.3055349349e-01
7.3287929489e-01   5.1704189284e-01   3.3068983486e-01
7.0938135005e-01   4.5621836012e-01   3.3122296876e-01
6.6598860608e-01   3.6695147672e-01   3.2924581870e-01
6.6568944854e-01   3.6641161240e-01   3.2922312974e-01
6.6268476601e-01   3.6103750819e-01   3.2898972530e-01
6.3146696408e-01   3.0990328128e-01   3.2604026276e-01
6.3114531808e-01   3.0941711387e-01   3.2600545410e-01
6.2791994067e-01   3.0458401740e-01   3.2565195098e-01
5.9491180188e-01   2.5919463786e-01   3.2161258380e-01
5.4169308709e-01   1.9933701142e-01   3.1377575247e-01
5.4135073285e-01   1.9899841891e-01   3.1372084723e-01
5.3792750337e-01   1.9564306675e-01   3.1316894087e-01
5.3758522379e-01   1.9531058515e-01   3.1311346825e-01
5.3416307136e-01   1.9201623738e-01   3.1255598164e-01
4.8116335197e-01   1.4752183158e-01   3.0328913481e-01
4.3032708714e-01   1.1533389669e-01   2.9333004769e-01
4.3001216655e-01   1.1516423558e-01   2.9326505545e-01
4.2687100530e-01   1.1349143848e-01   2.9261449994e-01
3.7983158857e-01   9.2605839315e-02   2.8234612265e-01
3.7954445448e-01   9.2502048352e-02   2.8228021023e-01
3.7668322960e-01   9.1483412974e-02   2.8162109577e-01
3.3442862542e-01   7.9763758481e-02   2.7135063591e-01
3.3417406207e-01   7.9712247086e-02   2.7128539284e-01
3.3163960983e-01   7.9212111144e-02   2.7063337524e-01
3.0742460547e-01   7.5621752171e-02   2.6416072741e-01
2.7371682085e-01   7.4444966942e-02   2.5425410329e-01
2.4504942549e-01   7.7521256341e-02   2.4466799730e-01
2.4488199650e-01   7.7552185333e-02   2.4460782555e-01
2.4321860304e-01   7.7868561022e-02   2.4400691237e-01
2.2765936899e-01   8.1695289508e-02   2.3807924503e-01
2.0709684727e-01   8.9750192661e-02   2.2911145314e-01
1.9083305296e-01   9.9816887429e-02   2.2051968132e-01
1.7850548800e-01   1.1150443949e-01   2.1230595573e-01
1.6976106195e-01   1.2459804939e-01   2.0447068974e-01
1.6427760517e-01   1.3902443089e-01   1.9701526321e-01
1.6177763909e-01   1.5482255913e-01   1.8994368124e-01
1.6203634368e-01   1.7212013285e-01   1.8326379193e-01
1.6488536176e-01   1.9111527700e-01   1.7698838453e-01
1.7021373655e-01   2.1206255501e-01   1.7113638153e-01
1.7796693491e-01   2.3526209086e-01   1.6573427034e-01
1.8814458228e-01   2.6105040251e-01   1.6081787992e-01
2.0079722683e-01   2.8979133768e-01   1.5643458233e-01
2.1602215163e-01   3.2186521788e-01   1.5264597608e-01
2.3395794836e-01   3.5765389246e-01   1.4953107274e-01
2.5477723558e-01   3.9751885498e-01   1.4718994281e-01
2.7867653266e-01   4.4176889162e-01   1.4574765763e-01
3.0586187505e-01   4.9061298528e-01   1.4535815799e-01
3.0604669738e-01   4.9094026963e-01   1.4535943704e-01
3.0790276536e-01   4.9422358184e-01   1.4537501793e-01
3.2725721652e-01   5.2809756992e-01   1.4582099582e-01
3.6049208927e-01   5.8475792999e-01   1.4768024966e-01
3.9742756540e-01   6.4546697273e-01   1.5117132559e-01
4.3805049447e-01   7.0927906400e-01   1.5655972398e-01
4.3832179488e-01   7.0969403433e-01   1.5660087249e-01
